0	Index      	 *	Score 	Summary	Detail	
1	12562 43741	 * 	274.05	橙橙2矿等1易伤1暴击1平台	1金币生成2a矿等3暴击4平台5加一6基地爆炸7易伤89核
40	24153 12341	   	246.07	紫橙2易伤1矿等1暴击	1防空对愈24易伤37金币生成59核6矿等8基地爆炸a暴击
41	24163 11141	   	246.07	紫橙2易伤1矿等1暴击	1防空对愈28易伤34金币生成59核6矿等7低血量敌人a暴击
42	52116 63231	   	245.34	紫橙3易伤	179易伤2最后敌人38核4金币生成5额外掉落6激光减费a时间
43	24222 36512	 * 	244.95	橙3易伤3矿等1伤害	189防空对愈289易伤3赏金邻近4挖尘5基地爆炸6核789矿等89序列升级a伤害
44	24223 36512	   	244.95	橙3易伤3矿等1伤害	189防空对愈289易伤3赏金邻近4挖尘5低血量敌人6核789矿等89序列升级a伤害
45	24322 36512	   	244.95	橙3易伤3矿等1伤害	189防空对愈289易伤3赏金塔4挖尘5基地爆炸6核789矿等89序列升级a伤害
46	24323 36512	   	244.95	橙3易伤3矿等1伤害	189防空对愈289易伤3赏金塔4挖尘5低血量敌人6核789矿等89序列升级a伤害
47	36222 36512	   	244.95	橙3易伤3矿等1伤害	1赏金塔289喷火对黄389易伤4挖尘5基地爆炸6核789矿等89序列升级a伤害
48	36223 36512	   	244.95	橙3易伤3矿等1伤害	1赏金塔289喷火对黄389易伤4挖尘5低血量敌人6核789矿等89序列升级a伤害
49	31252 32133	 * 	244.74	橙3易伤3伤害1暴击	1赏金塔26a易伤3赏金邻近467伤害5随机矿6序列升级8核9暴击
50	53231 41323	   	244.59	橙橙1易伤1矿等1平台	1易伤2低血量敌人3散射对甲4矿等5基础对冰6导弹对绿7金币生成8平台9a核
51	51265 21223	 * 	244.54	橙3易伤2矿等2暴击1攻速	179易伤29矿等3技能4挖尘5攻速6赏金邻近89暴击9序列升级a核
52	53231 42323	   	244.49	橙橙1易伤1矿等1平台	1易伤2低血量敌人3散射对甲4矿等5基础对冰6导弹对绿7掉矿8平台9a核
