0	Index      	 *	Score 	Summary	Detail	
1	11234 12335	 * 	284.64	橙橙2易伤1矿等1暴击1全技能	1狙击对毒24易伤3矿等5全技能6暴击7雷电8a核9随机矿
16	42622 36212	 * 	265.84	橙橙3易伤	157易伤2敌人爆炸3双倍秒伤4基地爆炸6挖尘8a核9雷电
17	26235 32331	   	265.65	橙橙2易伤1暴击	1时间2核弹39易伤4暴击5机枪对壮6赏金邻近7最后敌人8a核
18	26235 35331	   	265.65	橙橙2易伤1暴击	1时间2核弹39易伤4暴击5机枪对壮6赏金邻近7敌人爆炸8a核
19	45131 52311	 * 	265.65	橙橙1易伤2攻速1暴击	1易伤29攻速3暴击4赏金塔5时间6毒液对冰7最后敌人8a核
20	54313 32116	 * 	264.80	橙橙3矿等1易伤	128矿等2序列升级3易伤4立即金币5技能点6a核7金币生成9雷电
21	32221 53524	   	264.14	紫橙2易伤1矿等1攻速1全技能	1全技能2额外掉落3低血量敌人4时间57核6攻速8矿等9a易伤
22	24152 34233	 * 	264.12	橙4易伤3矿等3时间	16a时间2双倍矿3挖尘489a易伤56a矿等6a序列升级7核
23	25152 34233	   	264.12	橙4易伤3矿等3时间	16a时间2立即金币3挖尘489a易伤56a矿等6a序列升级7核
24	11115 24233	   	261.66	橙橙2易伤1全技能	1狙击对毒24易伤3赏金邻近5狙击对黄6时间7a核8敌人爆炸9全技能
25	11115 24433	   	261.66	橙橙2易伤1全技能	1狙击对毒24易伤3赏金邻近5狙击对黄6时间7a核8最后敌人9全技能
26	51253 12212	   	261.23	橙橙2易伤1矿等	1矿等2最后敌人34易伤5双倍秒伤6低血量敌人7掉矿8a核9雷电
27	52253 12212	   	261.23	橙橙2易伤1矿等	1矿等2敌人爆炸34易伤5双倍秒伤6低血量敌人7掉矿8a核9雷电
28	41262 25212	   	261.13	橙橙2易伤1矿等	13易伤2掉矿4矿等5低血量敌人6挖尘7双倍秒伤8a核9雷电
29	51252 25212	   	261.13	橙橙2易伤1矿等	1矿等2最后敌人34易伤5技能点6挖尘7双倍秒伤8a核9雷电
30	52252 25212	   	261.13	橙橙2易伤1矿等	1矿等2敌人爆炸34易伤5技能点6挖尘7双倍秒伤8a核9雷电
31	45131 52331	   	259.75	橙橙1易伤2时间1暴击1攻速	1易伤2攻速3暴击4赏金塔59时间6毒液对冰7最后敌人8a核
32	54131 35212	   	259.04	橙橙2矿等1易伤	12矿等2序列升级3最后敌人4金币生成5时间6易伤7双倍秒伤8a核9雷电
33	54331 25212	   	258.94	橙橙2矿等1易伤	12矿等2序列升级3易伤4金币生成5时间6挖尘7双倍秒伤8a核9雷电
34	54342 12212	   	258.94	橙橙2矿等1易伤	12矿等2序列升级3易伤4双倍秒伤5时间6低血量敌人7掉矿8a核9雷电
35	22632 21212	   	258.65	橙橙2易伤2时间	17时间2敌人爆炸3双倍秒伤45易伤6基地爆炸8a核9雷电
36	22632 61212	   	258.65	橙橙2易伤2时间	17时间2敌人爆炸3双倍秒伤45易伤6最后敌人8a核9雷电
37	42622 41212	   	258.65	橙橙2易伤2时间	15易伤2敌人爆炸3双倍秒伤4基地爆炸67时间8a核9雷电
38	42635 21212	   	258.65	橙橙2易伤2时间	14易伤2敌人爆炸3双倍秒伤57时间6基地爆炸8a核9雷电
39	41261 33112	   	258.60	橙4易伤2矿等2时间1暴击	1367易伤2掉矿47矿等57时间7序列升级8金币生成9暴击a核
40	32153 13146	 * 	258.58	紫橙2伤害2攻速2暴击1全技能	1全技能2额外掉落3a伤害4时间57核6a攻速8a暴击9技能a序列升级
41	11361 12335	   	258.44	橙橙1易伤1矿等1暴击1全技能	1狙击对毒2易伤3全技能4立即金币5矿等6暴击7雷电8a核9随机矿
42	44331 12335	   	258.44	橙橙1易伤1矿等1暴击1全技能	1易伤2全技能3激光减费4矿等5喷火对甲6暴击7雷电8a核9随机矿
43	32233 53224	   	258.37	紫橙2易伤1伤害1攻速1全技能	1全技能2额外掉落3低血量敌人47核5基地爆炸6攻速8伤害9a易伤
44	32153 13543	   	258.00	紫橙1易伤1伤害1矿等1攻速1全技能	1全技能2额外掉落3伤害4时间57核6攻速8矿等9金币生成a易伤
45	32153 13426	   	257.90	紫橙1易伤1伤害1矿等1攻速1全技能	1全技能2额外掉落3伤害4时间57核6攻速8挖尘9易伤a矿等
46	32153 13563	   	257.90	紫橙1易伤1伤害1矿等1攻速1全技能	1全技能2额外掉落3伤害4时间57核6攻速8矿等9技能点a易伤
47	11521 36331	   	257.20	橙橙2易伤1暴击1策反	1狙击对毒29易伤3基地爆炸4赏金邻近5最后敌人6暴击7策反8a核
48	11524 36331	   	257.20	橙橙2易伤1暴击1策反	1狙击对毒29易伤3基地爆炸4赏金邻近5敌人爆炸6暴击7策反8a核
49	42224 36331	   	257.20	橙橙2易伤1暴击1策反	19易伤2敌人爆炸3基地爆炸4赏金塔5爆破对壮6暴击7策反8a核
50	11621 51351	   	256.90	橙橙2易伤1攻速1卖塔	1狙击对毒29易伤357掉矿4卖塔6攻速8a核
51	51251 53123	   	256.29	橙4易伤2矿等2攻速	17矿等2最后敌人3457易伤67攻速7序列升级8金币生成9核a低血量敌人
52	51251 53121	   	256.19	橙4易伤2矿等2攻速	17矿等2最后敌人3457易伤67攻速7序列升级8金币生成9核a挖尘
53	32151 25122	   	254.71	橙橙1伤害1矿等1暴击1全技能	1全技能2额外掉落3伤害4时间5机枪对壮68核7暴击9金币生成a矿等
