0	Index      	 *	Score 	Summary	Detail	
1	13334 35152	 * 	310.08	DCR|3LIT|2MLV|2VULN|1DMG	19VULN|2LWND|346LIT|59CANARM|7RCR|89MLV|9BPWR|aDMG
26	25632 63112	 * 	283.72	ACR|2LIT|2VULN|2DMG|1MLV|1ASPD|1CDMG	1LEGI|27DMG|3ERES|4RCR|57LIT|67VULN|7BPWR|8ASPD|9CDMG|aMLV
27	13361 32112	   	281.72	DCR|2LIT|3VULN|1MLV|1DMG|1SELL	18aVULN|2LWND|36LIT|4SELL|5MLV|7DMG|9RCR
28	23331 63164	 * 	281.42	DCR|2LIT|3VULN|3DMG	1LEGI|2RCVC|37LIT|478VULN|579DMG|6AART|7BPWR|aRCR
29	35332 23512	   	280.75	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	13ASPD|23DMG|3BPWR|4MLV|5TLV|68VULN|7FEWX|9RCR|aLIT
30	35333 63612	   	280.75	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	13ASPD|23DMG|3BPWR|4MLV|5LWND|68VULN|7RMIN|9RCR|aLIT
31	35315 63112	   	280.65	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	13ASPD|23DMG|3BPWR|4DUST|5RPLT|6MLV|7aVULN|8LIT|9RCR
32	35332 22512	   	280.65	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	13ASPD|23DMG|3BPWR|4MLV|5TLV|68VULN|7DUR|9RCR|aLIT
33	35332 26235	   	280.65	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	13ASPD|23DMG|3BPWR|4MLV|5TLV|6aVULN|7DUST|8LIT|9RCR
34	35332 26512	   	280.65	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	13ASPD|23DMG|3BPWR|4MLV|5TLV|68VULN|7DUST|9RCR|aLIT
35	35336 63112	   	280.65	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	13ASPD|23DMG|3BPWR|4MLV|56VULN|7ERES|8FEWX|9RCR|aLIT
36	35336 63312	   	280.55	DCR|1LIT|2VULN|2DMG|1MLV|2ASPD	13ASPD|23DMG|3BPWR|4MLV|56VULN|7ERES|8DUR|9RCR|aLIT
