0	Index      	 *	Score 	Summary	Detail	
1	52141 34828	 * 	310.49	DCR|3LIT|2MLV|3VULN	19aVULN|246LIT|3MBVNT|56MLV|6BPWR|7RPLT|8RCR
28	52131 31583	   	284.40	DCR|2LIT|2MLV|3VULN	14aVULN|26LIT|3MBVNT|56MLV|6BPWR|7NUKE|8RCR|9LWND
29	52131 31513	   	284.25	DCR|2LIT|2MLV|3VULN	14aVULN|26LIT|3MBVNT|56MLV|6BPWR|7NUKE|8RCR|9DUST
30	52141 38461	 * 	282.40	DCR|3LIT|3MLV|2VULN	19VULN|246LIT|3MBVNT|56aMLV|6BPWR|7ERES|8RCR
31	52141 34374	   	282.29	DCR|3LIT|2MLV|2VULN	19VULN|246LIT|3MBVNT|56MLV|6BPWR|7RPLT|8ZMB|aRCR
32	52131 32453	   	281.85	DCR|2LIT|2MLV|3VULN	14aVULN|26LIT|3MBVNT|56MLV|6BPWR|7BEXP|8LWND|9RCR
33	52131 36453	   	281.85	DCR|2LIT|2MLV|3VULN	14aVULN|26LIT|3MBVNT|56MLV|6BPWR|7LHND|8LWND|9RCR
34	52131 32153	   	281.70	DCR|2LIT|2MLV|3VULN	14aVULN|26LIT|3MBVNT|56MLV|6BPWR|7BEXP|8DUR|9RCR
35	52131 33453	   	281.70	DCR|2LIT|2MLV|3VULN	14aVULN|26LIT|3MBVNT|56MLV|6BPWR|7DUST|8LWND|9RCR
36	52131 36153	   	281.70	DCR|2LIT|2MLV|3VULN	14aVULN|26LIT|3MBVNT|56MLV|6BPWR|7LHND|8DUR|9RCR
37	52131 33153	   	281.55	DCR|2LIT|2MLV|3VULN	14aVULN|26LIT|3MBVNT|56MLV|6BPWR|7DUST|8DUR|9RCR
38	52141 33472	   	281.52	DCR|3LIT|2MLV|1VULN|1NUKE|1ASPD	1VULN|246LIT|3MBVNT|56MLV|6BPWR|7ASPD|8RCR|9LSRICY|aNUKE
39	52131 31542	   	281.28	DCR|2LIT|2MLV|2VULN|1DMG	14VULN|26LIT|3MBVNT|56MLV|6BPWR|7NUKE|8RCR|9FEWX|aDMG
40	52131 31582	   	281.28	DCR|2LIT|2MLV|2VULN|1DMG	14VULN|26LIT|3MBVNT|56MLV|6BPWR|7NUKE|8RCR|9LWND|aDMG
41	52131 31512	   	281.13	DCR|2LIT|2MLV|2VULN|1DMG	14VULN|26LIT|3MBVNT|56MLV|6BPWR|7NUKE|8RCR|9DUST|aDMG
