0	Index      	 *	Score 	Summary	Detail	
1	16211 13615	 * 	270.09	DCR|DCR|1VULN|1TLV|1DUR|1AART|1CDMG	1CDMG|2RPLT|3AART|4TLV|5LIT|6LHND|7VULN|8aRCR|9DUR
72	11332 25553	   	243.79	DCR|DCR|1VULN|2DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4aDUR|5VULN|68RCR|7LWND|9AAC
73	13232 43512	   	243.79	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2DUST|3DUR|4BEXP|5VULN|6LWND|78RCR|9RPLT|aAAC
74	13632 53513	   	243.79	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2DUST|3LHND|4BEXP|5VULN|6DUR|78RCR|9RPLT|aAAC
75	14332 25512	   	243.79	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2AETHUN|3FEWX|4DUR|5VULN|68RCR|7LWND|9RPLT|aAAC
76	11222 43551	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3DUR|4DUST|5VULN|6LWND|78RCR|9AAC|aFRZARM
77	11222 43553	   	243.69	DCR|DCR|1VULN|2DUR|1CDMG|1AAC	1CDMG|2LHND|3aDUR|4DUST|5VULN|6LWND|78RCR|9AAC
78	11322 53551	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUST|5VULN|6DUR|78RCR|9AAC|aFRZARM
79	11322 53553	   	243.69	DCR|DCR|1VULN|2DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUST|5VULN|6aDUR|78RCR|9AAC
80	11332 13551	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUR|5VULN|6DUST|78RCR|9AAC|aFRZARM
81	11332 13553	   	243.69	DCR|DCR|1VULN|2DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4aDUR|5VULN|6DUST|78RCR|9AAC
82	11332 13554	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUR|5VULN|6DUST|78RCR|9AAC|aRPLT
83	11332 13555	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC|1MSE	1CDMG|2LHND|3FEWX|4DUR|5VULN|6DUST|78RCR|9AAC|aMSE
84	11332 13556	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUR|5VULN|6aDUST|78RCR|9AAC
85	11332 23551	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUR|5VULN|68RCR|7DUST|9AAC|aFRZARM
86	11332 23553	   	243.69	DCR|DCR|1VULN|2DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4aDUR|5VULN|68RCR|7DUST|9AAC
87	11332 23554	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUR|5VULN|68RCR|7DUST|9AAC|aRPLT
88	11332 23555	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC|1MSE	1CDMG|2LHND|3FEWX|4DUR|5VULN|68RCR|7DUST|9AAC|aMSE
89	11332 23556	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUR|5VULN|68RCR|7aDUST|9AAC
90	13232 43551	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2DUST|3DUR|4BEXP|5VULN|6LWND|78RCR|9AAC|aFRZARM
91	13232 43553	   	243.69	DCR|DCR|1VULN|2DUR|1CDMG|1AAC	1CDMG|2DUST|3aDUR|4BEXP|5VULN|6LWND|78RCR|9AAC
92	14222 43513	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2AETHUN|3DUR|4DUST|5VULN|6LHND|78RCR|9RPLT|aAAC
93	14322 53513	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2AETHUN|3FEWX|4DUST|5VULN|6DUR|78RCR|9RPLT|aAAC
94	14332 13513	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2AETHUN|3FEWX|4DUR|5VULN|6DUST|78RCR|9RPLT|aAAC
95	14332 23513	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2AETHUN|3FEWX|4DUR|5VULN|68RCR|7DUST|9RPLT|aAAC
96	14632 13513	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2AETHUN|3LHND|4DUR|5VULN|6DUST|78RCR|9RPLT|aAAC
97	14632 23513	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2AETHUN|3LHND|4DUR|5VULN|68RCR|7DUST|9RPLT|aAAC
98	22335 25513	   	243.69	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1AEFRZ|2MDPS|3BEXP|4DUR|5CDMG|68RCR|7VULN|9RPLT|aAAC
99	14332 13551	   	243.59	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2AETHUN|3FEWX|4DUR|5VULN|6DUST|78RCR|9AAC|aSPLJET
100	14332 13553	   	243.59	DCR|DCR|1VULN|2DUR|1CDMG|1AAC	1CDMG|2AETHUN|3FEWX|4aDUR|5VULN|6DUST|78RCR|9AAC
101	14332 23551	   	243.59	DCR|DCR|1VULN|1DUR|1CDMG|1AAC	1CDMG|2AETHUN|3FEWX|4DUR|5VULN|68RCR|7DUST|9AAC|aSPLJET
102	14332 23553	   	243.59	DCR|DCR|1VULN|2DUR|1CDMG|1AAC	1CDMG|2AETHUN|3FEWX|4aDUR|5VULN|68RCR|7DUST|9AAC
103	14241 11372	 * 	243.44	DCR|3VULN|3DUR|1TLV|1CDMG	1CDMG|2AETHUN|356DUR|458VULN|5BPWR|7MBVNT|9RCR|aTLV
104	12226 25232	 * 	243.44	DCR|DCR|2DUR|1TLV|1CDMG	1CDMG|2AEPOI|3ASPD|4DLOT|5AEWIND|69RCR|78DUR|aTLV
105	25226 25232	   	243.44	DCR|DCR|2DUR|1TLV|1CDMG	1AEFRZ|2CDMG|3ASPD|4DLOT|5AEWIND|69RCR|78DUR|aTLV
106	61215 62332	 * 	242.73	DCR|3VULN|2TLV|3CDMG|1AART	1RMIN|278BEXP|3AART|49TLV|589CDMG|689VULN|89BPWR|aRCR
107	11322 43532	   	242.69	DCR|DCR|2VULN|1CDMG	1CDMG|2LHND|3FEWX|4DUST|5aVULN|6LWND|78RCR|9CGEN
108	11322 43552	   	242.69	DCR|DCR|2VULN|1CDMG|1AAC	1CDMG|2LHND|3FEWX|4DUST|5aVULN|6LWND|78RCR|9AAC
109	13332 43523	   	242.69	DCR|DCR|2VULN|1CDMG	1CDMG|2DUST|3FEWX|4BEXP|5aVULN|6LWND|78RCR|9RCVC
110	13332 43532	   	242.69	DCR|DCR|2VULN|1CDMG	1CDMG|2DUST|3FEWX|4BEXP|5aVULN|6LWND|78RCR|9CGEN
111	13332 43552	   	242.69	DCR|DCR|2VULN|1CDMG|1AAC	1CDMG|2DUST|3FEWX|4BEXP|5aVULN|6LWND|78RCR|9AAC
112	13632 43532	   	242.69	DCR|DCR|2VULN|1CDMG	1CDMG|2DUST|3LHND|4BEXP|5aVULN|6LWND|78RCR|9CGEN
113	11332 25533	   	242.69	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|2LHND|3FEWX|4aDUR|5VULN|68RCR|7LWND|9CGEN
114	22362 25523	   	242.59	DCR|DCR|2VULN|1CDMG	1AEFRZ|2MDPS|3BEXP|4CDMG|5aVULN|68RCR|7LWND|9RCVC
115	22362 25532	   	242.59	DCR|DCR|2VULN|1CDMG	1AEFRZ|2MDPS|3BEXP|4CDMG|5aVULN|68RCR|7LWND|9CGEN
116	13332 43563	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|2DUST|3FEWX|4BEXP|5aVULN|6LWND|78RCR|9AEBURN
117	14322 43532	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|2AETHUN|3FEWX|4DUST|5aVULN|6LHND|78RCR|9CGEN
118	11222 43533	   	242.59	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|2LHND|3aDUR|4DUST|5VULN|6LWND|78RCR|9CGEN
119	11322 53533	   	242.59	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|2LHND|3FEWX|4DUST|5VULN|6aDUR|78RCR|9CGEN
120	11332 13533	   	242.59	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|2LHND|3FEWX|4aDUR|5VULN|6DUST|78RCR|9CGEN
121	11332 23533	   	242.59	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|2LHND|3FEWX|4aDUR|5VULN|68RCR|7DUST|9CGEN
122	13232 43533	   	242.59	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|2DUST|3aDUR|4BEXP|5VULN|6LWND|78RCR|9CGEN
123	13632 53533	   	242.59	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|2DUST|3LHND|4BEXP|5VULN|6aDUR|78RCR|9CGEN
124	14332 25533	   	242.59	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|2AETHUN|3FEWX|4aDUR|5VULN|68RCR|7LWND|9CGEN
125	14222 43533	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|2AETHUN|3aDUR|4DUST|5VULN|6LHND|78RCR|9CGEN
126	14322 53533	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|2AETHUN|3FEWX|4DUST|5VULN|6aDUR|78RCR|9CGEN
127	14332 13533	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|2AETHUN|3FEWX|4aDUR|5VULN|6DUST|78RCR|9CGEN
128	14332 23533	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|2AETHUN|3FEWX|4aDUR|5VULN|68RCR|7DUST|9CGEN
129	14632 13533	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|2AETHUN|3LHND|4aDUR|5VULN|6DUST|78RCR|9CGEN
130	14632 23533	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG	1CDMG|2AETHUN|3LHND|4aDUR|5VULN|68RCR|7DUST|9CGEN
131	22335 25533	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG	1AEFRZ|2MDPS|3BEXP|4aDUR|5CDMG|68RCR|7VULN|9CGEN
132	13364 23532	   	242.39	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2DUST|3FEWX|4AME|5MDPS|6ERES|78RCR|9TLV|aVULN
133	13365 33532	   	242.39	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2DUST|3FEWX|4AME|5ERES|6MDPS|78RCR|9TLV|aVULN
134	11322 53522	   	241.14	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1CDMG|2LHND|3FEWX|4DUST|5VULN|6DUR|78RCR|9RCVC|aNUKE
135	11332 13522	   	241.14	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1CDMG|2LHND|3FEWX|4DUR|5VULN|6DUST|78RCR|9RCVC|aNUKE
136	11332 23522	   	241.14	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1CDMG|2LHND|3FEWX|4DUR|5VULN|68RCR|7DUST|9RCVC|aNUKE
137	13232 43522	   	241.14	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1CDMG|2DUST|3DUR|4BEXP|5VULN|6LWND|78RCR|9RCVC|aNUKE
138	13632 53522	   	241.14	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1CDMG|2DUST|3LHND|4BEXP|5VULN|6DUR|78RCR|9RCVC|aNUKE
139	14332 25522	   	241.14	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1CDMG|2AETHUN|3FEWX|4DUR|5VULN|68RCR|7LWND|9RCVC|aNUKE
140	11322 53562	   	241.04	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1CDMG|2LHND|3FEWX|4DUST|5VULN|6DUR|78RCR|9AEBURN|aNUKE
141	11332 13562	   	241.04	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1CDMG|2LHND|3FEWX|4DUR|5VULN|6DUST|78RCR|9AEBURN|aNUKE
142	11332 23562	   	241.04	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1CDMG|2LHND|3FEWX|4DUR|5VULN|68RCR|7DUST|9AEBURN|aNUKE
143	13232 43562	   	241.04	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1CDMG|2DUST|3DUR|4BEXP|5VULN|6LWND|78RCR|9AEBURN|aNUKE
144	14322 53522	   	241.04	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1CDMG|2AETHUN|3FEWX|4DUST|5VULN|6DUR|78RCR|9RCVC|aNUKE
145	14332 13522	   	241.04	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1CDMG|2AETHUN|3FEWX|4DUR|5VULN|6DUST|78RCR|9RCVC|aNUKE
146	14332 23522	   	241.04	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1CDMG|2AETHUN|3FEWX|4DUR|5VULN|68RCR|7DUST|9RCVC|aNUKE
147	22335 25522	   	241.04	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1AEFRZ|2MDPS|3BEXP|4DUR|5CDMG|68RCR|7VULN|9RCVC|aNUKE
148	66241 32212	 * 	240.40	DCR|3VULN|2MLV|1FLTARM|1DMG	1RMIN|2RPLT|35MLV|458VULN|5BPWR|6FLTARM|7RCR|9RCVC|aDMG
149	41613 13233	   	240.19	DCR|DCR|2DMG|1VULN	1BEXP|2TBNT|3VULN|45DMG|6DUST|7aRCR|8AME|9FRZFST
150	46613 13233	   	240.19	DCR|DCR|2DMG|1VULN	1BEXP|2BBNT|3VULN|45DMG|6DUST|7aRCR|8AME|9FRZFST
151	51613 13233	   	240.19	DCR|DCR|2DMG|1VULN	1FEWX|2TBNT|3VULN|45DMG|6DUST|7aRCR|8AME|9FRZFST
152	56613 13233	   	240.19	DCR|DCR|2DMG|1VULN	1FEWX|2BBNT|3VULN|45DMG|6DUST|7aRCR|8AME|9FRZFST
