0	Index      	 *	Score 	Summary	Detail	
1	16254 43631	 * 	278.08	DCR|DCR|3VULN|1DMG	1RCVC|2ASPD|3AME|4MBVNT|568VULN|79RCR|aDMG
39	53113 24153	 * 	255.04	DCR|DCR|2VULN|3CDMG	13LHND|237CDMG|3BPWR|48VULN|5TBNT|6MDPS|9aRCR
40	43236 42112	 * 	252.92	ACR|DCR|2TLV|1VULN|1DMG|1DUR|1AART	1DUR|29RCR|3VULN|4aTLV|5AART|6DMG|7BEXP|8LIT
41	43242 32112	   	252.92	ACR|DCR|2TLV|1VULN|1DMG|1DUR|1AART	1DUR|29RCR|3VULN|4DMG|5aTLV|6AART|7BEXP|8LIT
42	43242 34112	   	252.82	ACR|DCR|2TLV|1VULN|1DMG|1DUR|1AART	1DUR|27RCR|3VULN|4DMG|5aTLV|6AART|8TBNT|9LIT
43	43242 34312	   	252.82	ACR|DCR|2TLV|1VULN|1DMG|1DUR|1AART	1DUR|27RCR|3VULN|4DMG|5aTLV|6AART|8DUST|9BOSS
44	43242 34322	   	252.82	ACR|DCR|2TLV|1VULN|1DMG|1DUR|1AART	1DUR|27RCR|3VULN|4DMG|5aTLV|6AART|8DUST|9LIT
45	36244 13323	   	251.18	DCR|DCR|3VULN	17DUST|2FEWX|378LWND|457VULN|6TBNT|7BPWR|9aRCR
46	24244 13213	   	250.98	DCR|DCR|3VULN	17AEWIND|2MDPS|37LWND|457VULN|6TBNT|7BPWR|8aRCR|9BBNT
47	51513 42112	   	249.73	DCR|DCR|1VULN|1TLV|1AART	1LHND|2ASPD|3VULN|4CGEN|5AART|69RCR|7BEXP|8LIT|aTLV
48	31513 42112	   	249.63	DCR|DCR|1VULN|1TLV|1AART	1DUST|2ASPD|3VULN|4CGEN|5AART|69RCR|7BEXP|8LIT|aTLV
49	51533 42112	   	249.63	DCR|DCR|1VULN|1TLV|1AART	1LHND|2ASPD|3VULN|4ERES|5AART|69RCR|7BEXP|8LIT|aTLV
50	16254 43237	   	249.53	DCR|DCR|2VULN|1AAC	1RCVC|2ASPD|3AME|4MBVNT|56VULN|79RCR|8DMSP|aAAC
51	16254 43733	   	249.53	DCR|DCR|2VULN|1DUR	1RCVC|2ASPD|3AME|4MBVNT|56VULN|79RCR|8DUR|aDMSP
52	16254 43734	   	249.53	DCR|DCR|2VULN|1DUR	1RCVC|2ASPD|3AME|4MBVNT|56VULN|79RCR|8DUR|aRPLT
53	16254 43831	   	249.53	DCR|DCR|2VULN|1CDMG	1RCVC|2ASPD|3AME|4MBVNT|56VULN|79RCR|8LHND|aCDMG
54	16254 43833	   	249.53	DCR|DCR|2VULN|1AART	1RCVC|2ASPD|3AME|4MBVNT|56VULN|79RCR|8LHND|aAART
55	31513 44121	   	249.53	DCR|DCR|2VULN|1AART	1DUST|2ASPD|3aVULN|4CGEN|5AART|67RCR|8TBNT|9LHND
56	31533 44232	   	249.53	DCR|DCR|2VULN|1AART	1DUST|2ASPD|3aVULN|4ERES|5AART|67RCR|8RAT|9CGEN
57	31513 44112	   	249.53	DCR|DCR|1VULN|1TLV|1AART	1DUST|2ASPD|3VULN|4CGEN|5AART|67RCR|8TBNT|9LIT|aTLV
58	31533 42112	   	249.53	DCR|DCR|1VULN|1TLV|1AART	1DUST|2ASPD|3VULN|4ERES|5AART|69RCR|7BEXP|8LIT|aTLV
59	43222 34511	   	249.52	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AART	1DUR|27RCR|3VULN|4ASPD|5TLV|6AART|8RCVC|9DMG|aRPLT
60	43222 34512	   	249.52	ACR|DCR|1VULN|1TLV|1DMG|1DUR|1AART	1DUR|27RCR|3VULN|4ASPD|5TLV|6AART|8RCVC|9DMG|aLWND
61	16254 43131	   	249.43	DCR|DCR|2VULN|1CDMG	1RCVC|2ASPD|3AME|4MBVNT|56VULN|79RCR|8DUST|aCDMG
62	16254 43732	   	249.43	DCR|DCR|2VULN|1DUR	1RCVC|2ASPD|3AME|4MBVNT|56VULN|79RCR|8DUR|aDUST
63	31533 44121	   	249.43	DCR|DCR|2VULN|1AART	1DUST|2ASPD|3aVULN|4ERES|5AART|67RCR|8TBNT|9LHND
64	31533 44112	   	249.43	DCR|DCR|1VULN|1TLV|1AART	1DUST|2ASPD|3VULN|4ERES|5AART|67RCR|8TBNT|9LIT|aTLV
65	31513 44132	   	249.29	DCR|DCR|2VULN|1AART|1SELL	1DUST|2ASPD|3aVULN|4CGEN|5AART|67RCR|8TBNT|9SELL
66	31533 44132	   	249.19	DCR|DCR|2VULN|1AART|1SELL	1DUST|2ASPD|3aVULN|4ERES|5AART|67RCR|8TBNT|9SELL
67	26454 43231	   	248.80	DCR|DCR|2VULN|1DMG|1NUKE	1AEWIND|2AME|3NUKE|4MBVNT|56VULN|79RCR|8DMSP|aDMG
68	26454 43133	   	248.70	DCR|DCR|2VULN|1DMG|1NUKE	1AEWIND|2AME|3NUKE|4MBVNT|56VULN|79RCR|8DUST|aDMG
