0	Index      	 *	Score 	Summary	Detail	
1	61212 22355	 * 	284.99	DCR|DCR|3VULN|1DMG|1DUR	17aVULN|2MGNSTR|35FEWX|4DMG|69RCR|8DUR
28	23633 52361	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1CDMG|2TLV|3AME|4ERES|5VULN|6aRCR|7MBVNT|8DUR|9FEWX
29	23633 52311	   	256.04	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1CDMG|2TLV|3AME|4ERES|5VULN|6aRCR|7MBVNT|8DUR|9DUST
30	23633 52351	   	256.04	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1CDMG|2TLV|3AME|4ERES|5VULN|6aRCR|7MBVNT|8DUR|9AETHUN
31	23635 52411	   	256.04	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1CDMG|2TLV|3AME|4ERES|5DUR|6aRCR|7MBVNT|8VULN|9DUST
32	62461 23212	   	255.24	ACR|DCR|2VULN|1FLTARM|1DMG|1DUR	14VULN|24BEXP|38RCR|4BPWR|5DMG|6LHND|7LWND|9FLTARM|aDUR
33	62461 33212	   	255.24	ACR|DCR|2VULN|1FLTARM|1DMG|1DUR	14VULN|24BEXP|38RCR|4BPWR|5DMG|6FEWX|7LWND|9FLTARM|aDUR
34	62421 23212	   	255.14	ACR|DCR|2VULN|1FLTARM|1DMG|1DUR	14VULN|2BEXP|38RCR|5DMG|6LHND|7LWND|9FLTARM|aDUR
35	62421 23235	 * 	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AAC	14VULN|2BEXP|38RCR|5DMG|6LHND|7LWND|9TLV|aAAC
36	62421 33212	   	255.14	ACR|DCR|2VULN|1FLTARM|1DMG|1DUR	14VULN|2BEXP|38RCR|5DMG|6FEWX|7LWND|9FLTARM|aDUR
37	62421 33235	   	255.14	ACR|DCR|2VULN|1TLV|1DMG|1AAC	14VULN|2BEXP|38RCR|5DMG|6FEWX|7LWND|9TLV|aAAC
38	62421 35212	   	255.14	ACR|DCR|2VULN|1FLTARM|1DMG|1DUR	14VULN|2BEXP|38RCR|5DMG|6FEWX|7LHND|9FLTARM|aDUR
39	65421 13211	   	255.14	ACR|DCR|2VULN|1FLTARM|1DMG|1DUR	14VULN|2DUR|38RCR|5DMG|6BEXP|7LWND|9FLTARM|aCGEN
40	61323 53532	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	16VULN|2MGNSTR|3CDMG|4RAT|5aRCR|7TLV|8TBNT|9DMG
41	65421 13213	   	255.04	ACR|DCR|2VULN|1FLTARM|1DMG|1DUR	14VULN|2DUR|38RCR|5DMG|6BEXP|7LWND|9FLTARM|aBBNT
42	65421 13231	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	14VULN|2DUR|38RCR|5DMG|6BEXP|7LWND|9TLV|aERES
43	65421 13232	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	14VULN|2DUR|38RCR|5DMG|6BEXP|7LWND|9TLV|aMSLFST
44	65421 13233	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1DUR	14VULN|2DUR|38RCR|5DMG|6BEXP|7LWND|9TLV|aAEWIND
