0	Index      	 *	Score 	Summary	Detail	
1	54222 14812	 * 	282.54	DCR|DCR|2VULN|1TLV|1DUR|1CDMG|1AAC	1aVULN|2MBVNT|3FEWX|4AAC|5CDMG|6DUR|79RCR|8TLV
29	54222 14318	   	259.39	DCR|DCR|1VULN|1MLV|1DUR|1AART|1CDMG|1AAC	1VULN|2MBVNT|3FEWX|4AAC|5CDMG|6DUR|79RCR|8MLV|aAART
30	54322 14318	   	259.29	DCR|DCR|1VULN|1MLV|1DUR|1AART|1CDMG|1AAC	1VULN|2MBVNT|3DUST|4AAC|5CDMG|6DUR|79RCR|8MLV|aAART
31	14228 54312	   	258.29	DCR|DCR|2VULN|1MLV|1CDMG|1AAC	1BEXP|2MBVNT|3FEWX|4AAC|5CDMG|6aVULN|79RCR|8MLV
32	14822 54312	   	258.29	DCR|DCR|2VULN|1MLV|1CDMG|1AAC	1BEXP|2MBVNT|3LWND|4AAC|5CDMG|6aVULN|79RCR|8MLV
33	54422 74312	   	258.29	DCR|DCR|2VULN|1MLV|1CDMG|1AAC	1aVULN|2MBVNT|3BEXP|4AAC|5CDMG|6FEWX|79RCR|8MLV
34	14328 54312	   	258.20	DCR|DCR|2VULN|1MLV|1CDMG|1AAC	1BEXP|2MBVNT|3DUST|4AAC|5CDMG|6aVULN|79RCR|8MLV
35	54222 84312	   	258.20	DCR|DCR|2VULN|1MLV|1CDMG|1AAC	1aVULN|2MBVNT|3FEWX|4AAC|5CDMG|6LEGI|79RCR|8MLV
36	54322 74312	   	258.20	DCR|DCR|2VULN|1MLV|1CDMG|1AAC	1aVULN|2MBVNT|3DUST|4AAC|5CDMG|6FEWX|79RCR|8MLV
37	14751 14312	   	258.05	DCR|DCR|2VULN|1MLV|1DUR|1AAC|1SELL	1BEXP|2MBVNT|3SELL|4aVULN|5AAC|6DUR|79RCR|8MLV
38	54721 14312	   	257.95	DCR|DCR|2VULN|1MLV|1DUR|1AAC|1SELL	1aVULN|2MBVNT|3SELL|4DUST|5AAC|6DUR|79RCR|8MLV
39	51242 22315	 * 	256.36	ACR|DCR|2VULN|2MLV|2DUR	1aVULN|29RCR|3aDUR|4RPLT|5LWND|6ASPD|7DMSP|8aMLV|aBPWR
40	54222 14811	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG|1AAC	1VULN|2MBVNT|3FEWX|4AAC|5CDMG|6DUR|79RCR|8TLV|aCGEN
41	54422 14712	   	256.24	DCR|DCR|2VULN|1DUR|1AAC|1CDMG	1aVULN|2MBVNT|3BEXP|4AAC|5CDMG|6DUR|79RCR|8AME
42	54222 14814	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG|1AAC	1VULN|2MBVNT|3FEWX|4AAC|5CDMG|6DUR|79RCR|8TLV|aDUST
43	54322 14712	   	256.14	DCR|DCR|2VULN|1DUR|1AAC|1CDMG	1aVULN|2MBVNT|3DUST|4AAC|5CDMG|6DUR|79RCR|8AME
44	51111 23365	 * 	255.14	ACR|DCR|2VULN|2DUR|1DMG|1AART	18VULN|2aRCR|3BEXP|4BBNT|58CGEN|6AART|78DUR|8BPWR|9DMG
45	42353 21311	   	253.80	ACR|DCR|3VULN|2TLV	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9FEWX|aLIT
46	42353 21314	   	253.80	ACR|DCR|3VULN|2TLV	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9FEWX|aRMIN
47	42353 21315	   	253.80	ACR|DCR|3VULN|2TLV	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9aFEWX
48	42353 21321	   	253.80	ACR|DCR|3VULN|2TLV	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9LHND|aLIT
49	42353 21324	   	253.80	ACR|DCR|3VULN|2TLV	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9LHND|aRMIN
50	42353 21325	   	253.80	ACR|DCR|3VULN|2TLV	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9LHND|aFEWX
51	42353 21343	   	253.80	ACR|DCR|3VULN|2TLV	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9RCVC|aFEWX
52	42353 21351	   	253.80	ACR|DCR|3VULN|2TLV	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9LWND|aLIT
53	42353 21361	   	253.80	ACR|DCR|3VULN|2TLV	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9BEXP|aLIT
54	42353 21312	   	253.70	ACR|DCR|3VULN|2TLV	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9FEWX|aBBNT
55	42353 21316	   	253.70	ACR|DCR|3VULN|2TLV|1MSE	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9FEWX|aMSE
56	42353 21322	   	253.70	ACR|DCR|3VULN|2TLV	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9LHND|aBBNT
57	42353 21341	   	253.70	ACR|DCR|3VULN|2TLV	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9RCVC|aBASHEA
58	42353 21352	   	253.70	ACR|DCR|3VULN|2TLV	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9LWND|aBBNT
59	42353 21362	   	253.70	ACR|DCR|3VULN|2TLV	17SNITOX|27TLV|367VULN|4TBNT|58RCR|7BPWR|9BEXP|aBBNT
60	51242 24312	   	253.55	ACR|DCR|3VULN|1MLV|1DUR	17aVULN|29RCR|3DUR|4RPLT|5LWND|6ASPD|8MLV
61	51241 24312	   	253.45	ACR|DCR|3VULN|1MLV|1DUR	17aVULN|29RCR|3DUR|4RPLT|5DUST|6ASPD|8MLV
62	42343 33621	 * 	253.02	DCR|DCR|2TLV|1VULN|1DUR	1SNITOX|27TLV|3VULN|4LHND|5LIT|68RCR|9BEXP|aDUR
63	42343 33612	   	252.92	DCR|DCR|2TLV|1VULN|1CDMG	1SNITOX|27TLV|3VULN|4LHND|5LIT|68RCR|9ERES|aCDMG
64	14512 54311	   	252.68	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1BEXP|2MBVNT|3ASPD|4DUR|5CDMG|6VULN|79RCR|8MLV|aCGEN
65	54512 34311	   	252.68	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1VULN|2MBVNT|3ASPD|4DUR|5CDMG|6FEWX|79RCR|8MLV|aCGEN
66	54522 14311	   	252.68	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1VULN|2MBVNT|3ASPD|4FEWX|5CDMG|6DUR|79RCR|8MLV|aCGEN
67	14512 74312	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1BEXP|2MBVNT|3ASPD|4DUR|5CDMG|6AETHUN|79RCR|8MLV|aVULN
68	14542 14312	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1BEXP|2MBVNT|3ASPD|4AETHUN|5CDMG|6DUR|79RCR|8MLV|aVULN
69	14512 54313	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1BEXP|2MBVNT|3ASPD|4DUR|5CDMG|6VULN|79RCR|8MLV|aAME
70	14512 54314	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1BEXP|2MBVNT|3ASPD|4DUR|5CDMG|6VULN|79RCR|8MLV|aDUST
71	54512 24311	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1VULN|2MBVNT|3ASPD|4DUR|5CDMG|6DUST|79RCR|8MLV|aCGEN
72	54512 34313	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1VULN|2MBVNT|3ASPD|4DUR|5CDMG|6FEWX|79RCR|8MLV|aAME
73	54512 34314	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1VULN|2MBVNT|3ASPD|4DUR|5CDMG|6FEWX|79RCR|8MLV|aDUST
74	54522 14313	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1VULN|2MBVNT|3ASPD|4FEWX|5CDMG|6DUR|79RCR|8MLV|aAME
75	54522 14314	   	252.58	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1VULN|2MBVNT|3ASPD|4FEWX|5CDMG|6DUR|79RCR|8MLV|aDUST
