0	Index      	 *	Score 	Summary	Detail	
1	14135 15211	 * 	258.19	DCR|DCR|1VULN|2DUR|1MLV|1CDMG	1MLV|2CGEN|3AEWIND|45DUR|6LHND|7aRCR|8CDMG|9VULN
33	13256 52313	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	1MLV|2RAT|3ERES|4ASPD|5LIT|6aRCR|7DUR|8VULN|9BEXP
34	13256 52333	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	1MLV|2RAT|3ERES|4ASPD|5LIT|6aRCR|7DUR|8VULN|9LWND
35	12621 41131	 * 	238.85	DCR|2VULN|3DMG|2MLV|1DUR|1AAC	1aMLV|2AAC|3TBNT|49aDMG|5DUR|6RCR|7ERES|8aVULN|aBPWR
36	12374 67321	 * 	238.66	DCR|DCR|1TLV|1FLTARM|1MLV|1AAC	1MLV|2AAC|3MBVNT|4TSLARM|5ZMB|6TLV|79RCR|8BOSS|aFLTARM
37	13231 55313	   	238.50	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2RAT|3ERES|4DMG|5BOSS|6aRCR|7BEXP|8VULN|9FEWX
38	13231 55333	   	238.50	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2RAT|3ERES|4DMG|5BOSS|6aRCR|7BEXP|8VULN|9LWND
39	13231 55363	   	238.50	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2RAT|3ERES|4DMG|5BOSS|6aRCR|7BEXP|8VULN|9LHND
40	13236 55313	   	238.50	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2RAT|3ERES|4DMG|5LIT|6aRCR|7BEXP|8VULN|9FEWX
41	13236 55333	   	238.50	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2RAT|3ERES|4DMG|5LIT|6aRCR|7BEXP|8VULN|9LWND
42	11563 21215	   	238.46	DCR|DCR|2DUR|1TLV|1MLV	1MLV|2MDPS|39DUR|4MBVNT|5TLV|6CGEN|7BLAICY|8aRCR
43	63211 55313	   	235.98	DCR|DCR|1VULN|1TLV	1ASPD|2RAT|3ERES|4TLV|5BOSS|6aRCR|7BEXP|8VULN|9FEWX
44	63211 55333	   	235.98	DCR|DCR|1VULN|1TLV	1ASPD|2RAT|3ERES|4TLV|5BOSS|6aRCR|7BEXP|8VULN|9LWND
45	12621 41111	 * 	235.65	DCR|2VULN|2DMG|2MLV|2DUR|1AAC	1aMLV|2AAC|3TBNT|4aDMG|59DUR|6RCR|7ERES|8aVULN|aBPWR
46	15531 22314	 * 	231.99	DCR|2VULN|3MLV|2MSLTOX|1DMG	149MLV|2RPLT|39VULN|5BEXP|6DMG|79MSLTOX|8MDPS|9BPWR|aRCR
47	15532 22314	   	231.99	DCR|2VULN|3MLV|2MSLTOX|1DMG	149MLV|2RPLT|39VULN|5FEWX|6DMG|79MSLTOX|8MDPS|9BPWR|aRCR
48	32322 71285	   	231.89	DCR|DCR|1VULN|1MLV|1DUR	1DUST|29BEXP|3MBVNT|4DUR|5VULN|6MLV|7BLAICY|8aRCR
49	12623 41131	 * 	231.68	DCR|3VULN|2DMG|2MLV|1AAC	1aMLV|2AAC|3TBNT|4aDMG|5FEWX|6RCR|7ERES|89aVULN|aBPWR
50	12626 41131	   	231.68	DCR|3VULN|2DMG|2MLV|1AAC	1aMLV|2AAC|3TBNT|4aDMG|5BEXP|6RCR|7ERES|89aVULN|aBPWR
51	15426 31131	 * 	231.28	DCR|2VULN|3MLV|2TLV|1CDMG|1AAC	15aMLV|2RPLT|3CDMG|4aTLV|6aVULN|7AAC|8TBNT|9RCR|aBPWR
52	14344 64514	   	230.73	DCR|DCR|1VULN|2MLV	1aMLV|2CGEN|3MBVNT|4LIT|5VULN|69RCR|7BEXP|8LHND
53	63211 25263	   	229.99	DCR|DCR|2DUR|1TLV	1ASPD|2RAT|3ERES|4TLV|5BOSS|6CGEN|79DUR|8aRCR
54	63211 52263	   	229.89	DCR|DCR|2DUR|1TLV	1ASPD|2RAT|3ERES|4TLV|5BOSS|6aRCR|79DUR|8AME
55	63212 35263	   	229.89	DCR|DCR|2DUR|1TLV	1ASPD|2RAT|3ERES|4TLV|5AME|6LIT|79DUR|8aRCR
56	23344 63518	   	229.04	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4LIT|5aVULN|69RCR|7FEWX|8LHND
57	23344 64518	   	229.04	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4LIT|5aVULN|69RCR|7BEXP|8LHND
58	23364 43641	   	229.04	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4RAT|57VULN|6LHND|89RCR|aVENTOX
59	23364 43643	   	229.04	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4RAT|57VULN|6aLHND|89RCR
60	23364 43644	   	229.04	DCR|DCR|2VULN	1aLWND|2RCVC|3MBVNT|4RAT|57VULN|6LHND|89RCR
61	23364 53641	   	229.04	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4RAT|57VULN|6FEWX|89RCR|aVENTOX
62	23364 53643	   	229.04	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4RAT|57VULN|6FEWX|89RCR|aLHND
63	23364 53644	   	229.04	DCR|DCR|2VULN	1aLWND|2RCVC|3MBVNT|4RAT|57VULN|6FEWX|89RCR
64	23364 83641	   	229.04	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4RAT|57VULN|6BEXP|89RCR|aVENTOX
65	23364 83643	   	229.04	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4RAT|57VULN|6BEXP|89RCR|aLHND
66	23364 83644	   	229.04	DCR|DCR|2VULN	1aLWND|2RCVC|3MBVNT|4RAT|57VULN|6BEXP|89RCR
67	24364 43641	   	229.04	DCR|DCR|2VULN	12LWND|3MBVNT|4RAT|57VULN|6LHND|89RCR|aVENTOX
68	24364 43643	   	229.04	DCR|DCR|2VULN	12LWND|3MBVNT|4RAT|57VULN|6aLHND|89RCR
69	24364 43644	   	229.04	DCR|DCR|2VULN	12aLWND|3MBVNT|4RAT|57VULN|6LHND|89RCR
70	23344 63512	   	229.04	DCR|DCR|1VULN|1TLV	1LWND|2RCVC|3MBVNT|4LIT|5VULN|69RCR|7FEWX|8LHND|aTLV
71	23344 64512	   	229.04	DCR|DCR|1VULN|1TLV	1LWND|2RCVC|3MBVNT|4LIT|5VULN|69RCR|7BEXP|8LHND|aTLV
72	23362 83741	   	229.04	DCR|DCR|1VULN|1TLV	167LWND|2RCVC|3MBVNT|4RAT|5TLV|89RCR|aVULN
73	23374 63512	   	229.04	DCR|DCR|1VULN|1TLV	1LWND|2RCVC|3MBVNT|4BOSS|5VULN|69RCR|7FEWX|8LHND|aTLV
74	23374 64512	   	229.04	DCR|DCR|1VULN|1TLV	1LWND|2RCVC|3MBVNT|4BOSS|5VULN|69RCR|7BEXP|8LHND|aTLV
75	24344 63512	   	229.04	DCR|DCR|1VULN|1TLV	12LWND|3MBVNT|4LIT|5VULN|69RCR|7FEWX|8LHND|aTLV
76	24344 64512	   	229.04	DCR|DCR|1VULN|1TLV	12LWND|3MBVNT|4LIT|5VULN|69RCR|7BEXP|8LHND|aTLV
77	24362 43741	   	229.04	DCR|DCR|1VULN|1TLV	127LWND|3MBVNT|4RAT|5TLV|6RCVC|89RCR|aVULN
78	23344 67354	   	228.94	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4LIT|5aVULN|69RCR|7BBNT|8LHND
79	23374 63418	   	228.94	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4BOSS|5aVULN|69RCR|7FEWX|8LEGI
80	23374 64418	   	228.94	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4BOSS|5aVULN|69RCR|7BEXP|8LEGI
81	23364 43642	   	228.94	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4RAT|57VULN|6LHND|89RCR|aAME
82	23364 43645	   	228.94	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4RAT|57VULN|6LHND|89RCR|aDUST
83	23364 43647	   	228.94	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4RAT|57VULN|6LHND|89RCR|aAETHUN
84	23364 53642	   	228.94	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4RAT|57VULN|6FEWX|89RCR|aAME
85	23364 83642	   	228.94	DCR|DCR|2VULN	1LWND|2RCVC|3MBVNT|4RAT|57VULN|6BEXP|89RCR|aAME
86	24364 43642	   	228.94	DCR|DCR|2VULN	12LWND|3MBVNT|4RAT|57VULN|6LHND|89RCR|aAME
87	23374 63412	   	228.94	DCR|DCR|1VULN|1TLV	1LWND|2RCVC|3MBVNT|4BOSS|5VULN|69RCR|7FEWX|8LEGI|aTLV
88	23374 64412	   	228.94	DCR|DCR|1VULN|1TLV	1LWND|2RCVC|3MBVNT|4BOSS|5VULN|69RCR|7BEXP|8LEGI|aTLV
89	24374 63412	   	228.94	DCR|DCR|1VULN|1TLV	12LWND|3MBVNT|4BOSS|5VULN|69RCR|7FEWX|8LEGI|aTLV
90	24374 64412	   	228.94	DCR|DCR|1VULN|1TLV	12LWND|3MBVNT|4BOSS|5VULN|69RCR|7BEXP|8LEGI|aTLV
91	32348 18412	 * 	228.94	DCR|DCR|1VULN|1FLTARM	1DUST|2BEXP|3MBVNT|4BELT|5FLTARM|6RAT|7BOSS|89RCR|aVULN
92	32376 31245	   	228.84	DCR|DCR|2VULN	1DUST|2BEXP|3MBVNT|4CGEN|59VULN|6LHND|7BLAICY|8aRCR
93	32314 68418	   	228.84	DCR|DCR|2VULN	1DUST|2BEXP|3MBVNT|4BOSS|5AEPOI|69RCR|7aVULN|8LHND
94	33362 16446	   	228.84	DCR|DCR|2VULN	15DUST|2RCVC|3MBVNT|4CGEN|6RAT|79RCR|8aVULN
95	32314 68412	   	228.84	DCR|DCR|1VULN|1TLV	1DUST|2BEXP|3MBVNT|4BOSS|5AEPOI|69RCR|7VULN|8LHND|aTLV
96	32314 68512	   	228.84	DCR|DCR|1VULN|1TLV	1DUST|2BEXP|3MBVNT|4BOSS|5AEPOI|69RCR|7VULN|8LWND|aTLV
97	33321 36245	   	228.84	DCR|DCR|1VULN|1TLV	1DUST|2RCVC|3MBVNT|4TLV|5BEXP|6aRCR|7FEWX|8MGNBOS|9VULN
98	33321 36345	   	228.84	DCR|DCR|1VULN|1TLV	1DUST|2RCVC|3MBVNT|4TLV|5BEXP|6aRCR|7FEWX|8FLTHEA|9VULN
99	33322 16441	   	228.84	DCR|DCR|1VULN|1TLV	15DUST|2RCVC|3MBVNT|4TLV|6RAT|79RCR|8VULN|aLHND
100	33322 16445	   	228.84	DCR|DCR|1VULN|1TLV	15DUST|2RCVC|3MBVNT|4TLV|6RAT|79RCR|8VULN|aCGEN
101	33322 16446	   	228.84	DCR|DCR|1VULN|1TLV	15DUST|2RCVC|3MBVNT|4TLV|6RAT|79RCR|8VULN|aRPLT
102	33322 16448	   	228.84	DCR|DCR|1VULN|1TLV	15DUST|2RCVC|3MBVNT|4TLV|6RAT|79RCR|8VULN|aMGNSTR
103	32376 11245	   	228.74	DCR|DCR|2VULN	1DUST|2BEXP|3MBVNT|4CGEN|59VULN|6AETHUN|7AIRHEA|8aRCR
104	33322 32715	   	228.74	DCR|DCR|1VULN|1TLV	15DUST|2RCVC|3MBVNT|4TLV|6VULN|7aRCR|8MDPS|9FRZARM
105	32322 21215	   	228.74	DCR|DCR|1VULN|2DUR	1DUST|2BEXP|3MBVNT|49DUR|5VULN|6CGEN|7BLAICY|8aRCR
106	33322 16443	   	228.74	DCR|DCR|1VULN|1TLV|1MSE	15DUST|2RCVC|3MBVNT|4TLV|6RAT|79RCR|8VULN|aMSE
107	32322 61215	   	228.64	DCR|DCR|1VULN|2DUR	1DUST|2BEXP|3MBVNT|49DUR|5VULN|6ERES|7BLAICY|8aRCR
108	33322 32785	   	228.64	DCR|DCR|1VULN|1TLV	15DUST|2RCVC|3MBVNT|4TLV|6VULN|7aRCR|8MDPS|9CANARM
