0	Index      	 *	Score 	Summary	Detail	
1	21363 41314	 * 	284.50	DCR|DCR|2VULN|1TLV|1MLV|1DUR	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9MLV|aDUR
62	44123 32212	   	255.31	DCR|3VULN|1TLV|1DMG|1MLV|1DUR|1AART	1RCVC|2MLV|359VULN|4AART|6RCR|7DMG|8TLV|aDUR
63	21363 41142	   	255.24	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9RPLT|aLHND
64	21363 41151	   	255.24	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9CGEN|aLIT
65	21363 41322	   	255.24	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9LIT|aBEXP
66	21363 41323	   	255.24	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9LIT|aLHND
67	21363 41324	   	255.24	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9LIT|aFEWX
68	21363 41421	   	255.24	DCR|DCR|2VULN|1TLV	15VULN|28LWND|3TLV|4AEWIND|67RCR|9DMSP|aCGEN
69	21363 41422	   	255.24	DCR|DCR|2VULN|1TLV	15VULN|28LWND|3TLV|4AEWIND|67RCR|9DMSP|aRMIN
70	21363 41423	   	255.24	DCR|DCR|2VULN|1TLV	15VULN|28LWND|3TLV|4AEWIND|67RCR|9DMSP|aLIT
71	21161 41315	   	255.24	DCR|DCR|2VULN|1TLV	18VULN|2LWND|3RMIN|4AEWIND|5RCVC|67RCR|9TLV|aCGEN
72	21161 41316	   	255.24	DCR|DCR|2VULN|1TLV	18VULN|2LWND|3RMIN|4AEWIND|5RCVC|67RCR|9TLV|aFEWX
73	21363 41111	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9DUST|aFEWX
74	21363 41112	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9DUST|aMGNSTR
75	21363 41116	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9DUST|aLHND
76	21363 41121	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9MBVNT|aFEWX
77	21363 41122	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9MBVNT|aMGNSTR
78	21363 41127	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9MBVNT|aBEXP
79	21363 41128	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8aRAT|9MBVNT
80	21363 41131	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9SPLARM|aRPLT
81	21363 41132	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9SPLARM|aFEWX
82	21363 41133	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9SPLARM|aRMIN
83	21363 41135	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8aRAT|9SPLARM
84	21363 41141	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9RPLT|aBBNT
85	21363 41143	   	255.14	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9RPLT|aMSE
86	21363 41221	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8aLHND|9TBNT
87	21363 41224	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9TBNT|aRCVC
88	21363 41226	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9TBNT|aBEXP
89	21363 41231	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8aLHND|9BBNT
90	21363 41234	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9BBNT|aRCVC
91	21363 41236	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9BBNT|aBEXP
92	21363 41251	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9DUST|aRPLT
93	21363 41253	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9DUST|aBELT
94	21363 41321	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9LIT|aDUST
95	21363 41325	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4aAEWIND|67RCR|8ZMB|9LIT
96	21363 41333	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9BBNT|aRMIN
97	21363 41334	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9BBNT|aRAT
98	21363 41335	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9BBNT|aBEXP
99	21363 41336	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9BBNT|aLIT
100	21363 41341	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9ERES|aLHND
101	21363 41431	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|28LWND|3TLV|4AEWIND|67RCR|9CGEN|aDUST
102	21363 41432	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|28LWND|3TLV|4AEWIND|67RCR|9CGEN|aAETHUN
103	21363 41433	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|28LWND|3TLV|4AEWIND|67RCR|9CGEN|aERES
104	21363 41511	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MDPS|9BEXP|aCGEN
105	21363 41521	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MDPS|9RCVC|aRPLT
106	21363 41523	   	255.14	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MDPS|9aRCVC
107	21161 41311	   	255.14	DCR|DCR|2VULN|1TLV	18VULN|2LWND|3RMIN|4AEWIND|5RCVC|67RCR|9TLV|aDUST
108	21161 41312	   	255.14	DCR|DCR|2VULN|1TLV	18VULN|2LWND|3RMIN|4aAEWIND|5RCVC|67RCR|9TLV
109	21161 41313	   	255.14	DCR|DCR|2VULN|1TLV	18VULN|2LWND|3RMIN|4AEWIND|5RCVC|67RCR|9TLV|aERES
110	21161 41314	   	255.14	DCR|DCR|2VULN|1TLV|1MSE	18VULN|2LWND|3RMIN|4AEWIND|5RCVC|67RCR|9TLV|aMSE
111	21363 41113	   	255.04	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9DUST|aSNIFST
112	21363 41115	   	255.04	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9aDUST
113	21363 41123	   	255.04	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9MBVNT|aSNIFST
114	21363 41124	   	255.04	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9MBVNT|aAME
115	21363 41126	   	255.04	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8RAT|9MBVNT|aDUST
116	21363 41261	   	255.04	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9TSLFST|aAEPOI
117	21363 41262	   	255.04	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9TSLFST|aERES
118	21363 41263	   	255.04	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8LHND|9TSLFST|aMBVNT
119	21363 41332	   	255.04	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9BBNT|aTBNT
120	21363 41342	   	255.04	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9ERES|aBBNT
121	21363 41343	   	255.04	DCR|DCR|2VULN|1TLV	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9ERES|aMDPS
122	21363 41361	   	255.04	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9MSE|aBEXP
123	21363 41362	   	255.04	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9MSE|aRPLT
124	21363 41363	   	255.04	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8ZMB|9MSE|aRMIN
125	21363 41531	   	254.94	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MDPS|9MSE|aCGEN
126	21363 41533	   	254.94	DCR|DCR|2VULN|1TLV|1DMG|1MSE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MDPS|9MSE|aDMG
127	21363 41611	   	254.94	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MSE|9ASPD|aBEXP
128	21363 41612	   	254.94	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MSE|9ASPD|aRPLT
129	21363 41613	   	254.94	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MSE|9ASPD|aRMIN
130	21363 41621	   	254.94	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MSE|9TBNT|aLHND
131	21363 41622	   	254.94	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MSE|9TBNT|aCGEN
132	21363 41623	   	254.94	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2aLWND|3TLV|4AEWIND|67RCR|8MSE|9TBNT
133	21363 41631	   	254.94	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MSE|9BBNT|aLHND
134	21363 41632	   	254.94	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2LWND|3TLV|4AEWIND|67RCR|8MSE|9BBNT|aCGEN
135	21363 41633	   	254.94	DCR|DCR|2VULN|1TLV|1MSE	15VULN|2aLWND|3TLV|4AEWIND|67RCR|8MSE|9BBNT
