0	Index      	 *	Score 	Summary	Detail	
1	15131 42822	 * 	276.40	DCR|DCR|2VULN|1DMG|1DUR|1CDMG	1CGEN|2CDMG|3aVULN|4RPLT|5DMG|6MBVNT|7DUR|89RCR
46	24115 33132	   	257.21	ACR|DCR|3VULN|1TLV|1CDMG	145VULN|25LWND|36RCR|5BPWR|7MDPS|8CDMG|9TLV|aLHND
47	24115 33135	   	257.21	ACR|DCR|3VULN|1TLV|1CDMG	145VULN|25LWND|36RCR|5BPWR|7MDPS|8CDMG|9TLV|aLIT
48	24115 33136	   	257.21	ACR|DCR|3VULN|1TLV|1CDMG	145VULN|25aLWND|36RCR|5BPWR|7MDPS|8CDMG|9TLV
49	24115 36222	   	257.21	ACR|DCR|3VULN|1TLV|1DUR	145VULN|25LWND|36RCR|5BPWR|7MBVNT|8TLV|9BEXP|aDUR
50	22115 31632	   	257.11	ACR|DCR|3VULN|1TLV|1AART|1NUKE	145VULN|25BEXP|36RCR|5BPWR|7NUKE|8AART|9BBNT|aTLV
51	22115 32253	   	257.11	ACR|DCR|3VULN|1TLV|1AAC	145VULN|25BEXP|36RCR|5BPWR|7DUST|8TLV|9ERES|aAAC
52	22115 33133	   	257.11	ACR|DCR|3VULN|1TLV|1CDMG	145VULN|25BEXP|36RCR|5BPWR|7MDPS|8CDMG|9TLV|aAEFBLL
53	22115 36263	   	257.11	ACR|DCR|3VULN|1TLV|1AAC	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9ERES|aAAC
54	22115 36264	   	257.11	ACR|DCR|3VULN|1TLV|1DUR	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9ERES|aDUR
55	24115 33133	   	257.11	ACR|DCR|3VULN|1TLV|1CDMG	145VULN|25LWND|36RCR|5BPWR|7MDPS|8CDMG|9TLV|aAEFBLL
56	22115 32236	   	256.97	ACR|DCR|3VULN|1TLV|1DUR|1SELL	145VULN|25BEXP|36RCR|5BPWR|7DUST|8TLV|9SELL|aDUR
57	22115 36237	   	256.97	ACR|DCR|3VULN|1TLV|1DUR|1SELL	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9SELL|aDUR
58	24115 32236	   	256.97	ACR|DCR|3VULN|1TLV|1DUR|1SELL	145VULN|25LWND|36RCR|5BPWR|7DUST|8TLV|9SELL|aDUR
59	22115 35226	   	256.89	ACR|DCR|4VULN|1DMG	145aVULN|25aBEXP|36RCR|5aBPWR|7ZMB|8DMG|9aCGEN
60	22115 34432	   	256.59	ACR|DCR|4VULN|1DMG	145aVULN|25BEXP|36RCR|5BPWR|7AEFBLL|8DMG|9CGEN
61	15132 42822	   	256.34	DCR|DCR|2VULN|1DUR|1CDMG	1CGEN|2CDMG|3aVULN|4RPLT|5ZMB|6MBVNT|7DUR|89RCR
62	21621 37621	 * 	256.09	DCR|3VULN|2DMG|2DUR|1TLV	17aVULN|2TBNT|3LIT|47DMG|5MBVNT|67DUR|7BPWR|8RCR|9TLV
63	22115 33323	 * 	253.42	ACR|DCR|5VULN	1459aVULN|25BEXP|36RCR|5BPWR|7MDPS|8CGEN
64	22115 35142	   	253.42	ACR|DCR|5VULN	1459aVULN|25BEXP|36RCR|5BPWR|7ZMB|8TBNT
65	22115 35323	   	253.42	ACR|DCR|5VULN	1459aVULN|25BEXP|36RCR|5BPWR|7ZMB|8MDPS
66	24115 33323	   	253.42	ACR|DCR|5VULN	1459aVULN|25LWND|36RCR|5BPWR|7MDPS|8CGEN
67	24115 35323	   	253.42	ACR|DCR|5VULN	1459aVULN|25LWND|36RCR|5BPWR|7ZMB|8MDPS
68	22115 31142	   	253.32	ACR|DCR|5VULN|1NUKE	1459aVULN|25BEXP|36RCR|5BPWR|7NUKE|8TBNT
69	24115 31142	   	253.32	ACR|DCR|5VULN|1NUKE	1459aVULN|25LWND|36RCR|5BPWR|7NUKE|8TBNT
70	22115 35212	   	253.13	ACR|DCR|3VULN|1DMG|1MLV	145VULN|25BEXP|36RCR|5BPWR|7ZMB|8DMG|9LIT|aMLV
71	24115 35212	   	253.13	ACR|DCR|3VULN|1DMG|1MLV	145VULN|25LWND|36RCR|5BPWR|7ZMB|8DMG|9LIT|aMLV
72	22115 31212	   	253.03	ACR|DCR|3VULN|1DMG|1MLV|1NUKE	145VULN|25BEXP|36RCR|5BPWR|7NUKE|8DMG|9LIT|aMLV
73	22115 34161	   	253.03	ACR|DCR|3VULN|1DMG|1MLV	145VULN|25BEXP|36RCR|5BPWR|7AEFBLL|8FRZICY|9DMG|aMLV
74	24115 31212	   	253.03	ACR|DCR|3VULN|1DMG|1MLV|1NUKE	145VULN|25LWND|36RCR|5BPWR|7NUKE|8DMG|9LIT|aMLV
75	24115 32332	   	253.03	ACR|DCR|3VULN|1DMG|1MLV	145VULN|25LWND|36RCR|5BPWR|7DUST|8LHND|9MLV|aDMG
76	24115 36332	   	253.03	ACR|DCR|3VULN|1DMG|1MLV	145VULN|25LWND|36RCR|5BPWR|7MBVNT|8LHND|9MLV|aDMG
77	21422 51114	 * 	252.92	DCR|DCR|2TLV|1VULN|1DUR	1VULN|2TBNT|36TLV|4LIT|5VENICY|7RPLT|8DUR|9aRCR
78	21432 11622	   	252.72	DCR|DCR|2TLV|1VULN|1DUR	1VULN|2TBNT|38TLV|4AME|5DUR|6MBVNT|7aRCR|9AIRBOS
79	22115 32333	   	252.13	ACR|DCR|4VULN|1MLV	145aVULN|25BEXP|36RCR|5BPWR|7DUST|8LHND|9MLV
80	22115 32515	   	252.13	ACR|DCR|4VULN|1MLV	145aVULN|258BEXP|36RCR|5BPWR|7DUST|9MLV
81	22115 34325	   	252.13	ACR|DCR|4VULN|1MLV	1459VULN|258BEXP|36RCR|5BPWR|7AEFBLL|aMLV
82	22115 36333	   	252.13	ACR|DCR|4VULN|1MLV	145aVULN|25BEXP|36RCR|5BPWR|7MBVNT|8LHND|9MLV
83	22115 31626	   	251.60	ACR|DCR|3VULN|1AART|1CDMG|1NUKE	145VULN|25BEXP|36RCR|5BPWR|7NUKE|8AART|9CDMG|aASPD
84	22115 35214	   	251.17	ACR|DCR|3VULN|1DMG|1CDMG	145VULN|25BEXP|36RCR|5BPWR|7ZMB|8DMG|9LIT|aCDMG
85	22115 35263	   	251.17	ACR|DCR|3VULN|1DMG|1AAC	145VULN|25BEXP|36RCR|5BPWR|7ZMB|8DMG|9FEWX|aAAC
86	22115 31214	   	251.07	ACR|DCR|3VULN|1DMG|1CDMG|1NUKE	145VULN|25BEXP|36RCR|5BPWR|7NUKE|8DMG|9LIT|aCDMG
87	22115 31254	   	251.07	ACR|DCR|3VULN|1DMG|1CDMG|1NUKE	145VULN|25BEXP|36RCR|5BPWR|7NUKE|8DMG|9RAT|aCDMG
88	22115 31263	   	251.07	ACR|DCR|3VULN|1DMG|1AAC|1NUKE	145VULN|25BEXP|36RCR|5BPWR|7NUKE|8DMG|9FEWX|aAAC
89	22115 33143	   	251.07	ACR|DCR|3VULN|1DMG|1CDMG	145VULN|25BEXP|36RCR|5BPWR|7MDPS|8CDMG|9FEWX|aDMG
90	22115 33153	   	251.07	ACR|DCR|3VULN|1DMG|1CDMG	145VULN|25BEXP|36RCR|5BPWR|7MDPS|8CDMG|9LWND|aDMG
91	22115 35233	   	251.07	ACR|DCR|3VULN|1DMG|1AAC	145VULN|25BEXP|36RCR|5BPWR|7ZMB|8DMG|9AETHUN|aAAC
92	24115 31214	   	251.07	ACR|DCR|3VULN|1DMG|1CDMG|1NUKE	145VULN|25LWND|36RCR|5BPWR|7NUKE|8DMG|9LIT|aCDMG
93	24115 31621	   	251.07	ACR|DCR|3VULN|1DMG|1AART|1AAC|1NUKE	145VULN|25LWND|36RCR|5BPWR|7NUKE|8AART|9AAC|aDMG
94	24115 33143	   	251.07	ACR|DCR|3VULN|1DMG|1CDMG	145VULN|25LWND|36RCR|5BPWR|7MDPS|8CDMG|9FEWX|aDMG
95	24115 33153	   	251.07	ACR|DCR|3VULN|1DMG|1CDMG	145VULN|25LWND|36RCR|5BPWR|7MDPS|8CDMG|9LHND|aDMG
96	22115 31233	   	250.97	ACR|DCR|3VULN|1DMG|1AAC|1NUKE	145VULN|25BEXP|36RCR|5BPWR|7NUKE|8DMG|9AETHUN|aAAC
97	22115 33161	   	250.97	ACR|DCR|3VULN|1DMG|1CDMG	145VULN|25BEXP|36RCR|5BPWR|7MDPS|8CDMG|9LSRREG|aDMG
98	24115 31631	   	250.97	ACR|DCR|3VULN|1DMG|1AART|1NUKE	145VULN|25LWND|36RCR|5BPWR|7NUKE|8AART|9SPLREG|aDMG
99	24115 33161	   	250.97	ACR|DCR|3VULN|1DMG|1CDMG	145VULN|25LWND|36RCR|5BPWR|7MDPS|8CDMG|9LSRREG|aDMG
100	22115 32215	   	250.40	ACR|DCR|3VULN|1TLV	145VULN|25BEXP|36RCR|5BPWR|7DUST|8TLV|9AEBURN|aASPD
101	22115 36216	   	250.40	ACR|DCR|3VULN|1TLV	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8TLV|9AEBURN|aASPD
102	24115 32215	   	250.40	ACR|DCR|3VULN|1TLV	145VULN|25LWND|36RCR|5BPWR|7DUST|8TLV|9AEBURN|aASPD
103	24115 32533	   	250.17	ACR|DCR|4VULN|1AAC	1459VULN|25LWND|36RCR|5BPWR|7DUST|8BEXP|aAAC
104	24115 32631	   	250.17	ACR|DCR|4VULN|1DUR	1459VULN|25LWND|36RCR|5BPWR|7DUST|8DUR|aLIT
105	24115 32632	   	250.17	ACR|DCR|4VULN|1DUR	1459VULN|25aLWND|36RCR|5BPWR|7DUST|8DUR
106	24115 33322	   	250.17	ACR|DCR|4VULN|1DUR	1459VULN|25LWND|36RCR|5BPWR|7MDPS|8CGEN|aDUR
107	24115 36422	   	250.17	ACR|DCR|4VULN|1DUR	145aVULN|258LWND|36RCR|5BPWR|7MBVNT|9DUR
108	15131 42821	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1CGEN|2CDMG|3VULN|4RPLT|5DMG|6MBVNT|7DUR|89RCR|aAEWIND
109	15131 42823	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1CGEN|2CDMG|3VULN|4RPLT|5DMG|6MBVNT|7DUR|89RCR|aAEPOI
110	15131 42824	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1CGEN|2CDMG|3VULN|4RPLT|5DMG|6MBVNT|7DUR|89RCR|aTBNT
111	22115 32123	   	250.07	ACR|DCR|4VULN|1DUR	1459VULN|25BEXP|36RCR|5BPWR|7DUST|8LSRREG|aDUR
112	22115 33232	   	250.07	ACR|DCR|4VULN|1DUR	145aVULN|25BEXP|36RCR|5BPWR|7MDPS|8BBNT|9DUR
113	22115 33632	   	250.07	ACR|DCR|4VULN|1DUR	145aVULN|25BEXP|36RCR|5BPWR|7MDPS|8TBNT|9DUR
114	24115 31633	   	250.07	ACR|DCR|4VULN|1AART|1NUKE	145aVULN|25LWND|36RCR|5BPWR|7NUKE|8AART|9SPLREG
115	24115 32123	   	250.07	ACR|DCR|4VULN|1DUR	1459VULN|25LWND|36RCR|5BPWR|7DUST|8LSRREG|aDUR
116	24115 32124	   	250.07	ACR|DCR|4VULN|1AART	1459VULN|25LWND|36RCR|5BPWR|7DUST|8LSRREG|aAART
117	24115 33232	   	250.07	ACR|DCR|4VULN|1DUR	145aVULN|25LWND|36RCR|5BPWR|7MDPS|8BBNT|9DUR
118	24115 33632	   	250.07	ACR|DCR|4VULN|1DUR	145aVULN|25LWND|36RCR|5BPWR|7MDPS|8TBNT|9DUR
119	62323 22161	   	249.66	DCR|2VULN|3DUR|3CDMG|1TLV|1MLV	137CDMG|237DUR|37BPWR|4TLV|5MLV|67VULN|8LIT|9RCR|aLWND
120	62323 22162	   	249.66	DCR|2VULN|3DUR|3CDMG|1TLV|1MLV	137CDMG|237DUR|37BPWR|4TLV|5MLV|67VULN|8LIT|9RCR|aRAT
121	62323 22165	   	249.66	DCR|2VULN|3DUR|3CDMG|1TLV|1MLV	137CDMG|237DUR|37BPWR|4TLV|5MLV|67VULN|8LIT|9RCR|aFEWX
122	62323 22166	   	249.66	DCR|2VULN|3DUR|1TLV|3CDMG|1MLV	137CDMG|237DUR|37BPWR|4TLV|5MLV|67VULN|8LIT|9RCR|aZMB
123	62323 22163	   	249.56	DCR|2VULN|3DUR|3CDMG|1TLV|1MLV	137CDMG|237DUR|37BPWR|4TLV|5MLV|67VULN|8LIT|9RCR|aAEWIND
124	62323 22164	   	249.56	DCR|2VULN|3DUR|3CDMG|1TLV|1MLV	137CDMG|237DUR|37BPWR|4TLV|5MLV|67VULN|8LIT|9RCR|aTBNT
125	21316 62163	 * 	248.90	DCR|DCR|1VULN|2DUR|1DMG	1VULN|2TBNT|3aDUR|4BEXP|5DMG|6MDPS|79RCR|8LWND
126	21316 11652	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1VULN|2TBNT|39DUR|4BEXP|5DMG|6ZMB|7aRCR|8BLAICY
127	21621 37622	   	247.60	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	17VULN|2TBNT|3LIT|47DMG|5MBVNT|67DUR|7BPWR|8RCR|9TLV|aCDMG
128	22115 31616	   	246.61	ACR|DCR|3VULN|1MLV|1AART|1NUKE	145VULN|25BEXP|36RCR|5BPWR|7NUKE|8AART|9BELT|aMLV
129	22115 31653	   	246.61	ACR|DCR|3VULN|1MLV|1AART|1NUKE	145VULN|25BEXP|36RCR|5BPWR|7NUKE|8AART|9RAT|aMLV
130	22115 32332	   	246.61	ACR|DCR|3VULN|1MLV|1DUR	145VULN|25BEXP|36RCR|5BPWR|7DUST|8LHND|9MLV|aDUR
131	22115 33141	   	246.61	ACR|DCR|3VULN|1MLV|1CDMG	145VULN|25BEXP|36RCR|5BPWR|7MDPS|8CDMG|9FEWX|aMLV
132	22115 33151	   	246.61	ACR|DCR|3VULN|1MLV|1CDMG	145VULN|25BEXP|36RCR|5BPWR|7MDPS|8CDMG|9LWND|aMLV
133	22115 36332	   	246.61	ACR|DCR|3VULN|1MLV|1DUR	145VULN|25BEXP|36RCR|5BPWR|7MBVNT|8LHND|9MLV|aDUR
134	22115 36614	   	246.61	ACR|DCR|3VULN|1MLV|1AAC	145VULN|258BEXP|36RCR|5BPWR|7MBVNT|9MLV|aAAC
135	24115 33141	   	246.61	ACR|DCR|3VULN|1MLV|1CDMG	145VULN|25LWND|36RCR|5BPWR|7MDPS|8CDMG|9FEWX|aMLV
136	24115 33151	   	246.61	ACR|DCR|3VULN|1MLV|1CDMG	145VULN|25LWND|36RCR|5BPWR|7MDPS|8CDMG|9LHND|aMLV
