0	Index      	 *	Score 	Summary	Detail	
1	26125 53331	 * 	381.25	DCR|4VULN|1MDPS|2TLV|3DUR	157DUR|2AAC|347aVULN|67TLV|7BPWR|8MDPS|9RCR
23	26125 13134	   	363.09	3VULN|1MDPS|3DUR|2DMG|1TLV	157DUR|2AAC|347VULN|67DMG|7BPWR|8TLV|9CGEN|aMDPS
24	26125 13115	 * 	362.99	DCR|3VULN|3DUR|2DMG|1TLV	157DUR|2AAC|347VULN|67DMG|7BPWR|8TLV|9BLASTR|aRCR
25	26126 61111	 * 	361.61	DCR|4VULN|1CDMG|1DMG|1DUR	1DUR|2AAC|349aVULN|5LIT|6RCR|7DMG|8CDMG
26	21126 11611	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2CGEN|34VULN|5LIT|6BEXP|7LWND|8CDMG|9RCR|aMDPS
27	21122 26562	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2CGEN|34VULN|5ZMB|6CDMG|7AME|8RCR|9AAC|aMDPS
28	21124 27721	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2CGEN|34VULN|5LWND|6MBVNT|7CDMG|8RCR|9LIT|aMDPS
29	21122 26542	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2CGEN|34VULN|5ZMB|6CDMG|7AME|8RCR|9NUKE|aMDPS
30	26126 63323	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2AAC|34VULN|5LIT|6RCR|7CDMG|8DUST|9BBNT|aMDPS
31	33431 65111	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1ERES|2LIT|3CDMG|4FEWX|56VULN|7DUST|8DUR|9RCR|aMDPS
32	14321 26622	   	358.30	DCR|2VULN|1MDPS|1CDMG|1DUR|1SELL	1TBNT|2BELT|3SELL|4CDMG|5RPLT|6DUR|79VULN|8RCR|aMDPS
33	21125 11516	   	358.05	2MDPS|2VULN|2DUR|1DMG|1AART	15DUR|2CGEN|34VULN|6DMG|7AART|8aMDPS|9RPLT
34	22145 31141	   	357.35	DCR|2VULN|1MDPS|2DUR|1AART	13DUR|258LWND|46VULN|7AART|9RCR|aMDPS
35	21652 33522	 * 	357.28	DCR|1MDPS|1VULN|2CDMG|1TLV|1DUR|1AART	1DUR|2CGEN|37CDMG|4TLV|5VULN|6RMIN|8RCR|9AART|aMDPS
36	22142 26522	 * 	357.28	DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV|1AART	13DUR|2LWND|4VULN|5DMSP|6CDMG|7TLV|8RCR|9AART|aMDPS
37	23142 26522	   	357.28	DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV|1AART	13DUR|2LHND|4VULN|5DMSP|6CDMG|7TLV|8RCR|9AART|aMDPS
38	21122 36261	   	355.57	2MDPS|3VULN|1DUR	1DUR|2CGEN|346VULN|5ZMB|7aMDPS|8ERES|9AAC
39	21122 36543	   	355.57	2MDPS|3VULN|1DUR	1DUR|2CGEN|346VULN|5ZMB|7aMDPS|8RPLT|9RAT
40	21121 36261	   	355.47	2MDPS|3VULN|1DUR	1DUR|2CGEN|346VULN|5NUKE|7aMDPS|8ERES|9AAC
41	21121 36543	   	355.47	2MDPS|3VULN|1DUR	1DUR|2CGEN|346VULN|5NUKE|7aMDPS|8RPLT|9RAT
42	21221 35636	   	355.14	DCR|2VULN|1MDPS|3DUR	178DUR|28CGEN|3BBNT|4LHND|5DUST|68VULN|8BPWR|9RCR|aMDPS
43	21331 35636	   	355.14	DCR|2VULN|1MDPS|3DUR	178DUR|28CGEN|3BEXP|4TBNT|5DUST|68VULN|8BPWR|9RCR|aMDPS
