0	Index      	 *	Score 	Summary	Detail	
1	53231 22563	 * 	294.51	DCR|2TLV|2VULN|2DMG|1AEFBLL	1BEXP|2aDMG|37TLV|4ZMB|5aVULN|6AEFBLL|8RCR|9aLHND|aBPWR
14	31531 61242	   	275.15	DCR|DCR|2VULN|1TLV	1AIRHEL|2aVULN|3MDPS|4FEWX|5AAC|6BEXP|7TLV|89RCR
15	31241 61242	   	275.05	DCR|DCR|2VULN|1TLV	1AIRHEL|2aVULN|3DUST|4MDPS|5AAC|6BEXP|7TLV|89RCR
16	31511 61242	   	275.05	DCR|DCR|2VULN|1TLV	1AIRHEL|2aVULN|3MDPS|4LEGI|5AAC|6BEXP|7TLV|89RCR
17	15332 32521	 * 	274.82	DCR|2VULN|1TLV|2DMG|2AEBURN|1CDMG	1RPLT|28DMG|3TSLHEL|48AEBURN|5ERES|6CDMG|78VULN|8BPWR|9TLV|aRCR
18	61253 22613	   	274.22	DCR|3VULN|2TLV|1AEPOI	1AEWIND|2LEGI|347VULN|56TLV|8RPLT|9RCR|aAEPOI
19	53261 22531	   	274.17	DCR|2TLV|1VULN|1AEFBLL|1DMG|1ASPD|1CDMG	1BEXP|2DMG|37TLV|4ASPD|5VULN|6AEFBLL|8RCR|9RAT|aCDMG
20	53231 22526	   	274.12	DCR|2TLV|1VULN|2DMG|1AEFBLL|1DUR	1BEXP|29DMG|37TLV|4ZMB|5VULN|6AEFBLL|8RCR|aDUR
21	61253 22133	   	274.12	DCR|3VULN|2TLV|1DMG	1AEWIND|2LEGI|347VULN|56TLV|8DMG|9MDPS|aRCR
22	53261 22521	   	271.17	DCR|2TLV|1VULN|2DMG|1AEFBLL|1ASPD	1BEXP|29DMG|37TLV|4ASPD|5VULN|6AEFBLL|8RCR|aFEWX
23	53261 22522	   	271.17	DCR|2TLV|1VULN|2DMG|1AEFBLL|1ASPD	1BEXP|29DMG|37TLV|4ASPD|5VULN|6AEFBLL|8RCR|aCGEN
24	53261 22523	   	271.17	DCR|2TLV|1VULN|2DMG|1AEFBLL|1ASPD	1BEXP|29DMG|37TLV|4ASPD|5VULN|6AEFBLL|8RCR|aMLV
25	23231 26623	 * 	270.93	DCR|2VULN|1TLV|2DMG|2AEFBLL|1DUR	1LWND|2aDMG|3TLV|4LHND|5AAC|6aVULN|7DUR|8aAEFBLL|9RCR|aBPWR
26	14242 26312	   	270.91	DCR|2TLV|2VULN|1ASPD|1AART|1DUR	1RPLT|25TLV|3DUR|47VULN|6ASPD|8ZMB|9RCR|aAART
27	11142 26315	   	270.21	DCR|2TLV|2VULN|1DMG|1ASPD	1RPLT|2DUST|35TLV|47VULN|6ASPD|8ZMB|9RCR|aDMG
28	23221 26563	   	269.99	DCR|2TLV|2VULN|1AEFBLL|1DMG	1aLWND|2DMG|3aTLV|4AAC|57VULN|6AEFBLL|8RCR|9aLHND|aBPWR
29	23231 52543	 * 	269.99	DCR|2TLV|2VULN|1DMG|1AEBURN	16aLWND|2DMG|3aTLV|4LHND|5AAC|7AEBURN|8RCR|9aVULN|aBPWR
30	23222 52543	   	269.89	DCR|2TLV|2VULN|1DMG|1AEBURN	16aLWND|2DMG|3aTLV|4AAC|5DUST|7AEBURN|8RCR|9aVULN|aBPWR
31	23231 32543	 * 	269.89	DCR|2TLV|2VULN|1DMG|2AEBURN	1aLWND|2DMG|3aTLV|4LHND|5AAC|67AEBURN|8RCR|9aVULN|aBPWR
32	23221 22541	   	269.79	DCR|2TLV|2VULN|1AEFBLL|1DMG	1LWND|2DMG|37TLV|4AAC|59VULN|6AEFBLL|8RCR|aBEXP
33	23221 22542	   	269.79	DCR|2TLV|2VULN|1AEFBLL|1DMG	1LWND|2DMG|37TLV|4AAC|59VULN|6AEFBLL|8RCR|aCGEN
34	23221 22543	   	269.79	DCR|2TLV|2VULN|1AEFBLL|1DMG	1LWND|2DMG|37TLV|4AAC|59VULN|6AEFBLL|8RCR|aMLV
35	23221 22544	   	269.79	DCR|2TLV|2VULN|1AEFBLL|1DMG	1LWND|2DMG|37TLV|4aAAC|59VULN|6AEFBLL|8RCR
36	23221 22545	   	269.79	DCR|2TLV|2VULN|1AEFBLL|1DMG	1LWND|2DMG|37TLV|4AAC|59VULN|6AEFBLL|8RCR|aAME
37	23222 32543	   	269.79	DCR|2TLV|2VULN|1DMG|2AEBURN	1aLWND|2DMG|3aTLV|4AAC|5DUST|67AEBURN|8RCR|9aVULN|aBPWR
38	23251 22541	   	269.79	DCR|2TLV|2VULN|1AEFBLL|1DMG	1LWND|2DMG|37TLV|49VULN|5AAC|6AEFBLL|8RCR|aBEXP
39	23251 22542	   	269.79	DCR|2TLV|2VULN|1AEFBLL|1DMG	1LWND|2DMG|37TLV|49VULN|5AAC|6AEFBLL|8RCR|aCGEN
40	23251 22543	   	269.79	DCR|2TLV|2VULN|1AEFBLL|1DMG	1LWND|2DMG|37TLV|49VULN|5AAC|6AEFBLL|8RCR|aMLV
41	53221 22541	   	269.79	DCR|2TLV|2VULN|1AEFBLL|1DMG	1BEXP|2DMG|37TLV|49VULN|5AAC|6AEFBLL|8RCR|aFEWX
42	53221 22542	   	269.79	DCR|2TLV|2VULN|1AEFBLL|1DMG	1BEXP|2DMG|37TLV|49VULN|5AAC|6AEFBLL|8RCR|aCGEN
43	53221 22543	   	269.79	DCR|2TLV|2VULN|1AEFBLL|1DMG	1BEXP|2DMG|37TLV|49VULN|5AAC|6AEFBLL|8RCR|aMLV
44	21253 22133	   	269.69	DCR|2TLV|2VULN|1AEFBLL|1DMG	12LWND|2BPWR|37VULN|4AEFBLL|56TLV|8DMG|9MDPS|aRCR
45	24243 22133	   	269.69	DCR|2TLV|2VULN|1DMG|1AEBURN	14LWND|2AEBURN|37VULN|56TLV|8DMG|9MDPS|aRCR
46	24253 22133	 * 	269.69	DCR|2TLV|2VULN|1AEFBLL|1DMG|1AEBURN	1LWND|2AEBURN|37VULN|4AEFBLL|56TLV|8DMG|9MDPS|aRCR
47	26253 22133	   	269.69	DCR|2TLV|2VULN|1AEFBLL|1DMG	1LWND|2RCVC|37VULN|4AEFBLL|56TLV|8DMG|9MDPS|aRCR
48	54253 21133	   	269.69	DCR|2TLV|2VULN|1DMG|1AEBURN	17BEXP|2AEBURN|34VULN|56TLV|8DMG|9MDPS|aRCR
49	23221 22546	   	269.69	DCR|2TLV|2VULN|1AEFBLL|1DMG	1LWND|2DMG|37TLV|4AAC|59VULN|6AEFBLL|8RCR|aERES
50	13433 33613	 * 	269.06	DCR|4VULN|1TLV|1AEBURN	1RPLT|28AEFRZ|3TLV|4567VULN|9RCR|aAEBURN
51	16632 23421	   	268.80	DCR|3VULN|1TLV|1AEPOI|1CDMG	1RPLT|2RCVC|3AEPOI|4CDMG|5RAT|6TLV|789VULN|aRCR
52	23133 35312	   	268.80	DCR|3VULN|1TLV|1DMG|1CDMG	1LWND|2DMG|3CDMG|456VULN|7TLV|8ZMB|9RCR|aFRZFST
53	23133 35314	   	268.80	DCR|3VULN|1TLV|1DMG|1CDMG	1LWND|2DMG|3CDMG|456VULN|7TLV|8ZMB|9RCR|aBEXP
54	23133 35315	   	268.80	DCR|3VULN|1TLV|1DMG|1CDMG	1LWND|2DMG|3CDMG|456VULN|7TLV|8ZMB|9RCR|aAAC
55	23133 35311	   	268.70	DCR|3VULN|1TLV|1DMG|1CDMG	1LWND|2DMG|3CDMG|456VULN|7TLV|8ZMB|9RCR|aMDPS
56	23133 35316	   	268.70	DCR|3VULN|1TLV|1DMG|1CDMG|1MSE	1LWND|2DMG|3CDMG|456VULN|7TLV|8ZMB|9RCR|aMSE
57	23133 35335	   	268.70	DCR|3VULN|1TLV|1DMG|1CDMG	1LWND|2DMG|3CDMG|456VULN|7TLV|8ZMB|9MDPS|aRCR
58	15213 53135	   	268.33	DCR|2TLV|2VULN|1DMG|2DUR	1RPLT|2DMG|37DUR|4CANHEL|58TLV|6RCR|9aVULN
59	23221 26541	   	268.28	DCR|3VULN|1TLV|1AEFBLL|1DMG	1LWND|2DMG|3TLV|4AAC|579VULN|6AEFBLL|8RCR|aBEXP
60	23221 26542	   	268.28	DCR|3VULN|1TLV|1AEFBLL|1DMG	1LWND|2DMG|3TLV|4AAC|579VULN|6AEFBLL|8RCR|aCGEN
61	23221 26543	   	268.28	DCR|3VULN|1TLV|1AEFBLL|1DMG	1LWND|2DMG|3TLV|4AAC|579VULN|6AEFBLL|8RCR|aMLV
62	53231 26521	   	268.11	DCR|2VULN|1TLV|2DMG|1AEFBLL	1BEXP|29DMG|3TLV|4ZMB|57VULN|6AEFBLL|8RCR|aFEWX
63	53231 26522	   	268.11	DCR|2VULN|1TLV|2DMG|1AEFBLL	1BEXP|29DMG|3TLV|4ZMB|57VULN|6AEFBLL|8RCR|aCGEN
64	53231 26523	   	268.11	DCR|2VULN|1TLV|2DMG|1AEFBLL	1BEXP|29DMG|3TLV|4ZMB|57VULN|6AEFBLL|8RCR|aMLV
65	61253 12133	   	267.98	DCR|3VULN|1TLV|1AEFBLL|1DMG	1AEWIND|2LEGI|347VULN|5TLV|6AEFBLL|8DMG|9MDPS|aRCR
66	13433 33541	   	267.44	DCR|5VULN|1TLV	1RPLT|2AEFRZ|3TLV|45678VULN|9RCR|aLWND
67	13433 33543	   	267.44	DCR|5VULN|1TLV	1RPLT|2AEFRZ|3TLV|45678VULN|9RCR|aLIT
68	12243 33681	   	267.41	DCR|2TLV|2VULN|2DMG	1RPLT|2BELT|39DMG|4LWND|59TLV|6MBVNT|79VULN|8RCR|9BPWR|aFEWX
69	12243 33683	   	267.41	DCR|2TLV|2VULN|2DMG	1RPLT|2BELT|39DMG|4LWND|59TLV|6MBVNT|79VULN|8RCR|9BPWR|aBEXP
70	13433 33525	   	267.34	DCR|5VULN|1TLV	1RPLT|29AEFRZ|3TLV|45678VULN|aRCR
71	13433 33542	   	267.34	DCR|5VULN|1TLV|1MSE	1RPLT|2AEFRZ|3TLV|45678VULN|9RCR|aMSE
72	12243 33682	   	267.31	DCR|2TLV|2VULN|2DMG	1RPLT|2BELT|39DMG|4LWND|59TLV|6MBVNT|79VULN|8RCR|9BPWR|aERES
73	14242 26311	   	266.85	DCR|2TLV|2VULN|1ASPD|1DUR	1RPLT|25TLV|3DUR|47VULN|6ASPD|8ZMB|9RCR|aRAT
74	11145 36312	   	266.06	DCR|3VULN|1TLV|1DMG|1AART	1RPLT|2DUST|3TLV|467VULN|5DMG|8ZMB|9RCR|aAART
75	15422 36312	   	266.06	DCR|3VULN|1TLV|1DMG|1AART	1RPLT|2DMG|367VULN|4DUST|5TLV|8ZMB|9RCR|aAART
76	23612 61242	 * 	265.45	DCR|DCR|1TLV|1VULN|1DMG	1LWND|2DMG|3MDPS|4FEWX|5TSLHEL|6BEXP|7TLV|89RCR|aVULN
77	23611 61242	   	265.35	DCR|DCR|1TLV|1VULN|1DMG	1LWND|2DMG|3MDPS|4FEWX|5AIRHEA|6BEXP|7TLV|89RCR|aVULN
78	14522 24148	 * 	265.25	DCR|DCR|1TLV|1VULN|1AEPOI	1RPLT|2TLV|3AEPOI|4ERES|5MBVNT|6VULN|7VENTOX|8MDPS|9aRCR
79	14531 26312	   	264.77	DCR|2VULN|1TLV|1AEPOI|1ASPD|1AART|1DUR	1RPLT|2TLV|3AEPOI|47VULN|5DUR|6ASPD|8ZMB|9RCR|aAART
