0	Index      	 *	Score 	Summary	Detail	
1	33615 22323	 * 	313.34	ACR|3TLV|2VULN|1DMG|1AEPOI|2DUR|1AART	18DUR|2LHND|3RCR|458TLV|6AART|78VULN|8BPWR|9DMG|aAEPOI
23	23613 24115	   	293.66	ACR|DCR|2VULN|1TLV|1DMG|1ASPD|1MSE	19VULN|2LHND|3aRCR|4TLV|5ERES|6DMG|7MSE|8ASPD
24	25613 22115	   	293.56	ACR|DCR|2VULN|1TLV|1DMG|1ASPD|1MSE	19VULN|2MSE|3aRCR|4TLV|5ERES|6DMG|7DUST|8ASPD
25	33614 22341	   	293.28	ACR|2TLV|2VULN|1AEPOI|2DUR|1ASPD|1AART	18DUR|25LHND|3RCR|48TLV|6AART|78VULN|8BPWR|9ASPD|aAEPOI
26	33615 22321	   	293.28	ACR|3TLV|2VULN|1DMG|2DUR|1AART	18DUR|2LHND|3RCR|458TLV|6AART|78VULN|8BPWR|9DMG|aCGEN
27	33615 22322	   	293.28	ACR|3TLV|2VULN|1DMG|2DUR|1AART	18DUR|2LHND|3RCR|458TLV|6AART|78VULN|8BPWR|9DMG|aLWND
28	33615 22335	   	293.28	ACR|3TLV|2VULN|1DMG|2DUR|1AART	18DUR|2LHND|3RCR|458TLV|6AART|78VULN|8BPWR|9LWND|aDMG
29	33615 22324	   	293.18	ACR|3TLV|2VULN|1DMG|2DUR|1AART|1MSE	18DUR|2LHND|3RCR|458TLV|6AART|78VULN|8BPWR|9DMG|aMSE
30	33615 22326	   	293.18	ACR|3TLV|2VULN|1DMG|2DUR|1AART	18DUR|2LHND|3RCR|458TLV|6AART|78VULN|8BPWR|9DMG|aLEGI
31	23611 53322	   	292.30	ACR|3VULN|2TLV|2DMG	18aVULN|28LHND|3RCR|4aTLV|5AME|6DLOT|78DMG|8aBPWR|9aLWND
32	23612 53322	   	292.30	ACR|3VULN|2TLV|2DMG	18aVULN|28LHND|3RCR|4aTLV|5CGEN|6DLOT|78DMG|8aBPWR|9aLWND
33	23613 53322	   	292.20	ACR|3VULN|2TLV|2DMG	18aVULN|28LHND|3RCR|4aTLV|5ERES|6DLOT|78DMG|8aBPWR|9aLWND
34	23614 52332	   	292.20	ACR|3VULN|2TLV|2DMG	179VULN|256LHND|3RCR|49TLV|89DMG|9BPWR|aBEXP
35	23614 62332	   	292.20	ACR|3VULN|2TLV|2DMG	179VULN|25LHND|3RCR|49TLV|6RCVC|89DMG|9BPWR|aBEXP
36	23614 52331	   	292.10	ACR|3VULN|2TLV|2DMG	179VULN|256LHND|3RCR|49TLV|89DMG|9BPWR|aMBVNT
37	23614 62331	   	292.10	ACR|3VULN|2TLV|2DMG	179VULN|25LHND|3RCR|49TLV|6RCVC|89DMG|9BPWR|aMBVNT
38	23611 22125	 * 	291.56	ACR|DCR|1TLV|1VULN|2ASPD|1DMG	1VULN|2LHND|3aRCR|4TLV|5AME|6DMG|7DUST|89ASPD
39	23613 22125	   	291.46	ACR|DCR|1TLV|1VULN|2ASPD|1DMG	1VULN|2LHND|3aRCR|4TLV|5ERES|6DMG|7DUST|89ASPD
40	23611 42115	   	288.90	ACR|DCR|2VULN|1TLV|1ASPD	19VULN|2LHND|3aRCR|4TLV|5AME|6AAC|7DUST|8ASPD
41	23612 42115	   	288.90	ACR|DCR|2VULN|1TLV|1ASPD	19VULN|2LHND|3aRCR|4TLV|5CGEN|6AAC|7DUST|8ASPD
42	23613 42115	   	288.80	ACR|DCR|2VULN|1TLV|1ASPD	19VULN|2LHND|3aRCR|4TLV|5ERES|6AAC|7DUST|8ASPD
43	33614 22316	   	288.13	ACR|2TLV|2VULN|3DUR|1DMG|1AART	18aDUR|25LHND|3RCR|48TLV|6AART|78VULN|8BPWR|9DMG
44	23614 51333	   	287.57	ACR|2TLV|2VULN|2DMG|1AEFBLL	19VULN|256LHND|3RCR|49TLV|7DMSP|89DMG|9BPWR|aAEFBLL
45	23614 61333	   	287.57	ACR|2TLV|2VULN|2DMG|1AEFBLL	19VULN|25LHND|3RCR|49TLV|6RCVC|7DMSP|89DMG|9BPWR|aAEFBLL
46	33615 22336	   	286.87	ACR|3TLV|2VULN|2DUR|1CDMG|1AART	18DUR|2LHND|3RCR|458TLV|6AART|78VULN|8BPWR|9LWND|aCDMG
47	23614 32333	   	285.96	ACR|3VULN|1TLV|2DMG|1AEFBLL	179VULN|259LHND|3RCR|4TLV|6AEFRZ|89DMG|9BPWR|aAEFBLL
48	63614 22313	   	285.62	ACR|3VULN|2TLV|1DMG|1AART	18BEXP|25LHND|3RCR|48TLV|6AART|78aVULN|8BPWR|9DMG
49	33614 22353	   	284.26	ACR|3VULN|2TLV|2DUR|1AART	18DUR|25LHND|3RCR|48TLV|6AART|789VULN|8BPWR|aRMIN
50	23613 16336	   	284.16	ACR|3VULN|2TLV|2DUR|1AART	19aVULN|2LHND|3RCR|4aTLV|5ERES|6CGEN|7aDUR|8AART|aBPWR
51	33614 22352	   	284.16	ACR|3VULN|2TLV|2DUR|1AART	18DUR|25LHND|3RCR|48TLV|6AART|789VULN|8BPWR|aMBVNT
52	33614 22321	 * 	283.43	ACR|2TLV|2VULN|2AART|2DUR|1CDMG	18DUR|25LHND|3RCR|48TLV|69AART|78VULN|8BPWR|aCDMG
53	33615 22343	 * 	283.43	ACR|3TLV|2VULN|2AART|2DUR	18DUR|2LHND|3RCR|458TLV|6aAART|78VULN|8BPWR|9LIT
