0	Index      	 *	Score 	Summary	Detail	
1	66232 22351	 * 	306.94	ACR|DCR|2VULN|1TLV|1ASPD|1AART	14VULN|2CGEN|3aRCR|5RAT|6TLV|7AART|8MLV|9ASPD
16	66233 32236	   	288.70	ACR|DCR|2VULN|1TLV|1CDMG	14VULN|2CGEN|3aRCR|5AIRHEL|6CDMG|7TLV|8DUST|9ERES
17	61211 24322	   	286.25	ACR|DCR|2VULN|1TLV|1AART	17VULN|2AAC|3aRCR|4NUKE|5AART|6TLV|8LHND|9FEWX
18	61211 24532	   	286.25	ACR|DCR|2VULN|1TLV|1AART	17VULN|2AAC|3aRCR|4NUKE|5AART|6TLV|8FEWX|9BEXP
19	61211 24312	   	286.15	ACR|DCR|2VULN|1TLV|1AART	17VULN|2AAC|3aRCR|4NUKE|5AART|6TLV|8LHND|9DUST
20	61211 24432	   	286.15	ACR|DCR|2VULN|1TLV|1AART	17VULN|2AAC|3aRCR|4NUKE|5AART|6TLV|8DUST|9LWND
21	61211 24512	   	286.15	ACR|DCR|2VULN|1TLV|1AART	17VULN|2AAC|3aRCR|4NUKE|5AART|6TLV|8FEWX|9DUST
22	61211 22222	   	286.12	ACR|DCR|1TLV|1VULN|1AEBURN|1AART	1VULN|2AAC|3aRCR|4NUKE|5AART|6TLV|7AEBURN|8DUR|9FEWX
23	61211 22212	   	286.02	ACR|DCR|1TLV|1VULN|1AEBURN|1AART	1VULN|2AAC|3aRCR|4NUKE|5AART|6TLV|7AEBURN|8DUR|9DUST
24	63213 34633	   	285.28	DCR|3VULN|2TLV|1ASPD|2ZMB	126VULN|26BPWR|3RAT|4ASPD|56ZMB|7RCR|89TLV|aCGEN
25	61231 61124	   	285.01	ACR|DCR|2VULN|1TLV	14VULN|2AAC|38RCR|5LWND|6LHND|7LIT|9DUR|aTLV
26	61231 11113	   	285.01	ACR|DCR|2VULN|1TLV	14VULN|2AAC|38RCR|5LWND|6DUR|7LIT|9DMSP|aTLV
27	61231 11123	   	285.01	ACR|DCR|2VULN|1TLV	14VULN|2AAC|38RCR|59LWND|6DUR|7LIT|aTLV
28	61231 11141	   	284.91	ACR|DCR|2VULN|1TLV	14VULN|2AAC|38RCR|5LWND|6DUR|7LIT|9MDPS|aTLV
29	61231 11154	   	284.91	ACR|DCR|2VULN|1TLV	14VULN|2AAC|38RCR|5LWND|6DUR|7LIT|9DUST|aTLV
30	61231 11411	   	284.91	ACR|DCR|2VULN|1TLV	14VULN|2AAC|39RCR|5LWND|6DUR|7LIT|8MDPS|aTLV
31	41233 61241	   	284.81	ACR|DCR|2VULN|1TLV	1DUR|2AAC|36RCR|49VULN|5MGNSTR|7MDPS|8BELT|aTLV
32	41233 63131	   	284.16	ACR|DCR|1TLV|1VULN|1DMG|2DUR	17DUR|2AAC|36RCR|4VULN|5MGNSTR|8LWND|9DMG|aTLV
33	61211 23322	   	282.60	ACR|DCR|2TLV|1VULN|1AART	1VULN|2AAC|3aRCR|4NUKE|5AART|67TLV|8LHND|9FEWX
34	61211 23532	   	282.60	ACR|DCR|2TLV|1VULN|1AART	1VULN|2AAC|3aRCR|4NUKE|5AART|67TLV|8FEWX|9BEXP
35	61211 23312	   	282.50	ACR|DCR|2TLV|1VULN|1AART	1VULN|2AAC|3aRCR|4NUKE|5AART|67TLV|8LHND|9DUST
36	61211 23432	   	282.50	ACR|DCR|2TLV|1VULN|1AART	1VULN|2AAC|3aRCR|4NUKE|5AART|67TLV|8DUST|9LWND
37	61211 23512	   	282.50	ACR|DCR|2TLV|1VULN|1AART	1VULN|2AAC|3aRCR|4NUKE|5AART|67TLV|8FEWX|9DUST
38	61232 11514	 * 	282.34	ACR|4VULN|2TLV	147aVULN|2AAC|3RCR|5RAT|6aLSRREG|8RPLT|9aTLV|aBPWR
39	21235 63431	   	282.29	ACR|DCR|2VULN|1TLV	1LHND|2AAC|38RCR|47VULN|5LIT|6BELT|9TLV|aRAT
40	61233 32314	   	281.36	ACR|3VULN|2TLV|2CDMG	14aVULN|2AAC|3RCR|5MGNSTR|6aCDMG|7BEXP|8RAT|9aTLV|aBPWR
41	61233 34314	   	281.36	ACR|3VULN|2TLV|2CDMG	14aVULN|2AAC|3RCR|5MGNSTR|6aCDMG|7FEWX|8RAT|9aTLV|aBPWR
42	61234 32632	   	281.36	ACR|3VULN|2TLV|1DMG	14aVULN|2AAC|3RCR|5DMG|6RAT|7DMSP|89TLV
43	61212 36631	   	281.26	ACR|3VULN|2TLV|1DMG	157VULN|2AAC|3RCR|4NUKE|6RAT|89TLV|aDMG
44	61233 33314	   	281.26	ACR|3VULN|2TLV|2CDMG	14aVULN|2AAC|3RCR|5MGNSTR|6aCDMG|7DUST|8RAT|9aTLV|aBPWR
45	63213 34622	   	280.12	DCR|4VULN|1TLV|1ASPD|2ZMB	126aVULN|26BPWR|3RAT|4ASPD|56ZMB|7RCR|8TLV|9RPLT
46	41212 11541	   	280.00	ACR|3VULN|2TLV|2DUR	19DUR|2AAC|3RCR|4NUKE|5RAT|6LEGI|79TLV|89aVULN|9BPWR
47	61211 23262	   	279.43	ACR|2TLV|2VULN|2AEPOI|2DUR|1AART	1aVULN|2AAC|3RCR|4NUKE|5AART|67TLV|8aDUR|9aAEPOI|aBPWR
48	63213 34613	   	279.14	DCR|3VULN|1TLV|1AEFBLL|1ASPD|2ZMB	126VULN|26BPWR|3RAT|4ASPD|56ZMB|7RCR|8TLV|9AEFBLL|aCGEN
49	66232 22261	   	279.01	ACR|3VULN|2TLV|2RAT|1AART	14aVULN|2CGEN|3RCR|5aRAT|6aTLV|7AART|8MDPS|9BELT|aBPWR
50	41233 63433	   	277.97	ACR|DCR|1TLV|1VULN|2DUR	17DUR|2AAC|36RCR|4VULN|5MGNSTR|8TLV|9RAT|aZMB
51	61211 24262	   	277.92	ACR|3VULN|1TLV|2AEPOI|2DUR|1AART	17aVULN|2AAC|3RCR|4NUKE|5AART|6TLV|8aDUR|9aAEPOI|aBPWR
52	61233 11252	   	277.84	ACR|3VULN|1TLV|1DMG|1AEPOI	14aVULN|2AAC|3RCR|5MGNSTR|6DUR|7DMG|8TLV|9AEPOI
53	66233 11252	   	277.84	ACR|3VULN|1TLV|1DMG|1AEPOI	14aVULN|2CGEN|3RCR|5AIRHEL|6DUR|7DMG|8TLV|9AEPOI
54	41233 63621	   	277.74	ACR|DCR|1TLV|1VULN|2DUR|1CDMG	17DUR|2AAC|36RCR|4VULN|5MGNSTR|8CDMG|9RPLT|aTLV
