0	Index      	 *	Score 	Summary	Detail	
1	26523 31353	 * 	262.17	DCR|DCR|1VULN|1DMG|2DUR|1AART	1DMG|26DUR|3VULN|4AART|5TLV|7CGEN|8aRCR|9MDPS
30	61133 16353	   	247.22	DCR|DCR|1VULN|1DMG|1AART	12LWND|3VULN|4DMG|5TLV|6AART|7ERES|8aRCR|9MDPS
31	22211 55613	   	244.62	ACR|DCR|2VULN|1DMG|1AART	1DMG|2AART|3FEWX|4aRCR|5MDPS|6LHND|78VULN|9RCVC
32	22312 63143	 * 	244.35	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3DUR|4aRCR|5LHND|6MLV|7BEXP|8RMIN|9VULN
33	22312 64143	   	244.35	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3DUR|4aRCR|5LHND|6MLV|7LWND|8RMIN|9VULN
34	22311 15513	   	244.31	ACR|DCR|2DMG|1VULN|1AART	18DMG|2AART|3DUR|4aRCR|5MDPS|6FEWX|7VULN|9RCVC
35	22311 15563	   	244.31	ACR|DCR|2DMG|1VULN|1AART	18DMG|2AART|3DUR|4aRCR|5MDPS|69FEWX|7VULN
36	22311 55513	   	244.31	ACR|DCR|2DMG|1VULN|1AART	18DMG|2AART|3DUR|4aRCR|5MDPS|6LHND|7VULN|9RCVC
37	22312 61543	   	244.25	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3DUR|4aRCR|5LHND|6MLV|7ERES|8BEXP|9VULN
38	22312 63223	   	244.25	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3DUR|4aRCR|5LHND|6MLV|7BEXP|8VULN|9ERES
39	22312 64223	   	244.25	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3DUR|4aRCR|5LHND|6MLV|7LWND|8VULN|9ERES
40	22311 16143	   	244.21	ACR|DCR|2DMG|1VULN|1AART	17DMG|2AART|3DUR|4aRCR|5MDPS|6FEWX|8AELOIC|9VULN
41	22311 56143	   	244.21	ACR|DCR|2DMG|1VULN|1AART	17DMG|2AART|3DUR|4aRCR|5MDPS|6LHND|8AELOIC|9VULN
42	22316 36153	   	244.16	ACR|DCR|2DMG|1VULN|1AART|1ZMB	17DMG|2AART|3DUR|4aRCR|5BBNT|6ZMB|8VULN|9AAC
43	22311 66133	   	244.15	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3DUR|4aRCR|5MDPS|6MBVNT|7VULN|8MLV|9RMIN
44	22312 61643	   	244.15	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3DUR|4aRCR|5LHND|6MLV|7ERES|8DUST|9VULN
45	51162 22335	 * 	243.70	DCR|DCR|2VULN	1RCVC|23VULN|4MDPS|57LWND|6LIT|8aRCR|9MBVNT
46	21168 11232	   	242.73	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|28FEWX|3MBVNT|4ASPD|5CDMG|68aVULN|7RCR|8BPWR|9RCVC
47	21168 11213	   	242.63	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|28FEWX|3MBVNT|4ASPD|5CDMG|68aVULN|7RCR|8BPWR|9ERES
48	21168 11284	   	242.63	DCR|3VULN|2DMG|1ASPD|1CDMG	18DMG|28FEWX|3MBVNT|4ASPD|5CDMG|68aVULN|7RCR|8BPWR|9MULARM
49	51111 12533	 * 	239.85	DCR|4VULN|2MLV|1RPLT	1RCVC|2389VULN|4RPLT|5CGEN|69FEWX|79MLV|9BPWR|aRCR
50	51113 12533	   	239.85	DCR|4VULN|2MLV|1RPLT	1RCVC|2389VULN|4RPLT|5TLV|69FEWX|79MLV|9BPWR|aRCR
51	51115 32533	   	239.85	DCR|4VULN|2MLV|1RPLT	1RCVC|2389VULN|4RPLT|59FEWX|6RMIN|79MLV|9BPWR|aRCR
52	51114 12533	   	239.75	DCR|4VULN|2MLV|1RPLT	1RCVC|2389VULN|4RPLT|5ERES|69FEWX|79MLV|9BPWR|aRCR
53	21168 11282	 * 	238.03	DCR|2VULN|2DMG|1MLV|1ASPD|1CDMG	18DMG|28FEWX|3MBVNT|4ASPD|5CDMG|68VULN|7RCR|8BPWR|9MULARM|aMLV
54	24223 33213	   	237.66	DCR|DCR|1VULN|1DMG	1DMG|2RCVC|3LHND|4FEWX|5TBNT|6VULN|7aRCR|8LWND|9LSRHEA
55	24223 53613	   	237.66	DCR|DCR|1VULN|1DMG	1DMG|2RCVC|3LHND|4FEWX|5TBNT|6LWND|7aRCR|8VULN|9LSRHEA
56	24623 33213	   	237.56	DCR|DCR|1VULN|1DMG	1DMG|2RCVC|3LEGI|4FEWX|5TBNT|6VULN|7aRCR|8LWND|9LSRHEA
57	24222 33613	   	237.56	DCR|DCR|1VULN|1DMG	1DMG|2RCVC|3LHND|4FEWX|5DUST|6BBNT|7aRCR|8VULN|9LSRHEA
58	24223 23613	   	237.56	DCR|DCR|1VULN|1DMG	1DMG|2RCVC|3LHND|4FEWX|5TBNT|6DUST|7aRCR|8VULN|9LSRHEA
59	24223 33313	   	237.56	DCR|DCR|1VULN|1DMG	1DMG|2RCVC|3LHND|4FEWX|5TBNT|6VULN|7aRCR|8DUST|9LSRHEA
60	24322 33613	   	237.56	DCR|DCR|1VULN|1DMG	1DMG|2RCVC|3LWND|4FEWX|5DUST|6BBNT|7aRCR|8VULN|9LSRHEA
61	24323 23613	   	237.56	DCR|DCR|1VULN|1DMG	1DMG|2RCVC|3LWND|4FEWX|5TBNT|6DUST|7aRCR|8VULN|9LSRHEA
62	61222 23613	   	237.56	DCR|DCR|1VULN|1DMG	12LWND|3LHND|4BBNT|5DMG|6DUST|7aRCR|8VULN|9LSRHEA
63	62122 23613	   	237.56	DCR|DCR|1VULN|1DMG	1LWND|2BBNT|3LHND|4RCVC|5DMG|6DUST|7aRCR|8VULN|9LSRHEA
64	62142 23613	   	237.56	DCR|DCR|1VULN|1DMG	1LWND|2BBNT|3LHND|4DMSP|5DMG|6DUST|7aRCR|8VULN|9LSRHEA
65	62242 23613	   	237.56	DCR|DCR|1VULN|1DMG	13LWND|2BBNT|3BPWR|4LHND|5DMG|6DUST|7aRCR|8VULN|9LSRHEA
66	24623 23613	   	237.46	DCR|DCR|1VULN|1DMG	1DMG|2RCVC|3LEGI|4FEWX|5TBNT|6DUST|7aRCR|8VULN|9LSRHEA
67	24623 33313	   	237.46	DCR|DCR|1VULN|1DMG	1DMG|2RCVC|3LEGI|4FEWX|5TBNT|6VULN|7aRCR|8DUST|9LSRHEA
68	26215 41231	   	236.98	DCR|DCR|1DMG|3ZMB|1AART	1DMG|2DUR|3BEXP|469ZMB|5FLTFST|7aRCR|8AART
69	26216 41231	   	236.98	DCR|DCR|1DMG|3ZMB|1AART	1DMG|2DUR|3BEXP|469ZMB|5VENTOX|7aRCR|8AART
70	22212 63143	   	236.05	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3FEWX|4aRCR|5LHND|6MLV|7BEXP|8RMIN|9VULN
71	22212 64143	   	236.05	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3FEWX|4aRCR|5LHND|6MLV|7LWND|8RMIN|9VULN
72	22211 55263	   	236.00	ACR|DCR|2DMG|1VULN|1AART	19DMG|2AART|3FEWX|4aRCR|5MDPS|6LHND|7VULN|8DMSP
73	22211 55513	   	236.00	ACR|DCR|2DMG|1VULN|1AART	18DMG|2AART|3FEWX|4aRCR|5MDPS|6LHND|7VULN|9RCVC
74	22212 61543	   	235.95	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3FEWX|4aRCR|5LHND|6MLV|7ERES|8BEXP|9VULN
75	22212 63223	   	235.95	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3FEWX|4aRCR|5LHND|6MLV|7BEXP|8VULN|9ERES
76	22212 64223	   	235.95	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3FEWX|4aRCR|5LHND|6MLV|7LWND|8VULN|9ERES
77	22512 63143	   	235.95	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3DUST|4aRCR|5LHND|6MLV|7FEWX|8RMIN|9VULN
78	22511 15263	   	235.90	ACR|DCR|2DMG|1VULN|1AART	19DMG|2AART|3DUST|4aRCR|5MDPS|6FEWX|7VULN|8DMSP
79	22211 31143	   	235.90	ACR|DCR|2DMG|1VULN|1AART	17DMG|2AART|3FEWX|4aRCR|5MDPS|6AME|8RMIN|9VULN
80	22211 56143	   	235.90	ACR|DCR|2DMG|1VULN|1AART	17DMG|2AART|3FEWX|4aRCR|5MDPS|6LHND|8AELOIC|9VULN
81	22211 66133	   	235.85	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3FEWX|4aRCR|5MDPS|6MBVNT|7VULN|8MLV|9RMIN
82	22212 61643	   	235.85	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3FEWX|4aRCR|5LHND|6MLV|7ERES|8DUST|9VULN
83	22512 63223	   	235.85	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3DUST|4aRCR|5LHND|6MLV|7FEWX|8VULN|9ERES
84	22512 64223	   	235.85	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3DUST|4aRCR|5LHND|6MLV|7LWND|8VULN|9ERES
85	22512 65223	   	235.85	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3DUST|4aRCR|5LHND|6MLV|7BEXP|8VULN|9ERES
86	22211 31223	   	235.80	ACR|DCR|2DMG|1VULN|1AART	17DMG|2AART|3FEWX|4aRCR|5MDPS|6AME|8VULN|9ERES
87	22511 16143	   	235.80	ACR|DCR|2DMG|1VULN|1AART	17DMG|2AART|3DUST|4aRCR|5MDPS|6FEWX|8AELOIC|9VULN
88	22511 66133	   	235.75	ACR|DCR|1VULN|1DMG|1MLV|1AART	1DMG|2AART|3DUST|4aRCR|5MDPS|6MBVNT|7VULN|8MLV|9RMIN
89	22313 26152	   	235.57	ACR|DCR|1DMG|1MLV|1CDMG|1AART|1RPLT	1DMG|2AART|3DUR|4aRCR|5CGEN|6CDMG|7RPLT|8MLV|9LWND
90	22313 26162	   	235.57	ACR|DCR|1DMG|1MLV|1CDMG|1AART|1RPLT	1DMG|2AART|3DUR|4aRCR|5CGEN|6CDMG|7RPLT|8MLV|9BEXP
91	22315 26152	   	235.57	ACR|DCR|1DMG|1MLV|1CDMG|1AART|1RPLT	1DMG|2AART|3DUR|4aRCR|5RMIN|6CDMG|7RPLT|8MLV|9LWND
92	22315 26162	   	235.57	ACR|DCR|1DMG|1MLV|1CDMG|1AART|1RPLT	1DMG|2AART|3DUR|4aRCR|5RMIN|6CDMG|7RPLT|8MLV|9BEXP
93	22314 26152	   	235.47	ACR|DCR|1DMG|1MLV|1CDMG|1AART|1RPLT	1DMG|2AART|3DUR|4aRCR|5ERES|6CDMG|7RPLT|8MLV|9LWND
94	22314 26162	   	235.47	ACR|DCR|1DMG|1MLV|1CDMG|1AART|1RPLT	1DMG|2AART|3DUR|4aRCR|5ERES|6CDMG|7RPLT|8MLV|9BEXP
95	26168 11233	   	235.45	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG	18DMG|28DUR|3MBVNT|4ASPD|5CDMG|68VULN|7RCR|8BPWR|9RCVC|aBBNT
96	26168 11241	   	235.45	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG	18DMG|28DUR|3MBVNT|4ASPD|5CDMG|68VULN|7RCR|8BPWR|9BEXP|aCGEN
97	26168 11243	   	235.45	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG	18DMG|28DUR|3MBVNT|4ASPD|5CDMG|68VULN|7RCR|8BPWR|9BEXP|aFEWX
98	26168 11244	   	235.45	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG	18DMG|28DUR|3MBVNT|4ASPD|5CDMG|68VULN|7RCR|8BPWR|9BEXP|aLHND
99	26168 11211	   	235.35	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG	18DMG|28DUR|3MBVNT|4ASPD|5CDMG|68VULN|7RCR|8BPWR|9ERES|aTLV
100	26168 11212	   	235.35	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG	18DMG|28DUR|3MBVNT|4ASPD|5CDMG|68VULN|7RCR|8BPWR|9ERES|aBBNT
101	26168 11221	   	235.35	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG	18DMG|28DUR|3MBVNT|4ASPD|5CDMG|68VULN|7RCR|8BPWR|9AME|aTLV
102	26168 11222	   	235.35	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG	18DMG|28DUR|3MBVNT|4ASPD|5CDMG|68VULN|7RCR|8BPWR|9AME|aBBNT
103	26168 11231	   	235.35	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG	18DMG|28DUR|3MBVNT|4ASPD|5CDMG|68VULN|7RCR|8BPWR|9RCVC|aDUST
104	26168 11234	   	235.35	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG	18DMG|28DUR|3MBVNT|4ASPD|5CDMG|68VULN|7RCR|8BPWR|9RCVC|aAME
105	26168 11223	   	235.25	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG	18DMG|28DUR|3MBVNT|4ASPD|5CDMG|68VULN|7RCR|8BPWR|9AME|aERES
106	26168 11224	   	235.25	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG	18DMG|28DUR|3MBVNT|4ASPD|5CDMG|68VULN|7RCR|8BPWR|9AME|aBASARM
107	22355 23332	   	235.24	DCR|2VULN|2DMG|1MLV|2DUR|1AART	14DMG|2AART|34DUR|4BPWR|5RCVC|6aVULN|7DUST|8RCR|9MLV
108	24223 33634	   	234.70	DCR|4VULN|2DMG	19DMG|2RCVC|3LHND|49FEWX|5TBNT|689aVULN|7RCR|9BPWR
109	24323 33634	   	234.70	DCR|4VULN|2DMG	19DMG|2RCVC|3LWND|49FEWX|5TBNT|689aVULN|7RCR|9BPWR
110	62122 33634	   	234.70	DCR|4VULN|2DMG	19LWND|2BBNT|3LHND|4RCVC|59DMG|689aVULN|7RCR|9BPWR
111	23113 32134	   	234.40	DCR|4VULN|2DMG	17DMG|2TLV|3489VULN|5ERES|6CGEN|aRCR
112	23146 32134	   	234.40	DCR|4VULN|2DMG	17DMG|2TLV|3589VULN|4ERES|6CGEN|aRCR
113	25114 12253	 * 	234.10	DCR|4VULN|1DMG|1MLV|1ZMB	1DMG|2AAC|347aVULN|5ZMB|6MBVNT|8RCR|9MLV
114	22311 15253	   	233.27	ACR|DCR|1VULN|1DMG|2DUR|1AART	1DMG|2AART|39DUR|4aRCR|5MDPS|6FEWX|7VULN|8DMSP
115	22311 11143	   	233.17	ACR|DCR|1VULN|1DMG|2DUR|1AART	1DMG|2AART|37DUR|4aRCR|5MDPS|6FEWX|8AELOIC|9VULN
116	22311 51143	   	233.17	ACR|DCR|1VULN|1DMG|2DUR|1AART	1DMG|2AART|37DUR|4aRCR|5MDPS|6LHND|8AELOIC|9VULN
117	21168 11242	   	233.05	DCR|2VULN|2DMG|2ASPD|1CDMG	18DMG|28FEWX|3MBVNT|4aASPD|5CDMG|68VULN|7RCR|8BPWR|9BEXP
118	21168 11272	   	233.05	DCR|2VULN|2DMG|2ASPD|1CDMG	18DMG|28FEWX|3MBVNT|4aASPD|5CDMG|68VULN|7RCR|8BPWR|9LWND
119	21168 11214	   	232.95	DCR|2VULN|2DMG|2ASPD|1CDMG	18DMG|28FEWX|3MBVNT|4aASPD|5CDMG|68VULN|7RCR|8BPWR|9ERES
120	21168 11228	   	232.95	DCR|2VULN|2DMG|2ASPD|1CDMG	18DMG|28FEWX|3MBVNT|4aASPD|5CDMG|68VULN|7RCR|8BPWR|9AME
121	21168 11262	   	232.95	DCR|2VULN|2DMG|2ASPD|1CDMG	18DMG|28FEWX|3MBVNT|4aASPD|5CDMG|68VULN|7RCR|8BPWR|9DUST
122	23143 43333	   	232.95	DCR|2VULN|2DMG|2ASPD|1CDMG	19DMG|25TLV|39VULN|4ERES|6CDMG|79ASPD|8LEGI|9BPWR|aRCR
123	21144 71351	 * 	232.87	DCR|3VULN|2DMG|1MLV	16DMG|2FEWX|3MBVNT|4LHND|569VULN|6BPWR|7LWND|8MLV|aRCR
124	21144 75151	   	232.87	DCR|3VULN|2DMG|1MLV	16DMG|2FEWX|3MBVNT|4LHND|569VULN|6BPWR|7MLV|8BEXP|aRCR
125	21144 75251	   	232.87	DCR|3VULN|2DMG|1MLV	16DMG|2FEWX|3MBVNT|4LHND|569VULN|6BPWR|7MLV|8LWND|aRCR
126	21144 77351	   	232.87	DCR|3VULN|2DMG|1MLV	16DMG|2FEWX|3MBVNT|4LHND|569VULN|6BPWR|7BEXP|8MLV|aRCR
127	21144 75451	   	232.77	DCR|3VULN|2DMG|1MLV	16DMG|2FEWX|3MBVNT|4LHND|569VULN|6BPWR|7MLV|8DUST|aRCR
128	25134 12253	   	232.52	DCR|3VULN|2DMG|1MLV|1ZMB	14DMG|2AAC|37aVULN|5ZMB|6MBVNT|8RCR|9MLV
129	25114 12254	   	232.52	DCR|3VULN|2DMG|1MLV|1ZMB	1aDMG|2AAC|347VULN|5ZMB|6MBVNT|8RCR|9MLV
130	21126 38122	 * 	232.51	DCR|DCR|1DMG|1MLV|1AART|1ZMB	1DMG|2FEWX|3MBVNT|4AART|5RMIN|6ZMB|7aRCR|8MLV|9BEXP
131	21126 38162	 * 	232.51	DCR|DCR|1DMG|1MLV|1AART|1ZMB	1DMG|2FEWX|3MBVNT|4AART|5RMIN|6ZMB|7aRCR|8MLV|9LWND
132	22266 38122	 * 	232.51	DCR|DCR|1DMG|1MLV|1AART|1ZMB	1DMG|2AART|3FEWX|4MBVNT|5RMIN|6ZMB|7aRCR|8MLV|9BEXP
133	21126 38182	 * 	232.41	DCR|DCR|1DMG|1MLV|1AART|1ZMB	1DMG|2FEWX|3MBVNT|4AART|5RMIN|6ZMB|7aRCR|8MLV|9DUST
134	22662 22253	   	232.36	DCR|2VULN|3DMG|1CDMG|1AART	148DMG|2AART|3BBNT|48BPWR|5FEWX|68LWND|78VULN|9RCR|aCDMG
