0	Index      	 *	Score 	Summary	Detail	
1	23165 22142	 * 	285.80	DCR|DCR|3VULN|1DMG	1RCVC|236VULN|4LSRHEA|5DMG|7aRCR|89ERES
13	61136 23522	   	267.21	DCR|DCR|2VULN|1ASPD|1RPLT	1RMIN|2AAC|36LWND|46VULN|5RPLT|6BPWR|7ASPD|8BLAICY|9aRCR
14	23526 22632	   	265.84	DCR|DCR|3VULN	1RCVC|246VULN|3AME|5VENFST|7aRCR|89AAC
15	23526 22332	   	265.74	DCR|DCR|3VULN	1RCVC|246VULN|38AME|5VENFST|7aRCR|9AAC
16	66114 11322	   	264.50	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1ZMB	1RMIN|2ZMB|3VULN|4ERES|5DMG|6MLV|7AIRHEA|8RPLT|9aRCR
17	23664 32112	   	263.96	DCR|DCR|2VULN|1DMG	1RCVC|2aVULN|3FEWX|47AAC|5DMG|69RCR|8LWND
18	24164 32112	   	263.96	DCR|DCR|2VULN|1DMG	1RCVC|2LHND|3aVULN|47AAC|5DMG|69RCR|8LWND
19	21164 32112	   	263.86	DCR|DCR|2VULN|1DMG	1RCVC|2DUST|3aVULN|47AAC|5DMG|69RCR|8LWND
20	21164 32412	   	263.86	DCR|DCR|2VULN|1DMG	1RCVC|2DUST|3aVULN|47AAC|5DMG|69RCR|8LHND
21	24164 33112	   	263.86	DCR|DCR|2VULN|1DMG	1RCVC|2LHND|3aVULN|4AAC|5DMG|69RCR|7AELOIC|8LWND
22	61424 32112	   	263.86	DCR|DCR|2VULN|1DMG	1RMIN|27AAC|3ERES|4aVULN|5DMG|69RCR|8LWND
23	23664 33112	   	263.86	DCR|DCR|2VULN|1DMG	1RCVC|2aVULN|3FEWX|4AAC|5DMG|69RCR|7AELOIC|8LWND
24	21164 33112	   	263.76	DCR|DCR|2VULN|1DMG	1RCVC|2DUST|3aVULN|4AAC|5DMG|69RCR|7AELOIC|8LWND
25	21164 33412	   	263.76	DCR|DCR|2VULN|1DMG	1RCVC|2DUST|3aVULN|4AAC|5DMG|69RCR|7AELOIC|8LHND
26	61424 31212	   	263.76	DCR|DCR|2VULN|1DMG	1RMIN|2AAC|38ERES|4aVULN|5DMG|69RCR|7LWND
27	61424 33112	   	263.76	DCR|DCR|2VULN|1DMG	1RMIN|2AAC|3ERES|4aVULN|5DMG|69RCR|7AELOIC|8LWND
28	65214 31212	   	263.66	DCR|DCR|2VULN|1DMG	1RMIN|2aVULN|3DMG|48ERES|5NUKE|69RCR|7LWND
29	65214 33212	   	263.66	DCR|DCR|2VULN|1DMG	1RMIN|2aVULN|3DMG|48ERES|5NUKE|69RCR|7BEXP
30	66114 31212	   	263.52	DCR|DCR|2VULN|1DMG|1ZMB	1RMIN|2ZMB|3aVULN|48ERES|5DMG|69RCR|7LWND
31	66114 33212	   	263.52	DCR|DCR|2VULN|1DMG|1ZMB	1RMIN|2ZMB|3aVULN|48ERES|5DMG|69RCR|7BEXP
32	36162 21412	 * 	261.78	ACR|DCR|2VULN|2MLV|1ASPD	1aMLV|2AAC|3aVULN|49RCR|5ASPD|68BEXP|7aAME|aBPWR
33	36162 24212	   	261.68	ACR|DCR|2VULN|2MLV|1ASPD	1aMLV|2AAC|3aVULN|49RCR|5ASPD|6BEXP|78aERES|aBPWR
34	35113 33611	   	261.23	DCR|DCR|2VULN|1MLV	1MLV|25RMIN|3aVULN|4ERES|69RCR|7CGEN|8MGNSTR
35	33121 32216	   	259.64	DCR|DCR|1VULN|1MLV|2RPLT|1AART	1MLV|2RCVC|3ERES|45RPLT|6AART|7VULN|8aRCR|9FEWX
36	33121 32256	   	259.54	DCR|DCR|1VULN|1MLV|2RPLT|1AART	1MLV|2RCVC|3ERES|45RPLT|6AART|7VULN|8aRCR|9DUST
37	14212 31212	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1DUR|2TLV|3DMG|48ERES|5ASPD|69RCR|7LWND|aVULN
38	14212 34212	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1DUR|2TLV|3DMG|48ERES|5ASPD|69RCR|7LHND|aVULN
39	14212 36211	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1DUR|2TLV|3DMG|48ERES|5ASPD|69RCR|7VULN|aBEXP
40	14212 36213	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1DUR|2aTLV|3DMG|48ERES|5ASPD|69RCR|7VULN
41	14212 36214	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1DUR|2TLV|3DMG|48ERES|5ASPD|69RCR|7VULN|aLHND
42	54212 35212	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1LHND|2TLV|3DMG|48ERES|5ASPD|69RCR|7DUR|aVULN
43	14212 36215	   	259.41	DCR|DCR|1VULN|1DMG|1ASPD|1ZMB	1DUR|2TLV|3DMG|48ERES|5ASPD|69RCR|7VULN|aZMB
44	14212 36216	   	259.41	DCR|DCR|1VULN|1DMG|1ASPD	1DUR|2TLV|3DMG|48aERES|5ASPD|69RCR|7VULN
45	36162 35112	 * 	258.63	ACR|DCR|2VULN|2ASPD|1MLV	1MLV|2AAC|3aVULN|49RCR|57ASPD|6RMIN|8LWND
46	36162 63112	   	258.63	ACR|DCR|2VULN|2ASPD|1MLV	1MLV|2AAC|3aVULN|49RCR|56ASPD|7CGEN|8LWND
47	14212 35113	   	257.51	DCR|DCR|2ASPD|1DMG|1MLV	1DUR|2TLV|3DMG|4ERES|57ASPD|69RCR|8LWND|aMLV
48	14212 35413	   	257.51	DCR|DCR|2ASPD|1DMG|1MLV	1DUR|2TLV|3DMG|4ERES|57ASPD|69RCR|8LHND|aMLV
49	46522 32112	   	257.35	DCR|DCR|2VULN|1ASPD	1ERES|27AAC|3AME|4aVULN|5ASPD|69RCR|8LWND
50	46522 31212	   	257.25	DCR|DCR|2VULN|1ASPD	18ERES|2AAC|3AME|4aVULN|5ASPD|69RCR|7LHND
51	46522 33112	   	257.25	DCR|DCR|2VULN|1ASPD	1ERES|2AAC|3AME|4aVULN|5ASPD|69RCR|7AELOIC|8LWND
52	16353 22612	   	256.98	DCR|DCR|1VULN|1MLV|1CDMG	1DUR|2DLOT|3RMIN|4LWND|5BASICY|69RCR|7CDMG|8VULN|aMLV
