0	Index      	 *	Score 	Summary	Detail	
1	11332 54175	 * 	295.79	ACR|DCR|3VULN|2DMG|2DUR	16RCR|29DUR|3MBVNT|49DMG|5LIT|7LHND|89aVULN|9BPWR
67	11214 16133	   	275.34	ACR|DCR|2VULN|2DMG	17RCR|2DUR|39VULN|4BEXP|5TLV|68DMG|aAART
68	11254 16133	   	275.34	ACR|DCR|2VULN|2DMG	17RCR|2DUR|39VULN|4LHND|5TLV|68DMG|aAART
69	11266 16133	   	275.34	ACR|DCR|2VULN|2DMG	17RCR|2DUR|39VULN|4RMIN|5LWND|68DMG|aAART
70	11663 16133	   	275.34	ACR|DCR|2VULN|2DMG	17RCR|2DUR|3LWND|4RMIN|59VULN|68DMG|aAART
71	11332 58327	   	275.29	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	16RCR|2DUR|3MBVNT|4DMG|5LIT|79VULN|8CDMG|aASPD
72	11341 58327	   	275.29	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	16RCR|2DUR|3MBVNT|4LIT|5DMG|79VULN|8CDMG|aASPD
73	11236 36133	   	275.24	ACR|DCR|2VULN|2DMG	17RCR|2DUR|39VULN|48DMG|5LWND|6ERES|aAART
74	11633 36133	   	275.24	ACR|DCR|2VULN|2DMG	17RCR|2DUR|3LWND|48DMG|59VULN|6ERES|aAART
75	51313 13124	   	274.65	DCR|DCR|1VULN|2CDMG|1MLV	1CGEN|2BBNT|37CDMG|4VULN|5MLV|68RCR|9RPLT|aNUKE
76	56313 13124	   	274.65	DCR|DCR|1VULN|2CDMG|1MLV	1CGEN|2TBNT|37CDMG|4VULN|5MLV|68RCR|9RPLT|aNUKE
77	51313 13115	 * 	273.66	DCR|DCR|1VULN|2MLV|2CDMG	1CGEN|2BBNT|37CDMG|4VULN|5aMLV|68RCR|9TBNT
78	56313 13115	   	273.66	DCR|DCR|1VULN|2MLV|2CDMG	1CGEN|2TBNT|37CDMG|4VULN|5aMLV|68RCR|9BBNT
79	43133 54332	   	272.80	DCR|DCR|1VULN|1DMG|1MLV|2DUR	1RCVC|2VULN|3DMG|4LSRHEA|5MLV|67DUR|8DUST|9aRCR
80	13352 42314	   	272.51	ACR|DCR|2VULN|1DMG|1ASPD|1SELL	16RCR|2SELL|3RPLT|4aVULN|5LIT|7AART|8DMG|9ASPD
81	11332 54173	   	272.33	ACR|DCR|2VULN|2DMG|2DUR	16RCR|29DUR|3MBVNT|49DMG|5LIT|7LHND|89VULN|9BPWR|aCGEN
82	11332 54174	   	272.33	ACR|DCR|2VULN|2DMG|2DUR	16RCR|29DUR|3MBVNT|49DMG|5aLIT|7LHND|89VULN|9BPWR
83	11332 54176	   	272.33	ACR|DCR|2VULN|2DMG|2DUR	16RCR|29DUR|3MBVNT|49DMG|5LIT|7LHND|89VULN|9BPWR|aAAC
84	11332 54177	   	272.33	ACR|DCR|2VULN|2DMG|2DUR	16RCR|29DUR|3MBVNT|49DMG|5LIT|7LHND|89VULN|9BPWR|aFEWX
85	11332 54178	   	272.33	ACR|DCR|2VULN|2DMG|2DUR	16RCR|29DUR|3MBVNT|49DMG|5LIT|7LHND|89VULN|9BPWR|aLWND
86	11341 54172	   	272.27	ACR|DCR|2VULN|1DMG|1MLV|2DUR	16RCR|29DUR|3MBVNT|49LIT|5DMG|7LHND|89VULN|9BPWR|aMLV
87	11214 16132	   	272.23	ACR|DCR|2VULN|2DMG|2DUR	17RCR|2aDUR|39VULN|4BEXP|5TLV|68DMG
88	11254 16132	   	272.23	ACR|DCR|2VULN|2DMG|2DUR	17RCR|2aDUR|39VULN|4LHND|5TLV|68DMG
89	11265 16132	   	272.23	ACR|DCR|2VULN|2DMG|2DUR	17RCR|2aDUR|39VULN|4RMIN|5FEWX|68DMG
90	11266 16132	   	272.23	ACR|DCR|2VULN|2DMG|2DUR	17RCR|2aDUR|39VULN|4RMIN|5LWND|68DMG
91	11332 54171	   	272.23	ACR|DCR|2VULN|2DMG|2DUR|1MSE	16RCR|29DUR|3MBVNT|49DMG|5LIT|7LHND|89VULN|9BPWR|aMSE
92	11663 16132	   	272.23	ACR|DCR|2VULN|2DMG|2DUR	17RCR|2aDUR|3LWND|4RMIN|59VULN|68DMG
93	11236 36132	   	272.13	ACR|DCR|2VULN|2DMG|2DUR	17RCR|2aDUR|39VULN|48DMG|5LWND|6ERES
94	11633 36132	   	272.13	ACR|DCR|2VULN|2DMG|2DUR	17RCR|2aDUR|3LWND|48DMG|59VULN|6ERES
95	51313 11133	   	271.80	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	17CGEN|2BBNT|3CDMG|4VULN|5MLV|68RCR|9DMG|aDMSP
96	51313 11134	   	271.80	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	17CGEN|2BBNT|3CDMG|4VULN|5MLV|68RCR|9DMG|aLHND
97	51313 11136	   	271.80	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	17aCGEN|2BBNT|3CDMG|4VULN|5MLV|68RCR|9DMG
98	56313 11133	   	271.80	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	17CGEN|2TBNT|3CDMG|4VULN|5MLV|68RCR|9DMG|aDMSP
99	56313 11134	   	271.80	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	17CGEN|2TBNT|3CDMG|4VULN|5MLV|68RCR|9DMG|aLHND
100	56313 11136	   	271.80	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	17aCGEN|2TBNT|3CDMG|4VULN|5MLV|68RCR|9DMG
101	11213 16231	   	271.55	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4BEXP|5aCGEN|6DMG
102	11213 16233	   	271.55	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4BEXP|5CGEN|6DMG|aTBNT
103	11213 16234	   	271.55	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4BEXP|5CGEN|6DMG|aTLV
104	11213 16235	   	271.55	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4BEXP|5CGEN|6DMG|aFEWX
105	11214 16231	   	271.55	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4BEXP|5TLV|6DMG|aCGEN
106	11214 16234	   	271.55	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4BEXP|5aTLV|6DMG
107	11253 16231	   	271.55	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4LHND|5aCGEN|6DMG
108	11253 16233	   	271.55	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4LHND|5CGEN|6DMG|aTBNT
109	11253 16234	   	271.55	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4LHND|5CGEN|6DMG|aTLV
110	11253 16235	   	271.55	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4LHND|5CGEN|6DMG|aFEWX
111	11254 16231	   	271.55	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4LHND|5TLV|6DMG|aCGEN
112	11265 16231	   	271.55	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4RMIN|5FEWX|6DMG|aCGEN
113	11265 16233	   	271.55	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4RMIN|5FEWX|6DMG|aDMSP
114	11266 16231	   	271.55	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4RMIN|5LWND|6DMG|aCGEN
115	11663 16231	   	271.55	ACR|DCR|3VULN|1DMG	17RCR|2DUR|3LWND|4RMIN|589VULN|6DMG|aCGEN
116	11233 53122	   	271.45	ACR|DCR|3VULN|1DMG	1aRCR|2DUR|357VULN|4DMG|6VENFST|8FEWX|9TLV
117	11233 55152	   	271.45	ACR|DCR|3VULN|1DMG	1aRCR|2DUR|359VULN|4DMG|6VENFST|7TLV|8BEXP
118	11233 55352	   	271.45	ACR|DCR|3VULN|1DMG	1aRCR|2DUR|359VULN|4DMG|6VENFST|7TLV|8LWND
119	11233 66633	   	271.45	ACR|DCR|3VULN|1DMG	19RCR|2DUR|35aVULN|4DMG|6RCVC|7LWND|8MDPS
120	11234 23122	   	271.45	ACR|DCR|3VULN|1DMG	1aRCR|2DUR|367VULN|4DMG|5LSRHEA|8FEWX|9TLV
121	11234 25152	   	271.45	ACR|DCR|3VULN|1DMG	1aRCR|2DUR|369VULN|4DMG|5LSRHEA|7TLV|8BEXP
122	11234 25352	   	271.45	ACR|DCR|3VULN|1DMG	1aRCR|2DUR|369VULN|4DMG|5LSRHEA|7TLV|8LWND
123	11234 53252	   	271.45	ACR|DCR|3VULN|1DMG	1aRCR|2DUR|379VULN|4DMG|5LSRHEA|6BEXP|8CGEN
124	11234 63252	   	271.45	ACR|DCR|3VULN|1DMG	1aRCR|2DUR|379VULN|4DMG|5LSRHEA|6FEWX|8CGEN
125	11236 36231	   	271.45	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4DMG|5LWND|6ERES|aCGEN
126	11236 36234	   	271.45	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4DMG|5LWND|6ERES|aTLV
127	11236 36235	   	271.45	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4DMG|5LWND|6ERES|aFEWX
128	11236 45133	   	271.45	ACR|DCR|3VULN|1DMG	19RCR|2DUR|36aVULN|4DMG|5LWND|7LHND|8DUST
129	11332 54145	   	271.45	ACR|DCR|3VULN|1DMG	16RCR|2DUR|3MBVNT|4DMG|5LIT|7LHND|89aVULN
130	11332 58135	   	271.45	ACR|DCR|3VULN|1DMG	16RCR|2DUR|3MBVNT|4DMG|5LIT|78aVULN|9FEWX
131	11341 54145	   	271.45	ACR|DCR|3VULN|1DMG	16RCR|2DUR|3MBVNT|4LIT|5DMG|7LHND|89aVULN
132	11341 58135	   	271.45	ACR|DCR|3VULN|1DMG	16RCR|2DUR|3MBVNT|4LIT|5DMG|78aVULN|9FEWX
133	11633 36231	   	271.45	ACR|DCR|3VULN|1DMG	17RCR|2DUR|3LWND|4DMG|589VULN|6ERES|aCGEN
134	11633 36234	   	271.45	ACR|DCR|3VULN|1DMG	17RCR|2DUR|3LWND|4DMG|589VULN|6ERES|aTLV
135	11633 36235	   	271.45	ACR|DCR|3VULN|1DMG	17RCR|2DUR|3LWND|4DMG|589VULN|6ERES|aFEWX
136	11633 45133	   	271.45	ACR|DCR|3VULN|1DMG	19RCR|2DUR|3LWND|4DMG|56aVULN|7LHND|8DUST
137	11634 23252	   	271.45	ACR|DCR|3VULN|1DMG	1aRCR|2DUR|3LWND|4DMG|5TSLARM|679VULN|8CGEN
138	11213 16232	   	271.45	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4BEXP|5CGEN|6DMG|aLSRREG
139	11213 16236	   	271.45	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4BEXP|5CGEN|6DMG|aAME
140	11253 16232	   	271.45	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4LHND|5CGEN|6DMG|aLSRREG
141	11253 16236	   	271.45	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4LHND|5CGEN|6DMG|aAME
142	11263 25152	   	271.45	ACR|DCR|3VULN|1DMG	1aRCR|2DUR|359VULN|4RMIN|6DMG|7BLAICY|8BEXP
143	11263 25352	   	271.45	ACR|DCR|3VULN|1DMG	1aRCR|2DUR|359VULN|4RMIN|6DMG|7BLAICY|8LWND
144	11233 53422	   	271.35	ACR|DCR|3VULN|1DMG	1aRCR|2DUR|357VULN|4DMG|6VENFST|8DUST|9TLV
145	11234 23422	   	271.35	ACR|DCR|3VULN|1DMG	1aRCR|2DUR|367VULN|4DMG|5LSRHEA|8DUST|9TLV
146	11236 36236	   	271.35	ACR|DCR|3VULN|1DMG	17RCR|2DUR|389VULN|4DMG|5LWND|6ERES|aAME
147	11633 36236	   	271.35	ACR|DCR|3VULN|1DMG	17RCR|2DUR|3LWND|4DMG|589VULN|6ERES|aAME
148	43125 43222	 * 	271.26	DCR|4VULN|2DMG|2CDMG	1RCVC|2678VULN|35DMG|45CDMG|5BPWR|9RPLT|aRCR
149	32324 13132	   	270.48	DCR|DCR|2VULN|1ASPD	1ASPD|2BASHEA|3RMIN|47BEXP|56VULN|8DUR|9aRCR
150	32324 14132	   	270.48	DCR|DCR|2VULN|1ASPD	1ASPD|2BASHEA|3RMIN|4BEXP|56VULN|7DUR|8RCVC|9aRCR
151	32324 14532	   	270.48	DCR|DCR|2VULN|1ASPD	1ASPD|2BASHEA|3RMIN|48BEXP|56VULN|7DUR|9aRCR
152	33324 13132	   	270.48	DCR|DCR|2VULN|1ASPD	1ASPD|2CANSTR|3RMIN|47BEXP|56VULN|8DUR|9aRCR
153	33324 14132	   	270.48	DCR|DCR|2VULN|1ASPD	1ASPD|2CANSTR|3RMIN|4BEXP|56VULN|7DUR|8RCVC|9aRCR
154	33324 14532	   	270.48	DCR|DCR|2VULN|1ASPD	1ASPD|2CANSTR|3RMIN|48BEXP|56VULN|7DUR|9aRCR
155	32354 33132	   	270.48	DCR|DCR|2VULN|1ASPD	1ASPD|2BASHEA|3RMIN|45VULN|67BEXP|8DUR|9aRCR
156	32354 34132	   	270.48	DCR|DCR|2VULN|1ASPD	1ASPD|2BASHEA|3RMIN|45VULN|6BEXP|7DUR|8RCVC|9aRCR
157	32354 53132	   	270.48	DCR|DCR|2VULN|1ASPD	1ASPD|2BASHEA|3RMIN|45VULN|6DUR|7BEXP|8RCVC|9aRCR
158	33354 33132	   	270.48	DCR|DCR|2VULN|1ASPD	1ASPD|2CANSTR|3RMIN|45VULN|67BEXP|8DUR|9aRCR
159	33354 34132	   	270.48	DCR|DCR|2VULN|1ASPD	1ASPD|2CANSTR|3RMIN|45VULN|6BEXP|7DUR|8RCVC|9aRCR
160	33354 53132	   	270.48	DCR|DCR|2VULN|1ASPD	1ASPD|2CANSTR|3RMIN|45VULN|6DUR|7BEXP|8RCVC|9aRCR
161	32354 22132	   	270.38	DCR|DCR|2VULN|1ASPD	1ASPD|2BASHEA|3RMIN|45VULN|6DUST|7DUR|8RCVC|9aRCR
162	32354 51132	   	270.38	DCR|DCR|2VULN|1ASPD	1ASPD|2BASHEA|3RMIN|45VULN|6DUR|7DUST|8RCVC|9aRCR
163	32356 12132	   	270.38	DCR|DCR|2VULN|1ASPD	1ASPD|2BASHEA|3RMIN|46VULN|5DUST|7DUR|8RCVC|9aRCR
164	33354 22132	   	270.38	DCR|DCR|2VULN|1ASPD	1ASPD|2CANSTR|3RMIN|45VULN|6DUST|7DUR|8RCVC|9aRCR
165	33354 51132	   	270.38	DCR|DCR|2VULN|1ASPD	1ASPD|2CANSTR|3RMIN|45VULN|6DUR|7DUST|8RCVC|9aRCR
166	33356 12132	   	270.38	DCR|DCR|2VULN|1ASPD	1ASPD|2CANSTR|3RMIN|46VULN|5DUST|7DUR|8RCVC|9aRCR
167	32354 21132	   	270.28	DCR|DCR|2VULN|1ASPD	1ASPD|2BASHEA|3RMIN|45VULN|67DUST|8DUR|9aRCR
168	32354 22332	   	270.28	DCR|DCR|2VULN|1ASPD	1ASPD|2BASHEA|3RMIN|45VULN|68DUST|7DUR|9aRCR
169	32354 51332	   	270.28	DCR|DCR|2VULN|1ASPD	1ASPD|2BASHEA|3RMIN|45VULN|6DUR|78DUST|9aRCR
170	32356 11132	   	270.28	DCR|DCR|2VULN|1ASPD	1ASPD|2BASHEA|3RMIN|46VULN|57DUST|8DUR|9aRCR
171	32356 12332	   	270.28	DCR|DCR|2VULN|1ASPD	1ASPD|2BASHEA|3RMIN|46VULN|58DUST|7DUR|9aRCR
172	33354 21132	   	270.28	DCR|DCR|2VULN|1ASPD	1ASPD|2CANSTR|3RMIN|45VULN|67DUST|8DUR|9aRCR
173	33354 22332	   	270.28	DCR|DCR|2VULN|1ASPD	1ASPD|2CANSTR|3RMIN|45VULN|68DUST|7DUR|9aRCR
174	33354 51332	   	270.28	DCR|DCR|2VULN|1ASPD	1ASPD|2CANSTR|3RMIN|45VULN|6DUR|78DUST|9aRCR
175	33356 11132	   	270.28	DCR|DCR|2VULN|1ASPD	1ASPD|2CANSTR|3RMIN|46VULN|57DUST|8DUR|9aRCR
176	33356 12332	   	270.28	DCR|DCR|2VULN|1ASPD	1ASPD|2CANSTR|3RMIN|46VULN|58DUST|7DUR|9aRCR
177	21743 88213	   	270.18	DCR|DCR|2VULN|1CDMG	1LEGI|2MBVNT|3VENICY|4DUR|57VULN|6aRCR|8AIRARM|9CDMG
178	43531 51232	 * 	268.59	DCR|DCR|2VULN|1DMG	1RCVC|26VULN|3FEWX|4LHND|5RMIN|7DMG|8MSLTOX|9aRCR
179	51313 11124	   	268.33	DCR|DCR|1VULN|1MLV|1CDMG	17CGEN|2BBNT|3CDMG|4VULN|5MLV|68RCR|9RPLT|aNUKE
180	56313 11124	   	268.33	DCR|DCR|1VULN|1MLV|1CDMG	17CGEN|2TBNT|3CDMG|4VULN|5MLV|68RCR|9RPLT|aNUKE
181	11253 16261	   	268.29	ACR|DCR|2VULN|1DMG|2DUR|1CDMG	17RCR|2aDUR|38VULN|4LHND|5CGEN|6DMG|9CDMG
182	11332 58328	   	268.19	ACR|DCR|2VULN|1DMG|2DUR|1CDMG	16RCR|2aDUR|3MBVNT|4DMG|5LIT|79VULN|8CDMG
