0	Index      	 *	Score 	Summary	Detail	
1	11623 27622	 * 	301.67	DCR|2TLV|2VULN|3DMG|2DUR	149DMG|24DUR|3MBVNT|49BPWR|59TLV|6AIRARM|7DUST|89VULN|aRCR
28	13136 11156	   	278.90	ACR|DCR|1TLV|2DMG|1AEFBLL|1ASPD	17DMG|2BEXP|3ERES|49RCR|5TLV|6AEWIND|8AEFBLL|aASPD
29	23132 62261	   	278.43	ACR|DCR|2TLV|1VULN	1LHND|2VULN|3DUST|4aRCR|5ZMB|6LEGI|78TLV|9AAC
30	16621 13116	   	278.30	DCR|2VULN|1TLV|2DMG|1ASPD	14DMG|2RAT|3DUR|5FLTHEA|69VULN|7RCR|8ASPD|aTLV
31	23236 32245	 * 	277.07	ACR|2TLV|2VULN|2DMG	1LHND|2aVULN|3DUR|4RCR|5DUST|6aDMG|78TLV|9aMLV|aBPWR
32	12422 13146	   	276.53	DCR|2VULN|1TLV|2ASPD|1AEFBLL|1DMG	1DMG|29BASICY|3AEFBLL|4DUST|59VULN|6RAT|7RCR|89ASPD|9BPWR|aTLV
33	21335 32261	   	276.36	ACR|DCR|2TLV|1VULN|1DMG|1MSE	1LHND|2DUST|3MSE|4aRCR|5VULN|6DMG|78TLV|9AAC
34	36335 32261	   	276.36	ACR|DCR|2TLV|1VULN|1DMG|1MSE	1DUST|2LHND|3MSE|4aRCR|5VULN|6DMG|78TLV|9AAC
35	11212 21635	   	275.94	DCR|2VULN|1TLV|1DMG|2AEBURN|2DUR|1CDMG	1DMG|29DUR|3CDMG|4BASARM|59VULN|6LHND|7RCR|89AEBURN|9BPWR|aTLV
36	11222 21635	   	275.94	DCR|2VULN|1TLV|1DMG|2AEBURN|2DUR|1CDMG	1DMG|29DUR|3CDMG|4SPLARM|59VULN|6LHND|7RCR|89AEBURN|9BPWR|aTLV
37	11262 21635	   	275.94	DCR|2VULN|1TLV|1DMG|2AEBURN|2DUR|1CDMG	1DMG|29DUR|3CDMG|4BLASTR|59VULN|6LHND|7RCR|89AEBURN|9BPWR|aTLV
38	23232 35451	   	275.40	ACR|DCR|1TLV|1VULN|1CDMG|1SELL	1LHND|2VULN|3DUR|4aRCR|5ZMB|6SELL|7TLV|8DUST|9CDMG
39	52122 13146	   	275.27	DCR|2VULN|1TLV|2ASPD|1DMG|2DUR	1AEWIND|29DUR|3DMG|4MULFIG|59VULN|6RAT|7RCR|89ASPD|9BPWR|aTLV
40	23231 22261	   	275.21	ACR|DCR|1TLV|1VULN|1DMG	1LHND|2VULN|3DUR|4aRCR|58BEXP|6DMG|7TLV|9AAC
41	23231 22361	   	275.21	ACR|DCR|1TLV|1VULN|1DMG	1LHND|2VULN|3DUR|4aRCR|5BEXP|6DMG|7TLV|8RCVC|9AAC
42	23231 24663	   	275.11	ACR|DCR|1TLV|1VULN|1DMG	1LHND|2VULN|3DUR|4aRCR|5BEXP|6DMG|7FEWX|8TLV|9ERES
43	11531 24225	 * 	275.07	DCR|DCR|1TLV|3DUR|1DMG|1AEPOI	1DMG|234DUR|5BELT|6TLV|7aRCR|8LWND|9AEPOI
44	23231 22163	   	275.01	ACR|DCR|1TLV|1VULN|1DMG	1LHND|2VULN|3DUR|4aRCR|5BEXP|6DMG|7TLV|8DUST|9ERES
45	23231 25663	   	275.01	ACR|DCR|1TLV|1VULN|1DMG	1LHND|2VULN|3DUR|4aRCR|5BEXP|6DMG|7DUST|8TLV|9ERES
46	23236 32161	   	275.01	ACR|DCR|1TLV|1VULN|1DMG	1LHND|2VULN|3DUR|4aRCR|58DUST|6DMG|7TLV|9AAC
47	24135 32161	   	275.01	ACR|DCR|1TLV|1VULN|1DMG	1LHND|2DUR|38DUST|4aRCR|5VULN|6DMG|7TLV|9AAC
48	11136 11133	   	274.91	ACR|DCR|1TLV|2DMG|1AEFBLL	17DMG|2DUR|3ERES|4aRCR|5TLV|6AEWIND|8AEFBLL|9BEXP
49	11136 11151	   	274.91	ACR|DCR|1TLV|2DMG|1AEFBLL|1AEPOI	17DMG|2DUR|3ERES|49RCR|5TLV|6AEWIND|8AEFBLL|aAEPOI
50	11136 11152	   	274.91	ACR|DCR|1TLV|2DMG|1AEFBLL	17DMG|2DUR|3ERES|49RCR|5TLV|6AEWIND|8AEFBLL|aAAC
51	11136 11154	   	274.91	ACR|DCR|1TLV|2DMG|1AEFBLL	17DMG|2DUR|3ERES|49RCR|5TLV|6AEWIND|8AEFBLL|aAME
52	11136 11155	   	274.91	ACR|DCR|1TLV|2DMG|1AEFBLL	17DMG|2DUR|3ERES|49RCR|5TLV|6AEWIND|8AEFBLL|aLHND
53	11136 11163	   	274.91	ACR|DCR|1TLV|2DMG|1AEFBLL	17DMG|2DUR|3ERES|4aRCR|5TLV|6AEWIND|8AEFBLL|9LHND
54	11136 11651	   	274.91	ACR|DCR|1TLV|2DMG|1AEPOI	17DMG|2DUR|3ERES|49RCR|5TLV|6AEWIND|8RCVC|aAEPOI
55	11136 51133	   	274.91	ACR|DCR|1TLV|2DMG|1AEFBLL	17DMG|2DUR|36ERES|4aRCR|5TLV|8AEFBLL|9BEXP
56	11136 51151	   	274.91	ACR|DCR|1TLV|2DMG|1AEFBLL|1AEPOI	17DMG|2DUR|36ERES|49RCR|5TLV|8AEFBLL|aAEPOI
57	11136 51152	   	274.91	ACR|DCR|1TLV|2DMG|1AEFBLL	17DMG|2DUR|36ERES|49RCR|5TLV|8AEFBLL|aAAC
58	11136 51163	   	274.91	ACR|DCR|1TLV|2DMG|1AEFBLL	17DMG|2DUR|36ERES|4aRCR|5TLV|8AEFBLL|9LHND
59	11136 11123	   	274.81	ACR|DCR|1TLV|2DMG|1AEFBLL	17DMG|2DUR|3ERES|4aRCR|5TLV|6AEWIND|8AEFBLL|9DUST
60	11136 11153	   	274.81	ACR|DCR|1TLV|2DMG|1AEFBLL	17DMG|2DUR|3aERES|49RCR|5TLV|6AEWIND|8AEFBLL
61	11136 51123	   	274.81	ACR|DCR|1TLV|2DMG|1AEFBLL	17DMG|2DUR|36ERES|4aRCR|5TLV|8AEFBLL|9DUST
62	11136 51153	   	274.81	ACR|DCR|1TLV|2DMG|1AEFBLL	17DMG|2DUR|36aERES|49RCR|5TLV|8AEFBLL
63	12233 13146	 * 	274.25	DCR|2VULN|1TLV|2DMG|2ASPD	19DMG|2BASICY|39VULN|45LWND|6RAT|7RCR|89ASPD|9BPWR|aTLV
64	15233 13146	   	274.25	DCR|2VULN|1TLV|2DMG|2ASPD	19DMG|2MSLREG|39VULN|45LWND|6RAT|7RCR|89ASPD|9BPWR|aTLV
65	12432 13116	   	273.73	DCR|2VULN|1TLV|1AEFBLL|1DMG|1ASPD	1DMG|2BASICY|3AEFBLL|4DUR|59VULN|6RAT|7RCR|8ASPD|aTLV
66	12436 13116	   	273.73	DCR|2VULN|1TLV|1AEFBLL|1DMG|1ASPD	1DMG|2BASICY|3AEFBLL|4DUR|5RAT|69VULN|7RCR|8ASPD|aTLV
67	15432 13116	   	273.73	DCR|2VULN|1TLV|1AEFBLL|1DMG|1ASPD	1DMG|2MSLREG|3AEFBLL|4DUR|59VULN|6RAT|7RCR|8ASPD|aTLV
68	23236 32215	   	272.94	ACR|2TLV|2VULN|1DMG|1ASPD	1LHND|29VULN|3DUR|4RCR|5DUST|6DMG|78TLV|aASPD
69	23236 32216	   	272.94	ACR|2TLV|2VULN|1DMG|1CDMG	1LHND|29VULN|3DUR|4RCR|5DUST|6DMG|78TLV|aCDMG
70	24135 32215	   	272.94	ACR|2TLV|2VULN|1DMG|1ASPD	1LHND|2DUR|3DUST|4RCR|59VULN|6DMG|78TLV|aASPD
71	24135 32216	   	272.94	ACR|2TLV|2VULN|1DMG|1CDMG	1LHND|2DUR|3DUST|4RCR|59VULN|6DMG|78TLV|aCDMG
72	16331 33642	   	272.80	DCR|2VULN|1TLV|2DMG|2RAT|1AART	19DMG|23RAT|49LWND|5FLTHEA|6TLV|79VULN|8RCR|9BPWR|aAART
73	12261 22724	   	272.67	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1DMG|26BASICY|368VULN|4MBVNT|5AART|6BPWR|7RCR|9TLV|aCDMG
74	15261 22724	   	272.67	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1DMG|26MSLREG|368VULN|4MBVNT|5AART|6BPWR|7RCR|9TLV|aCDMG
75	12261 22488	 * 	272.41	DCR|DCR|3VULN|1DMG|1AART	1DMG|26BASICY|369VULN|4MBVNT|5AART|6BPWR|7aRCR|8DUST
76	21635 22421	   	272.39	ACR|DCR|1TLV|1VULN|1DMG	19LHND|2DUST|3BEXP|4aRCR|5VULN|6DMG|7TLV|8ZMB
77	23131 22421	   	272.39	ACR|DCR|1TLV|1VULN|1DMG	19LHND|2VULN|3DUST|4aRCR|5BEXP|6DMG|7TLV|8ZMB
78	23132 62561	   	272.29	ACR|DCR|1TLV|1VULN|1AEFBLL	1LHND|2VULN|3DUST|4aRCR|5ZMB|6LEGI|7TLV|8AEFBLL|9AAC
79	11623 82482	   	272.01	DCR|2TLV|3DMG|1VULN|2DUR	147DMG|24DUR|3MBVNT|47BPWR|57TLV|67TSLHEL|8VULN|9FEWX|aRCR
80	11623 82422	   	271.91	DCR|2TLV|3DMG|1VULN|2DUR	147DMG|24DUR|3MBVNT|47BPWR|57TLV|67TSLHEL|8VULN|9LEGI|aRCR
81	11623 22275	   	271.81	DCR|2TLV|3DMG|1VULN|2DUR	147DMG|24DUR|3MBVNT|47BPWR|57TLV|67AIRARM|8CGEN|9RCR|aVULN
82	11623 22482	   	271.81	DCR|2TLV|3DMG|1VULN|2DUR	147DMG|24DUR|3MBVNT|47BPWR|57TLV|67AIRARM|8VULN|9FEWX|aRCR
83	11623 62482	   	271.81	DCR|2TLV|3DMG|1VULN|2DUR	147DMG|24DUR|3MBVNT|47BPWR|57TLV|67CANSTR|8VULN|9FEWX|aRCR
84	11623 22422	   	271.71	DCR|2TLV|3DMG|1VULN|2DUR	147DMG|24DUR|3MBVNT|47BPWR|57TLV|67AIRARM|8VULN|9LEGI|aRCR
85	11623 62422	   	271.71	DCR|2TLV|3DMG|1VULN|2DUR	147DMG|24DUR|3MBVNT|47BPWR|57TLV|67CANSTR|8VULN|9LEGI|aRCR
