0	Index      	 *	Score 	Summary	Detail	
1	62241 12422	 * 	305.61	ACR|3TLV|3VULN|2DMG|1SELL	1RPLT|2SELL|3RMIN|489TLV|5RCR|68aVULN|78DMG|8BPWR
21	32531 18522	   	280.96	ACR|2VULN|1TLV|2DMG|2ASPD|1CDMG	18ASPD|2MBVNT|3CGEN|48DMG|5RCR|68VULN|7RMIN|8BPWR|9TLV|aCDMG
22	62241 12423	 * 	280.92	ACR|3TLV|2VULN|2DMG|1SELL	1RPLT|2SELL|3RMIN|489TLV|5RCR|68VULN|78DMG|8BPWR|aLHND
23	32211 12522	   	280.86	ACR|2VULN|1TLV|2DMG|2ASPD|1CDMG	18ASPD|2MBVNT|3AAC|4ERES|5RCR|68VULN|78DMG|8BPWR|9TLV|aCDMG
24	32235 12711	   	280.86	ACR|2TLV|2VULN|2DMG|1ASPD	1ASPD|2MBVNT|3AAC|47DMG|5RCR|68VULN|9aTLV
25	32531 12611	   	280.86	ACR|2TLV|2VULN|2DMG|1ASPD	1ASPD|2MBVNT|3CGEN|47DMG|5RCR|68VULN|9aTLV
26	36226 11411	   	280.46	ACR|3VULN|2TLV|2ASPD	18ASPD|25DUST|368VULN|4RCR|78BEXP|8BPWR|9aTLV
27	36226 12411	   	280.46	ACR|3VULN|2TLV|2ASPD	18ASPD|25DUST|368VULN|4RCR|78LHND|8BPWR|9aTLV
28	36226 13411	   	280.46	ACR|3VULN|2TLV|2ASPD	18ASPD|25DUST|368VULN|4RCR|78FEWX|8BPWR|9aTLV
29	54332 11432	 * 	280.35	ACR|DCR|1TLV|1VULN|2AART|1ASPD	1AME|25AART|3ASPD|4aRCR|6TLV|7MLV|8VULN|9RMIN
30	32531 12623	   	279.35	ACR|3VULN|1TLV|2DMG|1ASPD	1ASPD|2MBVNT|3CGEN|47DMG|5RCR|689VULN|aTLV
31	42231 12543	   	279.31	ACR|2VULN|1TLV|2DMG|1AEFBLL|1AART	18LHND|2ZMB|3AAC|48DMG|5RCR|68VULN|7AART|8BPWR|9AEFBLL|aTLV
32	41535 21321	   	279.20	ACR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	1LHND|2RCVC|3TLV|47RCR|5VULN|6LIT|8AEFBLL|9ASPD|aFEWX
33	41535 21322	   	279.20	ACR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	1aLHND|2RCVC|3TLV|47RCR|5VULN|6LIT|8AEFBLL|9ASPD
34	41535 21323	   	279.20	ACR|DCR|1TLV|1VULN|1AEFBLL|1ASPD	1LHND|2RCVC|3TLV|47RCR|5VULN|6LIT|8AEFBLL|9ASPD|aCGEN
35	36212 24222	 * 	278.98	DCR|3TLV|2VULN|2ASPD	16ASPD|2DUST|3aVULN|489TLV|5DUR|7RCR
36	36212 24521	   	278.98	DCR|3TLV|2VULN|2ASPD	16ASPD|2DUST|38VULN|49aTLV|5DUR|7RCR
37	41535 21113	   	278.83	ACR|DCR|2TLV|1VULN	19LHND|2RCVC|39TLV|47RCR|5VULN|6LIT|89BEXP|9BPWR|aRAT
38	54332 13132	 * 	278.47	ACR|DCR|2TLV|2AART|1ASPD	1AME|25AART|3ASPD|4aRCR|67TLV|8LHND|9DUR
39	54332 13632	   	278.47	ACR|DCR|2TLV|2AART|1ASPD	1AME|25AART|3ASPD|4aRCR|67TLV|8LWND|9DUR
40	32711 12561	   	277.45	ACR|2VULN|1TLV|2DMG|2ASPD|2ZMB	18ASPD|2MBVNT|38ZMB|4ERES|5RCR|69VULN|78DMG|8BPWR|aTLV
41	32211 12528	   	276.87	ACR|2VULN|1TLV|2DMG|2ASPD	18ASPD|2MBVNT|3AAC|4ERES|5RCR|68VULN|78DMG|8BPWR|9TLV|aDUR
42	12315 41114	   	276.74	ACR|DCR|1TLV|1VULN|1CDMG|1AART|1SELL	1CDMG|2FRZICY|3SNITOX|4FEWX|5aRCR|6VULN|7TLV|8SELL|9AART
43	54252 11312	   	276.46	ACR|DCR|1TLV|1VULN|1DMG|1AART	1AME|2AART|3RCVC|4aRCR|5ERES|6TLV|7MLV|8VULN|9DMG
44	36233 51212	   	275.93	DCR|2TLV|2VULN|2ASPD|1DMG	19ASPD|2DUST|39VULN|4BEXP|5DMG|6RPLT|7RCR|89TLV|9BPWR|aAME
45	36233 51214	   	275.93	DCR|2TLV|2VULN|2ASPD|1DMG	19ASPD|2DUST|39VULN|4BEXP|5DMG|6RPLT|7RCR|89TLV|9BPWR|aFEWX
46	36253 51212	   	275.93	DCR|2TLV|2VULN|2ASPD|1DMG	19ASPD|2DUST|39VULN|4FEWX|5DMG|6RPLT|7RCR|89TLV|9BPWR|aAME
47	36263 51212	   	275.93	DCR|2TLV|2VULN|2ASPD|1DMG	19ASPD|2DUST|39VULN|4LWND|5DMG|6RPLT|7RCR|89TLV|9BPWR|aAME
48	32247 48211	   	275.83	DCR|2TLV|2VULN|2ASPD|1DMG	16ASPD|2MBVNT|3AAC|4RCVC|56VULN|6BPWR|7RCR|8DMG|9aTLV
49	32411 11511	   	275.83	ACR|2TLV|2VULN|2ASPD|2AEBURN	18ASPD|2MBVNT|37LHND|48AEBURN|5RCR|68VULN|8BPWR|9aTLV
50	32411 53511	   	275.83	ACR|2TLV|2VULN|2ASPD|2AEBURN	18ASPD|2MBVNT|3LHND|48AEBURN|5RCR|6DMSP|78VULN|8BPWR|9aTLV
51	36233 51211	   	275.83	DCR|2TLV|2VULN|2ASPD|1DMG	19ASPD|2aDUST|39VULN|4BEXP|5DMG|6RPLT|7RCR|89TLV|9BPWR
52	36233 51213	   	275.83	DCR|2TLV|2VULN|2ASPD|1DMG	19ASPD|2DUST|39VULN|4BEXP|5DMG|6RPLT|7RCR|89TLV|9BPWR|aERES
53	36253 51211	   	275.83	DCR|2TLV|2VULN|2ASPD|1DMG	19ASPD|2aDUST|39VULN|4FEWX|5DMG|6RPLT|7RCR|89TLV|9BPWR
54	36253 51213	   	275.83	DCR|2TLV|2VULN|2ASPD|1DMG	19ASPD|2DUST|39VULN|4FEWX|5DMG|6RPLT|7RCR|89TLV|9BPWR|aERES
55	36263 51211	   	275.83	DCR|2TLV|2VULN|2ASPD|1DMG	19ASPD|2aDUST|39VULN|4LWND|5DMG|6RPLT|7RCR|89TLV|9BPWR
56	36263 51213	   	275.83	DCR|2TLV|2VULN|2ASPD|1DMG	19ASPD|2DUST|39VULN|4LWND|5DMG|6RPLT|7RCR|89TLV|9BPWR|aERES
57	32411 83711	   	275.73	ACR|2TLV|2VULN|2ASPD|1AEBURN	16ASPD|2MBVNT|3LHND|4AEBURN|5RCR|78VULN|9aTLV
58	32111 15511	   	275.63	ACR|2TLV|2VULN|2ASPD|2AEBURN	18ASPD|2MBVNT|37DUST|48AEBURN|5RCR|68VULN|8BPWR|9aTLV
59	32111 47511	   	275.63	ACR|2TLV|2VULN|2ASPD|2AEBURN	18ASPD|2MBVNT|36DUST|48AEBURN|5RCR|78VULN|8BPWR|9aTLV
