0	Index      	 *	Score 	Summary	Detail	
1	52322 36423	 * 	302.56	橙橙2易伤1等级1矿等	1a易伤2赏金塔34掉矿5矿等6挖尘7等级89核
37	23426 33262	   	276.40	橙橙2等级1易伤1暴击	1低血量敌人2随机矿3雷电4易伤58等级6a核7暴击9最后敌人
38	12333 35423	   	276.36	橙橙2易伤1等级	1金币生成2等级35掉矿4挖尘6a易伤7赏金邻近89核
39	23426 33222	   	276.30	橙橙2等级1易伤1暴击	1低血量敌人2随机矿3雷电4易伤58等级6a核7暴击9挖青
40	33334 33262	   	276.20	橙橙2等级1易伤1暴击	1掉矿2雷电3易伤48等级5挖尘6a核7暴击9最后敌人
41	33334 33222	   	276.10	橙橙2等级1易伤1暴击	1掉矿2雷电3易伤48等级5挖尘6a核7暴击9挖青
42	62316 11135	   	275.95	紫橙1易伤1等级1矿等1攻速1暴击	1a核2易伤3时间4暴击5等级6矿等7最后敌人8攻速9随机矿
43	62315 36221	   	275.85	紫橙1易伤1等级1矿等1攻速1暴击	16核2易伤3时间4暴击5双倍秒伤7攻速8技能点9等级a矿等
44	62316 12135	   	275.85	紫橙1易伤1等级1矿等1攻速1暴击	1a核2易伤3时间4暴击5等级6矿等7挖尘8攻速9随机矿
45	52322 36422	   	274.48	橙橙1易伤1等级1矿等	1易伤2赏金塔34掉矿5矿等6挖尘7等级89核a策反
46	52322 36421	   	274.38	橙橙1易伤1等级1矿等	1易伤2赏金塔34掉矿5矿等6挖尘7等级89核a风暴减费
47	62136 32623	   	274.13	紫橙2易伤1等级1矿等	19核2a易伤3金币生成4立即金币5赏金塔6等级7时间8矿等
48	55622 12222	   	273.49	橙3易伤1等级1矿等1伤害	157易伤2时间3等级4伤害6随机技能8基地爆炸9核a矿等
