0	Index      	 *	Score 	Summary	Detail	
1	11655 21321	 * 	285.44	橙橙3易伤1攻速	1多重对甲2挖青345易伤6双倍物品7a核8攻速9赏金塔
43	23116 66323	   	261.98	橙橙2易伤1暴击	1金币生成23易伤4加一5加农对毒67核8随机矿9机枪对壮a暴击
44	34112 12511	   	261.98	橙橙2易伤1暴击	13易伤2掉矿4加一5雷电6防空对愈7基地爆炸8a核9暴击
45	34112 18511	   	261.98	橙橙2易伤1暴击	13易伤2掉矿4加一5雷电6防空对愈7低血量敌人8a核9暴击
46	34116 74343	   	261.98	橙橙2易伤1暴击	13易伤2掉矿4加一5加农对毒6额外掉落7暴击8最后敌人9a核
47	11615 21321	   	261.88	橙橙2易伤1攻速	1多重对甲2挖青35易伤4激光减费6双倍物品7a核8攻速9赏金塔
48	23116 66241	   	261.88	橙橙2易伤1暴击	1金币生成23易伤4加一5加农对毒67核8暴击9导弹对绿a基础对愈
49	36212 23663	   	259.38	紫橙2易伤2攻速1暴击	19易伤29挖尘3暴击4挖青5a核6赏金塔7雷电89攻速9序列升级
50	23116 66334	   	258.09	橙橙2易伤1全技能	1金币生成23易伤4加一5加农对毒67核8随机矿9基地爆炸a全技能
51	23116 66314	   	256.73	橙橙2易伤	1金币生成23易伤4加一5加农对毒67核8随机矿9低血量敌人a时间
52	23116 66424	   	256.63	橙橙2易伤	1金币生成23易伤4加一5加农对毒67核8技能点9敌人爆炸a时间
53	23116 66431	   	256.63	橙橙2易伤	1金币生成23易伤4加一5加农对毒67核8技能点9时间a技能
54	23116 66433	   	256.63	橙橙2易伤	1金币生成23易伤4加一5加农对毒67核8技能点9时间a最后敌人
55	23116 66444	   	256.63	橙橙2易伤	1金币生成23易伤4加一5加农对毒67核8技能点9最后敌人a时间
56	23116 66414	   	256.53	橙橙2易伤	1金币生成23易伤4加一5加农对毒67核8技能点9挖青a时间
