0	Index      	 *	Score 	Summary	Detail	
1	12322 34163	 * 	282.00	橙5易伤2矿等1伤害2时间	15689易伤2额外掉落3伤害49时间79矿等9序列升级a核
24	35261 22342	   	257.35	橙橙2易伤1攻速	1金币生成28易伤3攻速4等级5狙击对黄6a核7寒冰对黄9最后敌人
25	13261 22362	   	257.25	橙橙2易伤1攻速	18易伤2金币生成3攻速4等级5狙击对黄6a核7寒冰对黄9挖尘
26	13451 22432	   	257.25	橙橙2易伤1攻速	14易伤2金币生成3基础对甲5敌人爆炸6a核7加农对毒8攻速9技能点
27	13452 22432	   	257.25	橙橙2易伤1攻速	14易伤2金币生成3基础对甲5基地爆炸6a核7加农对毒8攻速9技能点
28	35261 22362	   	257.25	橙橙2易伤1攻速	1金币生成28易伤3攻速4等级5狙击对黄6a核7寒冰对黄9挖尘
29	21221 12444	   	255.76	橙橙1易伤2时间1暴击1平台	1双倍秒伤2低血量敌人3平台4赏金塔5暴击67时间8易伤9a核
30	21221 11444	 * 	255.52	橙橙1易伤2暴击1平台	1双倍秒伤2低血量敌人3平台4赏金塔57暴击6时间8易伤9a核
31	64142 31161	   	255.52	橙橙1易伤1伤害1平台	1立即金币2加一3赏金塔4双倍秒伤5易伤6平台7时间8a核9伤害
32	32225 22112	   	255.19	橙橙1易伤1伤害1矿等	1金币生成2矿等3爆破对冰4伤害5易伤6a核7寒冰对冰8最后敌人9双倍矿
33	32225 22122	   	255.19	橙橙1易伤1伤害1矿等	1金币生成2矿等3爆破对冰4伤害5易伤6a核7寒冰对冰89最后敌人
34	32225 22262	   	255.19	橙橙1易伤1伤害1矿等	1金币生成2矿等3爆破对冰4伤害5易伤6a核7寒冰对冰89基地爆炸
35	32223 64112	   	255.09	橙橙1易伤1伤害1矿等	1金币生成2矿等3爆破对冰4伤害5最后敌人6易伤7毒液对毒8a核9双倍矿
36	32223 64122	   	255.09	橙橙1易伤1伤害1矿等	1金币生成2矿等3爆破对冰4伤害59最后敌人6易伤7毒液对毒8a核
37	32225 34112	   	255.09	橙橙1易伤1伤害1矿等	1金币生成2矿等3爆破对冰4伤害5易伤6低血量敌人7毒液对毒8a核9双倍矿
38	32225 34132	   	255.09	橙橙1易伤1伤害1矿等	1金币生成2矿等3爆破对冰4伤害5易伤69低血量敌人7毒液对毒8a核
39	32225 23132	   	254.99	橙橙1易伤1伤害1矿等	1金币生成2矿等3爆破对冰4伤害5易伤6a核7等级8激光对愈9技能点
40	12336 31533	 * 	253.74	橙2易伤2伤害2矿等1攻速1暴击	19易伤2额外掉落39伤害4攻速5暴击6双倍秒伤7立即金币89矿等9序列升级a核
41	12651 24111	   	253.23	橙5易伤1矿等1攻速	1378a易伤2额外掉落4矿等5攻速6时间9核
42	12624 22262	   	253.21	橙橙2易伤1平台1策反	13易伤2额外掉落4技能5激光对冰6平台7a核8技能点9策反
43	12623 52262	   	253.11	橙橙2易伤1平台1策反	13易伤2额外掉落4技能5平台6多重对愈7a核8技能点9策反
44	12654 33222	   	252.05	橙4易伤2矿等1攻速	135a易伤2额外掉落45矿等5序列升级6核7敌人爆炸8时间9攻速
