0	Index      	 *	Score 	Summary	Detail	
1	12316 33144	 * 	272.53	紫橙3易伤1矿等1平台	1雷电29核3掉矿458易伤6时间7平台a矿等
89	37482 32484	   	248.43	橙橙1易伤1矿等1攻速1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9基地爆炸a攻速
90	37482 32414	   	248.33	橙橙1易伤1矿等1攻速1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9挖尘a攻速
91	33614 73351	   	247.12	橙橙1易伤1伤害1平台	1加一2挖尘3多重对甲4金币生成5伤害6a核7平台8技能9易伤
92	51232 12561	 * 	247.05	橙橙2矿等2时间1攻速	1掉矿26时间3赏金塔4双倍物品5a矿等79核8攻速
93	51332 12561	   	247.05	橙橙2矿等2时间1攻速	1掉矿26时间3赏金邻近4双倍物品5a矿等79核8攻速
94	37422 32448	   	246.97	橙橙1易伤1伤害1平台1策反	1加一2双倍秒伤3策反4金币生成5赏金塔67核8易伤9伤害a平台
95	37442 32448	   	246.97	橙橙1易伤1伤害1平台1策反	1加一2双倍秒伤3策反4赏金塔5等级67核8易伤9伤害a平台
96	37412 32448	   	246.87	橙橙1易伤1伤害1平台1策反	1加一2双倍秒伤3策反4技能点5赏金塔67核8易伤9伤害a平台
97	12316 43141	   	246.69	紫橙3易伤1平台	1雷电29核3掉矿458易伤6基地爆炸7平台a赏金塔
98	12316 43143	   	246.69	紫橙3易伤1平台	1雷电29核3掉矿458易伤6基地爆炸7平台a低血量敌人
99	12316 63141	   	246.59	紫橙3易伤1平台	1雷电29核3掉矿458易伤6挖尘7平台a赏金塔
100	12316 63142	   	246.59	紫橙3易伤1平台	1雷电29核3掉矿458易伤6挖尘7平台a基地爆炸
101	12316 63143	   	246.59	紫橙3易伤1平台	1雷电29核3掉矿458易伤6挖尘7平台a低血量敌人
102	12316 43142	   	246.59	紫橙3易伤1平台1挖怪	1雷电29核3掉矿458易伤6基地爆炸7平台a挖怪
103	12314 44155	   	245.97	紫橙2易伤1矿等1暴击	1雷电29核3掉矿48易伤5加一6基地爆炸7暴击a矿等
104	31561 13136	   	245.96	橙橙1易伤1伤害	1加一2额外掉落3伤害4基地爆炸5立即金币6随机矿7时间89核a易伤
105	37348 32444	   	245.90	橙橙1易伤2时间1攻速	1加一2双倍秒伤3掉矿4赏金塔5攻速67核8易伤9a时间
106	37538 32444	   	245.90	橙橙1易伤2时间1攻速	1加一2双倍秒伤3赏金塔4掉矿5攻速67核8易伤9a时间
107	12423 15421	   	245.61	紫橙1易伤1伤害1矿等1全技能1平台	1雷电28核3矿等4双倍秒伤5易伤6全技能7双倍矿9平台a伤害
108	37832 44321	 * 	245.50	橙3易伤2矿等1伤害2时间1卖塔	1加一2双倍秒伤389易伤4卖塔58时间6核78矿等8序列升级a伤害
109	37883 44321	 * 	245.50	橙3易伤2矿等1伤害2时间1卖塔	1加一2双倍秒伤389易伤48时间5卖塔6核78矿等8序列升级a伤害
110	12423 14412	   	245.14	紫橙2矿等1易伤1攻速1全技能	1雷电28核37矿等4双倍秒伤5易伤6全技能9基地爆炸a攻速
111	33135 53348	   	244.69	橙橙1易伤1矿等1平台	1加一2挖尘3矿等4易伤5雷电6金币生成7平台8最后敌人9a核
112	33135 53448	   	244.69	橙橙1易伤1矿等1平台	1加一2挖尘3矿等4易伤5雷电6金币生成7平台8基地爆炸9a核
113	37832 44327	 * 	244.60	橙4易伤2矿等2时间1卖塔	1加一2双倍秒伤389a易伤4卖塔58时间6核78矿等8序列升级
114	37442 32248	   	244.44	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4赏金塔5等级67核8平台9易伤a矿等
115	37482 32221	   	244.44	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8平台9基地爆炸a易伤
116	37482 32242	   	244.44	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8平台9易伤a赏金邻近
117	37482 32244	   	244.44	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8平台9易伤a敌人爆炸
118	37482 32261	   	244.44	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8平台9敌人爆炸a易伤
119	37482 32271	   	244.44	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8平台9低血量敌人a易伤
120	37482 32521	   	244.44	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8低血量敌人9平台a易伤
121	37442 32428	   	244.44	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4赏金塔5等级67核8易伤9平台a矿等
122	37482 32374	   	244.44	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8赏金邻近9易伤a平台
123	37482 32422	   	244.44	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9平台a赏金邻近
124	37482 32424	   	244.44	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9平台a敌人爆炸
125	12314 18381	   	244.42	紫橙2易伤1伤害1平台	1雷电29核3掉矿4a易伤5加一6平台7导弹对黄8伤害
126	61351 32216	   	244.41	橙橙1矿等1暴击1全技能1平台	14金币生成2时间3暴击5立即金币6全技能79核8矿等a平台
127	61361 32216	   	244.41	橙橙1矿等1暴击1全技能1平台	1金币生成2时间3暴击45立即金币6全技能79核8矿等a平台
128	63251 32216	   	244.41	橙橙1矿等1暴击1全技能1平台	14金币生成2暴击3时间5立即金币6全技能79核8矿等a平台
129	63261 32216	   	244.41	橙橙1矿等1暴击1全技能1平台	1金币生成2暴击3时间45立即金币6全技能79核8矿等a平台
130	37412 32248	   	244.34	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4技能点5赏金塔67核8平台9易伤a矿等
131	37482 32235	   	244.34	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8平台9掉矿a易伤
132	37482 32241	   	244.34	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8平台9易伤a激光减费
133	37482 32243	   	244.34	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8平台9易伤a挖尘
134	37482 32245	   	244.34	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8平台9易伤a掉矿
135	37482 32246	   	244.34	橙橙1易伤1矿等1平台2策反	1加一2双倍秒伤3a策反4矿等5赏金塔67核8平台9易伤
136	37482 32248	   	244.34	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8平台9易伤a技能点
137	37412 32428	   	244.34	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4技能点5赏金塔67核8易伤9平台a矿等
138	37482 32421	   	244.34	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9平台a激光减费
139	37482 32423	   	244.34	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9平台a挖尘
140	37482 32425	   	244.34	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9平台a掉矿
141	37482 32426	   	244.34	橙橙1易伤1矿等1平台2策反	1加一2双倍秒伤3a策反4矿等5赏金塔67核8易伤9平台
142	37482 32428	   	244.34	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9平台a技能点
143	37482 32472	   	244.34	橙橙1易伤1矿等1平台1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9电塔对黄a平台
144	35313 61352	   	244.30	橙橙1易伤1攻速1暴击1卖塔1策反	1加一2敌人爆炸3易伤4双倍秒伤5卖塔6攻速7a核8策反9暴击
145	31224 26188	   	243.70	橙橙2易伤	1加一2额外掉落3基地爆炸47易伤56最后敌人8a核9毒液对冰
146	31224 36188	   	243.70	橙橙2易伤	1加一2额外掉落3基地爆炸47易伤5最后敌人6双倍矿8a核9毒液对冰
147	31234 36188	   	243.70	橙橙2易伤	1加一2额外掉落3基地爆炸45最后敌人67易伤8a核9毒液对冰
148	31248 41136	 * 	243.70	橙橙1易伤2攻速	1加一2额外掉落3基地爆炸46攻速5敌人爆炸7随机矿89核a易伤
149	31247 41136	   	243.60	橙橙1易伤2攻速	1加一2额外掉落3基地爆炸46攻速5挖青7随机矿89核a易伤
150	37422 32458	   	243.45	橙橙2易伤1策反	1加一2双倍秒伤3策反4金币生成5赏金塔67核8a易伤9敌人爆炸
151	37422 32488	   	243.45	橙橙2易伤1策反	1加一2双倍秒伤3策反4金币生成5赏金塔67核8a易伤9基地爆炸
152	37442 32458	   	243.45	橙橙2易伤1策反	1加一2双倍秒伤3策反4赏金塔5等级67核8a易伤9敌人爆炸
153	37442 32488	   	243.45	橙橙2易伤1策反	1加一2双倍秒伤3策反4赏金塔5等级67核8a易伤9基地爆炸
154	37412 32458	   	243.35	橙橙2易伤1策反	1加一2双倍秒伤3策反4技能点5赏金塔67核8a易伤9敌人爆炸
155	37412 32488	   	243.35	橙橙2易伤1策反	1加一2双倍秒伤3策反4技能点5赏金塔67核8a易伤9基地爆炸
156	37422 32418	   	243.35	橙橙2易伤1策反	1加一2双倍秒伤3策反4金币生成5赏金塔67核8a易伤9挖尘
157	37442 32418	   	243.35	橙橙2易伤1策反	1加一2双倍秒伤3策反4赏金塔5等级67核8a易伤9挖尘
158	12316 31366	   	243.26	紫橙2易伤1伤害	1雷电2a核3掉矿45易伤6时间7伤害8立即金币9赏金邻近
159	37412 32418	   	243.25	橙橙2易伤1策反	1加一2双倍秒伤3策反4技能点5赏金塔67核8a易伤9挖尘
160	12316 31266	   	243.16	紫橙2易伤1伤害	1雷电2a核38掉矿45易伤6时间7伤害9赏金邻近
161	37482 32464	   	243.09	橙橙1易伤1矿等1策反	1加一2双倍秒伤3策反4矿等5赏金塔67核8易伤9最后敌人a时间
162	35343 38164	 * 	242.81	橙4易伤2伤害	1加一28敌人爆炸389a易伤4挖尘5时间6核78伤害8序列升级
