0	Index      	 *	Score 	Summary	Detail	
1	33613 13256	 * 	208.24	紫3攻速1基础对甲1全技能1易伤	17敌人爆炸2立即金币3易伤4核5全技能689攻速a基础对甲
13	33342 11513	 * 	191.73	紫2伤害2攻速2基地爆炸1易伤	1敌人爆炸2立即金币3a伤害4易伤5核6最后敌人7a基地爆炸8掉矿9a攻速a序列升级
14	33613 11426	   	188.65	紫1基础对甲1攻速1全技能1暴击1易伤	1敌人爆炸2立即金币3易伤4核5全技能6攻速7随机矿8暴击9平台a基础对甲
15	33613 31426	   	188.65	紫1基础对甲1伤害1全技能1暴击1易伤	1敌人爆炸2立即金币3易伤4核5全技能6伤害7随机矿8暴击9平台a基础对甲
16	33613 22222	   	187.92	紫1基础对甲2易伤1攻速1全技能	1敌人爆炸2立即金币39易伤4核5全技能6随机矿7掉矿8基础对甲a攻速
17	43613 22222	   	187.82	紫1基础对甲2易伤1攻速1全技能	1挖尘2立即金币39易伤4核5全技能6随机矿7掉矿8基础对甲a攻速
18	55312 32531	 * 	185.53	紫2伤害1基础对冰1攻速1基地爆炸1技能	1时间2掉矿3攻速4核5技能6a伤害7雷电8基地爆炸9基础对冰
19	33613 33461	 * 	184.95	紫3伤害3易伤1全技能	179敌人爆炸2立即金币389易伤4核5全技能69a伤害9序列升级
20	33613 11616	   	183.30	紫1基础对甲1攻速1全技能1技能1易伤	1敌人爆炸2立即金币3易伤4核5全技能6攻速7随机矿8时间9技能a基础对甲
21	33613 31616	   	183.30	紫1基础对甲1伤害1全技能1技能1易伤	1敌人爆炸2立即金币3易伤4核5全技能6伤害7随机矿8时间9技能a基础对甲
22	13664 33113	   	182.90	紫1基础对甲1伤害1暴击1技能1易伤	1双倍秒伤2掉矿3喷火对黄4核5技能6暴击7等级8易伤9伤害a基础对甲
23	51211 55313	   	181.59	紫2伤害2攻速1基地爆炸1易伤	1时间23a挖尘4核5掉矿6易伤7a伤害8基地爆炸9a攻速a序列升级
24	43613 22221	   	181.41	紫1基础对甲2易伤1全技能1基地爆炸	1挖尘2立即金币39易伤4核5全技能6随机矿7掉矿8基础对甲a基地爆炸
25	33611 15613	   	181.27	紫2伤害2攻速2易伤	1敌人爆炸2立即金币3a易伤4核5掉矿6最后敌人7a伤害8时间9a攻速a序列升级
26	33611 25613	   	181.27	紫2伤害2攻速2易伤	1敌人爆炸2立即金币3a易伤4核5掉矿6低血量敌人7a伤害8时间9a攻速a序列升级
27	33612 42513	   	181.27	紫2伤害2攻速2易伤	1敌人爆炸2立即金币3a易伤4核5最后敌人6时间7a伤害8掉矿9a攻速a序列升级
28	33611 15213	   	181.17	紫2伤害2攻速2易伤	1敌人爆炸2立即金币3a易伤4核5掉矿6最后敌人7a伤害8挖尘9a攻速a序列升级
29	33611 25213	   	181.17	紫2伤害2攻速2易伤	1敌人爆炸2立即金币3a易伤4核5掉矿6低血量敌人7a伤害8挖尘9a攻速a序列升级
30	45312 52233	   	180.21	紫2攻速2基础对冰2易伤1技能	1a挖尘2掉矿3a攻速4核5技能67易伤8金币生成9a基础对冰a序列升级
31	42213 52262	 * 	179.23	紫3攻速2易伤2暴击	138挖尘289最后敌人4核5a易伤69暴击789攻速89序列升级
32	35312 31523	   	179.12	紫2攻速1伤害1全技能1暴击1技能	1敌人爆炸2掉矿37攻速4核5技能6伤害8暴击9矿等a全技能
33	35312 32142	   	179.12	紫2伤害1攻速1全技能1暴击1技能	1敌人爆炸2掉矿3攻速4核5技能69伤害7雷电8全技能a暴击
34	55312 31523	   	179.12	紫2攻速1伤害1全技能1暴击1技能	1时间2掉矿37攻速4核5技能6伤害8暴击9矿等a全技能
35	55312 32142	   	179.12	紫2伤害1攻速1全技能1暴击1技能	1时间2掉矿3攻速4核5技能69伤害7雷电8全技能a暴击
36	34613 13262	   	179.12	紫2攻速1基础对冰1全技能1基地爆炸1技能	17敌人爆炸2技能3等级4核5全技能68攻速9基础对冰a基地爆炸
37	35312 31514	   	179.02	紫2攻速1伤害1全技能1暴击1技能	1敌人爆炸29掉矿37攻速4核5技能6伤害8暴击a全技能
38	45312 31215	   	179.02	紫2攻速1伤害1基地爆炸1暴击1技能	1挖尘2掉矿37攻速4核5技能6伤害8敌人爆炸9暴击a基地爆炸
39	45312 31523	   	179.02	紫2攻速1伤害1全技能1暴击1技能	1挖尘2掉矿37攻速4核5技能6伤害8暴击9矿等a全技能
40	45312 32142	   	179.02	紫2伤害1攻速1全技能1暴击1技能	1挖尘2掉矿3攻速4核5技能69伤害7雷电8全技能a暴击
