0	Index      	 *	Score 	Summary	Detail	
1	32622 34124	 * 	230.66	DCR|4VULN|2DMG|1AART|2DUR	1aLIT|2459VULN|3aDUR|6AART|7RCR|8aDMG|aBPWR
43	52522 34113	   	207.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1AART|2LIT|3DUR|4ASPD|5ERES|67VULN|8aDMG|9RCR
44	32562 34321	   	207.44	DCR|4VULN|1AART|1DMG	1LIT|259aVULN|3DMG|4RMIN|6AART|7RCR|8RCVC
45	32612 34621	   	207.06	DCR|5VULN|1AART|2DUR	1LIT|2589aVULN|34DUR|6AART|7RCR
46	34262 34232	 * 	206.59	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1LIT|2ZMB|35VULN|4RMIN|6AART|7RCR|89CDMG|aDMG
47	32562 34221	   	206.26	DCR|4VULN|1AART|1DMG	1LIT|259aVULN|3DMG|4RMIN|6AART|7RCR|8DMSP
48	32553 34123	   	206.17	DCR|2VULN|2DMG|1AART|1ASPD	1LIT|29VULN|38DMG|4RCVC|5CGEN|6AART|7RCR|aASPD
49	32162 34623	   	206.16	DCR|4VULN|1AART|1ASPD	1LIT|2589VULN|3ERES|4RMIN|6AART|7RCR|aASPD
50	32516 34123	   	205.75	DCR|2VULN|2DMG|1AART|1ASPD	1LIT|29VULN|38DMG|4MLV|5RCVC|6AART|7RCR|aASPD
51	45631 32322	 * 	205.72	ACR|2VULN|2DMG|2ASPD|1AART|1DUR	1RCR|2aASPD|3DUR|4aAME|56DMG|7LIT|8AART|9aVULN|aBPWR
52	32562 34112	   	205.72	DCR|3DMG|2VULN|1AART	1LIT|25VULN|38aDMG|4RMIN|6AART|7RCR|9TLV
53	32162 34142	   	205.72	DCR|3DMG|2VULN|1AART	1LIT|25VULN|3ERES|4RMIN|6AART|7RCR|89aDMG
54	32512 34126	   	205.22	DCR|3VULN|2DMG|1AART	1LIT|259VULN|38DMG|4MLV|6AART|7RCR|aRMIN
55	32512 34322	   	205.22	DCR|3VULN|2DMG|1AART	1LIT|259VULN|3aDMG|4MLV|6AART|7RCR|8RMIN
56	32622 34263	 * 	204.79	DCR|3VULN|2AART|1CDMG|1DUR	1LIT|245VULN|3DUR|6aAART|7RCR|8CDMG|9RCVC
57	32553 34223	   	204.66	DCR|2VULN|2AART|1ASPD|1DMG	1LIT|29VULN|3DMG|4RCVC|5CGEN|68AART|7RCR|aASPD
58	32622 34112	 * 	204.48	DCR|3VULN|1MDPS|1AART|1DMG|1AAC|1DUR	1LIT|245VULN|3DUR|6AART|7RCR|8DMG|9AAC|aMDPS
59	32516 34223	   	204.24	DCR|2VULN|2AART|1ASPD|1DMG	1LIT|29VULN|3DMG|4MLV|5RCVC|68AART|7RCR|aASPD
60	32553 34121	   	203.94	DCR|3VULN|2DMG|1AART	1LIT|29aVULN|38DMG|4RCVC|5CGEN|6AART|7RCR
61	34212 34621	   	203.85	DCR|5VULN|1AART|1ZMB	1LIT|2ZMB|3589aVULN|4MLV|6AART|7RCR
62	32622 34231	 * 	203.81	DCR|4VULN|1AART|1CDMG|1DUR	1LIT|245aVULN|3DUR|6AART|7RCR|8CDMG|9LWND
63	32622 34241	   	203.81	DCR|4VULN|1AART|1CDMG|1DUR	1LIT|245aVULN|3DUR|6AART|7RCR|8CDMG|9BEXP
64	32622 34613	   	203.71	DCR|4VULN|1AART|1CDMG|1DUR	1LIT|2458VULN|3DUR|6AART|7RCR|9TLV|aCDMG
65	32512 34226	   	203.71	DCR|3VULN|2AART|1DMG	1LIT|259VULN|3DMG|4MLV|68AART|7RCR|aRMIN
66	32516 34121	   	203.52	DCR|3VULN|2DMG|1AART	1LIT|29aVULN|38DMG|4MLV|5RCVC|6AART|7RCR
67	32512 34153	   	203.29	DCR|2VULN|2DMG|1AART|1ASPD	19LIT|25VULN|38DMG|4MLV|6AART|7RCR|aASPD
68	32512 34342	   	203.04	DCR|3DMG|2VULN|1AART	1LIT|25VULN|39aDMG|4MLV|6AART|7RCR|8RMIN
69	32612 34134	   	202.78	DCR|2VULN|2DMG|1AART|3DUR	1aLIT|25VULN|34aDUR|6AART|7RCR|8aDMG|9RCVC|aBPWR
70	32553 34221	   	202.43	DCR|3VULN|2AART|1DMG	1LIT|29aVULN|3DMG|4RCVC|5CGEN|68AART|7RCR
71	54432 33233	 * 	202.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2ASPD|3aVULN|4DUR|5DUST|6RCR|7CDMG|8LWND|9ZMB
72	34262 34222	   	202.38	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB	1LIT|29ZMB|35VULN|4RMIN|6AART|7RCR|8CDMG|aDMG
73	32622 35414	 * 	202.20	DCR|3VULN|1SPLARM|1AART|1DMG|1DUR	1LIT|245VULN|3DUR|6AART|7DMG|8MBVNT|9RCR|aSPLARM
74	32626 15312	   	202.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1LIT|24aVULN|3DUR|5BELT|6ZMB|7RCR|8DMG|9AART
75	54432 33311	 * 	202.11	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2ASPD|3VULN|4DUR|5DUST|6RCR|7CDMG|8ZMB|9CGEN|aDMG
76	32516 34221	   	202.00	DCR|3VULN|2AART|1DMG	1LIT|29aVULN|3DMG|4MLV|5RCVC|68AART|7RCR
77	32622 34622	   	201.82	DCR|5VULN|1AART|1DUR	1LIT|24589VULN|3DUR|6AART|7RCR|aBEXP
78	32622 34623	   	201.82	DCR|5VULN|1AART|1DUR	1LIT|24589VULN|3DUR|6AART|7RCR|aMLV
79	32622 34631	   	201.82	DCR|5VULN|1AART|1DUR	1LIT|2458aVULN|3DUR|6AART|7RCR|9RPLT
80	32352 34134	   	201.81	DCR|3VULN|2DMG|1AART	1aLIT|245VULN|3aDUST|6AART|7RCR|8aDMG|9RCVC|aBPWR
81	32512 34253	   	201.78	DCR|2VULN|2AART|1ASPD|1DMG	19LIT|25VULN|3DMG|4MLV|68AART|7RCR|aASPD
82	32622 34621	   	201.72	DCR|5VULN|1AART|1DUR|1SELL	1LIT|24589VULN|3DUR|6AART|7RCR|aSELL
83	35522 32112	   	201.53	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1aLIT|2AART|3DUR|4aASPD|5ERES|6VULN|7DMSP|8aDMG|9RCR|aBPWR
84	52522 32112	   	201.53	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1AART|2aLIT|3DUR|4aASPD|5ERES|6VULN|7DMSP|8aDMG|9RCR|aBPWR
85	32622 36126	   	201.26	DCR|5VULN|1AART|2DUR	17LIT|24579VULN|37DUR|6AART|7BPWR|8BEXP|aRCR
86	32512 34122	   	201.06	DCR|3VULN|2DMG|1AART	1aLIT|259VULN|38DMG|4MLV|6AART|7RCR
87	32512 34124	   	201.06	DCR|3VULN|2DMG|1AART	1LIT|259VULN|38DMG|4MLV|6AART|7RCR|aBEXP
88	32512 34131	   	201.06	DCR|3VULN|2DMG|1AART	1LIT|25aVULN|38DMG|4MLV|6AART|7RCR|9RPLT
89	32512 34151	   	201.06	DCR|3VULN|2DMG|1AART	19LIT|25aVULN|38DMG|4MLV|6AART|7RCR
90	32542 34122	   	201.06	DCR|3VULN|2DMG|1AART	1aLIT|259VULN|38DMG|4CGEN|6AART|7RCR
91	32352 34143	   	200.96	DCR|3VULN|2DMG|1AART	1LIT|245VULN|3DUST|6AART|7RCR|89DMG|aLWND
92	32512 34125	   	200.96	DCR|3VULN|2DMG|1AART	1LIT|259VULN|38DMG|4MLV|6AART|7RCR|aDUST
93	32512 34612	   	200.96	DCR|3VULN|2DMG|1AART	1LIT|258VULN|3aDMG|4MLV|6AART|7RCR|9TLV
94	35522 33633	 * 	200.87	DCR|2VULN|2CDMG|1AART|1ASPD|2DUR	1LIT|2AART|3aDUR|4ASPD|5ERES|6aVULN|7TLV|8RCR|9aCDMG|aBPWR
95	52522 33633	   	200.87	DCR|2VULN|2CDMG|1AART|1ASPD|2DUR	1AART|2LIT|3aDUR|4ASPD|5ERES|6aVULN|7TLV|8RCR|9aCDMG|aBPWR
96	32352 34141	   	200.86	DCR|3VULN|2DMG|1AART	1LIT|245VULN|3DUST|6AART|7RCR|89DMG|aLEGI
97	32352 34142	   	200.86	DCR|3VULN|2DMG|1AART	1LIT|245VULN|3DUST|6AART|7RCR|89DMG|aTLV
98	34262 34123	   	200.74	DCR|3VULN|1AART|1DMG|1ZMB	1LIT|2ZMB|359VULN|4RMIN|6AART|7RCR|8DMG|aLWND
