0	Index      	 *	Score 	Summary	Detail	
1	35151 11533	 * 	220.53	DCR|3DMG|2ASPD|1AART|1VULN|2ZMB	1DMSP|2AART|378DMG|4VULN|58ASPD|68ZMB|8BPWR|9RPLT|aRCR
32	51415 44316	   	202.18	DCR|3VULN|2ASPD|1DMG|1DUR	1LWND|2MBVNT|369VULN|45ASPD|7RCR|8DMG|aDUR
33	51415 44332	   	202.18	DCR|3VULN|2ASPD|1DMG|1DUR	1LWND|2MBVNT|36aVULN|45ASPD|7RCR|8DMG|9DUR
34	31534 12112	   	202.14	DCR|2VULN|2DMG|2ASPD|1DUR	1DMSP|2DUR|35ASPD|45DMG|5BPWR|6FEWX|7RCR|8LWND|9aVULN
35	31534 12212	   	202.14	DCR|2VULN|2DMG|2ASPD|1DUR	1DMSP|2DUR|35ASPD|45DMG|5BPWR|6FEWX|7RCR|8LHND|9aVULN
36	31534 42112	   	202.14	DCR|2VULN|2DMG|2ASPD|1DUR	1DMSP|2DUR|35ASPD|45DMG|5BPWR|6LHND|7RCR|8LWND|9aVULN
37	31534 42332	   	202.14	DCR|2VULN|2DMG|2ASPD|1DUR	1DMSP|2DUR|35ASPD|45DMG|5BPWR|6LHND|7RCR|8RMIN|9aVULN
38	31534 12512	   	202.04	DCR|2VULN|2DMG|2ASPD|1DUR	1DMSP|2DUR|35ASPD|45DMG|5BPWR|6FEWX|7RCR|8DUST|9aVULN
39	31534 32112	   	202.04	DCR|2VULN|2DMG|2ASPD|1DUR	1DMSP|2DUR|35ASPD|45DMG|5BPWR|6DUST|7RCR|8LWND|9aVULN
40	31534 32212	   	202.04	DCR|2VULN|2DMG|2ASPD|1DUR	1DMSP|2DUR|35ASPD|45DMG|5BPWR|6DUST|7RCR|8LHND|9aVULN
41	51415 44331	   	201.94	DCR|2VULN|2DMG|2ASPD|1DUR	1LWND|2MBVNT|36VULN|45ASPD|7RCR|8aDMG|9DUR
42	11135 36333	 * 	201.82	DCR|2VULN|2ASPD|1AART|1DMG	1RPLT|2AART|3DUST|4aVULN|5LWND|6RCR|7DMG|89ASPD
43	51415 64324	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	1LWND|2MBVNT|37VULN|45ASPD|6RCR|8DMG|9CGEN|aAART
44	51812 64324	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	15LWND|2MBVNT|3aDMG|47VULN|6RCR|8CDMG|9AART
45	32214 24243	 * 	201.33	DCR|3VULN|1MDPS|2CDMG|1ASPD|1DMG	1DMSP|2MDPS|3DMG|469VULN|5ASPD|7aCDMG|8RCR
46	51415 44152	 * 	200.99	DCR|3ASPD|2VULN|1AART|1DUR	1LWND|2MBVNT|36VULN|458ASPD|7RCR|9DUR|aAART
47	31534 12621	 * 	200.02	DCR|3ASPD|2DMG|2CDMG|2DUR	1DMSP|29DUR|359ASPD|45DMG|59BPWR|6FEWX|7RCR|89CDMG|aCGEN
48	31534 12622	   	200.02	DCR|3ASPD|2DMG|2CDMG|2DUR	1DMSP|29DUR|359ASPD|45DMG|59BPWR|6FEWX|7RCR|89CDMG|aLWND
49	31534 12623	   	200.02	DCR|3ASPD|2DMG|2CDMG|2DUR	1DMSP|29DUR|359ASPD|45DMG|59BPWR|6FEWX|7RCR|89CDMG|aRCVC
50	51416 64134	   	199.97	DCR|4VULN|2ASPD|1DUR	1LWND|2MBVNT|3579VULN|48ASPD|6RCR|aDUR
51	31531 12624	   	199.92	DCR|3ASPD|2DMG|2CDMG|2DUR	1DMSP|29DUR|359ASPD|4aDMG|6FEWX|7RCR|89CDMG|9BPWR
52	51415 44324	   	199.82	DCR|2VULN|2ASPD|1AART|1DMG	1LWND|2MBVNT|36VULN|45ASPD|7RCR|8DMG|9CGEN|aAART
53	51415 44374	   	199.72	DCR|2VULN|2ASPD|1AART|1DMG	1LWND|2MBVNT|36VULN|45ASPD|7RCR|8DMG|9TLV|aAART
54	51816 44223	   	199.62	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2MBVNT|3DMG|456VULN|7RCR|8BELT|9CDMG|aAART
55	51816 44321	   	199.62	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2MBVNT|3DMG|456VULN|7RCR|8CDMG|9AART|aLIT
56	51416 64144	 * 	199.59	DCR|3VULN|2ASPD|1AART	1LWND|2MBVNT|357VULN|48ASPD|6RCR|9BEXP|aAART
57	25333 43632	   	199.58	DCR|2VULN|2AART|1ASPD|1DMG	1LIT|2aVULN|3DMG|4ERES|56AART|7ASPD|8RCR|9DUST
58	51816 44323	   	199.52	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|2MBVNT|3DMG|456VULN|7RCR|8CDMG|9AART|aDUST
59	51416 64124	   	199.49	DCR|3VULN|2ASPD|1AART	1LWND|2MBVNT|357VULN|48ASPD|6RCR|9DUST|aAART
60	51812 44324	   	199.38	DCR|2VULN|2DMG|1AART|1CDMG	15LWND|2MBVNT|3aDMG|46VULN|7RCR|8CDMG|9AART
61	51816 24324	   	199.38	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|2MBVNT|3aDMG|45VULN|6DMSP|7RCR|8CDMG|9AART
62	13362 33613	 * 	199.30	DCR|3DMG|2VULN|1MDPS|3ZMB	1RPLT|2aCGEN|3MDPS|469DMG|56aZMB|6aBPWR|7aVULN|8RCR
63	51416 64341	   	199.24	DCR|3VULN|2DMG|1ASPD	1LWND|2MBVNT|357VULN|4ASPD|6RCR|8aDMG|9FEWX
64	51416 44134	   	197.97	DCR|4VULN|2ASPD|1DUR	1LWND|2MBVNT|3569VULN|48ASPD|7RCR|aDUR
65	51412 64315	   	197.91	DCR|3VULN|1ASPD|1DMG|1CDMG	15LWND|2MBVNT|379VULN|4ASPD|6RCR|8DMG|aCDMG
66	51416 44144	   	197.59	DCR|3VULN|2ASPD|1AART	1LWND|2MBVNT|356VULN|48ASPD|7RCR|9BEXP|aAART
67	51416 44174	   	197.59	DCR|3VULN|2ASPD|1AART	1LWND|2MBVNT|356VULN|48ASPD|7RCR|9FEWX|aAART
68	51416 63312	   	197.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|359aVULN|4ASPD|6RCR|7DMSP|8DMG
69	51416 64311	   	197.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|3579VULN|4ASPD|6RCR|8DMG|aCGEN
70	51416 64313	   	197.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|3579VULN|4ASPD|6RCR|8DMG|aBEXP
71	51416 64314	   	197.50	DCR|4VULN|1ASPD|1DMG	1aLWND|2MBVNT|3579VULN|4ASPD|6RCR|8DMG
72	51416 64322	   	197.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|357aVULN|4ASPD|6RCR|8DMG|9CGEN
73	51416 64342	   	197.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|357aVULN|4ASPD|6RCR|8DMG|9FEWX
74	51412 64312	   	197.50	DCR|4VULN|1ASPD|1DMG	15LWND|2MBVNT|379aVULN|4ASPD|6RCR|8DMG
75	51812 64112	   	197.50	DCR|4VULN|1ASPD|1DMG	15LWND|2MBVNT|3DMG|479aVULN|6RCR|8ASPD
76	51416 44124	   	197.49	DCR|3VULN|2ASPD|1AART	1LWND|2MBVNT|356VULN|48ASPD|7RCR|9DUST|aAART
77	31534 12111	   	197.41	DCR|3DMG|2ASPD|1VULN|1DUR	1DMSP|2DUR|35ASPD|45aDMG|5BPWR|6FEWX|7RCR|8LWND|9VULN
78	31534 12211	   	197.41	DCR|3DMG|2ASPD|1VULN|1DUR	1DMSP|2DUR|35ASPD|45aDMG|5BPWR|6FEWX|7RCR|8LHND|9VULN
79	31534 12323	   	197.41	DCR|3DMG|2ASPD|1VULN|1DUR	1DMSP|2DUR|35ASPD|458DMG|5BPWR|6FEWX|7RCR|9VULN|aCGEN
80	31534 12325	   	197.41	DCR|3DMG|2ASPD|1VULN|1DUR	1DMSP|2DUR|35ASPD|458DMG|5BPWR|6FEWX|7RCR|9VULN|aMULARM
81	31534 12334	   	197.41	DCR|3DMG|2ASPD|1VULN|1DUR	1DMSP|2DUR|35ASPD|458DMG|5BPWR|6FEWX|7RCR|9MLV|aVULN
82	31534 42111	   	197.41	DCR|3DMG|2ASPD|1VULN|1DUR	1DMSP|2DUR|35ASPD|45aDMG|5BPWR|6LHND|7RCR|8LWND|9VULN
83	35155 22132	 * 	197.39	DCR|2VULN|2DMG|1AART|1ASPD	1DMSP|2AART|35DMG|45VULN|5BPWR|6ASPD|7MLV|8LIT|9CGEN|aRCR
84	31534 12322	   	197.31	DCR|3DMG|2ASPD|1VULN|1DUR	1DMSP|2DUR|35ASPD|458DMG|5BPWR|6FEWX|7RCR|9VULN|aDUST
85	31534 12511	   	197.31	DCR|3DMG|2ASPD|1VULN|1DUR	1DMSP|2DUR|35ASPD|45aDMG|5BPWR|6FEWX|7RCR|8DUST|9VULN
86	31534 32111	   	197.31	DCR|3DMG|2ASPD|1VULN|1DUR	1DMSP|2DUR|35ASPD|45aDMG|5BPWR|6DUST|7RCR|8LWND|9VULN
87	31534 32211	   	197.31	DCR|3DMG|2ASPD|1VULN|1DUR	1DMSP|2DUR|35ASPD|45aDMG|5BPWR|6DUST|7RCR|8LHND|9VULN
88	31534 32316	   	197.31	DCR|3DMG|2ASPD|1AART|1DUR	1DMSP|2DUR|35ASPD|458DMG|5BPWR|6DUST|7RCR|9FEWX|aAART
89	43243 13116	 * 	197.27	DCR|3DMG|1MDPS|1VULN|1ASPD|1CDMG|1ZMB	1MDPS|2CGEN|3ASPD|4CDMG|58aDMG|6ZMB|7VULN|9RCR
90	41264 22112	   	197.26	DCR|2DMG|1MDPS|1VULN|1ASPD|1CDMG|2DUR|1ZMB	1MDPS|24DUR|34DMG|4BPWR|5ASPD|6VULN|7MLV|8RCR|9CDMG|aZMB
91	51416 44341	   	197.24	DCR|3VULN|2DMG|1ASPD	1LWND|2MBVNT|356VULN|4ASPD|7RCR|8aDMG|9FEWX
92	51816 44141	   	197.24	DCR|3VULN|2DMG|1ASPD	1LWND|2MBVNT|3aDMG|456VULN|7RCR|8ASPD|9FEWX
93	41264 23112	   	197.16	DCR|2DMG|1MDPS|1VULN|1ASPD|1CDMG|2DUR|1ZMB	1MDPS|24DUR|34DMG|4BPWR|5ASPD|6VULN|7TLV|8RCR|9CDMG|aZMB
94	31521 22321	 * 	196.77	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1DMSP|2DUR|356ASPD|4AART|7VULN|8BELT|9RCR|aDMG
95	51412 44315	   	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG	15LWND|2MBVNT|369VULN|4ASPD|7RCR|8DMG|aCDMG
96	51416 24315	   	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1LWND|2MBVNT|359VULN|4ASPD|6DMSP|7RCR|8DMG|aCDMG
97	51812 44115	   	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG	15LWND|2MBVNT|3DMG|469VULN|7RCR|8ASPD|aCDMG
98	51415 63312	   	195.87	DCR|3VULN|2ASPD|1DMG	1LWND|2MBVNT|39aVULN|45ASPD|6RCR|7DMSP|8DMG
99	51415 64311	   	195.87	DCR|3VULN|2ASPD|1DMG	1LWND|2MBVNT|379VULN|45ASPD|6RCR|8DMG|aCGEN
100	51415 64313	   	195.87	DCR|3VULN|2ASPD|1DMG	1LWND|2MBVNT|379VULN|45ASPD|6RCR|8DMG|aBEXP
101	51415 64314	   	195.87	DCR|3VULN|2ASPD|1DMG	1aLWND|2MBVNT|379VULN|45ASPD|6RCR|8DMG
102	51415 64322	   	195.87	DCR|3VULN|2ASPD|1DMG	1LWND|2MBVNT|37aVULN|45ASPD|6RCR|8DMG|9CGEN
103	51415 64342	   	195.87	DCR|3VULN|2ASPD|1DMG	1LWND|2MBVNT|37aVULN|45ASPD|6RCR|8DMG|9FEWX
104	43243 13114	 * 	195.83	DCR|1MDPS|2DMG|2ASPD|1VULN|1CDMG|1ZMB	1MDPS|2CGEN|3aASPD|4CDMG|58DMG|6ZMB|7VULN|9RCR
105	51415 64341	   	195.63	DCR|2VULN|2DMG|2ASPD	1LWND|2MBVNT|37VULN|45ASPD|6RCR|8aDMG|9FEWX
106	52214 32126	 * 	195.54	DCR|2VULN|1AART|1ASPD|1CDMG|2SPLREG	16LWND|2MLV|3ASPD|46SPLREG|5AART|6BPWR|7RCR|8CDMG|9aVULN
107	53214 32126	   	195.54	DCR|2VULN|1AART|1ASPD|1CDMG|2SPLREG	16LWND|2AME|3ASPD|46SPLREG|5AART|6BPWR|7RCR|8CDMG|9aVULN
108	51412 44312	   	195.50	DCR|4VULN|1ASPD|1DMG	15LWND|2MBVNT|369aVULN|4ASPD|7RCR|8DMG
109	51416 24312	   	195.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|359aVULN|4ASPD|6DMSP|7RCR|8DMG
110	51416 44311	   	195.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|3569VULN|4ASPD|7RCR|8DMG|aCGEN
111	51416 44313	   	195.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|3569VULN|4ASPD|7RCR|8DMG|aBEXP
112	51416 44314	   	195.50	DCR|4VULN|1ASPD|1DMG	1aLWND|2MBVNT|3569VULN|4ASPD|7RCR|8DMG
113	51416 44318	   	195.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|3569VULN|4ASPD|7RCR|8DMG|aFEWX
114	51416 44322	   	195.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|356aVULN|4ASPD|7RCR|8DMG|9CGEN
115	51416 44342	   	195.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|356aVULN|4ASPD|7RCR|8DMG|9FEWX
116	51416 44362	   	195.50	DCR|4VULN|1ASPD|1DMG	19LWND|2MBVNT|356aVULN|4ASPD|7RCR|8DMG
117	51812 44112	   	195.50	DCR|4VULN|1ASPD|1DMG	15LWND|2MBVNT|3DMG|469aVULN|7RCR|8ASPD
118	51816 24112	   	195.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|3DMG|459aVULN|6DMSP|7RCR|8ASPD
119	51816 44111	   	195.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|3DMG|4569VULN|7RCR|8ASPD|aCGEN
120	51816 44113	   	195.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|3DMG|4569VULN|7RCR|8ASPD|aBEXP
121	51816 44114	   	195.50	DCR|4VULN|1ASPD|1DMG	1aLWND|2MBVNT|3DMG|4569VULN|7RCR|8ASPD
122	51816 44122	   	195.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|3DMG|456aVULN|7RCR|8ASPD|9CGEN
123	51816 44142	   	195.50	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|3DMG|456aVULN|7RCR|8ASPD|9FEWX
124	51416 44317	   	195.40	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|3569VULN|4ASPD|7RCR|8DMG|aTSLFST
125	51416 44372	   	195.40	DCR|4VULN|1ASPD|1DMG	1LWND|2MBVNT|356aVULN|4ASPD|7RCR|8DMG|9TLV
126	32114 22653	 * 	195.34	DCR|3VULN|1MDPS|2DMG|1ASPD	1DMSP|2MDPS|3aAME|46aVULN|5ASPD|7TSLARM|8RCR|9aDMG|aBPWR
127	31512 24234	 * 	195.30	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1DMSP|2DUR|3ASPD|4VULN|5LWND|6DMG|79CDMG|8RCR|aAART
128	14233 13614	   	194.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1RPLT|247VULN|3BEXP|5DMG|6ZMB|8DUR|9RCR|aASPD
129	41264 22132	 * 	194.36	DCR|1MDPS|2DMG|1VULN|1AART|1ASPD|2DUR	1MDPS|24DUR|34DMG|4BPWR|5ASPD|6VULN|7MLV|8RCR|9LEGI|aAART
130	41264 23132	   	194.26	DCR|1MDPS|2DMG|1VULN|1AART|1ASPD|2DUR	1MDPS|24DUR|34DMG|4BPWR|5ASPD|6VULN|7TLV|8RCR|9LEGI|aAART
131	51415 64112	   	193.93	DCR|3ASPD|2VULN|1CDMG|1AAC	1LWND|2MBVNT|37VULN|458ASPD|6RCR|9CDMG|aAAC
132	32214 24242	   	193.91	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG	1DMSP|2MDPS|3DMG|469VULN|5ASPD|7CDMG|8RCR|aCGEN
133	51415 44311	   	193.87	DCR|3VULN|2ASPD|1DMG	1LWND|2MBVNT|369VULN|45ASPD|7RCR|8DMG|aCGEN
134	51415 44313	   	193.87	DCR|3VULN|2ASPD|1DMG	1LWND|2MBVNT|369VULN|45ASPD|7RCR|8DMG|aBEXP
135	51415 44314	   	193.87	DCR|3VULN|2ASPD|1DMG	1aLWND|2MBVNT|369VULN|45ASPD|7RCR|8DMG
136	51415 44318	   	193.87	DCR|3VULN|2ASPD|1DMG	1LWND|2MBVNT|369VULN|45ASPD|7RCR|8DMG|aFEWX
137	51415 44322	   	193.87	DCR|3VULN|2ASPD|1DMG	1LWND|2MBVNT|36aVULN|45ASPD|7RCR|8DMG|9CGEN
138	51415 44342	   	193.87	DCR|3VULN|2ASPD|1DMG	1LWND|2MBVNT|36aVULN|45ASPD|7RCR|8DMG|9FEWX
139	51415 44362	   	193.87	DCR|3VULN|2ASPD|1DMG	19LWND|2MBVNT|36aVULN|45ASPD|7RCR|8DMG
140	51416 44354	   	193.87	DCR|3VULN|2ASPD|1DMG	1LWND|2MBVNT|356VULN|4aASPD|7RCR|8DMG|9LIT
141	51415 24312	   	193.87	DCR|3VULN|2ASPD|1DMG	1LWND|2MBVNT|39aVULN|45ASPD|6DMSP|7RCR|8DMG
142	32214 24236	   	193.84	DCR|2VULN|1MDPS|2CDMG|1ASPD|1DMG|1ZMB	1DMSP|2MDPS|3DMG|46VULN|5ASPD|79CDMG|8RCR|aZMB
143	51412 82741	   	193.83	DCR|2VULN|2DMG|2ASPD	158LWND|2MBVNT|38VULN|48ASPD|6BELT|7RCR|8BPWR|9aDMG
144	11636 31111	   	193.78	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|2AART|3LWND|489VULN|5FEWX|6RCR|7DUR|aDMG
145	51415 44317	   	193.77	DCR|3VULN|2ASPD|1DMG	1LWND|2MBVNT|369VULN|45ASPD|7RCR|8DMG|aTSLFST
146	51415 44372	   	193.77	DCR|3VULN|2ASPD|1DMG	1LWND|2MBVNT|36aVULN|45ASPD|7RCR|8DMG|9TLV
147	31534 12332	 * 	193.69	DCR|3DMG|2ASPD|1NUKE|1DUR	1DMSP|2DUR|35ASPD|458DMG|5BPWR|6FEWX|7RCR|9MLV|aNUKE
148	11135 31111	   	193.68	DCR|3VULN|1AART|1DMG|1DUR	1RPLT|2AART|3DUST|489VULN|5LWND|6RCR|7DUR|aDMG
149	51415 44341	   	193.63	DCR|2VULN|2DMG|2ASPD	1LWND|2MBVNT|36VULN|45ASPD|7RCR|8aDMG|9FEWX
150	31534 12342	   	193.59	DCR|3DMG|2ASPD|1NUKE|1DUR	1DMSP|2DUR|35ASPD|458DMG|5BPWR|6FEWX|7RCR|9TLV|aNUKE
151	31534 32322	   	193.49	DCR|3DMG|2ASPD|1NUKE|1DUR	1DMSP|2DUR|35ASPD|458DMG|5BPWR|6DUST|7RCR|9ERES|aNUKE
152	31534 32342	   	193.49	DCR|3DMG|2ASPD|1NUKE|1DUR	1DMSP|2DUR|35ASPD|458DMG|5BPWR|6DUST|7RCR|9TLV|aNUKE
153	35116 22521	   	193.33	DCR|2DMG|2ASPD|1VULN|1AART	1DMSP|2AART|38DMG|4MLV|5RMIN|68ASPD|78AME|8BPWR|9RCR|aVULN
154	51412 82723	   	192.88	DCR|3ASPD|2VULN|1AART	158LWND|2MBVNT|38VULN|489ASPD|6BELT|7RCR|8BPWR|aAART
155	52214 61233	   	192.54	DCR|2VULN|1AART|1ASPD|1DMG	1LWND|2MLV|3ASPD|4SPLREG|5AART|6CANARM|7RCR|8aVULN|9DMG
156	51415 24315	   	192.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1LWND|2MBVNT|39VULN|45ASPD|6DMSP|7RCR|8DMG|aCDMG
157	11636 31132	   	192.19	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1RPLT|2AART|3LWND|48VULN|5FEWX|6RCR|7DUR|9CDMG|aASPD
158	11636 31136	 * 	192.19	DCR|2VULN|1AART|1NUKE|1CDMG|1DUR	1RPLT|2AART|3LWND|48VULN|5FEWX|6RCR|7DUR|9CDMG|aNUKE
159	51812 64322	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	15LWND|2MBVNT|3DMG|47VULN|6RCR|8CDMG|9AART|aDUR
160	11135 31132	   	192.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1RPLT|2AART|3DUST|48VULN|5LWND|6RCR|7DUR|9CDMG|aASPD
161	11135 31136	   	192.09	DCR|2VULN|1AART|1NUKE|1CDMG|1DUR	1RPLT|2AART|3DUST|48VULN|5LWND|6RCR|7DUR|9CDMG|aNUKE
162	45333 26221	 * 	192.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1MDPS|2LHND|3CDMG|4aVULN|5RCVC|67ASPD|8AART|9RCR
163	46333 26221	   	192.01	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1MDPS|2LWND|3CDMG|4aVULN|5RCVC|67ASPD|8AART|9RCR
164	31534 12362	 * 	192.00	DCR|3DMG|3ASPD|2DUR	1DMSP|29DUR|359ASPD|458DMG|59BPWR|69FEWX|7RCR|aLIT
165	31534 12363	   	192.00	DCR|3DMG|3ASPD|2DUR	1DMSP|29DUR|359ASPD|458DMG|59BPWR|69FEWX|7RCR|aMLV
166	51415 44112	   	191.93	DCR|3ASPD|2VULN|1CDMG|1AAC	1LWND|2MBVNT|36VULN|458ASPD|7RCR|9CDMG|aAAC
167	43241 36221	   	191.91	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1MDPS|2CGEN|37ASPD|4CDMG|5TLV|6aVULN|8AART|9RCR
168	31534 12361	   	191.90	DCR|3DMG|3ASPD|2DUR	1DMSP|29DUR|359ASPD|458DMG|59BPWR|69FEWX|7RCR|aERES
169	32214 24231	   	191.81	DCR|2VULN|1MDPS|2CDMG|1ASPD|1DMG|1DUR	1DMSP|2MDPS|3DMG|46VULN|5ASPD|79CDMG|8RCR|aDUR
170	31534 32362	   	191.80	DCR|3DMG|3ASPD|2DUR	1DMSP|29DUR|359ASPD|458DMG|59BPWR|69DUST|7RCR|aLIT
