0	Index      	 *	Score 	Summary	Detail	
1	64633 33482	 * 	223.27	DCR|4VULN|3ASPD|1MDPS|1SELL	1MBVNT|2789VULN|357ASPD|4SELL|6RCR|7BPWR|aMDPS
22	62144 87123	 * 	208.07	DCR|2VULN|2AART|1MDPS|1ASPD|1CDMG|1DUR	1MBVNT|2MDPS|3CDMG|4ASPD|5aVULN|6RCR|7DUR|89AART
23	42613 31135	   	208.00	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1TLV|2RMIN|39DMG|4ASPD|5VULN|6RCR|7LHND|8CDMG|aAART
24	66223 33326	   	207.90	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1MBVNT|2RMIN|34DMG|5VULN|6RCR|7TLV|8ASPD|9CDMG|aAART
25	11121 34226	 * 	207.42	DCR|2VULN|1AART|2CDMG|1ASPD|3DUR	14CDMG|27RCVC|346DUR|46BPWR|56VULN|8AART|9ASPD|aRCR
26	52613 35232	   	207.09	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1AME|2RMIN|39DMG|4ASPD|57VULN|6RCR|8ZMB|aDUR
27	42613 35232	   	206.99	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1TLV|2RMIN|39DMG|4ASPD|57VULN|6RCR|8ZMB|aDUR
28	67413 22233	 * 	206.62	DCR|3VULN|3ASPD|1AART	1MBVNT|23CGEN|46aASPD|567VULN|6BPWR|8AART|9RCR
29	64653 42231	   	206.59	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1MBVNT|27VULN|36ASPD|4DMG|5RCVC|8AART|9RCR|aDUR
30	52362 13236	 * 	206.47	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG	1AME|2RMIN|3AART|4VULN|5MDPS|6DMG|7ASPD|8RCR|9CDMG|aNUKE
31	66223 12233	   	206.13	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2RMIN|34DMG|57VULN|6AELBLL|8AART|9RCR|aASPD
32	11521 53316	 * 	205.83	DCR|3VULN|2ASPD|2CDMG|1DUR	17CDMG|2RCVC|37aVULN|4LWND|5BEXP|67ASPD|7BPWR|8DUR|9RCR
33	64633 33437	 * 	204.84	DCR|3VULN|3ASPD|1CDMG|1SELL	1MBVNT|278VULN|357ASPD|4SELL|6RCR|7BPWR|9LWND|aCDMG
34	64633 33447	 * 	204.84	DCR|3VULN|3ASPD|1CDMG|1SELL	1MBVNT|278VULN|357ASPD|4SELL|6RCR|7BPWR|9FEWX|aCDMG
35	52613 35133	   	204.70	DCR|2VULN|2DMG|1ASPD|1CDMG	1AME|2RMIN|39DMG|4ASPD|57VULN|6RCR|8CGEN|aCDMG
36	33438 28314	 * 	204.65	DCR|1AART|1VULN|2CDMG|1ASPD|1DMG|2DUR	19LIT|29DUR|3ASPD|4MBVNT|5AART|6RCR|7VULN|89CDMG|9BPWR|aDMG
37	42613 35133	   	204.60	DCR|2VULN|2DMG|1ASPD|1CDMG	1TLV|2RMIN|39DMG|4ASPD|57VULN|6RCR|8CGEN|aCDMG
38	66223 31137	   	204.60	DCR|2VULN|2DMG|1ASPD|1CDMG	1MBVNT|2RMIN|34DMG|5aVULN|6RCR|7LWND|8CDMG|9ASPD
39	62541 63243	 * 	204.52	DCR|3VULN|3ASPD|1MDPS|1AART	1MBVNT|2MDPS|368VULN|467ASPD|5AART|6BPWR|9AELBLL|aRCR
40	66223 33323	   	204.50	DCR|2VULN|2DMG|1ASPD|1CDMG	1MBVNT|2RMIN|34DMG|5aVULN|6RCR|7TLV|8ASPD|9CDMG
41	64633 33438	 * 	204.44	DCR|4VULN|3ASPD|1SELL	1MBVNT|278aVULN|357ASPD|4SELL|6RCR|7BPWR|9LWND
42	64633 33448	 * 	204.44	DCR|4VULN|3ASPD|1SELL	1MBVNT|278aVULN|357ASPD|4SELL|6RCR|7BPWR|9FEWX
43	64633 33481	 * 	204.44	DCR|4VULN|3ASPD|1SELL	1MBVNT|2789VULN|357ASPD|4SELL|6RCR|7BPWR|aLWND
44	64633 33483	 * 	204.44	DCR|4VULN|3ASPD|1SELL	1MBVNT|2789VULN|357ASPD|4SELL|6RCR|7BPWR|aBEXP
45	64633 33484	 * 	204.44	DCR|4VULN|3ASPD|1SELL	1MBVNT|2789VULN|357ASPD|4SELL|6RCR|7BPWR|aLHND
46	52613 35131	   	204.10	DCR|3DMG|2VULN|1ASPD	1AME|2RMIN|39aDMG|4ASPD|57VULN|6RCR|8CGEN
47	64353 12412	   	204.08	DCR|3VULN|2ASPD|1DMG|2ZMB	1MBVNT|279VULN|39ZMB|4DMG|5RCVC|6AELBLL|89ASPD|9BPWR|aRCR
48	64653 12112	   	204.08	DCR|3VULN|2ASPD|1DMG|2ZMB	1MBVNT|279VULN|39ASPD|4DMG|5RCVC|6AELBLL|89ZMB|9BPWR|aRCR
49	42613 35131	   	204.00	DCR|3DMG|2VULN|1ASPD	1TLV|2RMIN|39aDMG|4ASPD|57VULN|6RCR|8CGEN
50	66223 36421	   	204.00	DCR|3DMG|2VULN|1NUKE	1MBVNT|2RMIN|348DMG|57VULN|6RCR|9BEXP|aNUKE
51	21541 35231	 * 	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	15LHND|28VULN|3ASPD|4DMG|6RCR|7AART|9CDMG|aFEWX
52	21541 35232	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	15aLHND|28VULN|3ASPD|4DMG|6RCR|7AART|9CDMG
53	21541 35233	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	15LHND|28VULN|3ASPD|4DMG|6RCR|7AART|9CDMG|aCGEN
54	22616 35231	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12LHND|3DMG|4ASPD|58VULN|6RCR|7AART|9CDMG|aFEWX
55	22616 35232	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12aLHND|3DMG|4ASPD|58VULN|6RCR|7AART|9CDMG
56	22616 35233	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12LHND|3DMG|4ASPD|58VULN|6RCR|7AART|9CDMG|aCGEN
57	66223 36441	 * 	203.53	DCR|3DMG|2VULN|1CDMG|1AAC	1MBVNT|2RMIN|348DMG|57VULN|6RCR|9CDMG|aAAC
58	64443 33384	   	203.36	DCR|3VULN|2DMG|2CDMG|1DUR	1MBVNT|247VULN|3FEWX|57DMG|67CDMG|7BPWR|8DUR|9SPLJET|aRCR
59	52613 33334	   	202.57	DCR|2VULN|2DMG|2ASPD	1AME|2RMIN|39DMG|48ASPD|5aVULN|6RCR|7TLV
60	66223 36323	   	202.37	DCR|3VULN|2DMG|1CDMG	1MBVNT|2RMIN|34DMG|57aVULN|6RCR|8LWND|9CDMG
61	64633 33416	   	202.14	DCR|3VULN|3ASPD|2DUR|1SELL	1MBVNT|278VULN|357ASPD|4SELL|6RCR|7BPWR|9aDUR
62	64443 33248	 * 	202.01	DCR|3VULN|2DMG|3CDMG	1MBVNT|247VULN|3FEWX|57DMG|679CDMG|7BPWR|8TLV|aRCR
63	64443 33648	   	202.01	DCR|3VULN|2DMG|3CDMG	1MBVNT|247VULN|3FEWX|57DMG|679CDMG|7BPWR|8ERES|aRCR
64	64443 33534	   	202.00	DCR|3VULN|2DMG|2CDMG	1MBVNT|247VULN|3FEWX|57DMG|67CDMG|7BPWR|8SPLREG|9BEXP|aRCR
65	64443 33544	   	202.00	DCR|3VULN|2DMG|2CDMG	1MBVNT|247VULN|3FEWX|57DMG|67CDMG|7BPWR|8SPLREG|9LHND|aRCR
66	67413 22231	   	202.00	DCR|3VULN|2ASPD|1AART|1DUR	1MBVNT|23CGEN|46ASPD|567VULN|6BPWR|8AART|9RCR|aDUR
67	66223 31811	   	201.97	DCR|3VULN|3DMG	1MBVNT|2RMIN|348DMG|58aVULN|6RCR|78LWND|8BPWR|9VENFST
68	66223 31843	   	201.97	DCR|3VULN|3DMG	1MBVNT|2RMIN|348DMG|589VULN|6RCR|78LWND|8BPWR|aBEXP
69	66223 31844	   	201.97	DCR|3VULN|3DMG	1MBVNT|2RMIN|348DMG|589VULN|6RCR|78aLWND|8BPWR
70	66223 36432	   	201.87	DCR|3VULN|3DMG	1MBVNT|2RMIN|348DMG|57aVULN|6RCR|9aCGEN|aBPWR
71	11121 33126	 * 	201.77	DCR|2VULN|2AART|2CDMG|3DUR|1AAC	14CDMG|2RCVC|346DUR|46BPWR|56VULN|7AAC|89AART|aRCR
72	66223 36412	   	201.67	DCR|3VULN|3DMG	1MBVNT|2RMIN|348DMG|57aVULN|6RCR|9aERES|aBPWR
73	64153 22233	   	201.55	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|27VULN|36ERES|46DMG|5RCVC|6BPWR|8AART|9RCR|aASPD
74	64153 72233	   	201.55	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|27VULN|3ERES|46DMG|5RCVC|8AART|9RCR|aASPD
75	12413 32141	   	201.10	DCR|2VULN|2DMG|1AART|2CDMG	17CDMG|2CGEN|37DMG|4LIT|5FEWX|67VULN|7BPWR|8AART|9RPLT|aRCR
76	64633 33412	   	201.06	DCR|3VULN|3ASPD|1DUR|1SELL	1MBVNT|278VULN|357ASPD|4SELL|6RCR|7BPWR|9DUR|aRMIN
77	12413 32115	   	201.00	DCR|2VULN|2DMG|2CDMG|1AART	17CDMG|2CGEN|37DMG|4LIT|5FEWX|67VULN|7BPWR|8AART|9ERES|aRCR
78	52613 31163	   	200.84	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AME|2RMIN|3DMG|4ASPD|5VULN|6RCR|7LHND|8CDMG|9AART|aZMB
79	42613 31163	   	200.74	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1TLV|2RMIN|3DMG|4ASPD|5VULN|6RCR|7LHND|8CDMG|9AART|aZMB
80	62448 32384	 * 	200.57	DCR|2VULN|2DMG|1MDPS|2ASPD	1MBVNT|2MDPS|3RMIN|4aDMG|5LWND|6aVULN|7RCR|8LEGI|9aASPD|aBPWR
81	66223 34721	   	200.37	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2RMIN|34DMG|5aVULN|6RCR|7DUR|8AART|9MULFIG
82	66223 34741	   	200.37	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2RMIN|34DMG|59VULN|6RCR|7DUR|8AART|aLIT
83	66223 34743	   	200.37	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2RMIN|34DMG|59VULN|6RCR|7DUR|8AART|aLWND
84	66223 34744	   	200.37	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2RMIN|34DMG|59VULN|6RCR|7DUR|8AART|aMLV
85	66223 36442	   	200.19	DCR|3DMG|2VULN|1CDMG	1MBVNT|2RMIN|348DMG|57VULN|6RCR|9CDMG|aLWND
86	66223 36443	   	200.19	DCR|3DMG|2VULN|1CDMG	1MBVNT|2RMIN|348DMG|57VULN|6RCR|9CDMG|aFEWX
87	66223 36444	   	200.19	DCR|3DMG|2VULN|1CDMG	1MBVNT|2RMIN|348DMG|57VULN|6RCR|9CDMG|aLIT
88	66223 37334	   	200.19	DCR|3DMG|2VULN|1CDMG	1MBVNT|2RMIN|349DMG|59VULN|6RCR|7BELT|89ERES|9BPWR|aCDMG
89	12421 63316	   	200.17	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1CDMG|24CGEN|34DMG|4BPWR|5aVULN|6ASPD|7LWND|8DUR|9RCR
90	62541 64443	 * 	200.14	DCR|2VULN|2AART|1MDPS|2ASPD|1DUR	1MBVNT|2MDPS|36VULN|46ASPD|5aAART|6BPWR|7RPLT|8DUR|9RCR
91	62312 85223	   	200.01	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2MDPS|3DUR|4AART|5DMG|6ZMB|7RCR|8CDMG|9ASPD|aVULN
92	66223 34732	   	199.95	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1MBVNT|2RMIN|34DMG|5VULN|6RCR|7DUR|8AART|9DLOT|aASPD
93	66223 34135	 * 	199.95	DCR|2DMG|1VULN|2CDMG|1ASPD|1DUR	1MBVNT|2RMIN|34DMG|5VULN|6RCR|7DUR|8aCDMG|9ASPD
94	11151 34226	   	199.89	DCR|2VULN|1AART|1ASPD|3DUR|1CDMG	1CDMG|27RCVC|346DUR|56VULN|6BPWR|8AART|9ASPD|aRCR
95	62144 85123	   	199.76	DCR|2VULN|2AART|1MDPS|1ASPD|1CDMG	1MBVNT|2MDPS|3CDMG|4ASPD|5aVULN|6RCR|7FEWX|89AART
96	62144 88123	   	199.76	DCR|2VULN|2AART|1MDPS|1ASPD|1CDMG	1MBVNT|2MDPS|3CDMG|4ASPD|5aVULN|6RCR|7BEXP|89AART
97	51534 31331	 * 	199.42	DCR|4VULN|1AART|1DMG	18AME|2DMSP|3568VULN|4AART|7RCR|8BPWR|9BELT|aDMG
98	31531 53141	   	199.25	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	1LIT|23ZMB|45VULN|6AART|7RCR|8ASPD|9DMG|aAME
99	31531 53142	   	199.25	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	1LIT|23ZMB|45VULN|6AART|7RCR|8ASPD|9DMG|aAELBLL
100	31531 53163	   	199.25	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	1LIT|23ZMB|45VULN|6AART|7RCR|8ASPD|9CGEN|aDMG
101	41534 31331	   	199.22	DCR|4VULN|1AART|1DMG	18TLV|2DMSP|3568VULN|4AART|7RCR|8BPWR|9BELT|aDMG
102	31531 43423	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	1LIT|23ZMB|45VULN|6ASPD|7RCR|8AART|9ERES|aDMG
103	31531 53123	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	1LIT|23ZMB|45VULN|6AART|7RCR|8ASPD|9ERES|aDMG
104	31531 53143	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	1LIT|23ZMB|45VULN|6AART|7RCR|8ASPD|9DMG|aTLV
105	66413 33742	   	198.79	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR|1SELL	1MBVNT|2RMIN|3SELL|4CDMG|59VULN|6RCR|7DUR|8AART|aASPD
106	33416 33326	 * 	198.76	DCR|2VULN|2ASPD|1AART|3DUR	14aLIT|26aDUR|36ASPD|5AART|6aBPWR|7RCR|8CGEN|9aVULN
107	42613 33234	   	198.58	DCR|2VULN|2DMG|1ASPD|1ZMB	17TLV|2RMIN|39DMG|4ASPD|5aVULN|6RCR|8ZMB
108	52613 33333	 * 	198.44	DCR|2DMG|2ASPD|1VULN|1CDMG	1AME|2RMIN|39DMG|48ASPD|5VULN|6RCR|7TLV|aCDMG
109	25133 15226	   	198.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	14LHND|2ZMB|3ASPD|5DUR|68VULN|7AART|9DMG|aRCR
110	11561 53312	   	198.34	DCR|2VULN|2ASPD|2CDMG|1ZMB|1DUR	17CDMG|2RCVC|37VULN|4LHND|5BEXP|67ASPD|7BPWR|8DUR|9RCR|aZMB
111	64653 12233	   	198.28	DCR|2VULN|2ASPD|1AART|1DMG	1MBVNT|27VULN|3aASPD|4DMG|5RCVC|6AELBLL|8AART|9RCR
112	64653 42232	   	198.28	DCR|2VULN|2ASPD|1AART|1DMG	1MBVNT|27VULN|36ASPD|4DMG|5RCVC|8AART|9RCR|aLHND
113	64653 42234	   	198.28	DCR|2VULN|2ASPD|1AART|1DMG	1MBVNT|27VULN|36ASPD|4DMG|5RCVC|8AART|9RCR|aMLV
114	66413 31832	   	198.11	DCR|2VULN|1AART|2CDMG|1ASPD|1SELL	1MBVNT|2RMIN|3SELL|48CDMG|58VULN|6RCR|78LWND|8BPWR|9AART|aASPD
115	66223 36223	   	198.09	DCR|2VULN|2DMG|1CDMG|2ZMB	1MBVNT|2RMIN|34DMG|57VULN|6RCR|89ZMB|aCDMG
116	12421 61612	   	198.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1CDMG|24CGEN|34DMG|4BPWR|57VULN|6ASPD|8DUR|9ERES|aRCR
117	21541 35222	   	198.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	15LHND|28VULN|3ASPD|4DMG|6RCR|7AART|9BELT|aZMB
118	22616 35222	   	198.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	12LHND|3DMG|4ASPD|58VULN|6RCR|7AART|9BELT|aZMB
119	52613 33331	   	197.84	DCR|3DMG|2ASPD|1VULN	1AME|2RMIN|39aDMG|48ASPD|5VULN|6RCR|7TLV
120	66223 31821	   	197.81	DCR|3DMG|2VULN|1AAC|1ZMB	1MBVNT|2RMIN|348DMG|58VULN|6RCR|78LWND|8BPWR|9ZMB|aAAC
121	66223 31642	   	197.59	DCR|3DMG|2VULN|2DUR	1MBVNT|2RMIN|34aDMG|5aVULN|6RCR|7LWND|8ERES|9aDUR|aBPWR
122	66223 33142	   	197.59	DCR|3DMG|2VULN|2DUR	1MBVNT|2RMIN|34aDMG|5aVULN|6RCR|7TLV|8BEXP|9aDUR|aBPWR
123	66223 33242	   	197.59	DCR|3DMG|2VULN|2DUR	1MBVNT|2RMIN|34aDMG|5aVULN|6RCR|7TLV|8FEWX|9aDUR|aBPWR
124	66223 33842	   	197.59	DCR|3DMG|2VULN|2DUR	1MBVNT|2RMIN|34aDMG|5aVULN|6RCR|7TLV|8LWND|9aDUR|aBPWR
125	66223 33542	   	197.49	DCR|3DMG|2VULN|2DUR	1MBVNT|2RMIN|34aDMG|5aVULN|6RCR|7TLV|8DUST|9aDUR|aBPWR
126	66223 36221	   	197.49	DCR|3DMG|2VULN|2ZMB	1MBVNT|2RMIN|34aDMG|57VULN|6RCR|89ZMB
127	52613 35213	   	197.35	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1AME|2RMIN|3DMG|4ASPD|57VULN|6RCR|8ZMB|9DUST|aCDMG
128	64351 24352	   	197.26	DCR|3VULN|2DMG|2DUR|1ZMB	1MBVNT|28aVULN|3ZMB|4aDMG|5LHND|6CGEN|7aDUR|9RCR|aBPWR
129	64352 24352	   	197.26	DCR|3VULN|2DMG|2DUR|1ZMB	1MBVNT|28aVULN|3ZMB|4aDMG|5FEWX|6CGEN|7aDUR|9RCR|aBPWR
130	42613 35213	   	197.25	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1TLV|2RMIN|3DMG|4ASPD|57VULN|6RCR|8ZMB|9DUST|aCDMG
131	31531 53134	   	197.02	DCR|3VULN|1AART|1ASPD|2ZMB	1LIT|23ZMB|45aVULN|6AART|7RCR|8ASPD|9FEWX
132	51534 31213	   	197.02	DCR|3VULN|1AART|1ASPD|2ZMB	1AME|2DMSP|356VULN|4AART|7RCR|8ASPD|9aZMB
133	41534 31213	   	196.92	DCR|3VULN|1AART|1ASPD|2ZMB	1TLV|2DMSP|356VULN|4AART|7RCR|8ASPD|9aZMB
134	64633 33182	   	196.90	DCR|3VULN|3ASPD|1DUR|1SELL	1MBVNT|27aVULN|357ASPD|4SELL|6RCR|7BPWR|8LHND|9DUR
135	64633 33283	   	196.90	DCR|3VULN|3ASPD|1DUR|1SELL	1MBVNT|27aVULN|357ASPD|4SELL|6RCR|7BPWR|8FEWX|9DUR
136	64633 33413	   	196.90	DCR|3VULN|3ASPD|1DUR|1SELL	1MBVNT|278VULN|357ASPD|4SELL|6RCR|7BPWR|9DUR|aFEWX
137	64633 33415	   	196.90	DCR|3VULN|3ASPD|1DUR|1SELL	1MBVNT|278VULN|357ASPD|4SELL|6RCR|7BPWR|9DUR|aLIT
138	64633 33417	   	196.90	DCR|3VULN|3ASPD|1DUR|1SELL	1MBVNT|278VULN|357ASPD|4SELL|6RCR|7BPWR|9DUR|aCGEN
139	64633 33436	   	196.90	DCR|3VULN|3ASPD|1DUR|1SELL	1MBVNT|278VULN|357ASPD|4SELL|6RCR|7BPWR|9LWND|aDUR
140	64633 33446	   	196.90	DCR|3VULN|3ASPD|1DUR|1SELL	1MBVNT|278VULN|357ASPD|4SELL|6RCR|7BPWR|9FEWX|aDUR
141	64613 42117	   	196.85	DCR|3VULN|3ASPD|2ZMB|1AAC	1MBVNT|279VULN|369ASPD|4AAC|5RCVC|89ZMB|9BPWR|aRCR
142	64633 33411	   	196.80	DCR|3VULN|3ASPD|1DUR|1SELL	1MBVNT|278VULN|357ASPD|4SELL|6RCR|7BPWR|9DUR|aTLV
143	64633 33414	   	196.80	DCR|3VULN|3ASPD|1DUR|1SELL|1MSE	1MBVNT|278VULN|357ASPD|4SELL|6RCR|7BPWR|9DUR|aMSE
144	64633 33427	   	196.80	DCR|3VULN|3ASPD|1DUR|1SELL	1MBVNT|278VULN|357ASPD|4SELL|6RCR|7BPWR|9ERES|aDUR
145	52613 35132	   	196.76	DCR|2VULN|2DMG|1ASPD|1DUR	1AME|2RMIN|39DMG|4ASPD|57VULN|6RCR|8CGEN|aDUR
146	67413 22372	 * 	196.68	DCR|4VULN|3ASPD	1MBVNT|23CGEN|469ASPD|5678VULN|6BPWR|aRCR
147	64361 82444	   	196.68	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1MBVNT|27VULN|3ZMB|4BEXP|5DUR|6RCR|8aASPD|9DMG
148	31531 63423	   	196.68	DCR|2VULN|2DMG|1AART|2ZMB	1LIT|23ZMB|45VULN|6aDMG|7RCR|8AART|9ERES
149	42613 35132	   	196.66	DCR|2VULN|2DMG|1ASPD|1DUR	1TLV|2RMIN|39DMG|4ASPD|57VULN|6RCR|8CGEN|aDUR
150	42613 33512	   	196.58	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	17TLV|2RMIN|3DMG|4aASPD|5VULN|6RCR|8AART|9DUR
151	62544 81241	   	196.58	DCR|2VULN|1MDPS|2ASPD|1DMG|1ZMB|1DUR	1MBVNT|2MDPS|39VULN|47ASPD|5DUR|6RCR|8ZMB|aDMG
152	64341 82344	   	196.58	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1MBVNT|27VULN|3ZMB|4DUST|5DUR|6RCR|8aASPD|9DMG
153	52613 35322	 * 	196.47	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG	1AME|2RMIN|3DMG|4ASPD|57VULN|6RCR|8LWND|9CDMG|aMDPS
154	42613 35322	   	196.37	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG	1TLV|2RMIN|3DMG|4ASPD|57VULN|6RCR|8LWND|9CDMG|aMDPS
155	64633 23172	   	196.24	DCR|3VULN|3ASPD|2DUR|1SELL	1MBVNT|27aVULN|357ASPD|4SELL|67DUR|7BPWR|8LHND|9RCR
156	64633 23273	   	196.24	DCR|3VULN|3ASPD|2DUR|1SELL	1MBVNT|27aVULN|357ASPD|4SELL|67DUR|7BPWR|8FEWX|9RCR
157	62444 34852	 * 	196.07	DCR|4VULN|2DMG|1MDPS	1MBVNT|2MDPS|3RMIN|4aDMG|567aVULN|8aCGEN|9RCR|aBPWR
158	21541 35211	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	15LHND|28VULN|3ASPD|4DMG|6RCR|7AART|9DUR|aLIT
159	21541 35221	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	15LHND|28VULN|3ASPD|4DMG|6RCR|7AART|9BELT|aDUR
160	22616 35211	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	12LHND|3DMG|4ASPD|58VULN|6RCR|7AART|9DUR|aLIT
161	22616 35221	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	12LHND|3DMG|4ASPD|58VULN|6RCR|7AART|9BELT|aDUR
162	21541 35213	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR|1MSE	15LHND|28VULN|3ASPD|4DMG|6RCR|7AART|9DUR|aMSE
163	22616 35213	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR|1MSE	12LHND|3DMG|4ASPD|58VULN|6RCR|7AART|9DUR|aMSE
