0	Index      	 *	Score 	Summary	Detail	
1	31112 41261	 * 	233.09	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9CDMG|aASPD
12	33611 31441	 * 	226.52	DCR|3DMG|3CDMG|1AART|1NUKE|3DUR	1AART|289CDMG|3MLV|489DUR|5BELT|6RCR|789DMG|89BPWR|aNUKE
13	54232 11226	   	226.48	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1RMIN|2ASPD|3AART|4CGEN|59DMG|68VULN|7RCR|aCDMG
14	51225 11261	   	226.38	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1RMIN|25DMG|3AART|45DUST|5BPWR|68VULN|7RCR|9CDMG|aASPD
15	34662 11223	   	226.30	DCR|2VULN|2AART|2DMG|1ASPD	13AART|2RMIN|4BEXP|59DMG|68VULN|7RCR|aASPD
16	51221 11223	   	226.20	DCR|2VULN|2AART|2DMG|1ASPD	1RMIN|29DMG|35AART|4DUST|68VULN|7RCR|aASPD
17	54232 11223	 * 	225.88	DCR|3DMG|2VULN|1AART|1ASPD	1RMIN|2ASPD|3AART|4CGEN|59aDMG|68VULN|7RCR
18	31112 41166	   	225.51	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	1AART|28ERES|35DMG|45aVULN|5BPWR|6DUR|7RCR|9CDMG
19	33511 15133	   	225.05	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|37VULN|4ZMB|5RCVC|6RCR|8DUR|9ASPD|aDMG
20	51221 11261	 * 	224.87	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1RMIN|2DMG|35AART|4DUST|68VULN|7RCR|9CDMG|aASPD
21	54221 11224	   	224.87	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1RMIN|2ASPD|35AART|4DUST|68VULN|7RCR|9DMG|aCDMG
22	34131 31226	   	224.25	DCR|3VULN|2DMG|1AART|1CDMG	1AART|2RMIN|3BEXP|468VULN|59DMG|7RCR|aCDMG
23	36631 31226	   	224.25	DCR|3VULN|2DMG|1AART|1CDMG	1AART|2LHND|3RMIN|468VULN|59DMG|7RCR|aCDMG
24	32121 34244	 * 	224.09	DCR|3VULN|2DMG|1MDPS|1AART|1DUR	1AART|27TLV|37DMG|4DUST|5DUR|678VULN|7BPWR|9RCR|aMDPS
25	31112 41344	   	223.86	DCR|2VULN|2AART|2DMG|1CDMG|1DUR	19AART|2ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|8CGEN|aCDMG
26	31112 41164	   	223.76	DCR|2VULN|2AART|2DMG|1CDMG|1DUR	1aAART|28ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|9CDMG
27	54232 11261	 * 	223.11	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1RMIN|2aASPD|3AART|4CGEN|5DMG|68VULN|7RCR|9CDMG
28	31112 63133	 * 	222.97	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	1AART|2ERES|35DMG|45VULN|5BPWR|6RPLT|78CDMG|9RCR|aASPD
29	51221 11226	   	222.39	DCR|2VULN|2AART|2DMG|1CDMG	1RMIN|29DMG|35AART|4DUST|68VULN|7RCR|aCDMG
30	31112 41156	   	222.21	DCR|1SPLARM|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|28ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|9SPLARM|aCDMG
31	32231 31223	   	221.02	DCR|3VULN|2DMG|1AART|1ASPD	1AART|2TLV|3BEXP|468VULN|59DMG|7RCR|aASPD
32	51252 35231	 * 	220.80	DCR|3VULN|2DMG|1AART|3DUR	1RMIN|29DMG|3AART|4LIT|579DUR|689VULN|9BPWR|aRCR
33	32231 31261	   	219.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2TLV|3BEXP|468VULN|5DMG|7RCR|9CDMG|aASPD
34	36333 31261	 * 	219.68	DCR|3VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG	1AART|2LHND|3DMG|468VULN|5NUKE|7RCR|9CDMG|aASPD
35	32145 11261	   	219.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1AART|2TLV|35DMG|45LHND|5BPWR|68VULN|7RCR|9CDMG|aASPD
36	22625 31261	   	219.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1TLV|2LWND|38VULN|45DMG|6AART|7RCR|9CDMG|aASPD
37	36331 21261	   	219.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1AART|2LHND|35DMG|48VULN|6TLV|7RCR|9CDMG|aASPD
38	23625 31261	   	219.34	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1TLV|2DUST|38VULN|45DMG|6AART|7RCR|9CDMG|aASPD
39	32125 11261	   	219.34	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1AART|2TLV|35DMG|45DUST|5BPWR|68VULN|7RCR|9CDMG|aASPD
40	33511 15131	   	219.21	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB|1DUR	1AART|2CDMG|37VULN|4ZMB|5RCVC|6RCR|8DUR|9aASPD
41	54221 11261	 * 	219.02	DCR|2VULN|2AART|2ASPD|1CDMG	1RMIN|2aASPD|35AART|4DUST|68VULN|7RCR|9CDMG
42	31112 63131	 * 	218.98	DCR|2VULN|2AART|2DMG|2CDMG	1aAART|2ERES|35DMG|45VULN|5BPWR|6RPLT|78CDMG|9RCR
43	31112 14433	   	218.73	DCR|3VULN|2DMG|1AART|1ASPD	1AART|2ERES|35DMG|456VULN|5BPWR|7RCVC|8BEXP|9RCR|aASPD
44	51621 63122	 * 	217.82	DCR|4VULN|3DMG	1RMIN|234DMG|49BPWR|579aVULN|6RCR|89SPLJET
45	32231 31226	   	217.21	DCR|3VULN|2DMG|1AART|1CDMG	1AART|2TLV|3BEXP|468VULN|59DMG|7RCR|aCDMG
46	36333 31226	 * 	217.21	DCR|3VULN|2DMG|1AART|1NUKE|1CDMG	1AART|2LHND|39DMG|468VULN|5NUKE|7RCR|aCDMG
47	54232 11262	   	217.20	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1RMIN|2ASPD|3AART|4CGEN|5DMG|68VULN|7RCR|9CDMG|aDUR
48	31112 34354	   	217.12	DCR|3VULN|2DMG|1AART|1ASPD	1AART|2ERES|35DMG|458VULN|5BPWR|6CGEN|7BELT|9RCR|aASPD
49	32125 11266	   	217.11	DCR|3VULN|2DMG|1AART|1CDMG	1AART|2TLV|35DMG|45DUST|5BPWR|68aVULN|7RCR|9CDMG
50	31112 13133	   	217.02	DCR|3VULN|2DMG|1AART|1ASPD	1AART|2ERES|35DMG|456VULN|5BPWR|7CGEN|8TLV|9RCR|aASPD
51	31112 54433	   	216.97	DCR|2VULN|2AART|2DMG|1ASPD	16AART|2ERES|35DMG|45VULN|5BPWR|7RCVC|8BEXP|9RCR|aASPD
52	31112 41233	   	216.84	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9AME|aASPD
53	33511 15621	   	216.74	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2CDMG|37VULN|4ZMB|5RCVC|6RCR|8ASPD|9DMG|aFEWX
54	33511 15622	   	216.74	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2CDMG|37VULN|4ZMB|5RCVC|6RCR|8ASPD|9DMG|aLWND
55	33511 15623	   	216.74	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2CDMG|37VULN|4ZMB|5RCVC|6RCR|8ASPD|9DMG|aLHND
56	31111 31223	   	216.74	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	1AART|2ERES|39DMG|46VULN|58DUR|7RCR|aASPD
57	36325 11531	 * 	216.71	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2LHND|359DMG|4CDMG|6RCR|7MSLFST|8VULN|aASPD
58	32231 31264	 * 	215.70	DCR|3VULN|2AART|1DMG|1CDMG	1aAART|2TLV|3BEXP|468VULN|5DMG|7RCR|9CDMG
59	36333 31264	 * 	215.70	DCR|3VULN|2AART|1DMG|1NUKE|1CDMG	1aAART|2LHND|3DMG|468VULN|5NUKE|7RCR|9CDMG
60	31112 63533	   	215.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1AART|2ERES|35DMG|45VULN|5BPWR|68RPLT|7CDMG|9RCR|aASPD
61	36334 12733	 * 	215.51	DCR|3VULN|2AART|1ASPD|1DMG	18AART|2LHND|3DMG|467VULN|5MBVNT|9RCR|aASPD
62	32231 31266	 * 	215.47	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2TLV|3BEXP|468aVULN|5DMG|7RCR|9CDMG
63	36331 21264	   	215.45	DCR|2VULN|2AART|2DMG|1CDMG	1aAART|2LHND|35DMG|48VULN|6TLV|7RCR|9CDMG
64	31112 66333	   	215.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1AART|27ERES|35DMG|45VULN|5BPWR|6RPLT|8CDMG|9RCR|aASPD
65	31111 31261	   	215.40	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1AART|2ERES|3DMG|46VULN|58DUR|7RCR|9CDMG|aASPD
66	31112 34254	   	215.36	DCR|2VULN|2AART|2DMG|1ASPD	18AART|2ERES|35DMG|45VULN|5BPWR|6CGEN|7BELT|9RCR|aASPD
67	32125 11264	   	215.35	DCR|2VULN|2AART|2DMG|1CDMG	1aAART|2TLV|35DMG|45DUST|5BPWR|68VULN|7RCR|9CDMG
68	31112 53133	   	215.26	DCR|2VULN|2AART|2DMG|1ASPD	16AART|2ERES|35DMG|45VULN|5BPWR|7CGEN|8TLV|9RCR|aASPD
69	34141 11224	   	215.24	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	15AART|2RMIN|3BEXP|4ZMB|68VULN|7RCR|9DMG|aCDMG
70	34141 11261	   	215.24	DCR|2VULN|2AART|1ASPD|1CDMG|1ZMB	15AART|2RMIN|3BEXP|4ZMB|68VULN|7RCR|9CDMG|aASPD
71	31112 14436	   	214.91	DCR|3VULN|2DMG|1AART|1CDMG	1AART|2ERES|35DMG|456VULN|5BPWR|7RCVC|8BEXP|9RCR|aCDMG
72	36325 12332	 * 	214.88	DCR|3DMG|2ASPD|1AART|2CDMG	1AART|2aLHND|35aDMG|48CDMG|6RCR|7AME|9aASPD|aBPWR
73	31112 51434	 * 	214.81	DCR|3AART|2VULN|2DMG|1CDMG	169AART|2ERES|35DMG|45VULN|5BPWR|7CDMG|8BELT|aRCR
74	36325 16332	   	214.78	DCR|3DMG|2ASPD|1AART|2CDMG	1AART|2aLHND|35aDMG|48CDMG|6RCR|7TLV|9aASPD|aBPWR
75	33521 15133	   	214.62	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AART|2CDMG|37VULN|4AAC|5RCVC|6RCR|8DUR|9ASPD|aDMG
76	32231 31256	 * 	214.14	DCR|3VULN|1SPLARM|1AART|1DMG|1CDMG	1AART|2TLV|3BEXP|468VULN|5DMG|7RCR|9SPLARM|aCDMG
77	31112 42333	   	214.02	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|67DUR|8RCVC|9RCR|aASPD
78	32145 11252	   	214.00	DCR|1SPLARM|2VULN|2DMG|1AART|1CDMG	1AART|2TLV|35DMG|45LHND|5BPWR|68VULN|7RCR|9SPLARM|aCDMG
79	36331 21252	   	213.90	DCR|1SPLARM|2VULN|2DMG|1AART|1CDMG	1AART|2LHND|35DMG|48VULN|6TLV|7RCR|9SPLARM|aCDMG
80	32125 11256	   	213.80	DCR|1SPLARM|2VULN|2DMG|1AART|1CDMG	1AART|2TLV|35DMG|45DUST|5BPWR|68VULN|7RCR|9SPLARM|aCDMG
81	34462 11223	   	213.54	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2RMIN|3RCVC|4BEXP|59DMG|68VULN|7RCR|aASPD
82	33615 23433	 * 	213.52	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG|1DUR	1AART|27CDMG|3MLV|4DUR|5DMG|6RCR|8VULN|9aASPD
83	24232 11223	   	213.52	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	1TLV|2ZMB|3AART|4CGEN|59DMG|68VULN|7RCR|aASPD
84	51321 63161	 * 	213.47	DCR|3DMG|2VULN|1MDPS|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8SPLJET|9ASPD|aMDPS
85	33512 41412	   	213.44	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1AART|28CDMG|38VULN|4ZMB|5FEWX|6aBELT|78DMG|8BPWR|9RCR
86	24262 15223	   	213.42	DCR|2VULN|2DMG|1AART|1ASPD|1AAC|1ZMB	1TLV|2ZMB|3AART|4AAC|59DMG|68VULN|7RCR|aASPD
87	51321 63631	   	213.37	DCR|3DMG|2VULN|1MDPS|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8ASPD|9MDPS|aBEXP
88	51321 63632	   	213.37	DCR|3DMG|2VULN|1MDPS|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8ASPD|9MDPS|aBELT
89	51321 63633	   	213.37	DCR|3DMG|2VULN|1MDPS|1ASPD	1RMIN|234DMG|34BPWR|57VULN|6RCR|8ASPD|9MDPS|aCGEN
90	33512 41411	   	213.34	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1MSE	1AART|28CDMG|38VULN|4ZMB|5FEWX|6BELT|78DMG|8BPWR|9RCR|aMSE
91	33512 41413	   	213.34	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1AART|28CDMG|38VULN|4ZMB|5FEWX|6BELT|78DMG|8BPWR|9RCR|aMBVNT
92	31112 13136	   	213.21	DCR|3VULN|2DMG|1AART|1CDMG	1AART|2ERES|35DMG|456VULN|5BPWR|7CGEN|8TLV|9RCR|aCDMG
93	31111 31266	   	213.17	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1AART|2ERES|3DMG|46aVULN|58DUR|7RCR|9CDMG
94	54221 11262	   	213.11	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	1RMIN|2ASPD|35AART|4DUST|68VULN|7RCR|9CDMG|aDUR
95	34621 11224	   	213.11	DCR|2VULN|2AART|1DMG|1CDMG|1AAC|1DUR	13AART|2RMIN|4AAC|5DUR|68VULN|7RCR|9DMG|aCDMG
96	34621 11261	   	213.11	DCR|2VULN|2AART|1ASPD|1CDMG|1AAC|1DUR	13AART|2RMIN|4AAC|5DUR|68VULN|7RCR|9CDMG|aASPD
97	36334 12734	 * 	213.03	DCR|3VULN|2AART|2DMG	18AART|2LHND|3aDMG|467VULN|5MBVNT|9RCR
98	31112 41234	   	213.03	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9AME|aCDMG
99	31112 41263	   	213.03	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9CDMG|aFEWX
100	36331 12451	   	212.94	DCR|3DMG|2VULN|1AART|1ASPD	1AART|2LHND|356DMG|47VULN|8CGEN|9ASPD|aRCR
101	31111 31226	   	212.93	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|2ERES|39DMG|46VULN|58DUR|7RCR|aCDMG
102	31112 41262	   	212.93	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1MSE	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9CDMG|aMSE
103	31112 41265	   	212.93	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9CDMG|aLEGI
104	31112 41341	   	212.87	DCR|3AART|2VULN|2DMG|1DUR	19aAART|2ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|8CGEN
105	32141 51236	   	212.87	DCR|3AART|2VULN|2DMG|1DUR	169AART|2aTLV|3aDMG|4LHND|5DUR|7RCR|8aVULN|aBPWR
106	31112 41231	   	212.85	DCR|2VULN|2AART|2DMG|2DUR	1aAART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9AME
107	36345 11231	   	212.85	DCR|2VULN|2AART|2DMG|2ZMB	1aAART|2LHND|35DMG|45ZMB|5BPWR|68VULN|7RCR|9TLV
108	36331 12251	   	212.84	DCR|3DMG|2VULN|1AART|1ASPD	1AART|2LHND|356DMG|47VULN|8TLV|9ASPD|aRCR
109	32145 26311	 * 	212.78	DCR|3DMG|2ASPD|1AART|1VULN	1AART|29TLV|359DMG|45LHND|59BPWR|6MSLFST|7RCR|89ASPD|aVULN
110	31112 34351	 * 	212.71	DCR|3VULN|3DMG|1AART	1AART|2ERES|35aDMG|458VULN|5BPWR|6CGEN|7BELT|9RCR
111	51224 11223	   	212.59	DCR|2VULN|2DMG|1AART|1ASPD	1RMIN|29DMG|3AART|4DUST|5RCVC|68VULN|7RCR|aASPD
112	32125 26311	   	212.58	DCR|3DMG|2ASPD|1AART|1VULN	1AART|29TLV|359DMG|45DUST|59BPWR|6MSLFST|7RCR|89ASPD|aVULN
113	36345 11221	   	212.53	DCR|3DMG|2VULN|1AART|2ZMB	1AART|2LHND|359DMG|45ZMB|5BPWR|68VULN|7RCR|aAME
114	36345 11223	   	212.53	DCR|3DMG|2VULN|1AART|2ZMB	1AART|2LHND|359DMG|45ZMB|5BPWR|68VULN|7RCR|aCGEN
115	56334 31221	   	212.45	DCR|2VULN|2AART|1ASPD|1DMG	1RMIN|2RCVC|3LHND|4ASPD|58VULN|6aAART|7RCR|9DMG
116	31111 51223	   	212.43	DCR|2AART|2DMG|1VULN|1ASPD|2DUR	16AART|2ERES|39DMG|4VULN|58DUR|7RCR|aASPD
117	31112 41221	   	212.43	DCR|3DMG|2VULN|1AART|2DUR	1AART|2ERES|359DMG|45VULN|5BPWR|68DUR|7RCR|aMLV
118	31112 41223	   	212.43	DCR|3DMG|2VULN|1AART|2DUR	1AART|2ERES|359DMG|45VULN|5BPWR|68DUR|7RCR|aCGEN
119	31112 41225	   	212.43	DCR|3DMG|2VULN|1AART|2DUR	1AART|2ERES|359DMG|45VULN|5BPWR|68DUR|7RCR|aLIT
120	31112 41226	   	212.43	DCR|3DMG|2VULN|1AART|2DUR	1AART|2ERES|359DMG|45VULN|5BPWR|68DUR|7RCR|aFEWX
121	36345 11222	   	212.43	DCR|3DMG|2VULN|1AART|2ZMB	1AART|2LHND|359DMG|45ZMB|5BPWR|68VULN|7RCR|aTLV
122	31112 41222	   	212.33	DCR|3DMG|2VULN|1AART|2DUR	1AART|2ERES|359DMG|45VULN|5BPWR|68DUR|7RCR|aTLV
123	24232 11261	   	212.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1TLV|2ZMB|3AART|4CGEN|5DMG|68VULN|7RCR|9CDMG|aASPD
124	34331 33223	 * 	212.07	ACR|3VULN|2DMG|1AART|1ASPD|1DUR	1AART|2RMIN|3RCR|468VULN|59DMG|7DUR|aASPD
125	31112 63531	   	211.55	DCR|2VULN|2AART|2DMG|1CDMG	1aAART|2ERES|35DMG|45VULN|5BPWR|68RPLT|7CDMG|9RCR
126	31112 41133	   	211.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1AART|28ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|9AME|aASPD
127	31112 53136	   	211.45	DCR|2VULN|2AART|2DMG|1CDMG	16AART|2ERES|35DMG|45VULN|5BPWR|7CGEN|8TLV|9RCR|aCDMG
128	31112 66331	   	211.45	DCR|2VULN|2AART|2DMG|1CDMG	1aAART|27ERES|35DMG|45VULN|5BPWR|6RPLT|8CDMG|9RCR
129	31111 31264	   	211.41	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	1aAART|2ERES|3DMG|46VULN|58DUR|7RCR|9CDMG
130	31111 51266	   	211.41	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	16AART|2ERES|3DMG|4aVULN|58DUR|7RCR|9CDMG
131	31111 31123	   	211.40	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1AART|28ERES|39DMG|46VULN|5DUR|7RCR|aASPD
132	31112 41251	   	211.30	DCR|1SPLARM|2VULN|2DMG|1AART|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9SPLARM|aLHND
133	31112 41252	   	211.30	DCR|1SPLARM|2VULN|2DMG|1AART|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9SPLARM|aFEWX
134	31112 41254	   	211.30	DCR|1SPLARM|2VULN|2DMG|1AART|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9SPLARM|aCGEN
135	31112 41255	   	211.30	DCR|1SPLARM|2VULN|2DMG|1AART|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9SPLARM|aLWND
136	51224 11261	   	211.25	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1RMIN|2DMG|3AART|4DUST|5RCVC|68VULN|7RCR|9CDMG|aASPD
137	31112 41354	   	211.23	DCR|2VULN|1MDPS|2DMG|1AART|1ZMB|1DUR	1AART|2ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|8CGEN|9ZMB|aMDPS
138	31112 41253	   	211.20	DCR|1SPLARM|2VULN|2DMG|1AART|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9SPLARM|aTLV
139	31111 51261	   	211.10	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	16AART|2ERES|3DMG|4VULN|58DUR|7RCR|9CDMG|aASPD
140	31112 34251	 * 	210.96	DCR|3DMG|2VULN|2AART	18AART|2ERES|35aDMG|45VULN|5BPWR|6CGEN|7BELT|9RCR
141	33511 15331	   	210.90	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1AART|2CDMG|37VULN|4ZMB|5RCVC|6RCR|8BEXP|9aASPD
142	34331 33261	 * 	210.74	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2RMIN|3RCR|468VULN|5DMG|7DUR|9CDMG|aASPD
143	56334 31223	   	210.60	DCR|2VULN|2ASPD|1AART|1DMG	1RMIN|2RCVC|3LHND|4aASPD|58VULN|6AART|7RCR|9DMG
144	33511 15251	   	210.52	DCR|3VULN|2AART|1CDMG|1ZMB	1aAART|2CDMG|378VULN|4ZMB|5RCVC|6RCR|9AELBLL
145	34131 31233	   	210.37	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2RMIN|3BEXP|468VULN|5DMG|7RCR|9TLV|aASPD
146	34346 13223	 * 	210.32	ACR|2VULN|2AART|2DMG|1ASPD|1DUR	14AART|2RMIN|3RCR|58VULN|69DMG|7DUR|aASPD
147	33511 15252	   	210.30	DCR|4VULN|1AART|1CDMG|1ZMB	1AART|2CDMG|378aVULN|4ZMB|5RCVC|6RCR|9AELBLL
148	31112 16652	 * 	210.25	3VULN|1SPLARM|2DMG|1MDPS|1AART	1AART|2ERES|35DMG|456VULN|5BPWR|7LIT|8FEWX|9SPLARM|aMDPS
149	33511 15132	   	210.23	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR|1ZMB	1AART|2CDMG|37VULN|4ZMB|5RCVC|6RCR|8aDUR|9ASPD
150	34131 31423	   	210.23	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2RMIN|38BEXP|46VULN|59DMG|7RCR|aASPD
151	54232 11221	   	210.23	DCR|2VULN|2DMG|1AART|1ASPD	1RMIN|2ASPD|3AART|4CGEN|59DMG|68VULN|7RCR|aLHND
152	54232 11222	   	210.23	DCR|2VULN|2DMG|1AART|1ASPD	1RMIN|2ASPD|3AART|4CGEN|59DMG|68VULN|7RCR|aFEWX
153	54232 11225	   	210.23	DCR|2VULN|2DMG|1AART|1ASPD	1RMIN|2ASPD|3AART|4CGEN|59DMG|68VULN|7RCR|aLIT
154	31112 42336	   	210.21	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|67DUR|8RCVC|9RCR|aCDMG
155	33136 23536	 * 	210.19	DCR|3VULN|1AART|2CDMG|1DMG|1NUKE	1AART|27CDMG|3RMIN|47LIT|57aVULN|6NUKE|7BPWR|8DMG|9RCR
156	52334 31224	   	210.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2RMIN	12RMIN|3LHND|4ASPD|58VULN|6AART|7RCR|9DMG|aCDMG
157	32133 11223	   	210.13	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2TLV|39DMG|4CGEN|5RMIN|68VULN|7RCR|aASPD
158	51265 11223	   	210.13	DCR|2VULN|2DMG|1AART|1ASPD|1AAC	1RMIN|29DMG|3AART|4AAC|5CGEN|68VULN|7RCR|aASPD
159	31111 31161	   	210.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|28ERES|3DMG|46VULN|5DUR|7RCR|9CDMG|aASPD
160	32163 11223	   	210.03	DCR|2VULN|2DMG|1AART|1ASPD|1AAC	1AART|2TLV|39DMG|4AAC|5RMIN|68VULN|7RCR|aASPD
161	51225 11233	   	210.03	DCR|2VULN|2DMG|1AART|1ASPD	1RMIN|25DMG|3AART|45DUST|5BPWR|68VULN|7RCR|9TLV|aASPD
162	31111 31343	   	209.98	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	19AART|2ERES|3DMG|46VULN|5DUR|7RCR|8CGEN|aASPD
163	52334 31221	   	209.98	DCR|2VULN|2AART|1ASPD|1DMG|2RMIN	12RMIN|3LHND|4ASPD|58VULN|6aAART|7RCR|9DMG
