0	Index      	 *	Score 	Summary	Detail	
1	65122 22262	 * 	224.56	紫3伤害3攻速3易伤1卖塔	1卖塔29a伤害3金币生成4核58随机矿69a易伤79a攻速9a序列升级
52	32325 62131	   	200.61	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3a低血量敌人47易伤5核67技能点7序列升级8基础对甲9平台
53	32325 62132	   	200.61	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9平台a最后敌人
54	32325 62133	   	200.61	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9平台a雷电
55	32325 62134	   	200.61	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9平台a随机矿
56	32325 62136	   	200.61	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9平台a时间
57	32625 62111	   	200.51	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3挖青47易伤5核67技能点7序列升级8基础对甲9最后敌人a随机矿
58	32625 62112	   	200.51	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3挖青47易伤5核67技能点7序列升级8基础对甲9最后敌人a额外掉落
59	32625 62113	   	200.51	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3挖青47易伤5核67技能点7序列升级8基础对甲9最后敌人a敌人爆炸
60	32625 62121	   	200.51	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3挖青47易伤5核67技能点7序列升级8基础对甲9敌人爆炸a随机矿
61	32625 62122	   	200.51	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3挖青47易伤5核67技能点7序列升级8基础对甲9敌人爆炸a立即金币
62	32625 62123	   	200.51	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3挖青47易伤5核67技能点7序列升级8基础对甲9敌人爆炸a雷电
63	32625 62131	   	200.51	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3挖青47易伤5核67技能点7序列升级8基础对甲9平台a低血量敌人
64	32625 62133	   	200.51	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3挖青47易伤5核67技能点7序列升级8基础对甲9平台a雷电
65	32325 62116	   	200.51	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9最后敌人a加一
66	32325 62141	   	200.51	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9挖尘a随机矿
67	32325 62142	   	200.51	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9挖尘a立即金币
68	32325 62143	   	200.51	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9挖尘a雷电
69	32325 62161	   	200.51	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核679技能点7序列升级8基础对甲a随机矿
70	32325 62163	   	200.51	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核679技能点7序列升级8基础对甲a最后敌人
71	32325 21847	   	200.51	紫1基础对甲2伤害2易伤1全技能	1a伤害2全技能3低血量敌人49易伤5核6策反7加一8基础对甲
72	61126 63213	 * 	200.44	紫1基础对甲2攻速2基地爆炸1卖塔	1卖塔2a矿等35金币生成4核6a攻速7基础对甲8低血量敌人9a基地爆炸a序列升级
73	31342 62613	   	199.40	紫2伤害2基地爆炸1攻速1全技能1暴击	16伤害2双倍矿3全技能4核56基地爆炸6序列升级7喷火对黄8矿等9暴击a攻速
74	31342 16124	   	199.19	紫1基础对甲2伤害1全技能1基地爆炸	16伤害2双倍矿3全技能4核5基地爆炸7雷电8金币生成9等级a基础对甲
75	31342 16224	   	199.09	紫1基础对甲2伤害1全技能1基地爆炸	16伤害2双倍矿3全技能4核5基地爆炸7雷电8掉矿9等级a基础对甲
76	32325 31874	 * 	198.27	紫1基础对甲1伤害1攻速1全技能1技能	1伤害2全技能3低血量敌人4易伤5核6技能7加一8基础对甲9雷电a攻速
77	31345 12113	 * 	197.45	紫3攻速2伤害1全技能	17伤害2双倍矿3全技能4核57技能点67a攻速7序列升级8立即金币9易伤
78	32445 12113	   	197.45	紫3攻速2伤害1全技能	17伤害2全技能38立即金币4核57技能点67a攻速7序列升级9易伤
79	31345 12153	   	196.81	紫2伤害2攻速1全技能1暴击1技能	17伤害2双倍矿3全技能4核57技能点67攻速7序列升级8立即金币9技能a暴击
80	65122 22263	 * 	196.78	紫3伤害2攻速2易伤1卖塔	1卖塔29a伤害3金币生成4核58随机矿69易伤79攻速9序列升级
81	31342 63611	   	196.69	紫3伤害2基地爆炸1全技能1技能	168伤害2双倍矿3全技能4核56基地爆炸6序列升级7易伤9低血量敌人a技能
82	31342 63621	   	196.59	紫3伤害2基地爆炸1全技能1技能	168伤害2双倍矿3全技能4核56基地爆炸6序列升级7易伤9技能点a技能
83	65124 33142	 * 	196.58	紫3伤害2攻速2易伤1卖塔	1卖塔29a伤害3金币生成4核5双倍秒伤6a攻速7加一8a易伤a序列升级
84	65124 33132	 * 	196.58	紫3攻速2伤害2易伤1卖塔	1卖塔2a伤害3金币生成4核5双倍秒伤69a攻速7加一8a易伤a序列升级
85	31342 26124	   	196.44	紫1基础对甲2基地爆炸1伤害1全技能	1伤害2双倍矿3全技能4核56基地爆炸7雷电8金币生成9等级a基础对甲
86	31342 26224	   	196.34	紫1基础对甲2基地爆炸1伤害1全技能	1伤害2双倍矿3全技能4核56基地爆炸7雷电8掉矿9等级a基础对甲
87	62421 61321	 * 	196.30	紫1基础对甲2基地爆炸1攻速1暴击1卖塔	1卖塔23时间3序列升级4核56基地爆炸7基础对甲8立即金币9攻速a暴击
88	32325 31872	   	195.79	紫1基础对甲2伤害1全技能1技能	1a伤害2全技能3低血量敌人4易伤5核6技能7加一8基础对甲9雷电
89	31345 12312	   	195.44	紫2伤害2攻速1全技能1基地爆炸	17伤害2双倍矿3全技能4核57技能点67攻速7序列升级8金币生成9易伤a基地爆炸
90	32445 12312	   	195.44	紫2伤害2攻速1全技能1基地爆炸	17伤害2全技能3立即金币4核57技能点67攻速7序列升级8金币生成9易伤a基地爆炸
91	31345 21154	   	195.16	紫1基础对甲1伤害1全技能1基地爆炸1暴击	1伤害2双倍矿3全技能4核5技能点6基地爆炸7加一8矿等9基础对甲a暴击
92	31342 24522	   	194.68	紫3基地爆炸1伤害1攻速1全技能1技能	1伤害2双倍矿3全技能4核569基地爆炸7技能8易伤a攻速
