0	Index      	 *	Score 	Summary	Detail	
1	56311 63331	 * 	221.02	ACR|3ASPD|1BASARM|1DMG|1AAC	1DUR|2DMG|3RCR|4LWND|569ASPD|7CGEN|8BASARM|aAAC
16	56311 63311	   	196.96	ACR|1BASARM|2ASPD|1DMG	1DUR|2DMG|3RCR|4LWND|56ASPD|7CGEN|8BASARM|9DMSP|aTLV
17	56311 63312	   	196.96	ACR|1BASARM|2ASPD|1DMG	1DUR|2DMG|3RCR|4LWND|56ASPD|7CGEN|8BASARM|9DMSP|aERES
18	56311 63313	   	196.96	ACR|1BASARM|2ASPD|1DMG	1DUR|2DMG|3RCR|4LWND|56ASPD|7CGEN|8BASARM|9DMSP|aDUST
19	56311 63322	   	196.96	ACR|1BASARM|2ASPD|1DMG	1DUR|2DMG|3RCR|4LWND|56ASPD|7CGEN|8BASARM|9BELT|aDUST
20	22311 12346	 * 	196.65	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	1RPLT|27BEXP|3ZMB|4RCR|5CDMG|69VULN|8ASPD|aDMG
21	22311 16366	   	196.65	ACR|2VULN|2BEXP|1ASPD|1DMG|1CDMG	1RPLT|29BEXP|3ZMB|4RCR|5CDMG|67VULN|8ASPD|aDMG
22	22311 65111	 * 	196.54	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1RPLT|2aBEXP|3ZMB|4RCR|5CDMG|6ASPD|79LHND|8BASARM
23	22311 65122	   	196.54	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1RPLT|2aBEXP|3ZMB|4RCR|5CDMG|6ASPD|7LHND|8BASARM|9RMIN
24	22311 65142	   	196.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1RPLT|2aBEXP|3ZMB|4RCR|5CDMG|6ASPD|7LHND|8BASARM|9AME
25	22311 65116	   	195.36	ACR|1BASARM|1ASPD|1VULN|1BEXP|1CDMG	1RPLT|2BEXP|3ZMB|4RCR|5CDMG|6ASPD|79LHND|8BASARM|aVULN
26	22311 65152	   	195.36	ACR|1BASARM|1ASPD|1VULN|1BEXP|1CDMG	1RPLT|2BEXP|3ZMB|4RCR|5CDMG|6ASPD|7LHND|8BASARM|9VULN|aLIT
27	22311 65136	   	195.26	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG	1RPLT|2BEXP|3ZMB|4RCR|5CDMG|6ASPD|7LHND|8BASARM|9LEGI|aAART
28	22311 65153	   	195.26	ACR|1BASARM|1ASPD|1VULN|1BEXP|1CDMG	1RPLT|2BEXP|3ZMB|4RCR|5CDMG|6ASPD|7LHND|8BASARM|9VULN|aDUST
29	25211 33152	   	195.26	ACR|1BASARM|1ASPD|1VULN|1BEXP|1CDMG	1RPLT|2LHND|3ASPD|4RCR|5CDMG|6FEWX|7AAC|8BASARM|9VULN|aBEXP
30	15335 31153	   	195.06	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1MULARM|2BEXP|3MDPS|4RCR|5CDMG|6TLV|7CGEN|8VULN|9BASARM|aDMG
31	56311 61133	   	194.89	ACR|2ASPD|2DMG|2BEXP	17aDUR|2aDMG|3RCR|4LWND|56ASPD|8RPLT|9aBEXP|aBPWR
32	56311 62133	   	194.89	ACR|2ASPD|2DMG|2BEXP	1aDUR|2aDMG|3RCR|47LWND|56ASPD|8RPLT|9aBEXP|aBPWR
33	24351 25232	 * 	194.87	ACR|2BASARM|1VULN|1ASPD|1BEXP	1RPLT|23LIT|3BPWR|4RCR|5DUST|6aBASARM|7VULN|8BEXP|9ASPD
34	15331 42432	 * 	194.78	ACR|1BASARM|2BEXP|1VULN|1ASPD|1SELL	15MULARM|25BEXP|3MDPS|4RCR|5BPWR|6SELL|7VULN|8LIT|9ASPD|aBASARM
35	22311 16346	 * 	194.17	ACR|3VULN|1ASPD|1DMG|1BEXP|1CDMG	1RPLT|2BEXP|3ZMB|4RCR|5CDMG|679VULN|8ASPD|aDMG
36	25211 16612	   	194.17	ACR|3VULN|1ASPD|1DMG|1CDMG|1BEXP	1RPLT|2LHND|3ASPD|4RCR|5CDMG|67aVULN|8BEXP|9DMG
37	56311 33121	   	193.77	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUR|2DMG|3RCR|4LWND|5ASPD|6FEWX|7AAC|8BASARM|9RCVC|aBEXP
38	16633 21321	 * 	193.76	ACR|2VULN|1BASARM|1DMG|1CDMG	1MULARM|2MDPS|37VULN|4RCR|5DUST|6TLV|8BASARM|9CDMG|aDMG
39	16634 21321	   	193.76	ACR|2VULN|1BASARM|1DMG|1CDMG	1MULARM|2MDPS|37VULN|4RCR|5TLV|6DUST|8BASARM|9CDMG|aDMG
40	56342 13332	   	193.12	ACR|1BASARM|1ASPD|1DMG|1AART	1DUR|2DMG|3RCR|4DMSP|5ZMB|6LWND|7CGEN|8BASARM|9ASPD|aAART
41	56311 33115	   	193.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUR|2DMG|3RCR|4LWND|5ASPD|6FEWX|7AAC|8BASARM|9LHND|aBEXP
42	56311 33116	   	193.02	ACR|1BASARM|1ASPD|1DMG|1AART	1DUR|2DMG|3RCR|4LWND|5ASPD|6FEWX|7AAC|8BASARM|9LHND|aAART
43	56311 33133	   	193.02	ACR|1BASARM|1ASPD|1DMG|1VULN	1DUR|2DMG|3RCR|4LWND|5ASPD|6FEWX|7AAC|8BASARM|9RPLT|aVULN
44	56351 33111	   	193.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUR|2DMG|3RCR|49LHND|5ASPD|6FEWX|7AAC|8BASARM|aBEXP
45	56311 33142	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUR|2DMG|3RCR|4LWND|5ASPD|6FEWX|7AAC|8BASARM|9AME|aBEXP
46	56311 33153	   	192.92	ACR|1BASARM|1ASPD|1DMG|1VULN	1DUR|2DMG|3RCR|4LWND|5ASPD|6FEWX|7AAC|8BASARM|9VULN|aDUST
47	56311 12113	 * 	192.39	ACR|2DMG|2BEXP|1VULN|1ASPD	1DUR|29DMG|3RCR|4LWND|5ASPD|6VULN|78BEXP|aRCVC
48	56351 12113	   	192.39	ACR|2DMG|2BEXP|1VULN|1ASPD	1DUR|29DMG|3RCR|4LHND|5ASPD|6VULN|78BEXP|aRCVC
49	56335 11121	   	192.07	ACR|2DMG|1VULN|1ASPD|1CDMG|1BEXP	1aDUR|26DMG|3RCR|4MSLREG|5BEXP|7VULN|8CDMG|9ASPD
50	56335 11122	   	192.07	ACR|2DMG|1VULN|1ASPD|1CDMG|1BEXP	1DUR|26DMG|3RCR|4MSLREG|5BEXP|7VULN|8CDMG|9ASPD|aCGEN
51	56311 12111	   	192.06	ACR|2DMG|2BEXP|1VULN|1ASPD	1DUR|29DMG|3RCR|4LWND|5ASPD|6VULN|78BEXP|aZMB
52	56351 12111	   	192.06	ACR|2DMG|2BEXP|1VULN|1ASPD	1DUR|29DMG|3RCR|4LHND|5ASPD|6VULN|78BEXP|aZMB
53	56311 12114	   	191.96	ACR|2DMG|2BEXP|1VULN|1ASPD	1DUR|29DMG|3RCR|4LWND|5ASPD|6VULN|78BEXP|aTLV
54	56311 12115	   	191.96	ACR|2DMG|2BEXP|1VULN|1ASPD	1DUR|29DMG|3RCR|4LWND|5ASPD|6VULN|78BEXP|aNUKE
55	56311 12116	   	191.96	ACR|2DMG|2BEXP|1VULN|1ASPD	1DUR|29DMG|3RCR|4LWND|5ASPD|6VULN|78BEXP|aLEGI
56	65311 12113	 * 	191.96	ACR|2ASPD|2BEXP|1VULN|1DMG	1ERES|2LHND|3RCR|4LWND|5aASPD|6VULN|78BEXP|9DMG
57	66311 12113	   	191.96	ACR|2ASPD|2BEXP|1VULN|1DMG	1ERES|2DUR|3RCR|4LWND|5aASPD|6VULN|78BEXP|9DMG
58	66361 12113	   	191.96	ACR|2ASPD|2BEXP|1VULN|1DMG	1ERES|2DUR|3RCR|4LHND|5aASPD|6VULN|78BEXP|9DMG
59	65332 12531	   	191.86	ACR|2DMG|2BEXP|1VULN|1ASPD	1ERES|2LHND|3RCR|4FLTFST|5aBEXP|67DMG|8ASPD|9VULN
60	56311 12112	   	191.81	ACR|2DMG|2BEXP|1VULN|1ASPD|1SELL	1DUR|29DMG|3RCR|4LWND|5ASPD|6VULN|78BEXP|aSELL
61	56351 12112	   	191.81	ACR|2DMG|2BEXP|1VULN|1ASPD|1SELL	1DUR|29DMG|3RCR|4LHND|5ASPD|6VULN|78BEXP|aSELL
62	24351 25233	 * 	191.64	ACR|1BASARM|2VULN|1ASPD|1BEXP	1RPLT|23LIT|3BPWR|4RCR|5DUST|6BASARM|7aVULN|8BEXP|9ASPD
