0	Index      	 *	Score 	Summary	Detail	
1	32624 15223	 * 	195.06	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1LIT|2AME|3MDPS|4RCR|5CDMG|6BEXP|7ERES|8VULN|9ASPD|aBASARM
79	32621 26251	   	167.76	ACR|1BASARM|1ASPD|1BEXP	1LIT|2AME|3MDPS|4RCR|5RPLT|6VENICY|7BEXP|8MLV|9BASARM|aASPD
80	53432 32231	 * 	167.71	ACR|3DMG|1VULN|1BEXP	1DMSP|29aDMG|3DUR|4RCR|5FEWX|6BEXP|7MDPS|8VULN
81	32626 63323	   	167.66	ACR|1BASARM|1DMG|1BEXP	1LIT|2AME|3MDPS|4RCR|5DMG|6BEXP|7AAC|8ERES|9BASARM|aDUR
82	32626 63321	   	167.56	ACR|1BASARM|1DMG|1BEXP	1LIT|2AME|3MDPS|4RCR|5DMG|6BEXP|7AAC|8aERES|9BASARM
83	32626 63322	   	167.56	ACR|1BASARM|1DMG|1BEXP	1LIT|2aAME|3MDPS|4RCR|5DMG|6BEXP|7AAC|8ERES|9BASARM
84	32623 44331	 * 	167.51	ACR|1BASARM|2CDMG|1AART|1SELL	1LIT|2AME|3MDPS|4RCR|5LHND|6SELL|7AART|8aCDMG|9BASARM
85	53433 32251	 * 	167.49	ACR|3DMG|2VULN	1DMSP|27aDMG|3DUR|4RCR|579ERES|67aDUST|7aBPWR|8aVULN
86	53433 32623	   	167.49	ACR|3DMG|2BEXP	1DMSP|27aDMG|3DUR|4RCR|57aERES|67DUST|7aBPWR|8AME|9aBEXP
87	13573 74324	 * 	167.00	ACR|2ASPD|2BEXP|1DMG	1AAC|28FEWX|3MBVNT|4LIT|5RCR|68ASPD|78BEXP|8BPWR|9FLTARM|aDMG
88	32621 63523	   	166.44	ACR|1BASARM|1VULN|1ASPD	1LIT|2AME|3MDPS|4RCR|58RPLT|6VULN|7TLV|9ASPD|aBASARM
89	32621 63533	   	166.44	ACR|1BASARM|1VULN|1DMG	1LIT|2AME|3MDPS|4RCR|58RPLT|6VULN|7TLV|9DMG|aBASARM
90	32621 63623	   	166.44	ACR|1BASARM|1VULN|1ASPD	18LIT|2AME|3MDPS|4RCR|5RPLT|6VULN|7TLV|9ASPD|aBASARM
91	32621 63633	   	166.44	ACR|1BASARM|1VULN|1DMG	18LIT|2AME|3MDPS|4RCR|5RPLT|6VULN|7TLV|9DMG|aBASARM
92	32623 64223	   	166.29	ACR|1BASARM|1VULN|1ASPD|1SELL	1LIT|2AME|3MDPS|4RCR|5LHND|6VULN|7SELL|8CGEN|9ASPD|aBASARM
93	32623 64233	   	166.29	ACR|1BASARM|1VULN|1DMG|1SELL	1LIT|2AME|3MDPS|4RCR|5LHND|6VULN|7SELL|8CGEN|9DMG|aBASARM
94	32623 45323	   	166.19	ACR|1BASARM|1VULN|1ASPD|1SELL	1LIT|2AME|3MDPS|4RCR|5LHND|6SELL|7ERES|8VULN|9ASPD|aBASARM
95	32623 45333	   	166.19	ACR|1BASARM|1VULN|1DMG|1SELL	1LIT|2AME|3MDPS|4RCR|5LHND|6SELL|7ERES|8VULN|9DMG|aBASARM
96	53436 13213	   	165.89	ACR|2DMG|1VULN|2BEXP	1DMSP|2aDMG|39aDUR|4RCR|5VULN|67FEWX|8aBEXP|aBPWR
97	53431 21134	   	165.81	ACR|2DMG|1VULN|1BEXP|1CDMG	1DMSP|29DMG|3DUR|4RCR|5CGEN|6VULN|7CDMG|8LWND|aBEXP
98	53431 22225	   	165.78	ACR|2VULN|1ASPD|1DMG|1BEXP	1DMSP|2DMG|3DUR|4RCR|5CGEN|68VULN|7LWND|9BEXP|aASPD
99	53432 33225	 * 	165.78	ACR|3BEXP|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|57FEWX|689BEXP|aASPD
100	53433 21134	   	165.71	ACR|2DMG|1VULN|1BEXP|1CDMG	1DMSP|29DMG|3DUR|4RCR|5ERES|6VULN|7CDMG|8LWND|aBEXP
101	32626 62212	   	165.69	ACR|2DMG|2BEXP|1VULN	17LIT|2AME|3MDPS|4RCR|57DMG|67BEXP|7BPWR|8VULN|9FEWX|aLWND
102	53431 24321	   	165.69	ACR|2DMG|2BEXP|1VULN	1DMSP|28DMG|3DUR|4RCR|5CGEN|6VULN|79BEXP|aZMB
103	13573 12732	   	165.66	ACR|1VULN|1ASPD|1DMG|1AART|1CDMG	1AAC|2FEWX|3MBVNT|4LIT|5RCR|6CDMG|7VULN|8ASPD|9AART|aDMG
104	54312 11223	 * 	165.62	ACR|3VULN|1DMG|1BEXP|1CDMG	1DMSP|2MULARM|3BEXP|4CDMG|5RCR|679VULN|8AME|aDMG
105	54312 11623	   	165.62	ACR|3VULN|1DMG|1BEXP|1CDMG	1DMSP|2MULARM|3BEXP|4CDMG|5RCR|679VULN|8AAC|aDMG
106	33325 33164	 * 	165.59	DCR|2VULN|2ASPD|2BEXP|1DMG	15LIT|26BEXP|39VULN|45ASPD|5BPWR|7AAC|8DMG|aRCR
107	32626 62111	 * 	165.59	ACR|2DMG|2BEXP|1AART	17LIT|2AME|3MDPS|4RCR|57DMG|67BEXP|7BPWR|8AAC|9AART|aMLV
108	32626 62112	   	165.59	ACR|2DMG|2BEXP|1AART	17LIT|2AME|3MDPS|4RCR|57DMG|67BEXP|7BPWR|8AAC|9AART|aLHND
109	32626 62222	   	165.59	ACR|2DMG|2BEXP|1VULN	17LIT|2AME|3MDPS|4RCR|57DMG|67BEXP|7BPWR|8VULN|9SNIHEL|aLWND
110	53431 24322	   	165.59	ACR|2DMG|2BEXP|1VULN	1DMSP|28DMG|3DUR|4RCR|5CGEN|6VULN|79BEXP|aERES
111	53431 24323	   	165.59	ACR|2DMG|2BEXP|1VULN	1DMSP|28DMG|3DUR|4RCR|5CGEN|6VULN|79BEXP|aAEMAG
112	32626 62113	   	165.49	ACR|2DMG|2BEXP|1AART	17LIT|2AME|3MDPS|4RCR|57DMG|67BEXP|7BPWR|8AAC|9AART|aERES
113	32626 62221	   	165.49	ACR|2DMG|2BEXP|1VULN	17LIT|2AME|3MDPS|4RCR|57DMG|67BEXP|7BPWR|8VULN|9SNIHEL|aERES
114	32626 62213	   	165.45	ACR|2DMG|2BEXP|1VULN|1SELL	17LIT|2AME|3MDPS|4RCR|57DMG|67BEXP|7BPWR|8VULN|9FEWX|aSELL
