0	Index      	 *	Score 	Summary	Detail	
1	24632 51322	 * 	228.82	ACR|2BASARM|2ASPD|2BEXP|1VULN	1FEWX|2RPLT|3aBEXP|4RCR|5DUST|6CGEN|7aASPD|8VULN|9aBASARM|aBPWR
25	63113 24224	   	202.86	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2LWND|3RCR|4DUST|5DMG|6VULN|7MLV|8FEWX|9BASARM|aAART
26	66133 34331	 * 	202.86	ACR|1BASARM|1VULN|1DMG|2AAC|1CDMG	1CDMG|247DUR|3RCR|5VULN|6DMG|8BASARM|9aAAC
27	63113 25124	   	202.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2LWND|3RCR|4DUST|5DMG|6VULN|7FEWX|8AME|9BASARM|aAART
28	63113 34324	   	202.76	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG	1CDMG|2LWND|3RCR|4DUST|5DMG|6FEWX|7AME|8VULN|9BASARM|aAART
29	66143 13121	 * 	201.42	ACR|1BASARM|1VULN|3CDMG|1ASPD|1SELL	147CDMG|2DUR|3RCR|5VULN|6MLV|8SELL|9BASARM|aASPD
30	63143 13353	 * 	201.04	ACR|1BASARM|1ASPD|1DMG|2CDMG	14CDMG|2LWND|3RCR|5DMG|6LHND|7RCVC|8ASPD|9RPLT|aBASARM
31	22225 31536	 * 	200.50	ACR|1BASARM|2DMG|1VULN|1CDMG	1FEWX|2ERES|3LHND|4RCR|5VULN|6BASARM|7aDMG|8DUR|9CDMG
32	63124 31121	   	200.11	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1SELL	1CDMG|2LWND|3RCR|4RPLT|5BEXP|6CGEN|7VULN|8SELL|9BASARM|aASPD
33	63124 31126	   	200.11	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1SELL	1CDMG|2LWND|3RCR|4RPLT|5BEXP|6CGEN|7VULN|8SELL|9BASARM|aDMG
34	66124 31121	   	200.11	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1SELL	1CDMG|2DUR|3RCR|4RPLT|5BEXP|6CGEN|7VULN|8SELL|9BASARM|aASPD
35	21124 31121	   	200.11	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1SELL	1FEWX|2SELL|3RCR|4RPLT|5BEXP|6CGEN|7VULN|8CDMG|9BASARM|aASPD
36	21124 51121	   	200.11	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1SELL	1FEWX|2SELL|3RCR|4RPLT|5BEXP|6MLV|7VULN|8CDMG|9BASARM|aASPD
37	21125 32121	   	200.11	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1SELL	1FEWX|2SELL|3RCR|4RPLT|5VULN|6CGEN|7BEXP|8CDMG|9BASARM|aASPD
38	21125 52121	   	200.11	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1SELL	1FEWX|2SELL|3RCR|4RPLT|5VULN|6MLV|7BEXP|8CDMG|9BASARM|aASPD
39	21124 44321	   	200.01	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1SELL	1FEWX|2SELL|3RCR|4RPLT|5BEXP|6CDMG|7AME|8VULN|9BASARM|aASPD
40	63143 12353	   	199.43	ACR|1BASARM|1ASPD|1DMG|2CDMG	14CDMG|27LWND|3RCR|5DMG|6LHND|8ASPD|9RPLT|aBASARM
41	63125 33242	   	199.27	ACR|2VULN|3BEXP|1DMG|2CDMG	1aCDMG|2LWND|3RCR|4RPLT|5aVULN|6DMG|7VENICY|89aBEXP|aBPWR
42	22121 31523	   	199.19	ACR|1BASARM|2DMG|1VULN|1BEXP	1FEWX|2ERES|3LWND|4RCR|5BEXP|6aDMG|7VULN|8RPLT|9BASARM
43	22221 31523	   	199.19	ACR|1BASARM|2DMG|1VULN|1BEXP	1FEWX|2ERES|3LHND|4RCR|5BEXP|6aDMG|7VULN|8RPLT|9BASARM
44	25221 31523	   	199.19	ACR|1BASARM|2DMG|1VULN|1BEXP	1FEWX|2LWND|3ERES|4RCR|5BEXP|6aDMG|7VULN|8RPLT|9BASARM
45	66133 34322	 * 	199.16	ACR|1BASARM|2VULN|1DMG|1CDMG	1CDMG|247DUR|3RCR|59VULN|6DMG|8BASARM|aCGEN
46	66133 34323	   	199.16	ACR|1BASARM|2VULN|1DMG|1CDMG	1CDMG|247DUR|3RCR|59VULN|6DMG|8BASARM|aLHND
47	22225 32441	   	199.09	ACR|3VULN|1BASARM|1AART|1BEXP	1FEWX|2ERES|3LHND|4RCR|589VULN|6BASARM|7AART|aBEXP
48	66133 34321	   	199.06	ACR|1BASARM|2VULN|1DMG|1CDMG	1CDMG|247DUR|3RCR|59VULN|6DMG|8BASARM|aERES
