0	Index      	 *	Score 	Summary	Detail	
1	36313 15362	 * 	251.02	ACR|3DMG|2VULN|3BEXP|1ASPD|1CDMG	189DMG|29VULN|3RCR|4BELT|5ASPD|6CDMG|79aBEXP|9BPWR
14	33325 16111	   	232.68	ACR|1BASARM|2DMG|2BEXP|1AART|1CDMG	1aDMG|26BEXP|3RCR|4ZMB|5CDMG|7AME|8AART|9BASARM
15	36313 23161	 * 	230.41	ACR|2VULN|2DMG|2BEXP|1ASPD|2CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|67BEXP|89CDMG|9BPWR|aRMIN
16	36313 23162	   	230.41	ACR|2VULN|2DMG|2BEXP|1ASPD|2CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|67BEXP|89CDMG|9BPWR|aLIT
17	36313 23166	   	230.41	ACR|2VULN|2DMG|2BEXP|2CDMG|1ASPD	19DMG|29VULN|3RCR|4BELT|5ASPD|67BEXP|89CDMG|9BPWR|aDUR
18	36313 13261	   	230.41	ACR|2VULN|2DMG|2BEXP|1ASPD|2CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|67CDMG|89BEXP|9BPWR|aRMIN
19	36313 13262	   	230.41	ACR|2VULN|2DMG|2BEXP|1ASPD|2CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|67CDMG|89BEXP|9BPWR|aLIT
20	36313 13266	   	230.41	ACR|2VULN|2DMG|2BEXP|2CDMG|1ASPD	19DMG|29VULN|3RCR|4BELT|5ASPD|67CDMG|89BEXP|9BPWR|aDUR
21	36313 23163	   	230.31	ACR|2VULN|2DMG|2BEXP|1ASPD|2CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|67BEXP|89CDMG|9BPWR|aDUST
22	36313 23164	   	230.31	ACR|2VULN|2DMG|2BEXP|1ASPD|2CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|67BEXP|89CDMG|9BPWR|aMDPS
23	36313 23165	   	230.31	ACR|2VULN|2DMG|2BEXP|1ASPD|2CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|67BEXP|89CDMG|9BPWR|aTLV
24	36313 13263	   	230.31	ACR|2VULN|2DMG|2BEXP|1ASPD|2CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|67CDMG|89BEXP|9BPWR|aDUST
25	36313 13264	   	230.31	ACR|2VULN|2DMG|2BEXP|1ASPD|2CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|67CDMG|89BEXP|9BPWR|aMDPS
26	36313 13265	   	230.31	ACR|2VULN|2DMG|2BEXP|1ASPD|2CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|67CDMG|89BEXP|9BPWR|aTLV
27	33311 34525	 * 	229.74	ACR|1BASARM|2DMG|2CDMG|1VULN|1BEXP	17DMG|2BEXP|3RCR|4RCVC|57CDMG|67DUST|7BPWR|8RMIN|9BASARM|aVULN
28	35335 31123	 * 	228.82	ACR|2VULN|2ASPD|2DMG|1BEXP|1AART	17DMG|2DUST|3RCR|4BEXP|5aVULN|6AART|89ASPD
29	36333 31123	   	228.82	ACR|2VULN|2ASPD|2DMG|1BEXP|1AART	17DMG|2aVULN|3RCR|4DUST|5BEXP|6AART|89ASPD
30	33311 34524	   	228.33	ACR|1BASARM|2DMG|2BEXP|2CDMG	17DMG|2aBEXP|3RCR|4RCVC|57CDMG|67DUST|7BPWR|8RMIN|9BASARM
31	33311 44116	   	227.34	ACR|1BASARM|2DMG|2CDMG|1AART|1BEXP	17DMG|2BEXP|3RCR|4RCVC|57CDMG|67LHND|7BPWR|8AART|9MLV|aBASARM
32	33311 64116	   	227.34	ACR|1BASARM|2DMG|2CDMG|1AART|1BEXP	17DMG|2BEXP|3RCR|4RCVC|57CDMG|67FEWX|7BPWR|8AART|9MLV|aBASARM
33	23213 25264	 * 	226.30	ACR|3ASPD|3DMG|2BEXP	18aCGEN|26BEXP|3RCR|4BELT|58aASPD|78aDMG|8aBPWR|9MBVNT
34	36313 23233	 * 	225.52	ACR|2VULN|2ASPD|2DMG|2BEXP	1aDMG|29VULN|3RCR|4BELT|58ASPD|67BEXP
35	36313 14362	   	224.71	ACR|3DMG|2VULN|1ASPD|1BEXP|1CDMG	189DMG|29VULN|3RCR|4BELT|5ASPD|6CDMG|79DUST|9BPWR|aBEXP
36	33311 33523	 * 	224.39	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1DMG|27BEXP|3RCR|4RCVC|5CDMG|6DUST|8RMIN|9BASARM|aASPD
37	36313 32261	   	223.82	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|6RCVC|7CDMG|89BEXP|9BPWR|aRMIN
38	36313 32262	   	223.82	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|6RCVC|7CDMG|89BEXP|9BPWR|aLIT
39	36313 32266	   	223.82	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|6RCVC|7CDMG|89BEXP|9BPWR|aDUR
40	33446 31123	   	223.82	ACR|2VULN|2ASPD|2DMG|1BEXP|1AART	17DMG|2BEXP|3MBVNT|4RCR|5aVULN|6AART|89ASPD
41	35335 31153	   	223.80	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	17DMG|2DUST|3RCR|49BEXP|5aVULN|6AART|8ASPD
42	36333 31153	   	223.80	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	17DMG|2aVULN|3RCR|4DUST|59BEXP|6AART|8ASPD
43	36313 32263	   	223.72	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|6RCVC|7CDMG|89BEXP|9BPWR|aDUST
44	36313 32264	   	223.72	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|6RCVC|7CDMG|89BEXP|9BPWR|aMDPS
45	36313 32265	   	223.72	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|6RCVC|7CDMG|89BEXP|9BPWR|aTLV
46	36313 16261	   	223.39	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|6CDMG|7RCVC|89BEXP|9BPWR|aRMIN
47	36313 16262	   	223.39	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|6CDMG|7RCVC|89BEXP|9BPWR|aLIT
48	36313 16263	   	223.29	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19DMG|29VULN|3RCR|4BELT|5ASPD|6CDMG|7RCVC|89BEXP|9BPWR|aDUST
49	36313 23232	   	221.59	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	1DMG|29VULN|3RCR|4BELT|58ASPD|67BEXP|aCDMG
50	36323 65343	 * 	221.34	ACR|2VULN|3DMG|1BASARM	179DMG|27VULN|3RCR|4AAC|579MLV|6MBVNT|79BPWR|89LIT|aBASARM
51	43233 64111	   	221.31	ACR|1BASARM|2BEXP|1DMG|2CDMG|1AART	17AME|25BEXP|3RCR|47DUST|67CDMG|7BPWR|8AART|9BASARM|aDMG
