0	Index      	 *	Score 	Summary	Detail	
1	22223 51536	 * 	214.58	ACR|2VULN|1BASARM|2AART|1BEXP|1CDMG	1DUST|23AART|46VULN|5RCR|7BEXP|8CDMG|9LIT|aBASARM
16	22223 51534	 * 	188.47	ACR|2VULN|2AART|1DMG|1BEXP|1CDMG	1DUST|23AART|46VULN|5RCR|7BEXP|8CDMG|9LIT|aDMG
17	32113 53536	   	188.44	ACR|2VULN|1BASARM|1AART|1CDMG	1LWND|2AART|3RCVC|4DUR|5RCR|67VULN|8CDMG|9LIT|aBASARM
18	32123 23536	   	188.44	ACR|2VULN|1BASARM|1AART|1CDMG	1LWND|2AART|3RCVC|47VULN|5RCR|6FEWX|8CDMG|9LIT|aBASARM
19	32133 53536	   	188.44	ACR|2VULN|1BASARM|1AART|1CDMG	1LWND|2AART|3RCVC|4FEWX|5RCR|67VULN|8CDMG|9LIT|aBASARM
20	22123 31536	   	188.36	ACR|1BASARM|1VULN|1AART|1BEXP|1CDMG	16DUST|2AART|3RCVC|4VULN|5RCR|7BEXP|8CDMG|9LIT|aBASARM
21	32123 61563	   	188.34	ACR|2VULN|1BASARM|1AART|1CDMG	1LWND|2AART|3RCVC|49VULN|5RCR|6ERES|7MLV|8CDMG|aBASARM
22	32123 62563	   	188.34	ACR|2VULN|1BASARM|1AART|1CDMG	1LWND|2AART|3RCVC|49VULN|5RCR|6ERES|7CGEN|8CDMG|aBASARM
23	22123 53536	   	188.34	ACR|2VULN|1BASARM|1AART|1CDMG	1DUST|2AART|3RCVC|46VULN|5RCR|7DUR|8CDMG|9LIT|aBASARM
24	32223 53124	 * 	188.32	ACR|3VULN|2AART|1ASPD|1BEXP	1LWND|23AART|469VULN|5RCR|7RCVC|8BEXP|aASPD
25	22123 61563	   	188.24	ACR|2VULN|1BASARM|1CDMG|1AART	1DUST|2AART|3RCVC|49VULN|5RCR|6ERES|7MLV|8CDMG|aBASARM
26	22123 62563	   	188.24	ACR|2VULN|1BASARM|1CDMG|1AART	1DUST|2AART|3RCVC|49VULN|5RCR|6ERES|7CGEN|8CDMG|aBASARM
27	22223 26536	   	186.93	ACR|1BASARM|1VULN|2AART|1CDMG	1DUST|23AART|4VULN|5RCR|6FEWX|7RCVC|8CDMG|9LIT|aBASARM
28	32223 33536	   	186.93	ACR|1BASARM|1VULN|2AART|1CDMG	1LWND|23AART|4VULN|5RCR|6DUST|7RCVC|8CDMG|9LIT|aBASARM
29	22213 53536	   	186.93	ACR|1BASARM|1VULN|2AART|1CDMG	1DUST|23AART|4DUR|5RCR|6VULN|7RCVC|8CDMG|9LIT|aBASARM
30	22223 31554	 * 	186.60	ACR|1VULN|2BEXP|2AART|1DMG|1CDMG	16DUST|23AART|4VULN|5RCR|79BEXP|8CDMG|aDMG
31	32223 61531	   	185.32	ACR|1BASARM|1VULN|2AART|1CDMG	1LWND|23AART|4VULN|5RCR|6ERES|7MLV|8CDMG|9LIT|aBASARM
32	32223 62531	   	185.32	ACR|1BASARM|1VULN|2AART|1CDMG	1LWND|23AART|4VULN|5RCR|6ERES|7CGEN|8CDMG|9LIT|aBASARM
33	22223 21536	   	185.22	ACR|1BASARM|1VULN|2AART|1CDMG	17DUST|23AART|4VULN|5RCR|6FEWX|8CDMG|9LIT|aBASARM
34	22223 33536	   	185.22	ACR|1BASARM|1VULN|2AART|1CDMG	16DUST|23AART|4VULN|5RCR|7DUR|8CDMG|9LIT|aBASARM
35	22223 61531	   	185.22	ACR|1BASARM|1VULN|2AART|1CDMG	1DUST|23AART|4VULN|5RCR|6ERES|7MLV|8CDMG|9LIT|aBASARM
36	22223 62531	   	185.22	ACR|1BASARM|1VULN|2AART|1CDMG	1DUST|23AART|4VULN|5RCR|6ERES|7CGEN|8CDMG|9LIT|aBASARM
37	32223 31536	   	185.22	ACR|1BASARM|1VULN|2AART|1CDMG	1LWND|23AART|4VULN|5RCR|67DUST|8CDMG|9LIT|aBASARM
38	22213 51536	   	185.22	ACR|1BASARM|1VULN|2AART|1CDMG	17DUST|23AART|4DUR|5RCR|6VULN|8CDMG|9LIT|aBASARM
39	22233 51536	   	185.22	ACR|1BASARM|1VULN|2AART|1CDMG	17DUST|23AART|4FEWX|5RCR|6VULN|8CDMG|9LIT|aBASARM
