0	Index      	 *	Score 	Summary	Detail	
1	22116 22334	 * 	253.99	ACR|3VULN|2ASPD|2DMG|1AART|1BEXP	1RCR|2aDMG|3LIT|4aASPD|5AART|6BEXP|7ZMB|89aVULN|aBPWR
77	22113 51254	   	234.10	ACR|3ASPD|2DMG|2BEXP|1AART	1RCR|2aDMG|3LIT|46aASPD|5DUR|7TLV|8AART|9aBEXP|aBPWR
78	22116 14263	   	234.10	ACR|3ASPD|2DMG|2BEXP|1AART	1RCR|29DMG|3LIT|49aASPD|5AART|6TLV|7LWND|89BEXP|9BPWR
79	22116 31354	   	234.10	ACR|3DMG|2ASPD|2BEXP|1AART	1RCR|26aDMG|3LIT|4aASPD|5AART|7ERES|8LWND|9aBEXP|aBPWR
80	22312 11235	 * 	234.06	ACR|1BASARM|3BEXP|2AART|1DMG	1RCR|2DMG|347BEXP|5LWND|6aAART|8CGEN|9BASARM
81	22252 32443	   	234.00	ACR|2VULN|2DMG|2BASICY|1ASPD|1AART	1RCR|27DMG|3CGEN|4AART|57VULN|67BASICY|7BPWR|8AEFBLL|9DMSP|aASPD
82	22252 32463	   	234.00	ACR|2VULN|2DMG|2BASICY|1ASPD|1AART	1RCR|27DMG|39CGEN|4AART|57VULN|67BASICY|7BPWR|8AEFBLL|aASPD
83	22252 51313	   	234.00	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1RCR|27DMG|38CGEN|4AART|57VULN|67BEXP|7BPWR|9MDPS|aASPD
84	22252 51413	   	234.00	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1RCR|27DMG|3CGEN|4AART|57VULN|67BEXP|7BPWR|8DMSP|9MDPS|aASPD
85	22252 51623	   	234.00	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1RCR|27DMG|3CGEN|4AART|57VULN|67BEXP|7BPWR|8LEGI|9LHND|aASPD
86	22314 21635	   	233.96	ACR|1BASARM|3BEXP|2AART|1DMG	1RCR|2DMG|346BEXP|5ERES|7FEWX|8aAART|9BASARM
87	22126 31366	   	233.91	ACR|3VULN|2ASPD|2DMG|1BEXP	1RCR|26DMG|3LIT|4BEXP|59aVULN|78ASPD
88	22252 51613	   	233.90	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1RCR|27DMG|3CGEN|4AART|57VULN|67BEXP|7BPWR|8LEGI|9DUST|aASPD
89	22315 23352	 * 	232.74	ACR|1BASARM|2VULN|3BEXP|1DMG	1RCR|2DMG|345BEXP|6RPLT|78VULN|9ERES|aBASARM
90	22312 24161	   	232.56	ACR|3DMG|3BEXP|2ASPD	1RCR|26aDMG|34aBEXP|5LWND|7CGEN|8aASPD|9RCVC|aBPWR
91	22313 54161	   	232.56	ACR|3DMG|3BEXP|2ASPD	1RCR|26aDMG|34aBEXP|5FEWX|7CGEN|8aASPD|9RCVC|aBPWR
92	21551 22135	   	232.48	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1RCR|2DUR|3VULN|4CDMG|5ASPD|6BEXP|7DMG|8LHND|9RCVC|aBASARM
93	21553 23135	   	232.48	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1RCR|2DUR|3VULN|4CDMG|5DMG|6BEXP|7ASPD|8LHND|9RCVC|aBASARM
94	22116 51214	   	232.26	ACR|2DMG|1VULN|2BEXP|2AART|1ASPD	1RCR|2aDMG|3aLIT|4ASPD|57AART|6VULN|8aBEXP|9RMIN|aBPWR
95	23642 12262	 * 	232.17	ACR|1BASARM|1VULN|1ASPD|2CDMG|1AART|1AAC	1RCR|2AART|3RCVC|45CDMG|6VULN|7LHND|8BASARM|9AAC|aASPD
96	22331 13411	   	231.91	ACR|3DMG|3BEXP|2ASPD	1RCR|29aDMG|39aBEXP|4ERES|58ASPD|6DMSP|79aDUR|9aBPWR
97	22331 15411	   	231.91	ACR|3DMG|3BEXP|2ASPD	1RCR|29aDMG|39aBEXP|4ERES|58ASPD|6DMSP|79aLWND|9aBPWR
98	22312 24112	   	231.81	ACR|3DMG|3BEXP|2ASPD	1RCR|269DMG|349BEXP|5aLWND|7CGEN|89ASPD|9BPWR
99	22312 24115	   	231.81	ACR|3DMG|3BEXP|2ASPD	1RCR|269DMG|349BEXP|5LWND|7CGEN|89ASPD|9BPWR|aFEWX
100	22313 54112	   	231.81	ACR|3DMG|3BEXP|2ASPD	1RCR|269DMG|349BEXP|5FEWX|7CGEN|89ASPD|9BPWR|aLWND
101	22313 54113	   	231.81	ACR|3DMG|3BEXP|2ASPD	1RCR|269DMG|349BEXP|5aFEWX|7CGEN|89ASPD|9BPWR
102	22313 54115	   	231.81	ACR|3DMG|3BEXP|2ASPD	1RCR|269DMG|349BEXP|5FEWX|7CGEN|89ASPD|9BPWR|aBELT
103	21551 22125	   	231.73	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1RCR|29DUR|3VULN|4CDMG|5ASPD|6BEXP|7DMG|8LHND|aBASARM
104	21553 23125	   	231.73	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1RCR|29DUR|3VULN|4CDMG|5DMG|6BEXP|7ASPD|8LHND|aBASARM
105	22321 52411	   	231.71	ACR|3DMG|3BEXP|2ASPD	1RCR|29aDMG|39aBEXP|4ZMB|58ASPD|6RMIN|79aERES|9aBPWR
106	22321 53411	   	231.71	ACR|3DMG|3BEXP|2ASPD	1RCR|29aDMG|39aBEXP|4ZMB|58ASPD|6RMIN|79aAME|9aBPWR
107	22312 24111	   	231.71	ACR|3DMG|3BEXP|2ASPD	1RCR|269DMG|349BEXP|5LWND|7CGEN|89ASPD|9BPWR|aERES
108	22312 24113	   	231.71	ACR|3DMG|3BEXP|2ASPD	1RCR|269DMG|349BEXP|5LWND|7CGEN|89ASPD|9BPWR|aSNITOX
109	22312 24114	   	231.71	ACR|3DMG|3BEXP|2ASPD	1RCR|269DMG|349BEXP|5LWND|7CGEN|89ASPD|9BPWR|aNUKE
110	22312 24116	   	231.71	ACR|3DMG|3BEXP|2ASPD	1RCR|269DMG|349BEXP|5LWND|7CGEN|89ASPD|9BPWR|aTLV
111	22313 54111	   	231.71	ACR|3DMG|3BEXP|2ASPD	1RCR|269DMG|349BEXP|5FEWX|7CGEN|89ASPD|9BPWR|aERES
112	22313 54114	   	231.71	ACR|3DMG|3BEXP|2ASPD	1RCR|269DMG|349BEXP|5FEWX|7CGEN|89ASPD|9BPWR|aNUKE
113	22313 54116	   	231.71	ACR|3DMG|3BEXP|2ASPD	1RCR|269DMG|349BEXP|5FEWX|7CGEN|89ASPD|9BPWR|aSNIHEL
114	22126 43422	   	231.63	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1RCR|2DMG|3LIT|4BEXP|5VULN|6LWND|7CDMG|8ASPD|9BASARM|aAME
115	22126 43423	   	231.63	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1RCR|2DMG|3LIT|4BEXP|5VULN|6LWND|7CDMG|8ASPD|9BASARM|aAEFBLL
116	22126 53422	   	231.53	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1RCR|2DMG|3LIT|4BEXP|5VULN|6DUST|7CDMG|8ASPD|9BASARM|aAME
117	22126 53423	   	231.53	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1RCR|2DMG|3LIT|4BEXP|5VULN|6DUST|7CDMG|8ASPD|9BASARM|aAEFBLL
118	22331 46411	   	231.51	ACR|3DMG|3BEXP|2ASPD	1RCR|29aDMG|39aBEXP|47ERES|58ASPD|69aDUST|9aBPWR
119	25342 32135	 * 	231.36	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG|1SELL	1RCR|2VULN|3SELL|4ASPD|5DMG|69BEXP|7LWND|8LHND|aBASARM
120	25343 36112	   	231.34	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG|1SELL	1RCR|29VULN|3SELL|48ASPD|57BEXP|6CDMG|aDMG
121	24142 21235	 * 	231.26	ACR|1BASARM|2BEXP|1VULN|1ASPD|1DMG|1SELL	1RCR|2SELL|3DUST|4ASPD|5DMG|6LHND|7VULN|89BEXP|aBASARM
122	25621 21221	 * 	231.25	ACR|3ASPD|1BASARM|1VULN|1BEXP	1RCR|2VULN|3BEXP|4ZMB|5LIT|68aASPD|7RPLT|9BASARM
123	22312 11234	   	231.12	ACR|1BASARM|3BEXP|1DMG|1AART|1AAC	1RCR|2DMG|347BEXP|5LWND|6AART|8CGEN|9BASARM|aAAC
124	22314 21634	   	231.02	ACR|1BASARM|3BEXP|1DMG|1AART|1AAC	1RCR|2DMG|346BEXP|5ERES|7FEWX|8AART|9BASARM|aAAC
125	22252 51112	   	230.77	ACR|2VULN|3DMG|2BEXP|1AART	1RCR|27aDMG|3CGEN|4AART|57VULN|67BEXP|7BPWR|8RCVC|9MDPS
126	22315 33246	 * 	230.73	ACR|1BASARM|3BEXP|1DMG|2CDMG	1RCR|2DMG|345BEXP|6DUR|7RCVC|89CDMG|aBASARM
127	22316 63116	   	229.71	ACR|3BEXP|2ASPD|2DMG|1CDMG	1RCR|29DMG|349BEXP|5RMIN|6ERES|7ZMB|89ASPD|9BPWR|aCDMG
128	22323 66116	   	229.71	ACR|3BEXP|2ASPD|2DMG|1CDMG	1RCR|29DMG|379BEXP|4ZMB|5RMIN|6ERES|89ASPD|9BPWR|aCDMG
129	22252 51312	   	229.59	ACR|2VULN|3DMG|2BEXP|1AART	1RCR|27aDMG|38CGEN|4AART|57VULN|67BEXP|7BPWR|9MDPS
130	22252 51412	   	229.59	ACR|2VULN|3DMG|2BEXP|1AART	1RCR|27aDMG|3CGEN|4AART|57VULN|67BEXP|7BPWR|8DMSP|9MDPS
131	22252 51622	   	229.59	ACR|2VULN|3DMG|2BEXP|1AART	1RCR|27aDMG|3CGEN|4AART|57VULN|67BEXP|7BPWR|8LEGI|9LHND
132	22252 51612	   	229.49	ACR|2VULN|3DMG|2BEXP|1AART	1RCR|27aDMG|3CGEN|4AART|57VULN|67BEXP|7BPWR|8LEGI|9DUST
133	21213 52245	 * 	229.33	ACR|1BASARM|2DMG|2BEXP|1VULN	1RCR|2DUR|39FEWX|4LHND|5LWND|69DMG|7VULN|89BEXP|9BPWR|aBASARM
134	25612 33421	   	229.15	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1RCR|2VULN|3BEXP|4LHND|5LIT|6AAC|7CDMG|8aASPD|9BASARM
135	25632 33421	   	229.15	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1RCR|2VULN|3BEXP|4LWND|5LIT|6AAC|7CDMG|8aASPD|9BASARM
136	21542 33421	   	229.15	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1RCR|2DUR|3VULN|4BEXP|5LIT|6AAC|7CDMG|8aASPD|9BASARM
137	25621 21226	 * 	229.13	ACR|1BASARM|2ASPD|1VULN|2BEXP	1RCR|2VULN|3aBEXP|4ZMB|5LIT|68ASPD|7RPLT|9BASARM
138	22313 66132	   	229.12	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|347BEXP|5FEWX|6TLV|8ASPD|9BASARM|aDMSP
139	22313 66134	   	229.12	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|347BEXP|5FEWX|6TLV|8ASPD|9BASARM|aCGEN
140	22313 66135	   	229.12	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|347BEXP|5FEWX|6TLV|8ASPD|9BASARM|aRMIN
141	22313 66136	   	229.12	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|347BEXP|5FEWX|6TLV|8ASPD|9BASARM|aLWND
142	22314 21132	   	229.12	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|346BEXP|5ERES|7FEWX|8ASPD|9BASARM|aDMSP
143	22314 21134	   	229.12	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|346BEXP|5ERES|7FEWX|8ASPD|9BASARM|aCGEN
144	22314 21135	   	229.12	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|346BEXP|5ERES|7FEWX|8ASPD|9BASARM|aRMIN
145	22314 21136	   	229.12	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|346BEXP|5ERES|7FEWX|8ASPD|9BASARM|aLWND
146	22315 44132	   	229.12	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|345BEXP|6FEWX|7TLV|8ASPD|9BASARM|aDMSP
147	22315 51132	   	229.12	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|345BEXP|6TLV|7FEWX|8ASPD|9BASARM|aDMSP
148	22315 51134	   	229.12	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|345BEXP|6TLV|7FEWX|8ASPD|9BASARM|aCGEN
149	22315 51135	   	229.12	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|345BEXP|6TLV|7FEWX|8ASPD|9BASARM|aRMIN
150	22315 51136	   	229.12	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|345BEXP|6TLV|7FEWX|8ASPD|9BASARM|aLWND
151	22313 66131	   	229.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|347BEXP|5FEWX|6TLV|8ASPD|9BASARM|aDUST
152	22313 66133	   	229.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|347BEXP|5FEWX|6TLV|8ASPD|9BASARM|aDLOT
153	22314 21131	   	229.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|346BEXP|5ERES|7FEWX|8ASPD|9BASARM|aDUST
154	22314 21133	   	229.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|346BEXP|5ERES|7FEWX|8ASPD|9BASARM|aDLOT
155	22315 44131	   	229.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|345BEXP|6FEWX|7TLV|8ASPD|9BASARM|aDUST
156	22315 44133	   	229.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|345BEXP|6FEWX|7TLV|8ASPD|9BASARM|aDLOT
157	22315 51131	   	229.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|345BEXP|6TLV|7FEWX|8ASPD|9BASARM|aDUST
158	22315 51133	   	229.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	1RCR|2DMG|345BEXP|6TLV|7FEWX|8ASPD|9BASARM|aDLOT
