0	Index      	 *	Score 	Summary	Detail	
1	25112 35163	 * 	220.58	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1BELT|2RMIN|35DMG|45VULN|5BPWR|6LIT|7ASPD|8CDMG|9AART|aRCR
33	53216 33212	   	200.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2DUR|36BEXP|4AART|5ZMB|7RCR|89VULN|aCDMG
34	53353 33212	   	200.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2DUR|35LWND|4AART|6ZMB|7RCR|89VULN|aCDMG
35	53356 13212	   	200.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2DUR|36LWND|4AART|5ZMB|7RCR|89VULN|aCDMG
36	25112 32663	   	200.41	DCR|2VULN|2DMG|1AART|1CDMG	1BELT|2RMIN|35DMG|45VULN|5BPWR|6LIT|7CDMG|8ERES|9AART|aRCR
37	25112 34163	   	200.41	DCR|2VULN|2DMG|1AART|1CDMG|1AAC	1BELT|2RMIN|35DMG|45VULN|5BPWR|6LIT|7AAC|8CDMG|9AART|aRCR
38	25111 35163	   	200.10	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1BELT|2RMIN|35DMG|4VULN|6LIT|7ASPD|8CDMG|9AART|aRCR
39	51122 66213	 * 	199.62	DCR|3VULN|1AART|1ASPD|1CDMG	1ASPD|2AME|39aVULN|4MSLREG|5CGEN|6AART|7RCR|8CDMG
40	51126 16213	   	199.62	DCR|3VULN|1AART|1ASPD|1CDMG	1ASPD|2AME|39aVULN|4MSLREG|5AART|6CGEN|7RCR|8CDMG
41	55113 22112	 * 	199.40	DCR|3ASPD|2VULN|1DMG|1ZMB	136ASPD|2FEWX|4ZMB|5DMG|7RCR|8aVULN|9CGEN
42	55113 22142	   	199.30	DCR|3ASPD|2VULN|1DMG|1ZMB	136ASPD|2FEWX|4ZMB|5DMG|7RCR|8aVULN|9TLV
43	54131 31211	   	199.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1ASPD|2RPLT|3DMG|4BEXP|59DUR|6aVULN|7RCR|8AART
44	54161 31211	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1ASPD|2RPLT|3DMG|4DUST|59DUR|6aVULN|7RCR|8AART
45	53133 33215	   	198.82	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	13ASPD|2DUR|4AART|5LWND|6ZMB|7RCR|89VULN|aRCVC
46	53133 33211	   	198.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	13ASPD|2DUR|4AART|5LWND|6ZMB|7RCR|89VULN|aAME
47	53133 33216	   	198.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	13ASPD|2DUR|4AART|5aLWND|6ZMB|7RCR|89VULN
48	53133 33231	   	198.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	13ASPD|2DUR|4AART|5LWND|6ZMB|7RCR|8aVULN|9BELT
49	24211 32613	 * 	198.36	DCR|2VULN|1AART|2CDMG|1DMG	1BELT|29BEXP|39VULN|4RMIN|5ERES|6RCR|7DMG|89CDMG|9BPWR|aAART
50	24216 32613	   	198.36	DCR|2VULN|1AART|2CDMG|1DMG	1BELT|29BEXP|39VULN|4RMIN|5TLV|6RCR|7DMG|89CDMG|9BPWR|aAART
51	53133 33221	   	198.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	13ASPD|2DUR|4AART|5LWND|6ZMB|7RCR|8VULN|9CGEN|aDMG
52	53133 33261	   	198.08	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	13ASPD|2DUR|4AART|5LWND|6ZMB|7RCR|8VULN|9ERES|aDMG
53	55352 23213	   	198.07	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2FEWX|3LWND|4AART|5DMG|6RCVC|7RCR|89VULN|aZMB
54	53135 11253	 * 	198.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	13ASPD|2DUR|4AART|5CDMG|6DMSP|7VULN|8MBVNT|9DMG|aRCR
55	13535 33143	   	197.42	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1TLV|2DUR|3RCVC|4AART|5CDMG|6ZMB|7ASPD|8VULN|9DMG|aRCR
56	55113 22326	   	197.39	DCR|3ASPD|2DMG|1CDMG|1ZMB|1DUR	136ASPD|2FEWX|4ZMB|59DMG|7RCR|8DUR|aCDMG
57	53126 23321	 * 	196.91	DCR|3DMG|3ASPD|1CDMG|1DUR	137ASPD|2DUR|47LHND|579DMG|6RPLT|7BPWR|8CDMG|aRCR
58	51326 14133	   	196.76	DCR|3VULN|3ASPD|1MDPS|1DUR	179ASPD|2AME|3RCVC|4MDPS|579VULN|679LWND|79BPWR|8RCR|aDUR
59	55113 22121	   	196.61	DCR|3ASPD|2DMG|1VULN|1ZMB	136ASPD|2FEWX|4ZMB|59DMG|7RCR|8VULN|aLWND
60	55113 22411	   	196.61	DCR|3ASPD|2DMG|1VULN|1ZMB	136ASPD|2FEWX|4ZMB|58DMG|7RCR|9VULN|aLWND
61	55113 22122	   	196.51	DCR|3ASPD|2DMG|1VULN|1ZMB	136ASPD|2FEWX|4ZMB|59DMG|7RCR|8VULN|aTLV
62	55113 22124	   	196.51	DCR|3ASPD|2DMG|1VULN|1ZMB|1MSE	136ASPD|2FEWX|4ZMB|59DMG|7RCR|8VULN|aMSE
63	55113 22125	   	196.51	DCR|3ASPD|2DMG|1VULN|1ZMB	136ASPD|2FEWX|4ZMB|59DMG|7RCR|8VULN|aERES
64	55113 22412	   	196.51	DCR|3ASPD|2DMG|1VULN|1ZMB	136ASPD|2FEWX|4ZMB|58DMG|7RCR|9VULN|aTLV
65	25112 21643	   	196.35	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1BELT|2RMIN|35DMG|45VULN|5BPWR|6SELL|7BEXP|8ZMB|9RCR|aAART
66	53355 23211	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2DUR|3LWND|4AART|5DMG|6RCVC|7RCR|89VULN|aAME
67	53355 23231	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2DUR|3LWND|4AART|5DMG|6RCVC|7RCR|8aVULN|9BELT
68	55352 13213	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2FEWX|36LWND|4AART|5DMG|7RCR|89VULN|aZMB
69	54163 31232	   	195.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1aASPD|2RPLT|3DMG|4DUST|5LWND|6VULN|7RCR|8AART|9CDMG
70	55533 33212	   	195.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1ASPD|2FEWX|3RCVC|4AART|5LWND|6ZMB|7RCR|89VULN|aCDMG
71	54132 31326	 * 	195.34	DCR|2DMG|1VULN|1ASPD|1NUKE|1CDMG	1ASPD|2RPLT|38DMG|4BEXP|5DUST|6VULN|7RCR|9CDMG|aNUKE
72	25112 35323	   	194.77	DCR|2VULN|2DMG|2ASPD	1BELT|2RMIN|35DMG|45VULN|5BPWR|6LIT|78ASPD|9BEXP|aRCR
73	61123 51335	   	194.63	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1CGEN|24MLV|34VULN|4BPWR|5ASPD|6DUR|7ZMB|8CDMG|9AART|aRCR
74	25212 13651	   	194.54	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1BELT|2RMIN|3AAC|4aVULN|5LHND|6RCR|7AART|8ASPD|9DMG
75	53133 33242	   	194.37	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB|1DUR	13ASPD|2DUR|4AART|5LWND|6ZMB|7RCR|8VULN|9DMSP|aCDMG
76	53133 33252	   	194.37	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB|1DUR	13ASPD|2DUR|4AART|5LWND|6ZMB|7RCR|8VULN|9AELBLL|aCDMG
77	53215 33215	   	194.33	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2DUR|36BEXP|4AART|5DMG|7RCR|89VULN|aRCVC
78	55353 23212	   	194.25	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1ASPD|2FEWX|3LWND|4AART|5ZMB|6RCVC|7RCR|89VULN|aCDMG
79	53215 33211	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2DUR|36BEXP|4AART|5DMG|7RCR|89VULN|aAME
80	53215 33216	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2DUR|36BEXP|4AART|5DMG|7RCR|89VULN|aLWND
81	53355 13211	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2DUR|36LWND|4AART|5DMG|7RCR|89VULN|aAME
82	53355 13231	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2DUR|36LWND|4AART|5DMG|7RCR|8aVULN|9BELT
83	52226 14133	   	193.44	DCR|3VULN|3ASPD|1MDPS|1DUR	179ASPD|2DMSP|3CGEN|4MDPS|579VULN|679LWND|79BPWR|8RCR|aDUR
84	55133 33213	   	193.41	DCR|2VULN|2ASPD|1AART|2ZMB	13ASPD|2FEWX|4AART|5LWND|6aZMB|7RCR|89VULN
85	53355 23221	   	193.25	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1ASPD|2DUR|3LWND|4AART|5aDMG|6RCVC|7RCR|8VULN|9CGEN
86	54132 31225	   	193.14	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1ASPD|2RPLT|3aDMG|4BEXP|5DUST|6VULN|7RCR|8AART|9ZMB
87	53413 23324	 * 	193.00	DCR|2ASPD|3CDMG|1AART|1DMG|1DUR	17ASPD|2DUR|379CDMG|4FEWX|5DMG|67LWND|7BPWR|8RCR|aAART
88	53423 23324	   	192.90	DCR|2ASPD|3CDMG|1AART|1DMG|1DUR	17ASPD|2DUR|379CDMG|4DUST|5DMG|67LWND|7BPWR|8RCR|aAART
89	53423 23326	 * 	192.90	DCR|2ASPD|3CDMG|1VULN|1DMG|1DUR	17ASPD|2DUR|379CDMG|4DUST|5DMG|67LWND|7BPWR|8RCR|aVULN
90	13126 36263	 * 	192.90	DCR|1SPLARM|2AART|1VULN|1ASPD|1NUKE|1CDMG|1DUR	1TLV|2DUR|3ASPD|4SPLARM|58AART|6NUKE|7RCR|9CDMG|aVULN
91	53143 31362	   	192.89	DCR|3ASPD|2VULN|1MDPS|2DUR|1ZMB	13aASPD|2aDUR|4RPLT|5MDPS|6ZMB|7RCR|8ERES|9aVULN|aBPWR
92	55351 33212	   	192.22	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1ASPD|25FEWX|3LWND|4AART|6ZMB|7RCR|89VULN|aCDMG
93	55353 13212	   	192.22	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1ASPD|2FEWX|36LWND|4AART|5ZMB|7RCR|89VULN|aCDMG
94	61433 13212	   	192.22	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1CGEN|2MLV|3ASPD|4AART|5ZMB|6LHND|7RCR|89VULN|aCDMG
95	61433 33212	   	192.22	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1CGEN|2MLV|3ASPD|4AART|5ZMB|6BEXP|7RCR|89VULN|aCDMG
96	61436 33212	   	192.22	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1CGEN|2MLV|3ASPD|4AART|5FEWX|6ZMB|7RCR|89VULN|aCDMG
97	11433 33212	   	192.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1TLV|2MLV|3ASPD|4AART|5LWND|6ZMB|7RCR|89VULN|aCDMG
98	52453 33212	   	192.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1ASPD|2DMSP|3AART|4LEGI|5LWND|6ZMB|7RCR|89VULN|aCDMG
99	52633 33212	   	192.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1ASPD|2DMSP|3LEGI|4AART|5LWND|6ZMB|7RCR|89VULN|aCDMG
100	51163 43812	 * 	191.95	DCR|2VULN|2AART|1ASPD|1DUR	1ASPD|2AME|39VULN|4MBVNT|5aAART|6RCVC|7RCR|8DUR
101	25312 15324	   	191.94	DCR|2VULN|2CDMG|1AART|2ZMB	1BELT|2RMIN|39ZMB|49VULN|5LHND|6RCR|7LIT|89CDMG|9BPWR|aAART
102	11435 11253	 * 	191.44	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1TLV|2MLV|3ASPD|46AART|5CDMG|7VULN|8MBVNT|9DMG|aRCR
103	53236 32163	   	191.41	DCR|2VULN|2ASPD|1AART|2DUR	19ASPD|29DUR|37BEXP|46ERES|59VULN|8RCR|9BPWR|aAART
104	22243 45313	 * 	191.33	DCR|4VULN|2DMG	1BELT|247FEWX|37DMG|567aVULN|7BPWR|8RCR|9CGEN
105	22611 45313	   	191.33	DCR|4VULN|2DMG	1BELT|237FEWX|467aVULN|57DMG|7BPWR|8RCR|9CGEN
106	22243 45323	   	191.23	DCR|4VULN|2DMG	1BELT|247FEWX|37DMG|567aVULN|7BPWR|8RCR|9TLV
107	22611 45323	   	191.23	DCR|4VULN|2DMG	1BELT|237FEWX|467aVULN|57DMG|7BPWR|8RCR|9TLV
108	52112 26533	   	191.22	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1ASPD|2DMSP|3SPLREG|4FEWX|58VULN|6AART|7RCR|9ZMB|aDUR
109	53215 33221	   	191.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1ASPD|2DUR|36BEXP|4AART|5aDMG|7RCR|8VULN|9CGEN
110	53215 33251	   	191.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1ASPD|2DUR|36BEXP|4AART|5aDMG|7RCR|8VULN|9AME
111	53215 33261	   	191.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1ASPD|2DUR|369BEXP|4AART|5aDMG|7RCR|8VULN
112	53355 13221	   	191.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1ASPD|2DUR|36LWND|4AART|5aDMG|7RCR|8VULN|9CGEN
113	13126 16263	 * 	191.14	DCR|1SPLARM|2ASPD|1AART|1VULN|1CDMG|1DUR	1TLV|2DUR|38ASPD|4SPLARM|5AART|6CGEN|7RCR|9CDMG|aVULN
114	54131 31235	   	191.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1ASPD|2RPLT|3aDMG|4BEXP|5DUR|6VULN|7RCR|8AART|9ERES
115	25312 13331	   	190.99	DCR|3VULN|1AART|1ZMB|1DUR	1BELT|2RMIN|3ZMB|48aVULN|5LHND|6RCR|7AART|9DUR
116	53143 31242	   	190.96	DCR|3ASPD|2VULN|1MDPS|2ZMB|1DUR	13aASPD|2DUR|4RPLT|5MDPS|6aZMB|7RCR|8DMSP|9aVULN|aBPWR
117	52425 32112	 * 	190.90	DCR|2ASPD|1VULN|1AART|2CDMG|2DUR	17ASPD|2DMSP|3AART|4LHND|57CDMG|67DUR|7BPWR|8VULN|9LWND|aRCR
118	53533 33213	   	190.81	DCR|2VULN|1AART|1ASPD|2ZMB|1DUR	1ASPD|2DUR|3RCVC|4AART|5LWND|6aZMB|7RCR|89VULN
119	52635 32112	   	190.80	DCR|2ASPD|1VULN|1AART|2CDMG|2DUR	17ASPD|2DMSP|3LEGI|4AART|57CDMG|67DUR|7BPWR|8VULN|9LWND|aRCR
120	53215 33232	   	190.63	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2DUR|36BEXP|4AART|5DMG|7RCR|8VULN|9RCVC|aCDMG
121	51353 15323	   	190.62	DCR|3ASPD|2DMG|1AART	179ASPD|29AME|3RCVC|4RMIN|5AART|69DMG|8MBVNT|9BPWR|aRCR
