0	Index      	 *	Score 	Summary	Detail	
1	11662 41221	 * 	225.90	DCR|4VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2LWND|346aVULN|5DMG|7RCR|8ZMB|9CDMG
13	41332 43521	 * 	212.47	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG|3RMIN	1MDPS|2AART|3aDMG|458RMIN|6aCDMG|7aVULN|9RCR|aBPWR
14	13125 23453	 * 	211.68	DCR|5VULN|1AART|1DMG	1AART|2RPLT|35BEXP|4567aVULN|5BPWR|8RCR|9DMG
15	13123 23453	   	211.58	DCR|5VULN|1AART|1DMG	1AART|2RPLT|3BEXP|4567aVULN|8RCR|9DMG
16	31211 23453	   	211.58	DCR|5VULN|1AART|1DMG	1BEXP|2RPLT|3467aVULN|5AART|8RCR|9DMG
17	51211 23453	   	211.58	DCR|5VULN|1AART|1DMG	1FEWX|2RPLT|3467aVULN|5AART|8RCR|9DMG
18	15512 22332	   	210.40	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2RMIN|3VULN|4FEWX|57DMG|6DUR|8CDMG|9RCR|aASPD
19	15532 12332	   	210.40	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2RMIN|3VULN|4DUR|57DMG|6LWND|8CDMG|9RCR|aASPD
20	15532 32332	   	210.40	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2RMIN|3VULN|4DUR|57DMG|6FEWX|8CDMG|9RCR|aASPD
21	11662 41223	   	209.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1MSE	1AART|2LWND|346VULN|5DMG|7RCR|8ZMB|9CDMG|aMSE
22	42212 14242	 * 	209.21	DCR|3DMG|2VULN|1MDPS|1ASPD|1CDMG	1MDPS|237DMG|4TLV|5CDMG|69VULN|8RCR|aASPD
23	33132 21451	   	209.20	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1BEXP|2RCVC|3CDMG|49DMG|5AART|6DUR|7ASPD|8RCR|aVULN
24	53132 21451	   	209.20	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1FEWX|2RCVC|3CDMG|49DMG|5AART|6DUR|7ASPD|8RCR|aVULN
25	15232 43432	 * 	208.89	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	18AART|2RMIN|3LHND|4DUR|5DMG|6CDMG|7VULN|9RCR|aASPD
26	15532 11432	   	208.89	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	18AART|2RMIN|3VULN|4DUR|5DMG|6LWND|7CDMG|9RCR|aASPD
27	11141 61363	 * 	208.49	DCR|2DMG|1MDPS|1VULN|1AART|2CDMG|1ASPD	1AART|2LWND|3MDPS|49CDMG|58DMG|6RCR|7ASPD|aVULN
28	53132 53432	 * 	208.00	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG	1FEWX|2RCVC|3CDMG|4DMG|5AART|6ASPD|7VULN|8RCR|9MDPS|aNUKE
29	11141 61333	   	208.00	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1CDMG	1AART|2LWND|3MDPS|4CDMG|58DMG|6RCR|7ASPD|9SPLREG|aVULN
30	16141 61333	   	208.00	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1CDMG	1AART|2LHND|3MDPS|4CDMG|58DMG|6RCR|7ASPD|9SPLREG|aVULN
31	25141 61333	   	208.00	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1CDMG	1LHND|2AART|3MDPS|4CDMG|58DMG|6RCR|7ASPD|9SPLREG|aVULN
32	11662 41322	   	207.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2LWND|346VULN|5DMG|7RCR|8TLV|9CDMG|aDUR
33	33333 16323	   	205.76	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2RCVC|378VULN|4DMG|5CDMG|6DUR|9AART|aRCR
34	13125 23462	 * 	205.72	DCR|4VULN|1AART|1ASPD|1DUR	1AART|2RPLT|35BEXP|4567VULN|5BPWR|8RCR|9DUR|aASPD
35	13122 61331	   	205.72	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2RPLT|39BEXP|49VULN|5ERES|6RCR|7ASPD|89DMG|9BPWR|aRCVC
36	13123 23462	   	205.62	DCR|4VULN|1AART|1ASPD|1DUR	1AART|2RPLT|3BEXP|4567VULN|8RCR|9DUR|aASPD
37	31211 23462	   	205.62	DCR|4VULN|1AART|1ASPD|1DUR	1BEXP|2RPLT|3467VULN|5AART|8RCR|9DUR|aASPD
38	51211 23462	   	205.62	DCR|4VULN|1AART|1ASPD|1DUR	1FEWX|2RPLT|3467VULN|5AART|8RCR|9DUR|aASPD
39	35132 21451	   	205.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1BEXP|2DMSP|3CDMG|49DMG|5AART|6DUR|7ASPD|8RCR|aVULN
40	13122 61334	   	205.39	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2RPLT|39BEXP|49VULN|5ERES|6RCR|7ASPD|89DMG|9BPWR|aLIT
41	13122 61336	   	205.39	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2RPLT|39BEXP|49VULN|5ERES|6RCR|7ASPD|89DMG|9BPWR|aBELT
42	13122 61332	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2RPLT|39BEXP|49VULN|5ERES|6RCR|7ASPD|89DMG|9BPWR|aLEGI
43	13122 61333	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2RPLT|39BEXP|49VULN|5ERES|6RCR|7ASPD|89DMG|9BPWR|aDUST
44	15212 43632	   	204.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RMIN|3LHND|4FEWX|5DMG|6CDMG|78VULN|9RCR|aASPD
45	15512 11632	   	204.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RMIN|38VULN|4FEWX|5DMG|6LWND|7CDMG|9RCR|aASPD
46	15512 43232	   	204.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RMIN|37VULN|4FEWX|5DMG|6CDMG|8BEXP|9RCR|aASPD
47	15541 21321	   	204.70	DCR|2VULN|2AART|1ASPD|1CDMG|1AAC	16AART|2RMIN|3aVULN|4ASPD|5AAC|7RCR|8TLV|9CDMG
48	11535 15332	   	203.46	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1DUR	1AART|26LWND|3ERES|4DUR|56DMG|6BPWR|7VULN|8CDMG|9RCR|aASPD
49	16615 22332	   	203.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2LHND|3VULN|4MLV|57DMG|6DUR|8CDMG|9RCR|aASPD
50	25615 22332	   	203.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1LHND|2AART|3VULN|4MLV|57DMG|6DUR|8CDMG|9RCR|aASPD
51	11662 41332	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2LWND|346VULN|5DMG|7RCR|8TLV|9RPLT|aASPD
52	15541 21222	   	203.06	DCR|2AART|1VULN|1ASPD|1CDMG|1AAC|1ZMB|1DUR	16AART|2RMIN|3VULN|4ASPD|5AAC|7RCR|8ZMB|9CDMG|aDUR
53	15512 12532	   	202.10	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2RMIN|3VULN|4FEWX|57DMG|6LWND|8CDMG|9RCR|aASPD
54	35333 16323	   	202.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2DMSP|378VULN|4DMG|5CDMG|6DUR|9AART|aRCR
55	12335 43432	   	201.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	18AART|2CGEN|3BEXP|4DUR|5DMG|6CDMG|7VULN|9RCR|aASPD
56	13122 61315	 * 	201.82	DCR|2VULN|2ASPD|1AART|1DMG	1AART|2RPLT|3BEXP|4aVULN|5ERES|6RCR|79ASPD|8DMG
57	42262 33612	 * 	201.65	DCR|1MDPS|2DMG|1VULN|1ASPD|1NUKE|1CDMG|1DUR	1MDPS|23DMG|4ASPD|5CDMG|6DUR|7VULN|8RCR|9LHND|aNUKE
58	13123 64134	   	201.53	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2RPLT|3BEXP|459VULN|6BELT|7DMG|8RCR|aASPD
59	31211 64134	   	201.53	DCR|3VULN|1AART|1ASPD|1DMG	1BEXP|2RPLT|349VULN|5AART|6BELT|7DMG|8RCR|aASPD
60	23343 51631	 * 	201.39	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	1LHND|2RCVC|3aVULN|4ZMB|56CDMG|7AART|8RCR|9ASPD
61	11662 41132	   	200.96	DCR|3VULN|2DMG|1AART	1AART|2LWND|346VULN|5aDMG|7RCR|8LHND|9BASARM
62	11141 61323	   	200.96	DCR|1MDPS|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2LWND|3MDPS|4CDMG|58DMG|6RCR|7ASPD|9DUST|aVULN
63	15512 11432	   	200.58	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	18AART|2RMIN|3VULN|4FEWX|5DMG|6LWND|7CDMG|9RCR|aASPD
64	15212 43432	   	200.58	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	18AART|2RMIN|3LHND|4FEWX|5DMG|6CDMG|7VULN|9RCR|aASPD
65	42262 33353	   	200.18	DCR|3DMG|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1MDPS|238DMG|4ASPD|5CDMG|6DUR|7VULN|9SPLREG|aRCR
66	15132 43232	   	200.14	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1AART|2RMIN|3DUST|4DUR|5DMG|68CDMG|7VULN|9RCR|aASPD
67	11141 61334	 * 	199.87	DCR|3DMG|1MDPS|1AART|1ASPD|1CDMG	1AART|2LWND|3MDPS|4CDMG|58aDMG|6RCR|7ASPD|9SPLREG
68	11143 14532	   	199.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1AART|2LWND|3MDPS|4CDMG|59VULN|6BEXP|7DMG|8RCR|aASPD
69	11143 34532	   	199.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1AART|2LWND|3MDPS|4CDMG|59VULN|6DUST|7DMG|8RCR|aASPD
70	32162 16623	   	199.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1BEXP|29DUST|3DMG|4ASPD|5CDMG|6aVULN|7AART|8RCR
71	42332 63353	 * 	199.72	DCR|3DMG|2VULN|1MDPS|2CDMG|1NUKE	1MDPS|278DMG|3BEXP|4NUKE|57CDMG|67VULN|7BPWR|9SPLREG|aRCR
72	11662 41323	   	199.52	DCR|3VULN|1AART|1DMG|1CDMG|1MSE	1AART|2LWND|346VULN|5DMG|7RCR|8TLV|9CDMG|aMSE
73	11662 41112	   	199.32	DCR|4VULN|1AART|1DMG	1AART|2LWND|3469VULN|5DMG|7RCR|8LHND|aBEXP
74	11662 41113	   	199.32	DCR|4VULN|1AART|1DMG	1AART|2LWND|3469VULN|5DMG|7RCR|8aLHND
75	42322 31222	 * 	199.24	DCR|3VULN|2DMG|1MDPS|1ASPD	1MDPS|25DMG|3BEXP|4MULARM|6RCR|7ASPD|89aVULN
76	46222 31222	   	199.24	DCR|3VULN|2DMG|1MDPS|1ASPD	1MDPS|2BEXP|35DMG|4MULARM|6RCR|7ASPD|89aVULN
77	11661 41233	   	199.22	DCR|4VULN|1AART|1ASPD|1AAC	1AART|2LWND|346aVULN|5AAC|7RCR|8RPLT|9ASPD
78	11662 41111	   	199.22	DCR|4VULN|1AART|1DMG	1AART|2LWND|3469VULN|5DMG|7RCR|8LHND|aERES
79	42522 31422	   	199.14	DCR|3VULN|2DMG|1MDPS|1ASPD	1MDPS|25DMG|3DUST|4MULARM|6RCR|7ASPD|89aVULN
80	15541 11221	 * 	198.96	DCR|2VULN|2AAC|1AART|1ASPD|1CDMG|1ZMB	1AART|2RMIN|3aVULN|4ASPD|56AAC|7RCR|8ZMB|9CDMG
81	11141 61362	 * 	198.93	DCR|2DMG|1MDPS|2ASPD|1AART|2CDMG	1AART|2LWND|3MDPS|49CDMG|58DMG|6RCR|7aASPD
82	15541 21233	   	198.89	DCR|2VULN|2AART|1ASPD|1AAC|1ZMB	16AART|2RMIN|3aVULN|4ASPD|5AAC|7RCR|8ZMB|9RPLT
83	23134 52632	 * 	198.82	DCR|2AART|2DMG|2CDMG|1ASPD	158LHND|2RCVC|38CDMG|48DMG|67AART|8BPWR|9RCR|aASPD
84	11151 63532	   	198.43	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AART|2LWND|3MDPS|49VULN|5ZMB|6DUR|7CDMG|8RCR|aASPD
85	11615 43232	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2LWND|37VULN|4MLV|5DMG|6CDMG|8BEXP|9RCR|aASPD
86	12315 43632	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CGEN|3BEXP|4FEWX|5DMG|6CDMG|78VULN|9RCR|aASPD
87	11662 33532	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2LWND|34VULN|5DMG|6LHND|7CGEN|8CDMG|9RCR|aASPD
88	11662 23532	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2LWND|34VULN|5DMG|6ERES|7FEWX|8CDMG|9RCR|aASPD
89	11141 61633	   	197.84	DCR|1MDPS|1VULN|1AART|2CDMG|1ASPD|1DMG	1AART|2LWND|3MDPS|48CDMG|5DMG|6RCR|7ASPD|9SPLREG|aVULN
90	32162 16522	   	197.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1BEXP|2DUST|3DMG|4ASPD|5CDMG|6aVULN|7AART|8MDPS|9RCR
91	13125 23451	   	197.74	DCR|4VULN|1AART|1DMG	1AART|2RPLT|35BEXP|4567VULN|5BPWR|8RCR|9DMG|aRCVC
92	13124 23452	   	197.72	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2RPLT|35BEXP|467VULN|8RCR|9DMG|aCDMG
93	13123 23451	   	197.64	DCR|4VULN|1AART|1DMG	1AART|2RPLT|3BEXP|4567VULN|8RCR|9DMG|aRCVC
94	31211 23451	   	197.64	DCR|4VULN|1AART|1DMG	1BEXP|2RPLT|3467VULN|5AART|8RCR|9DMG|aRCVC
95	51211 23451	   	197.64	DCR|4VULN|1AART|1DMG	1FEWX|2RPLT|3467VULN|5AART|8RCR|9DMG|aRCVC
96	11661 41232	 * 	197.59	DCR|3VULN|2ASPD|1AART|1AAC	1AART|2LWND|346VULN|5AAC|7RCR|8RPLT|9aASPD
97	11141 61342	 * 	197.34	DCR|2DMG|1MDPS|1AART|1ASPD|1NUKE|1CDMG	1AART|2LWND|3MDPS|4CDMG|58DMG|6RCR|7ASPD|9LHND|aNUKE
98	13123 23454	   	197.32	DCR|4VULN|1AART|1DMG	1AART|2RPLT|3BEXP|4567VULN|8RCR|9DMG|aAME
99	13123 23455	   	197.32	DCR|4VULN|1AART|1DMG	1AART|2RPLT|3BEXP|4567VULN|8RCR|9DMG|aCGEN
100	31211 23454	   	197.32	DCR|4VULN|1AART|1DMG	1BEXP|2RPLT|3467VULN|5AART|8RCR|9DMG|aAME
101	31211 23455	   	197.32	DCR|4VULN|1AART|1DMG	1BEXP|2RPLT|3467VULN|5AART|8RCR|9DMG|aCGEN
102	13124 23453	   	197.32	DCR|4VULN|1AART|1DMG	1AART|2RPLT|35BEXP|467aVULN|8RCR|9DMG
103	42262 33621	   	197.24	DCR|3DMG|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1MDPS|239DMG|4ASPD|5CDMG|6DUR|7VULN|8RCR|aDMSP
104	42262 33622	   	197.24	DCR|3DMG|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1MDPS|239DMG|4ASPD|5CDMG|6DUR|7VULN|8RCR|aFEWX
105	13123 23456	   	197.22	DCR|4VULN|1AART|1DMG	1AART|2RPLT|3BEXP|4567VULN|8RCR|9DMG|aDUST
106	31211 23456	   	197.22	DCR|4VULN|1AART|1DMG	1BEXP|2RPLT|3467VULN|5AART|8RCR|9DMG|aDUST
107	42262 33623	   	197.14	DCR|3DMG|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1MDPS|239DMG|4ASPD|5CDMG|6DUR|7VULN|8RCR|aERES
108	11242 61343	 * 	197.13	DCR|2DMG|2ASPD|1AART|1VULN	1AART|269LWND|38TLV|49ASPD|59DMG|7RCR|9BPWR|aVULN
109	42513 33122	 * 	197.09	DCR|2VULN|1MDPS|2DMG|2CDMG|1ASPD	1MDPS|29DMG|3DUST|49VULN|5LIT|6ASPD|7DLOT|89CDMG|9BPWR|aRCR
110	12235 43432	 * 	196.86	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	18AART|2CGEN|3RCVC|4MDPS|5DMG|6CDMG|7VULN|9RCR|aASPD
111	42212 14262	 * 	196.26	DCR|3DMG|1MDPS|1VULN|2CDMG|1ASPD	1MDPS|237DMG|4TLV|59CDMG|6VULN|8RCR|aASPD
112	33343 16323	   	196.04	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1BEXP|2RCVC|378VULN|4ZMB|5CDMG|6DUR|9AART|aRCR
113	13122 66612	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1AART|2RPLT|3BEXP|48VULN|5ERES|6RCR|7DUR|9ASPD|aDMG
