0	Index      	 *	Score 	Summary	Detail	
1	15123 21211	 * 	228.19	DCR|1SPLARM|2VULN|2DMG|1AART|1ASPD|1SELL	18VULN|25DMG|3ASPD|4SELL|6AART|7LHND|9RCR|aSPLARM
80	11334 35523	   	211.33	DCR|2VULN|2DMG|3ZMB|1AART	1aVULN|2AART|3BEXP|45aZMB|6RCR|7LHND|8TLV|9aDMG|aBPWR
81	11134 33523	   	211.23	DCR|2VULN|2DMG|3ZMB|1AART	1aVULN|2AART|3LHND|45aZMB|6RCR|7DUST|8TLV|9aDMG|aBPWR
82	11234 32523	   	211.23	DCR|2VULN|2DMG|3ZMB|1AART	1aVULN|2AART|3LEGI|45aZMB|6RCR|7LHND|8TLV|9aDMG|aBPWR
83	11533 36212	 * 	211.16	DCR|2MDPS|2VULN|1AART|1DMG|1NUKE|1DUR	16VULN|2AART|3RCVC|4DMG|5DUR|79MDPS|8RCR|aNUKE
84	11633 36212	   	211.16	DCR|2MDPS|2VULN|1AART|1DMG|1NUKE|1DUR	16VULN|2AART|3DMSP|4DMG|5DUR|79MDPS|8RCR|aNUKE
85	11223 22252	   	211.13	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17VULN|2AART|3LEGI|4LWND|57DUR|67DMG|7BPWR|8RCR|9AME|aCDMG
86	11353 22252	   	211.13	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17VULN|2AART|3BEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9AME|aCDMG
87	11353 22223	   	211.03	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	17VULN|2AART|3BEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9DUST|aCDMG
88	11331 64113	   	211.01	DCR|3VULN|2DMG|1AART|2ZMB	17aVULN|2AART|37BEXP|4aZMB|5LIT|67DMG|7aBPWR|8aLWND|9RCR
89	11223 22263	   	210.95	DCR|2VULN|2AART|2DMG|2DUR	17VULN|2aAART|3LEGI|4LWND|57DUR|67DMG|7BPWR|8RCR|9BELT
90	11231 64113	   	210.91	DCR|3VULN|2DMG|1AART|2ZMB	17aVULN|2AART|3LEGI|4aZMB|57LIT|67DMG|7aBPWR|8aLWND|9RCR
91	11231 64213	   	210.91	DCR|3VULN|2DMG|1AART|2ZMB	17aVULN|2AART|3LEGI|4aZMB|57LIT|67DMG|7aBPWR|8aFEWX|9RCR
92	11353 22222	   	210.85	DCR|2VULN|2AART|2DMG|2DUR	17VULN|2aAART|3BEXP|4LEGI|57DUR|67DMG|7BPWR|8RCR|9DUST
93	11346 22523	 * 	210.81	DCR|3VULN|3DMG|1MDPS|1AART	178VULN|2AART|37BEXP|4MDPS|5RCVC|679DMG|7BPWR|aRCR
94	15453 11313	   	210.81	DCR|3VULN|2DMG|1AART|2DUR	15aVULN|2aDMG|3LIT|4AART|6RMIN|7FEWX|8aDUR|9RCR|aBPWR
95	15612 63233	 * 	210.68	ACR|3VULN|3DMG|1AART|1ASPD	17aVULN|237DMG|4RCR|57LIT|6AART|7BPWR|8ASPD|9LHND
96	11334 33522	 * 	210.44	DCR|3VULN|1MDPS|3ZMB|1AART	189VULN|2AART|378BEXP|458ZMB|6RCR|8BPWR|aMDPS
97	11223 22225	   	210.43	DCR|3DMG|2VULN|1AART|2DUR	17VULN|2AART|3LEGI|4LWND|57DUR|67aDMG|7BPWR|8RCR|9DUST
98	11353 22225	   	210.43	DCR|3DMG|2VULN|1AART|2DUR	17VULN|2AART|3BEXP|4LEGI|57DUR|67aDMG|7BPWR|8RCR|9DUST
99	11233 25522	 * 	210.38	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1VULN|2AART|3LEGI|4ZMB|5SELL|6CDMG|7RCR|8ASPD|9DMG|aMDPS
100	53154 32321	 * 	210.36	ACR|4VULN|2DMG|1MDPS|3DUR	1RCR|2679VULN|3DUST|489DUR|59DMG|9BPWR|aMDPS
101	11334 32511	   	210.34	DCR|3VULN|1MDPS|3ZMB|1AART	178VULN|2AART|38BEXP|458ZMB|6RCR|8BPWR|9MDPS|aBELT
102	11334 32512	   	210.34	DCR|3VULN|1MDPS|3ZMB|1AART	178VULN|2AART|38BEXP|458ZMB|6RCR|8BPWR|9MDPS|aLIT
103	11334 32513	   	210.34	DCR|3VULN|1MDPS|3ZMB|1AART	178VULN|2AART|38BEXP|458ZMB|6RCR|8BPWR|9MDPS|aRCVC
104	11334 32514	 * 	210.34	DCR|4VULN|1MDPS|3ZMB|1AART	178aVULN|2AART|38BEXP|458ZMB|6RCR|8BPWR|9MDPS
105	11334 32515	 * 	210.34	DCR|3VULN|1MDPS|3ZMB|1AART|1DMG	178VULN|2AART|38BEXP|458ZMB|6RCR|8BPWR|9MDPS|aDMG
106	11334 32533	   	210.34	DCR|3VULN|1MDPS|3ZMB|1AART	178VULN|2AART|38BEXP|458ZMB|6RCR|8BPWR|9MBVNT|aMDPS
107	11334 33552	 * 	210.09	DCR|2VULN|3ZMB|1AART|1ASPD|1CDMG	18VULN|2AART|378BEXP|458ZMB|6RCR|8BPWR|9ASPD|aCDMG
108	11134 31525	 * 	209.82	DCR|2VULN|2AART|3ZMB|1DMG	18VULN|27AART|38LHND|458ZMB|6RCR|8BPWR|9DUST|aDMG
109	11134 31536	   	209.82	DCR|2VULN|2AART|3ZMB|1DMG	18VULN|27AART|38LHND|458ZMB|6RCR|8BPWR|9MBVNT|aDMG
110	11123 22233	   	209.80	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	17VULN|2AART|37LHND|4LWND|5DUR|67DMG|7BPWR|8RCR|9RPLT|aASPD
111	11234 31525	   	209.62	DCR|2VULN|2AART|3ZMB|1DMG	18VULN|27AART|3LEGI|458ZMB|6RCR|8BPWR|9DUST|aDMG
112	11234 31536	   	209.62	DCR|2VULN|2AART|3ZMB|1DMG	18VULN|27AART|3LEGI|458ZMB|6RCR|8BPWR|9MBVNT|aDMG
113	53342 63221	   	209.33	ACR|3VULN|2DMG|1AART|1ASPD|1DUR	1RCR|237VULN|47DMG|57LIT|6AART|7BPWR|8DUR|9RPLT|aASPD
114	11134 31511	 * 	208.58	DCR|2VULN|2AART|1MDPS|3ZMB	18VULN|27AART|38LHND|458ZMB|6RCR|8BPWR|9MDPS|aFEWX
115	11134 31512	 * 	208.58	DCR|3VULN|2AART|1MDPS|3ZMB	18aVULN|27AART|38LHND|458ZMB|6RCR|8BPWR|9MDPS
116	11134 31513	   	208.58	DCR|2VULN|2AART|1MDPS|3ZMB	18VULN|27AART|38LHND|458ZMB|6RCR|8BPWR|9MDPS|aCGEN
117	11134 31515	 * 	208.58	DCR|2VULN|2AART|1MDPS|3ZMB|1DMG	18VULN|27AART|38LHND|458ZMB|6RCR|8BPWR|9MDPS|aDMG
118	11134 31516	   	208.58	DCR|2VULN|2AART|1MDPS|3ZMB	18VULN|27AART|38LHND|458ZMB|6RCR|8BPWR|9MDPS|aLIT
119	11223 22315	   	208.53	DCR|3DMG|2VULN|1AART|2DUR	17VULN|2AART|3LEGI|4LWND|57DUR|67aDMG|7BPWR|8BEXP|9RCR
120	15121 53612	 * 	208.50	DCR|2VULN|1MDPS|2DMG|1ASPD|1DUR|1SELL	18VULN|28DMG|3ASPD|4SELL|5ERES|6RCR|78LWND|8BPWR|9DUR|aMDPS
121	11123 22211	   	208.46	DCR|2VULN|1MDPS|2DMG|1AART|1DUR	17VULN|2AART|37LHND|4LWND|5DUR|67DMG|7BPWR|8RCR|9MDPS|aFEWX
122	11123 22212	   	208.46	DCR|3VULN|1MDPS|2DMG|1AART|1DUR	17aVULN|2AART|37LHND|4LWND|5DUR|67DMG|7BPWR|8RCR|9MDPS
123	11123 22213	   	208.46	DCR|2VULN|1MDPS|2DMG|1AART|1DUR	17VULN|2AART|37LHND|4LWND|5DUR|67DMG|7BPWR|8RCR|9MDPS|aCGEN
124	11123 22215	   	208.46	DCR|3DMG|2VULN|1MDPS|1AART|1DUR	17VULN|2AART|37LHND|4LWND|5DUR|67aDMG|7BPWR|8RCR|9MDPS
125	11123 22216	   	208.46	DCR|2VULN|1MDPS|2DMG|1AART|1DUR	17VULN|2AART|37LHND|4aLWND|5DUR|67DMG|7BPWR|8RCR|9MDPS
126	11323 22211	   	208.46	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	17VULN|2AART|37BEXP|4LWND|5DUR|67DMG|7BPWR|8RCR|9MDPS|aFEWX
127	11323 22212	   	208.46	DCR|3VULN|2DMG|1MDPS|1AART|1DUR	17aVULN|2AART|37BEXP|4LWND|5DUR|67DMG|7BPWR|8RCR|9MDPS
128	11323 22213	   	208.46	DCR|2VULN|1MDPS|2DMG|1AART|1DUR	17VULN|2AART|37BEXP|4LWND|5DUR|67DMG|7BPWR|8RCR|9MDPS|aCGEN
129	11323 22215	   	208.46	DCR|3DMG|2VULN|1MDPS|1AART|1DUR	17VULN|2AART|37BEXP|4LWND|5DUR|67aDMG|7BPWR|8RCR|9MDPS
130	11323 22216	   	208.46	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	17VULN|2AART|37BEXP|4aLWND|5DUR|67DMG|7BPWR|8RCR|9MDPS
131	15452 12313	   	208.43	DCR|3DMG|2VULN|1AART|2DUR|1AAC	1aVULN|27aDMG|3LIT|4AART|5AAC|6DUST|8aDUR|9RCR|aBPWR
132	11234 31511	   	208.38	DCR|2VULN|2AART|1MDPS|3ZMB	18VULN|27AART|3LEGI|458ZMB|6RCR|8BPWR|9MDPS|aFEWX
133	11234 31512	   	208.38	DCR|3VULN|2AART|1MDPS|3ZMB	18aVULN|27AART|3LEGI|458ZMB|6RCR|8BPWR|9MDPS
134	11234 31513	   	208.38	DCR|2VULN|2AART|1MDPS|3ZMB	18VULN|27AART|3LEGI|458ZMB|6RCR|8BPWR|9MDPS|aCGEN
135	11234 31515	   	208.38	DCR|2VULN|2AART|1MDPS|3ZMB|1DMG	18VULN|27AART|3LEGI|458ZMB|6RCR|8BPWR|9MDPS|aDMG
136	11234 31516	   	208.38	DCR|2VULN|2AART|1MDPS|3ZMB	18VULN|27AART|3LEGI|458ZMB|6RCR|8BPWR|9MDPS|aLIT
137	12441 51212	 * 	208.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	19VULN|2CANARM|3DUR|4AART|5aASPD|6CGEN|7RCR|8DMG
138	53341 14113	 * 	208.11	ACR|4VULN|2DMG|1MDPS|1CDMG	1RCR|2359VULN|49DMG|6LHND|7CDMG|89LIT|9BPWR|aMDPS
139	14437 48143	 * 	207.92	DCR|3VULN|2ASPD|1AART|1ZMB	16aVULN|2MBVNT|3aTLV|4ZMB|5LWND|7RCR|8aASPD|9AART|aBPWR
140	14634 48143	   	207.92	DCR|3VULN|2ASPD|1AART|1ZMB	16aVULN|2MBVNT|3aERES|4ZMB|5LWND|7RCR|8aASPD|9AART|aBPWR
141	11334 32552	 * 	207.86	DCR|3VULN|3ZMB|1AART|1CDMG	178VULN|2AART|38BEXP|458ZMB|6RCR|8BPWR|9AME|aCDMG
142	11334 32563	   	207.86	DCR|3VULN|3ZMB|1AART|1CDMG	178VULN|2AART|38BEXP|458ZMB|6RCR|8BPWR|9RCVC|aCDMG
143	11334 32523	   	207.76	DCR|3VULN|3ZMB|1AART|1CDMG	178VULN|2AART|38BEXP|458ZMB|6RCR|8BPWR|9DUST|aCDMG
144	11334 32562	   	207.69	DCR|3VULN|2AART|3ZMB	178VULN|2aAART|38BEXP|458ZMB|6RCR|8BPWR|9RCVC
145	11332 32513	   	207.66	DCR|4VULN|3ZMB|1AART	178aVULN|2AART|358BEXP|48aZMB|6RCR|8aBPWR|9aLIT
146	11334 32522	   	207.59	DCR|3VULN|2AART|3ZMB	178VULN|2aAART|38BEXP|458ZMB|6RCR|8BPWR|9DUST
147	11123 22235	   	207.56	DCR|3VULN|2DMG|1AART|1DUR	17aVULN|2AART|37LHND|4LWND|5DUR|67DMG|7BPWR|8RCR|9RPLT
148	11123 22265	   	207.56	DCR|3VULN|2DMG|1AART|1DUR	17aVULN|2AART|37LHND|4LWND|5DUR|67DMG|7BPWR|8RCR|9BELT
149	11323 22235	   	207.56	DCR|3VULN|2DMG|1AART|1DUR	17aVULN|2AART|37BEXP|4LWND|5DUR|67DMG|7BPWR|8RCR|9RPLT
150	11323 22265	   	207.56	DCR|3VULN|2DMG|1AART|1DUR	17aVULN|2AART|37BEXP|4LWND|5DUR|67DMG|7BPWR|8RCR|9BELT
151	15331 21643	   	207.55	DCR|2VULN|2DMG|1AART|1ASPD|1DUR|1SELL	18VULN|28DMG|3SELL|4DUR|5FEWX|6AART|78CGEN|8BPWR|9RCR|aASPD
152	11332 32536	   	207.53	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	178VULN|2AART|358BEXP|48ZMB|6RCR|8BPWR|9DMG|aDUR
153	53341 24322	   	207.35	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	1RCR|235VULN|49DMG|6CDMG|7ZMB|8LIT|aAART
154	11334 32225	   	207.33	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	17aVULN|2AART|3BEXP|45ZMB|6RCR|8DMG|9DUR
155	11533 32413	   	207.30	DCR|3VULN|2AART|1DMG|2DUR	169VULN|27AART|3RCVC|4DMG|59DUR|89LIT|9BPWR|aRCR
156	11633 32413	   	207.30	DCR|3VULN|2AART|1DMG|2DUR	169VULN|27AART|3DMSP|4DMG|59DUR|89LIT|9BPWR|aRCR
