0	Index      	 *	Score 	Summary	Detail	
1	33363 22161	 * 	225.10	DCR|4VULN|2ASPD|1DMG|1ZMB	169ERES|2ZMB|39ASPD|4RMIN|5679VULN|69BPWR|8RCR|aDMG
44	15363 23161	   	204.95	DCR|3VULN|2ASPD|3ZMB	169ZMB|27ERES|39ASPD|4RMIN|569VULN|69BPWR|8RCR|aBEXP
45	15363 23163	   	204.95	DCR|3VULN|2ASPD|3ZMB	169ZMB|27ERES|39ASPD|4RMIN|569VULN|69BPWR|8RCR|aCGEN
46	33363 22162	   	204.93	DCR|4VULN|2ASPD|1ZMB|1MSE	169ERES|2ZMB|39ASPD|4RMIN|5679VULN|69BPWR|8RCR|aMSE
47	33363 32162	   	204.93	DCR|4VULN|2ASPD|1ZMB	19aERES|2ZMB|39ASPD|4RMIN|5679VULN|8RCR|9BPWR
48	15363 23162	   	204.85	DCR|3VULN|2ASPD|3ZMB|1MSE	169ZMB|27ERES|39ASPD|4RMIN|569VULN|69BPWR|8RCR|aMSE
49	21233 32166	 * 	204.21	DCR|4VULN|2ASPD|1CDMG	159FEWX|2CGEN|39ASPD|4679VULN|8RCR|9BPWR|aCDMG
50	13333 43166	 * 	204.11	DCR|3VULN|3ZMB|1DMG|1CDMG	129ZMB|3DMG|49ERES|569VULN|7RMIN|8RCR|9BPWR|aCDMG
51	35343 32121	 * 	203.98	DCR|2VULN|2DMG|2ASPD|1CDMG	12ERES|39DMG|4CDMG|5SPLJET|69VULN|7AME|89ASPD|9BPWR|aRCR
52	35343 31121	   	203.88	DCR|2VULN|2DMG|2ASPD|1CDMG	12ERES|39DMG|4CDMG|5SPLJET|69VULN|7TLV|89ASPD|9BPWR|aRCR
53	35346 32121	   	203.88	DCR|2VULN|2DMG|2ASPD|1CDMG	12ERES|39DMG|4CDMG|5BASFIG|69VULN|7AME|89ASPD|9BPWR|aRCR
54	35346 31121	   	203.78	DCR|2VULN|2DMG|2ASPD|1CDMG	12ERES|39DMG|4CDMG|5BASFIG|69VULN|7TLV|89ASPD|9BPWR|aRCR
55	11322 52325	   	203.49	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1ZMB|2CGEN|3ASPD|4DMSP|5AART|6CDMG|7VULN|89DMG|aRCR
56	63322 52325	   	203.49	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1MLV|2ZMB|3ASPD|4DMSP|5AART|6CDMG|7VULN|89DMG|aRCR
57	63332 52325	   	203.49	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	14MLV|2ZMB|3ASPD|5AART|6CDMG|7VULN|89DMG|aRCR
58	14322 52325	   	203.39	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1ZMB|2TLV|3ASPD|4DMSP|5AART|6CDMG|7VULN|89DMG|aRCR
59	13322 35343	   	203.27	DCR|2VULN|2DMG|3ZMB|1ASPD|1SELL	124ZMB|36DMG|5SELL|6BPWR|7ASPD|8RCR|9aVULN
60	13225 13212	 * 	203.14	DCR|2AART|2DMG|2ASPD|2ZMB	12ZMB|36AART|4aASPD|58DMG|7RMIN|9RCR
61	16324 23623	 * 	202.53	DCR|2AART|2ASPD|1VULN|1CDMG|2ZMB	14ZMB|23ASPD|5aAART|6VULN|7CDMG|8RCVC|9RCR
62	66322 52144	 * 	202.34	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1MLV|23ASPD|4ZMB|5AART|6CDMG|7aVULN|8MBVNT|9RCR
63	16332 52144	   	202.24	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1ZMB|23ASPD|4ERES|5AART|6CDMG|7aVULN|8MBVNT|9RCR
64	13531 22165	   	202.01	DCR|3VULN|2ASPD|3ZMB	125ZMB|39ASPD|4ERES|6RCR|79LHND|89aVULN|9BPWR
65	16332 52145	 * 	201.92	DCR|2ASPD|1VULN|1AART|1NUKE|1CDMG|1ZMB	1ZMB|23ASPD|4ERES|5AART|6CDMG|7VULN|8MBVNT|9RCR|aNUKE
66	13463 32162	   	201.48	DCR|3VULN|2DMG|3ZMB	12aZMB|3aLHND|467VULN|5CGEN|8RCR|9aDMG|aBPWR
67	13221 31541	   	201.25	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	12ZMB|3AART|4ASPD|5LHND|6RCR|7DMG|8LWND|9aVULN
68	13223 32541	   	201.25	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	12ZMB|3AART|4ASPD|5LWND|6RCR|7BEXP|8DMG|9aVULN
69	13241 32541	   	201.25	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	12ZMB|3AART|4LWND|5ASPD|6RCR|7BEXP|8DMG|9aVULN
70	13421 31541	   	201.25	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	12ZMB|3LHND|4AART|5ASPD|6RCR|7DMG|8LWND|9aVULN
71	13621 32541	   	201.25	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	12ZMB|3LWND|4AART|5ASPD|6RCR|7BEXP|8DMG|9aVULN
72	13221 31341	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	12ZMB|3AART|4ASPD|5LHND|6RCR|7DMG|8DUST|9aVULN
73	13223 31341	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	12ZMB|3AART|4ASPD|5LWND|6RCR|7DMG|8DUST|9aVULN
74	13241 31341	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	12ZMB|3AART|4LWND|5ASPD|6RCR|7DMG|8DUST|9aVULN
75	13421 31341	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	12ZMB|3LHND|4AART|5ASPD|6RCR|7DMG|8DUST|9aVULN
76	13621 31341	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	12ZMB|3LWND|4AART|5ASPD|6RCR|7DMG|8DUST|9aVULN
77	21233 32164	 * 	200.88	DCR|4VULN|3ASPD	159FEWX|2CGEN|39aASPD|4679VULN|8RCR|9BPWR
78	11365 22112	   	200.81	DCR|3VULN|2ASPD|2ZMB|1DUR	16ZMB|2CGEN|3aASPD|467VULN|5RMIN|6BPWR|8RCR|9DUR
79	14365 22112	   	200.71	DCR|3VULN|2ASPD|2ZMB|1DUR	16ZMB|2TLV|3aASPD|467VULN|5RMIN|6BPWR|8RCR|9DUR
80	15363 22112	   	200.71	DCR|3VULN|2ASPD|2ZMB|1DUR	16ZMB|2ERES|3aASPD|4RMIN|567VULN|6BPWR|8RCR|9DUR
81	13524 54213	 * 	200.05	DCR|2VULN|2ASPD|3ZMB|1DMG	124ZMB|3aASPD|5MBVNT|69VULN|7DMG|8RCR
82	13522 35343	   	199.90	DCR|2VULN|2ASPD|3ZMB|1DMG|1SELL	124ZMB|36ASPD|5SELL|6BPWR|7DMG|8RCR|9aVULN
83	11633 22163	   	199.84	DCR|4VULN|3ZMB|1ASPD	169ZMB|2CGEN|359FEWX|4679VULN|69BPWR|8RCR|aASPD
84	15633 22163	   	199.74	DCR|4VULN|3ZMB|1ASPD	169ZMB|2ERES|359FEWX|4679VULN|69BPWR|8RCR|aASPD
85	13643 62132	   	198.87	DCR|3VULN|2ASPD|3ZMB	12aZMB|34LWND|57aVULN|6aASPD|8RCR|9RCVC|aBPWR
86	11365 22152	   	198.34	DCR|3VULN|1ASPD|1DMG|2ZMB	16ZMB|2CGEN|3ASPD|467VULN|5RMIN|6BPWR|8RCR|9RPLT|aDMG
87	15363 22152	   	198.24	DCR|3VULN|1ASPD|1DMG|2ZMB	16ZMB|2ERES|3ASPD|4RMIN|567VULN|6BPWR|8RCR|9RPLT|aDMG
88	16324 23325	 * 	198.20	DCR|3ASPD|1VULN|1AART|1CDMG|2ZMB	14ZMB|23aASPD|5AART|6VULN|7CDMG|8LWND|9RCR
89	13221 36623	   	198.12	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB	12ZMB|3aAART|4ASPD|5LHND|6RCR|7VULN|8RCVC|9DMG
90	13223 36623	   	198.12	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB	12ZMB|3aAART|4ASPD|5LWND|6RCR|7VULN|8RCVC|9DMG
91	13241 36623	   	198.12	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB	12ZMB|3aAART|4LWND|5ASPD|6RCR|7VULN|8RCVC|9DMG
92	13421 36623	   	198.12	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB	12ZMB|3LHND|4aAART|5ASPD|6RCR|7VULN|8RCVC|9DMG
93	13621 36623	   	198.12	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB	12ZMB|3LWND|4aAART|5ASPD|6RCR|7VULN|8RCVC|9DMG
94	63365 22112	   	197.59	DCR|3VULN|2ASPD|1ZMB|1DUR	16MLV|2ZMB|3aASPD|467VULN|5RMIN|6BPWR|8RCR|9DUR
95	11365 32112	   	197.49	DCR|3VULN|2ASPD|1ZMB|1DUR	1ZMB|2CGEN|3aASPD|467VULN|5RMIN|8RCR|9DUR
96	63365 32112	   	197.49	DCR|3VULN|2ASPD|1ZMB|1DUR	1MLV|2ZMB|3aASPD|467VULN|5RMIN|8RCR|9DUR
97	16336 22123	 * 	197.49	DCR|3ASPD|2VULN|1CDMG|1ZMB	1ZMB|235ASPD|45ERES|5BPWR|6RCR|7LHND|8aVULN|9CDMG
98	14365 32112	   	197.39	DCR|3VULN|2ASPD|1ZMB|1DUR	1ZMB|2TLV|3aASPD|467VULN|5RMIN|8RCR|9DUR
99	15363 32112	   	197.39	DCR|3VULN|2ASPD|1ZMB|1DUR	1ZMB|2ERES|3aASPD|4RMIN|567VULN|8RCR|9DUR
100	33363 22112	   	197.39	DCR|3VULN|2ASPD|1ZMB|1DUR	16ERES|2ZMB|3aASPD|4RMIN|567VULN|6BPWR|8RCR|9DUR
101	33363 32112	   	197.39	DCR|3VULN|2ASPD|1ZMB|1DUR	1ERES|2ZMB|3aASPD|4RMIN|567VULN|8RCR|9DUR
102	13221 36231	   	197.34	DCR|2VULN|1AART|1ASPD|1CDMG|2ZMB	12ZMB|3AART|4ASPD|5LHND|6RCR|79VULN|8BASFIG|aCDMG
103	13223 36231	   	197.34	DCR|2VULN|1AART|1ASPD|1CDMG|2ZMB	12ZMB|3AART|4ASPD|5LWND|6RCR|79VULN|8BASFIG|aCDMG
104	13241 36231	   	197.34	DCR|2VULN|1AART|1ASPD|1CDMG|2ZMB	12ZMB|3AART|4LWND|5ASPD|6RCR|79VULN|8BASFIG|aCDMG
105	13421 36231	   	197.34	DCR|2VULN|1AART|1ASPD|1CDMG|2ZMB	12ZMB|3LHND|4AART|5ASPD|6RCR|79VULN|8BASFIG|aCDMG
106	13621 36231	   	197.34	DCR|2VULN|1AART|1ASPD|1CDMG|2ZMB	12ZMB|3LWND|4AART|5ASPD|6RCR|79VULN|8BASFIG|aCDMG
107	13226 21653	   	197.25	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB|1DUR	12ZMB|39AART|4ASPD|5VULN|6VENFST|7DUR|8DMG|aRCR
108	16336 22125	 * 	197.17	DCR|3ASPD|1VULN|1DMG|1CDMG|1ZMB	1ZMB|235ASPD|45ERES|5BPWR|6RCR|7LHND|8VULN|9CDMG|aDMG
109	13324 54422	   	197.10	DCR|3DMG|2VULN|3ZMB	124ZMB|378DMG|5MBVNT|68VULN|8BPWR|9RCR|aRPLT
110	13324 54424	   	197.10	DCR|3DMG|2VULN|3ZMB	124ZMB|378DMG|5MBVNT|68VULN|8BPWR|9RCR|aVENFST
111	13324 54426	   	197.10	DCR|3DMG|2VULN|3ZMB	124ZMB|378DMG|5MBVNT|68VULN|8BPWR|9RCR|aCGEN
112	13324 54427	   	197.00	DCR|3DMG|2VULN|3ZMB	124ZMB|378DMG|5MBVNT|68VULN|8BPWR|9RCR|aTLV
113	13324 54428	   	197.00	DCR|3DMG|2VULN|3ZMB	124ZMB|378DMG|5MBVNT|68VULN|8BPWR|9RCR|aLEGI
114	13221 31233	   	196.95	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB	12ZMB|3aAART|4ASPD|5LHND|6RCR|7DMG|8AELBLL|9VULN
115	13223 31233	   	196.95	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB	12ZMB|3aAART|4ASPD|5LWND|6RCR|7DMG|8AELBLL|9VULN
116	13223 31533	   	196.95	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB	12ZMB|3aAART|4ASPD|58LWND|6RCR|7DMG|9VULN
117	13241 31233	   	196.95	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB	12ZMB|3aAART|4LWND|5ASPD|6RCR|7DMG|8AELBLL|9VULN
118	13241 31533	   	196.95	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB	12ZMB|3aAART|48LWND|5ASPD|6RCR|7DMG|9VULN
119	13421 31233	   	196.95	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB	12ZMB|3LHND|4aAART|5ASPD|6RCR|7DMG|8AELBLL|9VULN
120	13621 31233	   	196.95	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB	12ZMB|3LWND|4aAART|5ASPD|6RCR|7DMG|8AELBLL|9VULN
121	13621 31533	   	196.95	DCR|2AART|1VULN|1ASPD|1DMG|2ZMB	12ZMB|38LWND|4aAART|5ASPD|6RCR|7DMG|9VULN
122	13333 43165	   	196.17	DCR|3VULN|3ZMB|1DMG|1DUR	129ZMB|3DMG|49ERES|569VULN|7RMIN|8RCR|9BPWR|aDUR
123	56236 22112	   	196.17	DCR|4VULN|2ASPD|1DUR	16LHND|2MLV|3aASPD|4567VULN|6BPWR|8RCR|9DUR
124	66136 22112	   	196.17	DCR|4VULN|2ASPD|1DUR	16MLV|2aASPD|3LHND|4567VULN|6BPWR|8RCR|9DUR
125	56236 32112	   	196.07	DCR|4VULN|2ASPD|1DUR	1LHND|2MLV|3aASPD|4567VULN|8RCR|9DUR
126	66136 32112	   	196.07	DCR|4VULN|2ASPD|1DUR	1MLV|2aASPD|3LHND|4567VULN|8RCR|9DUR
127	13163 32166	 * 	195.93	DCR|4VULN|3ZMB|1CDMG	129ZMB|3FEWX|4679VULN|59CGEN|8RCR|9BPWR|aCDMG
128	13226 33141	   	195.85	DCR|2VULN|3ZMB|1AART|1ASPD|1DUR	126ZMB|3AART|4ASPD|5aVULN|7DUR|8ERES|9RCR
129	13226 33241	   	195.85	DCR|2VULN|3ZMB|1AART|1ASPD|1DUR	126ZMB|3AART|4ASPD|5aVULN|7DUR|8TLV|9RCR
130	16326 22212	 * 	195.72	DCR|3ASPD|2DMG|1AART|2ZMB	14ZMB|23aASPD|58DMG|6TLV|7AART|9RCR
131	13224 22324	   	195.71	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	12ZMB|3AART|4ASPD|5RCVC|67VULN|8RPLT|9DMG|aRCR
132	51253 22162	   	195.64	DCR|3VULN|2DMG|1ASPD	16aLHND|2aCGEN|3ASPD|4DMSP|567VULN|6aBPWR|8RCR|9aDMG
133	51253 32162	   	195.54	DCR|3VULN|2DMG|1ASPD	1aLHND|2aCGEN|3ASPD|4DMSP|567VULN|8RCR|9aDMG|aBPWR
134	35323 43161	   	195.37	DCR|3VULN|1ASPD|1DMG|2ZMB	129ERES|3DMG|49ZMB|569VULN|7RMIN|8RCR|9BPWR|aASPD
135	11365 22136	   	195.28	DCR|3VULN|1ASPD|1CDMG|2ZMB	16ZMB|2CGEN|3ASPD|467VULN|5RMIN|6BPWR|8RCR|9RCVC|aCDMG
