0	Index      	 *	Score 	Summary	Detail	
1	23326 65223	 * 	197.19	ACR|2BASARM|3DMG|1SELL	178LHND|2SELL|3LWND|47aDMG|5RCR|67BASARM|7BPWR|9DMSP
17	23326 62621	 * 	181.99	ACR|1BASARM|2DMG|1AAC|1VULN|1SELL	1LHND|2SELL|3LWND|49DMG|5RCR|6BASARM|7DUR|8AAC|aVULN
18	23326 65112	 * 	181.43	ACR|2BASARM|2DMG|1SELL	17LHND|2SELL|3aLWND|47DMG|5RCR|67BASARM|7BPWR|8ERES|9ZMB
19	23326 65113	 * 	181.43	ACR|2BASARM|2DMG|1SELL	17LHND|2SELL|3LWND|47DMG|5RCR|67BASARM|7BPWR|8ERES|9ZMB|aFEWX
20	23326 65122	 * 	181.43	ACR|2BASARM|2DMG|1SELL	179LHND|2SELL|3LWND|47DMG|5RCR|67BASARM|7BPWR|8ERES|aRPLT
21	23326 65123	 * 	181.43	ACR|2BASARM|2DMG|1SELL	179LHND|2SELL|3LWND|47DMG|5RCR|67BASARM|7BPWR|8ERES|aLIT
22	23326 65212	 * 	181.43	ACR|2BASARM|2DMG|1SELL	178LHND|2SELL|3LWND|47DMG|5RCR|67BASARM|7BPWR|9ERES|aRPLT
23	23326 65213	 * 	181.43	ACR|2BASARM|2DMG|1SELL	178LHND|2SELL|3LWND|47DMG|5RCR|67BASARM|7BPWR|9ERES|aLIT
24	23326 65222	 * 	181.43	ACR|2BASARM|2DMG|1SELL	178LHND|2SELL|3LWND|47DMG|5RCR|67BASARM|7BPWR|9DMSP|aERES
25	23326 65232	 * 	181.43	ACR|2BASARM|2DMG|1SELL	178LHND|2SELL|3LWND|47DMG|5RCR|67BASARM|7BPWR|9NUKE|aCGEN
26	23326 65233	 * 	181.43	ACR|2BASARM|2DMG|1SELL	178LHND|2SELL|3LWND|47DMG|5RCR|67BASARM|7BPWR|9NUKE|aFEWX
27	23326 65121	 * 	181.33	ACR|2BASARM|2DMG|1SELL	179LHND|2SELL|3LWND|47DMG|5RCR|67BASARM|7BPWR|8ERES|aTLV
28	23326 65132	 * 	181.33	ACR|2BASARM|2DMG|1SELL	17aLHND|2SELL|3LWND|47DMG|5RCR|67BASARM|7BPWR|8ERES|9DUST
29	23326 65211	 * 	181.33	ACR|2BASARM|2DMG|1SELL	178LHND|2SELL|3LWND|47DMG|5RCR|67BASARM|7BPWR|9ERES|aTLV
30	23326 65231	 * 	181.33	ACR|2BASARM|2DMG|1SELL	178LHND|2SELL|3LWND|47DMG|5RCR|67BASARM|7BPWR|9NUKE|aAEMAG
31	21141 23818	 * 	181.24	DCR|3DMG|1BASARM|2BEXP	18LHND|238DMG|4MBVNT|59FEWX|6BASARM|78BEXP|8BPWR|aRCR
32	23326 65133	 * 	181.23	ACR|2BASARM|2DMG|1SELL	17LHND|2SELL|3LWND|47DMG|5RCR|67BASARM|7BPWR|8ERES|9DUST|aMBVNT
33	23326 62513	 * 	180.40	ACR|1BASARM|2DMG|1BEXP|1SELL	1LHND|2SELL|3LWND|4aDMG|5RCR|6BASARM|7DUR|8BEXP|9ZMB
34	23326 63221	 * 	180.40	ACR|1BASARM|2DMG|1BEXP|1SELL	1LHND|2SELL|3LWND|4aDMG|5RCR|6BASARM|7RPLT|8CGEN|9BEXP
35	23326 63421	 * 	180.40	ACR|1BASARM|2DMG|1BEXP|1SELL	1LHND|2SELL|3LWND|4aDMG|5RCR|6BASARM|7RPLT|8MLV|9BEXP
36	23326 61231	 * 	180.30	ACR|1BASARM|2DMG|1AART|1SELL	1LHND|2SELL|3LWND|4aDMG|5RCR|6BASARM|7AME|8DUR|9AART
37	23326 62431	 * 	180.30	ACR|1BASARM|2DMG|1AART|1SELL	1LHND|2SELL|3LWND|4aDMG|5RCR|6BASARM|7DUR|8AME|9AART
38	23326 51432	 * 	179.92	ACR|3ASPD|2DMG|1AAC|1SELL	1LHND|2SELL|3LWND|48DMG|5RCR|67aASPD|9AAC
39	13321 76416	 * 	179.82	DCR|2BASARM|2DMG|2BEXP|1SELL	17BEXP|2SELL|3LWND|47DMG|5MBVNT|67BASARM|7BPWR|8AME|9ZMB|aRCR
40	11145 22146	 * 	179.03	DCR|1BASARM|2DMG|2BEXP|1CDMG	19BEXP|23DMG|4MBVNT|5LWND|6BASARM|7RMIN|8CDMG|aRCR
41	11145 24146	   	178.93	DCR|1BASARM|2DMG|2BEXP|1CDMG	19BEXP|23DMG|4MBVNT|5LWND|6BASARM|7TLV|8CDMG|aRCR
42	11513 33323	 * 	177.48	DCR|3DMG|2ASPD|2BEXP|1VULN	17BEXP|247DMG|3MLV|5LWND|67ASPD|7BPWR|8VULN|9ZMB|aRCR
43	11515 34313	   	177.48	DCR|3DMG|2ASPD|2BEXP|1VULN	17BEXP|247DMG|3MLV|59DUR|67ASPD|7BPWR|8VULN|aRCR
44	23326 61251	   	177.43	ACR|1BASARM|1ASPD|1DMG|1AAC|1SELL	1LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7AME|8DUR|9AAC|aASPD
45	11513 33343	   	177.38	DCR|3DMG|2ASPD|2BEXP|1VULN	17BEXP|247DMG|3MLV|5LWND|67ASPD|7BPWR|8VULN|9AEFBLL|aRCR
46	11524 33343	   	177.38	DCR|3DMG|2ASPD|2BEXP|1VULN	17BEXP|257DMG|3MLV|4FEWX|67ASPD|7BPWR|8VULN|9AEFBLL|aRCR
47	11163 35313	 * 	177.28	DCR|3ASPD|2DMG|2BEXP|1VULN	14BEXP|23DMG|5VULN|689ASPD|7LHND|aRCR
48	11163 35363	   	177.28	DCR|3DMG|2ASPD|2BEXP|1VULN	14BEXP|239DMG|5VULN|68ASPD|7LHND|aRCR
49	52113 14633	 * 	177.23	ACR|2DMG|2VULN|1ASPD|1AART	1RMIN|2BELT|3LHND|4RCR|5ASPD|69VULN|7AART|8aDMG
50	53243 21335	   	176.79	DCR|1BASARM|2BEXP|1DMG|1CDMG|1AAC|1VULN	1RMIN|26BEXP|3AAC|4CDMG|5CGEN|7BASARM|8VULN|9DMG|aRCR
51	23326 63113	   	176.16	ACR|1BASARM|1ASPD|1DMG|1VULN|1SELL	1LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7RPLT|8DUR|9VULN|aASPD
52	23326 61334	   	176.06	ACR|1BASARM|1ASPD|1DMG|1VULN|1SELL	1LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7AME|8LIT|9ASPD|aVULN
53	23326 63313	   	176.06	ACR|1BASARM|1ASPD|1DMG|1VULN|1SELL	1LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7RPLT|8MBVNT|9VULN|aASPD
54	52113 11514	 * 	175.51	ACR|2ASPD|3VULN|1DMG	1RMIN|2BELT|3LHND|4RCR|5aASPD|678VULN|9DMG
55	23326 62622	 * 	175.06	ACR|1BASARM|2DMG|1AAC|1SELL	1aLHND|2SELL|3LWND|49DMG|5RCR|6BASARM|7DUR|8AAC
56	23326 62623	 * 	174.96	ACR|1BASARM|2DMG|1AAC|1SELL	1LHND|2SELL|3LWND|49DMG|5RCR|6BASARM|7DUR|8AAC|aMBVNT
57	52611 12421	   	174.90	ACR|1BASARM|1ASPD|1BEXP|1VULN	1RMIN|2BELT|3ZMB|4RCR|5BEXP|6VULN|7DUST|8ASPD|9BASARM|aLHND
58	56332 51332	 * 	174.90	ACR|1BASARM|1ASPD|1AART|1VULN	1RMIN|2MSLREG|3VULN|4RCR|5AART|69FEWX|7LWND|8BASARM|aASPD
59	52611 12422	   	174.80	ACR|1BASARM|1ASPD|1BEXP|1VULN	1RMIN|2BELT|3ZMB|4RCR|5BEXP|6VULN|7DUST|8ASPD|9BASARM|aMBVNT
60	52611 12423	   	174.80	ACR|1BASARM|1ASPD|1BEXP|1VULN	1RMIN|2BELT|3ZMB|4RCR|5BEXP|6VULN|7aDUST|8ASPD|9BASARM
61	56332 33533	   	174.70	ACR|1BASARM|1ASPD|1AART|1VULN	1RMIN|2MSLREG|3VULN|4RCR|5AART|6ERES|7LSRREG|8ASPD|9DUR|aBASARM
62	52112 14374	   	174.37	ACR|1BASARM|1ASPD|1DMG	1RMIN|2BELT|36LHND|4RCR|5MBVNT|7ASPD|8MLV|9BASARM|aDMG
63	52113 11353	   	174.37	ACR|1BASARM|2VULN|1ASPD	1RMIN|2BELT|3LHND|4RCR|5ASPD|67VULN|8MLV|9DUR|aBASARM
64	52112 14474	   	174.27	ACR|1BASARM|1ASPD|1DMG	1RMIN|2BELT|36LHND|4RCR|5MBVNT|7ASPD|8AME|9BASARM|aDMG
65	52112 81543	   	174.27	ACR|1BASARM|2VULN|1ASPD	1RMIN|2BELT|3LHND|4RCR|5MBVNT|6CGEN|79VULN|8ASPD|aBASARM
66	56333 12161	   	174.07	ACR|1BASARM|2VULN|1ASPD	15RMIN|26MSLREG|36VULN|4RCR|6BPWR|7DUST|8ASPD|9BASARM|aSNIHEL
67	56333 12162	   	174.07	ACR|1BASARM|2VULN|1ASPD	15RMIN|26MSLREG|36VULN|4RCR|6BPWR|7aDUST|8ASPD|9BASARM
68	23326 63241	 * 	173.69	ACR|1BASARM|2DMG|1VULN|1SELL	1LHND|2SELL|3LWND|4aDMG|5RCR|6BASARM|7RPLT|8CGEN|9VULN
69	23326 61221	 * 	173.59	ACR|1BASARM|2DMG|1VULN|1SELL	1LHND|2SELL|3LWND|49DMG|5RCR|6BASARM|7AME|8DUR|aVULN
70	23326 62421	 * 	173.59	ACR|1BASARM|2DMG|1VULN|1SELL	1LHND|2SELL|3LWND|49DMG|5RCR|6BASARM|7DUR|8AME|aVULN
71	12624 13222	 * 	173.25	DCR|3ASPD|3BEXP|1CDMG|1AAC|1VULN	189BEXP|289LIT|3RPLT|4VULN|5CDMG|689ASPD|7AAC|89BPWR|aRCR
72	11511 15334	   	173.24	DCR|3DMG|1BASARM|1BEXP|1VULN	1BEXP|248DMG|3MLV|5VULN|6BASARM|7DUR|9CGEN|aRCR
73	21164 22315	   	173.24	DCR|3DMG|1BASARM|1BEXP|1VULN	1LHND|238DMG|4BEXP|5LWND|6BASARM|7RMIN|9VULN|aRCR
74	11411 15334	   	173.14	DCR|3DMG|1BASARM|1BEXP|1VULN	1BEXP|248DMG|3TLV|5VULN|6BASARM|7DUR|9CGEN|aRCR
75	61511 13334	   	173.14	DCR|3DMG|1BASARM|1BEXP|1VULN	1DUST|248DMG|3MLV|5VULN|6BASARM|7BEXP|9CGEN|aRCR
76	61411 13334	   	173.04	DCR|3DMG|1BASARM|1BEXP|1VULN	1DUST|248DMG|3TLV|5VULN|6BASARM|7BEXP|9CGEN|aRCR
77	52611 16211	 * 	172.40	ACR|2DMG|2BEXP|2VULN	1RMIN|2BELT|38aZMB|4RCR|5aBEXP|68VULN|78DMG|8aBPWR|9aCGEN
78	52412 48124	 * 	172.20	ACR|2DMG|2BEXP|1ASPD	1RMIN|2BELT|3aDUR|4RCR|5MBVNT|6aBEXP|7LIT|8ASPD|9aDMG|aBPWR
79	52611 16221	   	172.20	ACR|2DMG|2BEXP|2VULN	1RMIN|2BELT|38aZMB|4RCR|5aBEXP|68VULN|78DMG|8aBPWR|9aERES
80	52112 17374	 * 	171.89	ACR|1BASARM|2DMG	1RMIN|2BELT|36LHND|4RCR|5MBVNT|7aDMG|8MLV|9BASARM
81	52112 37264	   	171.89	ACR|1BASARM|2DMG	1RMIN|2BELT|3LHND|4RCR|5MBVNT|68ZMB|7aDMG|9BASARM
82	52112 17474	   	171.79	ACR|1BASARM|2DMG	1RMIN|2BELT|36LHND|4RCR|5MBVNT|7aDMG|8AME|9BASARM
83	52114 13152	   	171.14	ACR|1BASARM|2BEXP|1AAC	1RMIN|2BELT|36LHND|4RCR|5DUR|78BEXP|9BASARM|aAAC
84	52115 13152	   	171.14	ACR|1BASARM|2BEXP|1AAC	1RMIN|2BELT|36LHND|4RCR|5FEWX|78BEXP|9BASARM|aAAC
85	23326 63224	   	171.12	ACR|1BASARM|1DMG|1BEXP|1AAC|1SELL	1LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7RPLT|8CGEN|9BEXP|aAAC
86	52112 13162	   	171.04	ACR|1BASARM|2BEXP|1AAC	1RMIN|2BELT|36LHND|4RCR|5MBVNT|78BEXP|9BASARM|aAAC
87	11513 33613	   	170.54	DCR|3DMG|2ASPD|2BEXP	17BEXP|247DMG|3MLV|5LWND|67ASPD|7BPWR|8CGEN|9FEWX|aRCR
88	11513 33633	   	170.54	DCR|3DMG|2ASPD|2BEXP	17BEXP|247DMG|3MLV|5LWND|67ASPD|7BPWR|8CGEN|9DUR|aRCR
89	11524 33613	   	170.54	DCR|3DMG|2ASPD|2BEXP	17BEXP|257DMG|3MLV|49FEWX|67ASPD|7BPWR|8CGEN|aRCR
90	11524 33633	   	170.54	DCR|3DMG|2ASPD|2BEXP	17BEXP|257DMG|3MLV|4FEWX|67ASPD|7BPWR|8CGEN|9LWND|aRCR
91	11145 23143	 * 	170.51	DCR|1BASARM|2DMG|1ASPD|1BEXP	1BEXP|23DMG|4MBVNT|5LWND|6BASARM|7VENTOX|8DUST|9ASPD|aRCR
92	11562 11143	 * 	170.51	DCR|1BASARM|2ASPD|1DMG|1BEXP	1BEXP|2DMG|3MLV|4ERES|5TLV|6BASARM|7CGEN|89ASPD|aRCR
93	61145 23343	   	170.51	DCR|1BASARM|2DMG|1ASPD|1BEXP	1DUST|23DMG|4MBVNT|5LWND|6BASARM|7VENTOX|8BEXP|9ASPD|aRCR
94	11513 33113	   	170.44	DCR|3DMG|2ASPD|2BEXP	17BEXP|247DMG|3MLV|5LWND|67ASPD|7BPWR|8TLV|9FEWX|aRCR
95	11513 33133	   	170.44	DCR|3DMG|2ASPD|2BEXP	17BEXP|247DMG|3MLV|5LWND|67ASPD|7BPWR|8TLV|9DUR|aRCR
96	11513 33623	   	170.44	DCR|3DMG|2ASPD|2BEXP	17BEXP|247DMG|3MLV|5LWND|67ASPD|7BPWR|8CGEN|9AME|aRCR
97	11513 33653	   	170.44	DCR|3DMG|2ASPD|2BEXP	17BEXP|247DMG|3MLV|5LWND|67ASPD|7BPWR|8CGEN|9AEFBLL|aRCR
98	11515 34133	   	170.44	DCR|3DMG|2ASPD|2BEXP	17BEXP|247DMG|3MLV|59DUR|67ASPD|7BPWR|8TLV|aRCR
99	11524 33113	   	170.44	DCR|3DMG|2ASPD|2BEXP	17BEXP|257DMG|3MLV|49FEWX|67ASPD|7BPWR|8TLV|aRCR
100	11524 33133	   	170.44	DCR|3DMG|2ASPD|2BEXP	17BEXP|257DMG|3MLV|4FEWX|67ASPD|7BPWR|8TLV|9LWND|aRCR
101	11462 11143	   	170.41	DCR|1BASARM|2ASPD|1DMG|1BEXP	1BEXP|2DMG|3TLV|4ERES|5AME|6BASARM|7CGEN|89ASPD|aRCR
102	11513 33123	   	170.34	DCR|3DMG|2ASPD|2BEXP	17BEXP|247DMG|3MLV|5LWND|67ASPD|7BPWR|8TLV|9AME|aRCR
103	11513 33153	   	170.34	DCR|3DMG|2ASPD|2BEXP	17BEXP|247DMG|3MLV|5LWND|67ASPD|7BPWR|8TLV|9AEFBLL|aRCR
104	11515 34123	   	170.34	DCR|3DMG|2ASPD|2BEXP	17BEXP|247DMG|3MLV|5DUR|67ASPD|7BPWR|8TLV|9AME|aRCR
105	11524 33153	   	170.34	DCR|3DMG|2ASPD|2BEXP	17BEXP|257DMG|3MLV|4FEWX|67ASPD|7BPWR|8TLV|9AEFBLL|aRCR
106	53143 11125	   	169.85	DCR|1BASARM|2BEXP|1DMG|1CDMG|1AAC	1RMIN|26BEXP|3DMG|4CDMG|56CGEN|6BPWR|7BASARM|8AAC|9DUST|aRCR
107	23326 62523	   	169.75	ACR|1BASARM|1DMG|1BEXP|1VULN|1SELL	1LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7DUR|8BEXP|9VULN|aRMIN
108	53143 21125	   	169.75	DCR|1BASARM|2BEXP|1DMG|1CDMG|1AAC	1RMIN|26BEXP|3DMG|4CDMG|5CGEN|7BASARM|8AAC|9DUST|aRCR
109	23326 61351	 * 	169.65	ACR|1BASARM|1DMG|1CDMG|1VULN|1SELL	1LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7AME|8LIT|9VULN|aCDMG
110	23326 61352	   	169.65	ACR|1BASARM|1DMG|1BEXP|1VULN|1SELL	1LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7AME|8LIT|9VULN|aBEXP
111	23326 62521	   	169.65	ACR|1BASARM|1DMG|1BEXP|1VULN|1SELL	1LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7DUR|8BEXP|9VULN|aERES
112	23326 62522	   	169.65	ACR|1BASARM|1DMG|1BEXP|1VULN|1SELL	1LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7DUR|8BEXP|9VULN|aDUST
113	23326 51411	 * 	169.61	ACR|2ASPD|2DMG|1CDMG|1SELL	1LHND|2SELL|3LWND|48DMG|5RCR|67ASPD|9CDMG|aCGEN
114	23326 51412	 * 	169.61	ACR|2ASPD|2DMG|1CDMG|1SELL	1LHND|2SELL|3LWND|48DMG|5RCR|67ASPD|9CDMG|aDUR
115	23326 51413	 * 	169.61	ACR|2ASPD|2DMG|1CDMG|1SELL	1aLHND|2SELL|3LWND|48DMG|5RCR|67ASPD|9CDMG
116	52413 12521	   	169.55	ACR|1BASARM|1ASPD|1AAC|1VULN	1RMIN|2BELT|3DUR|4RCR|5ASPD|6VULN|7DUST|8AAC|9BASARM|aLHND
117	52413 12522	   	169.45	ACR|1BASARM|1ASPD|1AAC|1VULN	1RMIN|2BELT|3DUR|4RCR|5ASPD|6VULN|7DUST|8AAC|9BASARM|aMBVNT
118	52413 12523	   	169.45	ACR|1BASARM|1ASPD|1AAC|1VULN	1RMIN|2BELT|3DUR|4RCR|5ASPD|6VULN|7aDUST|8AAC|9BASARM
119	23326 61332	   	169.13	ACR|1BASARM|1ASPD|1DMG|1SELL	1LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7AME|8LIT|9ASPD|aFEWX
120	23326 61333	   	169.13	ACR|1BASARM|1ASPD|1DMG|1SELL	1LHND|2SELL|3aLWND|4DMG|5RCR|6BASARM|7AME|8LIT|9ASPD
121	23326 61335	   	169.03	ACR|1BASARM|1ASPD|1DMG|1SELL	1LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7AME|8LIT|9ASPD|aMDPS
122	23326 63314	 * 	169.03	ACR|1BASARM|2VULN|1DMG|1SELL	1LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7RPLT|8MBVNT|9aVULN
123	52113 11513	 * 	168.92	ACR|4VULN|1ASPD|1DMG	1RMIN|2BELT|3LHND|4RCR|5ASPD|678aVULN|9DMG
124	23326 61531	   	168.78	ACR|1BASARM|1ASPD|1DMG|2SELL	1LHND|29SELL|3LWND|4DMG|5RCR|6BASARM|7AME|8NUKE|aASPD
125	53143 11335	   	168.48	DCR|1BASARM|2BEXP|1DMG|1CDMG|1VULN	1RMIN|26BEXP|3DMG|4CDMG|56CGEN|6BPWR|7BASARM|8VULN|9NUKE|aRCR
126	56332 61331	 * 	168.48	ACR|1BASARM|1AART|1CDMG|1VULN	1RMIN|2MSLREG|3VULN|4RCR|5AART|6LHND|7LWND|8BASARM|9CDMG|aZMB
127	56332 61333	   	168.48	ACR|1BASARM|1AART|1CDMG|1VULN	1RMIN|2MSLREG|3VULN|4RCR|5AART|6LHND|7LWND|8BASARM|9CDMG|aRPLT
128	53143 21335	   	168.38	DCR|1BASARM|2BEXP|1DMG|1CDMG|1VULN	1RMIN|26BEXP|3DMG|4CDMG|5CGEN|7BASARM|8VULN|9NUKE|aRCR
129	53243 11335	 * 	168.37	DCR|1BASARM|2CDMG|1DMG|1BEXP|1AAC|1VULN	1RMIN|2BEXP|3AAC|46CDMG|56CGEN|6BPWR|7BASARM|8VULN|9DMG|aRCR
130	11163 34263	   	168.00	DCR|3DMG|2BEXP|1ASPD|1AAC|1VULN	14BEXP|239DMG|5VULN|6ASPD|7AAC|8CGEN|aRCR
131	52611 11353	 * 	167.96	ACR|1BASARM|2VULN|1BEXP	1RMIN|2BELT|3ZMB|4RCR|5BEXP|67VULN|8MLV|9DUR|aBASARM
132	11234 34312	 * 	167.86	DCR|1BASARM|2BEXP|1ASPD|1DMG	18BEXP|2DMG|3LIT|4CGEN|5MBVNT|6ASPD|7BASARM|9ZMB|aRCR
133	11234 64322	   	167.86	DCR|1BASARM|2BEXP|1ASPD|1DMG	18BEXP|2DMG|3LIT|4CGEN|5MBVNT|6ZMB|7BASARM|9ASPD|aRCR
134	52611 23374	   	167.86	ACR|1BASARM|1DMG|1BEXP	1RMIN|2BELT|3ZMB|4RCR|5BEXP|6AEFBLL|7MBVNT|8MLV|9BASARM|aDMG
135	56333 33343	 * 	167.85	ACR|2VULN|1ASPD|1DMG|1BEXP|1AAC	15RMIN|2MSLREG|38VULN|4RCR|6AAC|7BEXP|9ASPD|aDMG
136	11214 64322	   	167.76	DCR|1BASARM|2BEXP|1ASPD|1DMG	18BEXP|2DMG|3LIT|4AME|5MBVNT|6ZMB|7BASARM|9ASPD|aRCR
137	11214 44312	   	167.76	DCR|1BASARM|2BEXP|1ASPD|1DMG	18BEXP|2DMG|3LIT|4AME|5MBVNT|6ASPD|7BASARM|9ZMB|aRCR
138	11562 11153	   	167.76	DCR|1BASARM|2BEXP|1ASPD|1DMG	19BEXP|2DMG|3MLV|4ERES|5TLV|6BASARM|7CGEN|8ASPD|aRCR
139	52611 12533	   	167.76	ACR|1BASARM|2VULN|1BEXP	1RMIN|2BELT|3ZMB|4RCR|5BEXP|69VULN|7DUST|8ERES|aBASARM
140	52611 23474	   	167.76	ACR|1BASARM|1DMG|1BEXP	1RMIN|2BELT|3ZMB|4RCR|5BEXP|6AEFBLL|7MBVNT|8AME|9BASARM|aDMG
141	11462 11153	   	167.66	DCR|1BASARM|2BEXP|1ASPD|1DMG	19BEXP|2DMG|3TLV|4ERES|5AME|6BASARM|7CGEN|8ASPD|aRCR
