0	Index      	 *	Score 	Summary	Detail	
1	25623 62122	 * 	215.50	ACR|1BASARM|1DMG|1BEXP|1AART|1CDMG|1AAC	1DUST|2FEWX|3RCR|4VULN|5AART|6CDMG|7DMG|8BEXP|9AAC|aBASARM
65	22362 71328	   	189.49	ACR|1BASARM|2BEXP|1CDMG|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6ERES|7DUR|9BASARM|aCDMG
66	22362 76324	   	189.49	ACR|1BASARM|2BEXP|1AART|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6ERES|7FEWX|9BASARM|aAART
67	22362 84124	   	189.49	ACR|1BASARM|2BEXP|1AART|1AAC	16DUST|2AAC|3RCR|46BEXP|5MBVNT|6BPWR|7TLV|8DUR|9BASARM|aAART
68	22362 84128	   	189.49	ACR|1BASARM|2BEXP|1CDMG|1AAC	16DUST|2AAC|3RCR|46BEXP|5MBVNT|6BPWR|7TLV|8DUR|9BASARM|aCDMG
69	22362 71822	   	188.91	ACR|1BASARM|1ASPD|2AAC|1BEXP	1DUST|28AAC|3RCR|4BEXP|5MBVNT|6ERES|7DUR|9BASARM|aASPD
70	22365 22622	   	188.91	ACR|1BASARM|1ASPD|2AAC|1BEXP	18DUST|27AAC|3RCR|4BEXP|5CGEN|6MDPS|9BASARM|aASPD
71	22363 22622	   	188.81	ACR|1BASARM|1ASPD|2AAC|1BEXP	18DUST|27AAC|3RCR|4BEXP|5AME|6MDPS|9BASARM|aASPD
72	32342 34325	 * 	188.50	ACR|4VULN|2DMG|1AART|1AAC	1aFEWX|2AAC|3MSLFST|4RCR|579aVULN|6aDMG|8AART|aBPWR
73	22312 66612	   	188.20	ACR|1BASARM|1ASPD|1CDMG|1AAC	1DUST|2AAC|3RCR|4MLV|5CDMG|6LWND|7ASPD|8VULN|9RPLT|aBASARM
74	22355 35313	   	188.20	ACR|1BASARM|1DMG|1CDMG|1AAC	1DUST|2AAC|3RCR|4RCVC|5RPLT|6VULN|7BASARM|8CDMG|9DUR|aDMG
75	22312 15152	   	188.20	ACR|1BASARM|1ASPD|1CDMG|1AAC	1DUST|2AAC|3RCR|4MLV|5CDMG|6VULN|7LWND|8RPLT|9ASPD|aBASARM
76	22312 41252	   	188.20	ACR|1BASARM|1ASPD|1CDMG|1AAC	1DUST|2AAC|3RCR|4MLV|5CDMG|6RPLT|7VULN|8DUR|9ASPD|aBASARM
77	22342 15152	   	188.20	ACR|1BASARM|1ASPD|1CDMG|1AAC	1DUST|2AAC|3RCR|4CGEN|5CDMG|6VULN|7DUR|8RPLT|9ASPD|aBASARM
78	22342 41252	   	188.20	ACR|1BASARM|1ASPD|1CDMG|1AAC	1DUST|2AAC|3RCR|4CGEN|5CDMG|6RPLT|7VULN|8DUR|9ASPD|aBASARM
79	22335 35313	   	188.10	ACR|1BASARM|1DMG|1CDMG|1AAC	1DUST|2AAC|3RCR|4AEFBLL|5RPLT|6VULN|7BASARM|8CDMG|9DUR|aDMG
80	22335 35343	   	188.10	ACR|1BASARM|1DMG|1CDMG|1AAC	1DUST|2AAC|3RCR|4AEFBLL|5RPLT|6VULN|7BASARM|8CDMG|9LWND|aDMG
81	22355 61312	   	188.10	ACR|1BASARM|1DMG|1AART|1AAC	1DUST|2AAC|3RCR|4RCVC|5RPLT|6AART|7AEMAG|8DMG|9VULN|aBASARM
82	22355 63312	   	188.10	ACR|1BASARM|1DMG|1AART|1AAC	17DUST|2AAC|3RCR|4RCVC|5RPLT|6AART|8DMG|9VULN|aBASARM
83	22332 16266	 * 	188.06	ACR|2ASPD|2DMG|1CDMG|1AAC	1DUST|2AAC|3RCR|4aAEFBLL|5CGEN|6CDMG|7aASPD|8MLV|9aDMG|aBPWR
84	22335 35162	   	188.00	ACR|1BASARM|1ASPD|1BEXP|1AAC	1DUST|2AAC|3RCR|4AEFBLL|5RPLT|6VULN|7BASARM|8MDPS|9BEXP|aASPD
85	22335 61312	   	188.00	ACR|1BASARM|1DMG|1AART|1AAC	1DUST|2AAC|3RCR|4AEFBLL|5RPLT|6AART|7AEMAG|8DMG|9VULN|aBASARM
86	22335 63312	   	188.00	ACR|1BASARM|1DMG|1AART|1AAC	17DUST|2AAC|3RCR|4AEFBLL|5RPLT|6AART|8DMG|9VULN|aBASARM
87	25622 84322	   	188.00	ACR|1BASARM|1ASPD|1CDMG|1AAC	1DUST|2FEWX|3RCR|4VULN|5MBVNT|6DLOT|7CDMG|8ASPD|9AAC|aBASARM
88	22335 64133	   	187.96	ACR|2ASPD|2DMG|1AART|1AAC	1aDUST|2AAC|3RCR|4AEFBLL|5RPLT|6AART|7MDPS|8aASPD|9aDMG|aBPWR
89	22362 54412	   	187.90	ACR|1BASARM|1ASPD|1BEXP|1AAC	1DUST|2AAC|3RCR|4BEXP|5MBVNT|6NUKE|7ASPD|8VULN|9ERES|aBASARM
90	22362 54482	   	187.90	ACR|1BASARM|1ASPD|1BEXP|1AAC	1DUST|2AAC|3RCR|4BEXP|5MBVNT|6NUKE|7ASPD|8VULN|9TLV|aBASARM
91	25636 33323	   	187.69	ACR|1BASARM|2BEXP|1ASPD	1DUST|2FEWX|3RCR|4ERES|58BEXP|6aDUR|7ASPD|9BASARM
92	25636 33321	   	187.59	ACR|1BASARM|2BEXP|1ASPD	1DUST|2FEWX|3RCR|4ERES|58BEXP|6DUR|7ASPD|9BASARM|aLEGI
93	22313 62251	 * 	187.38	ACR|1BASARM|1DMG|1BASICY|1AAC	158DUST|2AAC|3RCR|4MLV|6BASICY|7AME|9DMG|aBASARM
94	22313 62261	 * 	187.38	ACR|1BASARM|1ASPD|1BASICY|1AAC	158DUST|2AAC|3RCR|4MLV|6BASICY|7AME|9ASPD|aBASARM
95	22362 13328	   	187.20	ACR|1BASARM|3BEXP|1AAC	1DUST|2AAC|3RCR|48aBEXP|5MBVNT|6MLV|7LHND|9BASARM
96	22362 83132	   	187.10	ACR|1BASARM|3BEXP|1AAC	167DUST|2AAC|3RCR|467BEXP|5MBVNT|67BPWR|8MDPS|9BASARM|aLWND
97	22362 83133	   	187.10	ACR|1BASARM|3BEXP|1AAC	167DUST|2AAC|3RCR|467BEXP|5MBVNT|67BPWR|8MDPS|9BASARM|aRCVC
98	22362 83136	   	187.10	ACR|1BASARM|3BEXP|1AAC	167DUST|2AAC|3RCR|467BEXP|5MBVNT|67BPWR|8MDPS|9BASARM|aRMIN
99	22362 83137	   	187.10	ACR|1BASARM|3BEXP|1AAC	167DUST|2AAC|3RCR|467BEXP|5MBVNT|67BPWR|8MDPS|9BASARM|aZMB
100	22362 23328	   	187.10	ACR|1BASARM|3BEXP|1AAC	1DUST|2AAC|3RCR|48aBEXP|5MBVNT|6TLV|7LHND|9BASARM
101	22362 42328	   	187.10	ACR|1BASARM|3BEXP|1AAC	1DUST|2AAC|3RCR|48aBEXP|5MBVNT|6LHND|7TLV|9BASARM
102	22362 44328	   	187.10	ACR|1BASARM|3BEXP|1AAC	1DUST|2AAC|3RCR|48aBEXP|5MBVNT|6LHND|7ERES|9BASARM
103	22362 73328	   	187.10	ACR|1BASARM|3BEXP|1AAC	1DUST|2AAC|3RCR|48aBEXP|5MBVNT|6ERES|7LHND|9BASARM
104	32342 11563	   	187.04	ACR|1BASARM|2ASPD|1AAC	1FEWX|2AAC|3MSLFST|4RCR|5VULN|6DUR|78ASPD|9SNITOX|aBASARM
