0	Index      	 *	Score 	Summary	Detail	
1	14515 23131	 * 	226.25	紫3攻速2伤害1易伤2暴击	1立即金币27暴击3核4低血量敌人578攻速67伤害7序列升级9双倍矿a易伤
107	14364 23121	   	199.08	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击38攻速4核57最后敌人67伤害7序列升级9基地爆炸a等级
108	14364 23123	   	199.08	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击38攻速4核57最后敌人67伤害7序列升级9基地爆炸a掉矿
109	14366 23121	   	199.08	紫2攻速2伤害2暴击1基地爆炸	1立即金币27暴击38攻速4核57敌人爆炸67伤害7序列升级9基地爆炸a等级
110	14515 23211	   	199.05	紫2攻速2伤害2暴击1技能	1a立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级8磁铁减费9技能
111	14525 23211	   	199.05	紫2攻速2伤害2暴击1技能	1a立即金币27暴击3核4时间57攻速67伤害7序列升级8磁铁减费9技能
112	14361 23224	   	199.03	紫2伤害1攻速2暴击1易伤1基地爆炸	1立即金币27暴击3攻速4核57低血量敌人67伤害7序列升级8磁铁减费9基地爆炸a易伤
113	14525 23212	   	198.74	紫2攻速2伤害2暴击1技能	1立即金币27暴击3核4时间57攻速67伤害7序列升级8磁铁减费9技能a低血量敌人
114	14515 23212	   	198.64	紫2攻速2伤害2暴击1技能	1立即金币27暴击3核4低血量敌人57攻速67伤害7序列升级8磁铁减费9技能a挖青
115	14525 23213	   	198.64	紫2攻速2伤害2暴击1技能	1立即金币27暴击3核4时间57攻速67伤害7序列升级8磁铁减费9技能a狙击对黄
116	32163 23643	   	198.54	紫2攻速2伤害2基地爆炸1暴击	19时间2雷电39攻速4暴击5核6a基地爆炸79伤害8双倍矿9序列升级
117	14361 23325	   	197.57	紫2伤害2基地爆炸1攻速2暴击	18立即金币27暴击3攻速4核57低血量敌人67伤害7序列升级9a基地爆炸
118	14513 43323	   	197.28	紫1基础对甲1攻速1基础对冰1暴击	1立即金币2暴击3核45低血量敌人6基础对冰7a时间8攻速9基础对甲
119	22562 22412	 * 	197.22	紫2伤害1易伤2全技能1攻速1基地爆炸	16低血量敌人29伤害3攻速48全技能5核7易伤a基地爆炸
120	14513 43322	   	197.18	紫1基础对甲1攻速1基础对冰1暴击	1立即金币2暴击3核45低血量敌人6基础对冰7时间8攻速9基础对甲a加一
121	22562 24223	   	197.16	紫2攻速2伤害1易伤1全技能1技能	1678低血量敌人27伤害37攻速4全技能5核7序列升级9易伤a技能
122	22562 12412	   	197.12	紫2伤害1易伤2全技能1攻速1基地爆炸	1低血量敌人29伤害3攻速48全技能5核6火球减费7易伤a基地爆炸
123	14533 62332	 * 	196.45	紫2易伤2基地爆炸3暴击1全技能	1立即金币26a暴击3核4随机矿5全技能7a易伤8a基地爆炸9双倍物品a序列升级
124	14361 23225	   	196.33	紫2伤害2基地爆炸2暴击1攻速	1立即金币27暴击3攻速4核57低血量敌人67伤害7序列升级8磁铁减费9a基地爆炸
