0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42222 42313	4	 * 	309.09	橙5易伤3时间2伤害	13478易伤23金币生成37序列升级57伤害679时间a核
54	61224 51221	9	   	281.40	橙4易伤2伤害2等级1时间	13伤害2346易伤3序列升级5掉矿7a等级8核9时间
55	61221 31535	6	   	281.11	橙4易伤3伤害2暴击	137伤害234a易伤3a序列升级5a最后敌人6a暴击8双倍矿9核
56	61221 34336	8	   	281.11	橙4易伤3伤害2暴击	138伤害234a易伤38序列升级58最后敌人68暴击7立即金币9核
57	61223 31535	6	   	281.11	橙4易伤3伤害2暴击	137伤害234a易伤3a序列升级5a低血量敌人6a暴击8双倍矿9核
58	61223 42632	8	   	281.11	橙4易伤3伤害2暴击	137伤害2347易伤37序列升级567低血量敌人8a暴击9核
59	61222 62335	5	   	281.11	橙4易伤3伤害2等级	13a伤害234a易伤3a序列升级5平台6基地爆炸7策反8a等级9核
60	61222 32642	7	   	281.01	橙4易伤3伤害2暴击	136伤害2346易伤36序列升级5平台78暴击9核a敌人爆炸
61	61222 22643	7	   	280.91	橙4易伤3伤害2暴击	136伤害234a易伤3序列升级5平台78暴击9核
62	61222 32641	7	   	280.91	橙4易伤3伤害2暴击	136伤害2346易伤36序列升级5平台78暴击9核a挖尘
63	61212 61433	10	   	280.85	橙4易伤2伤害1时间1攻速	13伤害2378易伤3序列升级4攻速5敌人爆炸6雷电9时间a核
64	61221 23225	10	   	280.74	橙3易伤2伤害2时间1等级1攻速	13伤害234易伤3序列升级5最后敌人69时间7攻速8等级a核
65	61226 12612	3	   	280.66	橙3易伤3伤害3暴击1等级	138伤害238易伤38序列升级4赏金塔578暴击6双倍矿9等级a核
66	61223 42633	7	   	280.58	橙5易伤3伤害	137伤害2347a易伤37序列升级567低血量敌人8核9赏金邻近
67	61222 12436	8	   	280.58	橙5易伤3伤害	13a伤害2346a易伤3a序列升级5平台7加一8a低血量敌人9核
68	61222 31126	10	   	280.58	橙5易伤3伤害	136伤害23467易伤36序列升级5平台8敌人爆炸9随机矿a核
69	61222 31226	10	   	280.58	橙5易伤3伤害	136伤害23467易伤36序列升级5平台8低血量敌人9随机矿a核
70	61222 31416	10	   	280.58	橙5易伤3伤害	136伤害23467易伤36序列升级5平台8金币生成9基地爆炸a核
71	61222 31426	10	   	280.58	橙5易伤3伤害	136伤害23467易伤36序列升级5平台8金币生成9最后敌人a核
72	61222 32123	6	   	280.58	橙5易伤3伤害	136伤害23469易伤36序列升级57平台8核a最后敌人
73	61222 32126	6	   	280.58	橙5易伤3伤害	136伤害23469易伤36序列升级57平台8核a随机矿
74	61222 36123	7	   	280.58	橙5易伤3伤害	136伤害23469易伤36序列升级5平台7立即金币8核a最后敌人
75	61222 36126	7	   	280.58	橙5易伤3伤害	136伤害23469易伤36序列升级5平台7立即金币8核a随机矿
76	61223 16336	8	   	280.58	橙5易伤3伤害	13a伤害2347a易伤3a序列升级5a低血量敌人6加一8平台9核
77	61236 16231	4	   	280.58	橙5易伤3伤害	137伤害2379a易伤37序列升级4随机矿5赏金邻近67敌人爆炸8核
78	61222 11123	6	   	280.48	橙5易伤3伤害	137伤害23469易伤3序列升级5平台8核a最后敌人
79	61222 11126	6	   	280.48	橙5易伤3伤害	137伤害23469易伤3序列升级5平台8核a随机矿
80	61222 21123	7	   	280.48	橙5易伤3伤害	136伤害23479易伤3序列升级5平台8核a最后敌人
81	61222 21126	7	   	280.48	橙5易伤3伤害	136伤害23479易伤3序列升级5平台8核a随机矿
82	61222 31166	10	   	280.48	橙5易伤3伤害	136伤害23467易伤36序列升级5平台8敌人爆炸9掉矿a核
83	61222 31316	10	   	280.48	橙5易伤3伤害	136伤害23467易伤36序列升级5平台8掉矿9基地爆炸a核
84	61222 31326	10	   	280.48	橙5易伤3伤害	136伤害23467易伤36序列升级5平台8掉矿9最后敌人a核
85	61222 32121	6	   	280.48	橙5易伤3伤害	136伤害23469易伤36序列升级57平台8核a掉矿
86	61222 32122	6	   	280.48	橙5易伤3伤害	136伤害23469易伤36序列升级57平台8核a挖尘
87	61222 36121	7	   	280.48	橙5易伤3伤害	136伤害23469易伤36序列升级5平台7立即金币8核a掉矿
88	61222 36122	7	   	280.48	橙5易伤3伤害	136伤害23469易伤36序列升级5平台7立即金币8核a挖尘
89	35221 34141	3	   	280.46	橙3易伤3时间2伤害1暴击	15平台27伤害347时间67a易伤7序列升级8暴击9核
90	35223 34141	3	   	280.46	橙3易伤3时间2伤害1暴击	1平台27伤害347时间5立即金币67a易伤7序列升级8暴击9核
91	63221 34141	3	   	280.46	橙3易伤3时间2伤害1暴击	17伤害25平台347时间67a易伤7序列升级8暴击9核
92	63223 34141	3	   	280.46	橙3易伤3时间2伤害1暴击	17伤害2平台347时间5立即金币67a易伤7序列升级8暴击9核
93	61222 11121	6	   	280.38	橙5易伤3伤害	137伤害23469易伤3序列升级5平台8核a掉矿
94	61222 11122	6	   	280.38	橙5易伤3伤害	137伤害23469易伤3序列升级5平台8核a挖尘
95	61222 21121	7	   	280.38	橙5易伤3伤害	136伤害23479易伤3序列升级5平台8核a掉矿
96	61222 21122	7	   	280.38	橙5易伤3伤害	136伤害23479易伤3序列升级5平台8核a挖尘
97	61222 12336	8	   	280.38	橙5易伤3伤害	13a伤害2346a易伤3a序列升级5平台7加一8挖青9核
98	61222 34152	9	   	280.35	橙4易伤3伤害1攻速	136伤害2346易伤36序列升级5平台7攻速8最后敌人9雷电a核
99	61222 34332	9	   	280.35	橙4易伤3伤害1攻速	136伤害2346易伤36序列升级5平台7攻速8敌人爆炸9雷电a核
100	61222 33162	6	   	280.34	橙5易伤3伤害1卖塔	136伤害23469易伤36序列升级5平台7卖塔8基地爆炸a核
101	61222 32124	6	   	280.34	橙5易伤3伤害1卖塔	136伤害23469易伤36序列升级57平台8核a卖塔
102	61222 36124	7	   	280.34	橙5易伤3伤害1卖塔	136伤害23469易伤36序列升级5平台7立即金币8核a卖塔
103	61222 11124	6	   	280.24	橙5易伤3伤害1卖塔	137伤害23469易伤3序列升级5平台8核a卖塔
104	61222 21124	7	   	280.24	橙5易伤3伤害1卖塔	136伤害23479易伤3序列升级5平台8核a卖塔
105	61222 33462	6	   	280.24	橙5易伤3伤害1卖塔	136伤害23469易伤36序列升级5平台7卖塔8挖尘a核
106	61216 15123	8	   	279.21	橙3易伤3伤害1时间1暴击1攻速	136伤害237易伤3序列升级4攻速5双倍矿8时间9核a暴击
107	61222 22416	9	   	279.21	橙3易伤3伤害1等级1暴击1攻速	136伤害234易伤3序列升级5平台7暴击8攻速9等级a核
108	44152 21123	3	   	279.11	橙3易伤3伤害1等级1暴击1攻速	19a易伤2暴击3等级467伤害5攻速8核
