0	Index      	 *	Score 	Summary	Detail	
1	12422 23166	 * 	277.94	DCR|3VULN|2DMG|2MLV|1CDMG|1AART	159VULN|2CDMG|3AART|4AAC|69MLV|7MDPS|89DMG|9BPWR|aRCR
38	12115 36812	   	261.98	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6RCVC|78RCR|aSNITOX
39	12115 36831	   	261.98	DCR|DCR|2VULN|1CDMG	1aVULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6RCVC|78RCR|9DUST
40	12117 16811	   	261.98	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5BASICY|6DMSP|78RCR|aERES
41	12117 16812	   	261.98	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5BASICY|6DMSP|78RCR|aSNITOX
42	12117 16831	   	261.98	DCR|DCR|2VULN|1CDMG	1aVULN|2CDMG|3FEWX|4MBVNT|5BASICY|6DMSP|78RCR|9DUST
43	12117 36811	   	261.98	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5BASICY|6RCVC|78RCR|aERES
44	12117 36812	   	261.98	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5BASICY|6RCVC|78RCR|aSNITOX
45	12117 36831	   	261.98	DCR|DCR|2VULN|1CDMG	1aVULN|2CDMG|3FEWX|4MBVNT|5BASICY|6RCVC|78RCR|9DUST
46	12543 16811	   	261.98	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3MBVNT|4FLTARM|5DUST|6DMSP|78RCR|aERES
47	12543 16812	   	261.98	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3MBVNT|4FLTARM|5DUST|6DMSP|78RCR|aSNITOX
48	12543 36811	   	261.98	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3MBVNT|4FLTARM|5DUST|6RCVC|78RCR|aERES
49	12543 36812	   	261.98	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3MBVNT|4FLTARM|5DUST|6RCVC|78RCR|aSNITOX
50	12543 46813	   	261.98	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3MBVNT|4FLTARM|56DUST|78RCR|aRMIN
51	12543 46822	   	261.98	DCR|DCR|2VULN|1CDMG	1aVULN|2CDMG|3MBVNT|4FLTARM|56DUST|78RCR|9FRZARM
52	12152 52114	   	261.93	DCR|DCR|2VULN|1CDMG|1ZMB	14VULN|2CDMG|3FEWX|5BBNT|6aRCR|7DUST|8BELT|9ZMB
53	12543 46811	   	261.88	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3MBVNT|4FLTARM|56DUST|78RCR|aERES
54	12543 46812	   	261.88	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3MBVNT|4FLTARM|56DUST|78RCR|aSNITOX
55	16313 36611	 * 	261.76	DCR|3VULN|3DMG|2DUR|1RPLT	129VULN|3BEXP|4BBNT|569DMG|7RCR|89DUR|9BPWR|aRPLT
56	55124 13246	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1BBNT|2MLV|3VULN|4MBVNT|5CGEN|69RCR|7RPLT|8TBNT|aASPD
57	12422 36512	 * 	260.91	DCR|4VULN|1DMG|1ASPD|1CDMG|1AART	158aVULN|2CDMG|3AART|4AAC|6DMG|7ASPD|9RCR
58	12242 53411	   	260.04	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2CDMG|3DUR|456AAC|7MLV|8aRCR|9BEXP
59	12242 53431	   	260.04	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2CDMG|3DUR|456AAC|7MLV|8aRCR|9LWND
60	12514 73244	   	259.56	DCR|3VULN|2DMG|2DUR|1CDMG|1RPLT	168VULN|2CDMG|3MBVNT|4RPLT|58DUR|78DMG|8BPWR|9MSLREG|aRCR
61	12254 31231	 * 	258.61	DCR|3VULN|2ASPD|1DMG|2DUR|1CDMG	14aVULN|2CDMG|3aDUR|5DMG|6RMIN|7LWND|8aASPD|9RCR|aBPWR
62	12253 52231	 * 	258.60	DCR|4VULN|2ASPD|2DUR|1CDMG	147aVULN|2CDMG|3aDUR|5LWND|6DUST|8aASPD|9RCR|aBPWR
63	31218 47316	   	258.38	DCR|DCR|1VULN|1DMG|1RPLT	1LEGI|2RPLT|3DUR|4MBVNT|5LIT|6aRCR|7FLTARM|8VULN|9DMG
64	53135 23621	   	258.28	DCR|DCR|1VULN|1DMG|1RPLT	1BBNT|2DMG|3VULN|4DUST|5MDPS|6aRCR|7AELOIC|8RPLT|9DUR
65	55124 12461	   	257.80	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1BBNT|2MLV|3VULN|4MBVNT|5CGEN|6aRCR|7TBNT|8SELL|9DMG
66	16313 36613	 * 	257.11	DCR|3VULN|3DMG|3DUR	129VULN|3BEXP|4BBNT|569DMG|7RCR|89aDUR|9BPWR
67	31216 34137	   	255.75	DCR|DCR|1VULN|1MLV|1RPLT	1LEGI|2RPLT|3DUR|4MBVNT|5DUST|6CGEN|78RCR|9VULN|aMLV
68	16313 42532	   	255.13	DCR|4VULN|1DMG|1MLV|1CDMG	1278VULN|3BEXP|4BBNT|5DMG|6CDMG|9MLV|aRCR
69	12553 14348	 * 	255.13	ACR|DCR|2VULN|1ASPD|1CDMG	17VULN|2CDMG|3MBVNT|4aRCR|5ERES|6LHND|8ASPD|9DUR
70	53125 47111	   	254.16	DCR|DCR|1VULN|1DMG|1CDMG	1BBNT|2DMG|3VULN|4MBVNT|5RCVC|6aRCR|7TBNT|8CDMG|9FEWX
71	53124 14731	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1BBNT|2DMG|3VULN|4MBVNT|5CGEN|6aRCR|7SPLREG|8BELT|9ASPD
72	53124 16731	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1BBNT|2DMG|3VULN|4MBVNT|5CGEN|6aRCR|7LSRREG|8BELT|9ASPD
73	53125 41461	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1BBNT|2DMG|3VULN|4MBVNT|5RCVC|6aRCR|7CDMG|8DUST|9TBNT
74	12115 16823	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6DMSP|78RCR|9FRZARM|aDMG
75	12115 36823	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6RCVC|78RCR|9FRZARM|aDMG
76	12117 16823	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2CDMG|3FEWX|4MBVNT|5BASICY|6DMSP|78RCR|9FRZARM|aDMG
77	12117 36823	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2CDMG|3FEWX|4MBVNT|5BASICY|6RCVC|78RCR|9FRZARM|aDMG
78	12543 16823	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2CDMG|3MBVNT|4FLTARM|5DUST|6DMSP|78RCR|9FRZARM|aDMG
79	12543 36823	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2CDMG|3MBVNT|4FLTARM|5DUST|6RCVC|78RCR|9FRZARM|aDMG
80	53123 14731	   	253.96	DCR|DCR|1VULN|1DMG|1ASPD	1BBNT|2DMG|3VULN|4MBVNT|5AME|6aRCR|7SPLREG|8BELT|9ASPD
81	53123 16731	   	253.96	DCR|DCR|1VULN|1DMG|1ASPD	1BBNT|2DMG|3VULN|4MBVNT|5AME|6aRCR|7LSRREG|8BELT|9ASPD
82	53127 14731	   	253.96	DCR|DCR|1VULN|1DMG|1ASPD	1BBNT|2DMG|3VULN|4MBVNT|5ERES|6aRCR|7SPLREG|8BELT|9ASPD
83	12543 46823	   	253.96	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2CDMG|3MBVNT|4FLTARM|56DUST|78RCR|9FRZARM|aDMG
84	53122 22261	   	253.96	DCR|DCR|1VULN|1DMG|1CDMG	1BBNT|2DMG|3VULN|4MBVNT|5DUST|6FEWX|7aRCR|8CDMG|9MDPS
85	12543 16842	   	253.82	DCR|DCR|1VULN|1DMG|1CDMG|1SELL	1VULN|2CDMG|3MBVNT|4FLTARM|5DUST|6DMSP|78RCR|9SELL|aDMG
86	12543 36842	   	253.82	DCR|DCR|1VULN|1DMG|1CDMG|1SELL	1VULN|2CDMG|3MBVNT|4FLTARM|5DUST|6RCVC|78RCR|9SELL|aDMG
87	12543 46842	   	253.72	DCR|DCR|1VULN|1DMG|1CDMG|1SELL	1VULN|2CDMG|3MBVNT|4FLTARM|56DUST|78RCR|9SELL|aDMG
88	12343 52321	 * 	252.36	DCR|4VULN|2CDMG|2DUR|3ZMB	157aVULN|2aCDMG|349ZMB|6aDUR|8RCR|aBPWR
89	16531 22231	   	252.15	DCR|4VULN|2ASPD|1CDMG	127aVULN|3FEWX|4aBEXP|5DUR|6CDMG|8aASPD|9RCR|aBPWR
90	16633 22231	   	252.15	DCR|4VULN|2ASPD|1CDMG	127aVULN|3DUR|4aBEXP|5LHND|6CDMG|8aASPD|9RCR|aBPWR
91	12154 36231	   	252.06	DCR|3VULN|2ASPD|1DMG|1CDMG	14aVULN|2CDMG|3aFEWX|5DMG|6RMIN|7DUR|8aASPD|9RCR|aBPWR
92	16313 36612	   	252.00	DCR|3VULN|3DMG|2DUR|1ZMB	129VULN|3BEXP|4BBNT|569DMG|7RCR|89DUR|9BPWR|aZMB
93	31216 34133	   	251.87	DCR|DCR|1VULN|1ASPD|1RPLT	1LEGI|2RPLT|3DUR|4MBVNT|5DUST|6CGEN|78RCR|9VULN|aASPD
94	12142 53411	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2CDMG|3FEWX|456AAC|7MLV|8aRCR|9BEXP
95	12142 53431	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2CDMG|3FEWX|456AAC|7MLV|8aRCR|9LWND
96	22164 22531	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2CDMG|3FEWX|4LWND|5MLV|6CGEN|7VULN|8BELT|9aRCR
97	22164 32531	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	1BEXP|2CDMG|3FEWX|4LWND|5MLV|6TLV|7VULN|8BELT|9aRCR
98	12213 38388	   	251.72	DCR|DCR|1VULN|1CDMG|1AART|1ZMB	1VULN|2CDMG|3DUR|4MBVNT|5AART|6CGEN|7VENICY|8ZMB|9aRCR
99	12531 12388	   	251.72	DCR|DCR|1VULN|1CDMG|1AART|1ZMB	1VULN|2CDMG|3MBVNT|4CGEN|5AART|6SPLREG|7DUR|8ZMB|9aRCR
100	12531 32388	   	251.72	DCR|DCR|1VULN|1CDMG|1AART|1ZMB	1VULN|2CDMG|3MBVNT|4CGEN|5AART|6BLASTR|7DUR|8ZMB|9aRCR
101	32241 53131	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2LHND|3VULN|4CDMG|5TLV|6FEWX|7MLV|8BELT|9aRCR
102	32243 53131	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2LHND|3VULN|4CDMG|5CGEN|6FEWX|7MLV|8BELT|9aRCR
103	55121 18221	   	251.53	DCR|DCR|1VULN|1MLV|1ASPD	1BBNT|2MLV|3VULN|4MBVNT|5ASPD|6aRCR|7AAC|8BELT|9BLASTR
104	32163 63331	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2LHND|3BELT|4VULN|5CDMG|6AME|7MLV|8FEWX|9aRCR
105	32644 22131	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2LHND|3DUST|4CDMG|5MLV|6CGEN|7VULN|8BELT|9aRCR
106	32644 32131	   	251.53	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2LHND|3DUST|4CDMG|5MLV|6TLV|7VULN|8BELT|9aRCR
107	32163 63131	   	251.43	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2LHND|3BELT|4VULN|5CDMG|6AME|7MLV|8DUST|9aRCR
108	12115 16832	   	251.43	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6DMSP|78RCR|9DUST|aMLV
109	12115 36832	   	251.43	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6RCVC|78RCR|9DUST|aMLV
110	12117 16832	   	251.43	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2CDMG|3FEWX|4MBVNT|5BASICY|6DMSP|78RCR|9DUST|aMLV
111	12117 36832	   	251.43	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2CDMG|3FEWX|4MBVNT|5BASICY|6RCVC|78RCR|9DUST|aMLV
112	32646 33131	   	251.43	DCR|DCR|1VULN|1MLV|1CDMG	1LEGI|2LHND|3DUST|4CDMG|5VULN|6AME|7MLV|8BELT|9aRCR
113	12253 31625	 * 	251.29	DCR|3VULN|2MLV|3CDMG	14aVULN|27aCDMG|3DUR|5LWND|6aMLV|8MDPS|9RCR|aBPWR
114	12251 31625	   	251.19	DCR|3VULN|2MLV|3CDMG	14aVULN|27aCDMG|3DUR|5DUST|6aMLV|8MDPS|9RCR|aBPWR
115	12422 33266	 * 	251.11	DCR|3VULN|2DMG|2CDMG|1AART	159VULN|29CDMG|3AART|4AAC|69DMG|7MDPS|8RMIN|9BPWR|aRCR
116	12422 33166	   	251.01	DCR|3VULN|2DMG|2CDMG|1AART	159VULN|29CDMG|3AART|4AAC|69DMG|7MDPS|8NUKE|9BPWR|aRCR
117	56611 23321	   	250.27	DCR|DCR|1VULN|1DMG|1RPLT	1BBNT|2RPLT|3VULN|4TBNT|56CGEN|7DMG|8TLV|9aRCR
118	53124 13248	   	250.17	DCR|DCR|1VULN|1DMG|1RPLT	1BBNT|2DMG|3VULN|4MBVNT|5CGEN|6aRCR|7RPLT|8TBNT|9LHND
119	53123 13248	   	250.07	DCR|DCR|1VULN|1DMG|1RPLT	1BBNT|2DMG|3VULN|4MBVNT|5AME|6aRCR|7RPLT|8TBNT|9LHND
120	53127 13248	   	250.07	DCR|DCR|1VULN|1DMG|1RPLT	1BBNT|2DMG|3VULN|4MBVNT|5ERES|6aRCR|7RPLT|8TBNT|9LHND
121	53123 13488	   	249.97	DCR|DCR|1VULN|1DMG|1RPLT	1BBNT|2DMG|3VULN|4MBVNT|5AME|6aRCR|7RPLT|8LEGI|9TBNT
122	16613 42232	   	249.84	DCR|3VULN|1DMG|1MLV|2DUR|1CDMG	127VULN|38DUR|4BBNT|5DMG|6CDMG|9MLV|aRCR
123	53351 14322	 * 	249.45	DCR|DCR|2DMG|2ASPD	1BBNT|28DMG|3DUST|478BEXP|58ASPD|6aRCR|8BPWR|9TBNT
124	12132 56521	   	248.79	DCR|3VULN|2DMG|1ASPD|1CDMG	19aVULN|2CDMG|3aFEWX|4ASPD|5AAC|6DUST|7RCR|8aDMG|aBPWR
125	12512 53371	   	248.51	DCR|DCR|1VULN|2RPLT|1CDMG|1SELL	1VULN|2CDMG|3MBVNT|49RPLT|5MDPS|6SELL|7ERES|8aRCR
126	61261 15231	   	248.08	DCR|DCR|2VULN|1ZMB	1AELOIC|2ERES|35VULN|4ZMB|6RCVC|7aRCR|8SPLARM|9TBNT
127	16322 52114	   	248.04	DCR|DCR|2VULN|1SELL|1ZMB	12VULN|3BEXP|4SELL|5BBNT|6aRCR|7DUST|8BELT|9ZMB
