0	Index      	 *	Score 	Summary	Detail	
1	13261 22251	 * 	280.33	ACR|DCR|3DMG|1VULN|2ASPD|1RPLT|2ZMB	1RPLT|29ZMB|3MBVNT|49ASPD|56RCR|789DMG|9BPWR|aVULN
37	13221 22242	 * 	252.40	ACR|DCR|3VULN|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4AAC|56RCR|79aVULN|8FRZFST
38	13221 22423	 * 	252.40	ACR|DCR|3VULN|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4AAC|56RCR|79aVULN|8AELOIC
39	14622 63323	   	252.35	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT	1RPLT|2MBVNT|37RCR|4DMG|5MDPS|6ASPD|8MLV|9BBNT|aVULN
40	14622 63333	   	252.35	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT	1RPLT|2MBVNT|37RCR|4DMG|5MDPS|6ASPD|8MLV|9TBNT|aVULN
41	13261 22281	   	252.26	ACR|DCR|2DMG|1VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|78DMG|9VULN|aFEWX
42	13261 22282	   	252.26	ACR|DCR|2DMG|1VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|78DMG|9VULN|aCGEN
43	13261 22283	   	252.26	ACR|DCR|2DMG|1VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|78DMG|9VULN|aRCVC
44	13261 22284	   	252.26	ACR|DCR|2DMG|1VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|78DMG|9VULN|aBBNT
45	13261 22718	   	252.21	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DMG|8MLV|9RMIN|aVULN
46	13261 22721	   	252.21	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DMG|8MLV|9VULN|aBEXP
47	13261 22723	   	252.21	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DMG|8MLV|9VULN|aFLTHEA
48	13261 22724	   	252.21	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DMG|8MLV|9VULN|aCGEN
49	13261 22726	   	252.21	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DMG|8MLV|9VULN|aFEWX
50	13261 22728	   	252.21	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DMG|8MLV|9VULN|aLWND
51	13261 22748	   	252.21	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DMG|8MLV|9FEWX|aVULN
52	13261 22261	   	252.16	ACR|DCR|2DMG|1VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|78DMG|9MDPS|aVULN
53	13261 22272	   	252.16	ACR|DCR|2DMG|1VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|78DMG|9LSRREG|aVULN
54	13261 22285	   	252.16	ACR|DCR|2DMG|1VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|78DMG|9VULN|aBASARM
55	13261 22286	   	252.16	ACR|DCR|2DMG|1VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|78DMG|9VULN|aAME
56	13261 22287	   	252.16	ACR|DCR|2DMG|1VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|78DMG|9VULN|aVENTOX
57	13261 22288	   	252.16	ACR|DCR|2DMG|1VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|78DMG|9VULN|aAELOIC
58	13261 22722	   	252.11	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT|1ZMB|1MSE	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DMG|8MLV|9VULN|aMSE
59	13261 22725	   	252.11	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DMG|8MLV|9VULN|aMDPS
60	14371 36243	 * 	252.01	ACR|DCR|2VULN|1MLV|2RPLT	17RPLT|2MBVNT|3MLV|49RCR|5BELT|6LIT|8aVULN
61	33535 22223	   	251.53	DCR|DCR|1VULN|1MLV|1ASPD	1BBNT|2VULN|3NUKE|4CGEN|5DUST|69RCR|7LIT|8MLV|aASPD
62	23261 15221	 * 	251.09	DCR|4VULN|3MLV	12RMIN|367ERES|479aVULN|579MLV|79BPWR|8RCR
63	13261 24473	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7LWND|8aVULN|9DUR
64	13261 26473	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7FEWX|8aVULN|9DUR
65	13261 27423	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DUR|8aVULN|9LHND
66	13261 27432	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DUR|8aVULN|9LIT
67	13261 27612	   	251.00	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DUR|8LIT|9aVULN
68	13261 27413	   	250.90	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DUR|8aVULN|9DUST
69	13261 28443	   	250.90	ACR|DCR|2VULN|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DUST|8aVULN|9DUR
70	25332 26115	   	250.88	DCR|DCR|2DMG|1AART|1RPLT	1RMIN|23DMG|4AAC|5RPLT|6aRCR|7CGEN|8AART|9DUR
71	25332 23115	   	250.78	DCR|DCR|2DMG|1AART|1RPLT	1RMIN|23DMG|4AAC|5RPLT|6aRCR|7ERES|8AART|9DUR
72	13436 33115	   	250.58	DCR|DCR|1DMG|1MLV|1AART|1RPLT|1ZMB	1RPLT|2ZMB|35RMIN|4MLV|6DMG|7aRCR|8AART|9DUR
73	22332 63115	   	250.54	DCR|DCR|2DMG|1AART|1RPLT|1ZMB	1RMIN|2ZMB|36DMG|4AME|5RPLT|7aRCR|8AART|9DUR
74	13126 33115	   	250.48	DCR|DCR|1DMG|1MLV|1AART|1RPLT|1ZMB	1RPLT|2ZMB|3RCVC|4AME|5MLV|6DMG|7aRCR|8AART|9DUR
75	13433 33115	   	250.48	DCR|DCR|1DMG|1MLV|1AART|1RPLT|1ZMB	1RPLT|2ZMB|3RMIN|4MLV|5AELOIC|6DMG|7aRCR|8AART|9DUR
76	13622 63115	   	250.39	DCR|DCR|2DMG|1AART|1RPLT|2ZMB	1RPLT|24ZMB|3LWND|56DMG|7aRCR|8AART|9DUR
