0	Index      	 *	Score 	Summary	Detail	
1	41131 26343	 * 	286.61	DCR|DCR|2DMG|1VULN|2RPLT|1ASPD	1aRPLT|2CGEN|35DMG|4ASPD|6VULN|7ERES|89RCR
21	42121 63342	   	264.09	DCR|DCR|2DMG|1MLV|1ASPD|1RPLT	1RPLT|2MLV|35DMG|4CGEN|6FEWX|7ASPD|89RCR|aBELT
22	42121 13341	   	263.99	DCR|DCR|2DMG|1MLV|1ASPD|1RPLT	1RPLT|2MLV|35DMG|4CGEN|6DUST|7ASPD|89RCR|aLIT
23	42121 13342	   	263.99	DCR|DCR|2DMG|1MLV|1ASPD|1RPLT	1RPLT|2MLV|35DMG|4CGEN|6DUST|7ASPD|89RCR|aBELT
24	42121 13346	   	263.99	DCR|DCR|2DMG|1MLV|1ASPD|1RPLT	1RPLT|2MLV|35DMG|4CGEN|6DUST|7ASPD|89RCR|aRMIN
25	42121 13345	   	263.89	DCR|DCR|2DMG|1MLV|1ASPD|1RPLT	1RPLT|2MLV|35DMG|4CGEN|6DUST|7ASPD|89RCR|aAME
26	43241 12341	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2AELOIC|3VULN|4ASPD|5DMG|67LHND|89RCR|aLIT
27	43241 12342	   	263.82	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1RPLT|2AELOIC|3VULN|4ASPD|5DMG|67LHND|89RCR|aBELT
28	41211 13326	   	263.72	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1RPLT|2CGEN|3VENFST|4VULN|5BEXP|6DMG|7aRCR|8CDMG|9DLOT
29	41215 13326	   	263.72	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1RPLT|2CGEN|3VENFST|4VULN|5LWND|6DMG|7aRCR|8CDMG|9DLOT
30	53611 13326	   	263.72	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1TLV|2BASARM|3RPLT|4VULN|5BEXP|6DMG|7aRCR|8CDMG|9DLOT
31	41212 13326	   	263.62	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1RPLT|2CGEN|3VENFST|4VULN|5DUST|6DMG|7aRCR|8CDMG|9DLOT
32	53612 13326	   	263.62	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1TLV|2BASARM|3RPLT|4VULN|5DUST|6DMG|7aRCR|8CDMG|9DLOT
33	21244 61353	   	263.58	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT|1SELL	1RCVC|2ASPD|3DMG|4MBVNT|5SELL|6VULN|7FEWX|89RCR|aRPLT
34	21244 47353	   	263.48	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT|1SELL	1RCVC|2ASPD|3DMG|4MBVNT|5SELL|6DUST|79RCR|8VULN|aRPLT
35	42533 52313	 * 	262.51	DCR|3VULN|2MLV|2ASPD|1AART|1RPLT	1RPLT|2aMLV|3CGEN|4aASPD|56aVULN|7AART|8RCR|9RMIN|aBPWR
36	21244 17351	   	262.23	DCR|DCR|1VULN|1DMG|1ASPD|1SELL	1RCVC|2ASPD|3DMG|4MBVNT|5SELL|6DUR|79RCR|8VULN|aLIT
37	21244 17352	   	262.23	DCR|DCR|1VULN|1DMG|1ASPD|1SELL	1RCVC|2ASPD|3DMG|4MBVNT|5SELL|6DUR|79RCR|8VULN|aBELT
38	21244 17354	   	262.23	DCR|DCR|1VULN|1DMG|1ASPD|1SELL	1RCVC|2ASPD|3DMG|4MBVNT|5SELL|6DUR|79RCR|8VULN|aCGEN
39	43235 33341	   	258.62	DCR|DCR|1VULN|2DUR|1ASPD|1RPLT	1RPLT|2AELOIC|3VULN|45DUR|6AAC|7ASPD|89RCR|aLIT
40	43235 33342	   	258.62	DCR|DCR|1VULN|2DUR|1ASPD|1RPLT	1RPLT|2AELOIC|3VULN|45DUR|6AAC|7ASPD|89RCR|aBELT
41	43235 33343	   	258.52	DCR|DCR|1VULN|2DUR|1ASPD|1RPLT	1RPLT|2AELOIC|3VULN|45DUR|6AAC|7ASPD|89RCR|aMBVNT
42	13322 11545	 * 	256.90	DCR|2VULN|3MLV|2ASPD|3ZMB|1AART	145ZMB|245MLV|3AART|45aBPWR|6aASPD|7aBLAICY|8aVULN|9RCR
43	42163 33323	 * 	256.81	DCR|3VULN|2MLV|1DMG|3RPLT	145RPLT|29MLV|3DMG|69TSLARM|79aVULN|8RCR|9BPWR
44	42161 13343	 * 	256.61	DCR|DCR|1DMG|3RPLT|1MLV|1ASPD	14aRPLT|2MLV|3DMG|5CGEN|6DUST|7ASPD|89RCR
