0	Index      	 *	Score 	Summary	Detail	
1	36221 11316	 * 	273.76	DCR|DCR|2DMG|1MLV|1CDMG|1AART|1RPLT	1MLV|2LWND|3RCVC|4AART|5RPLT|6aDMG|79RCR|8CDMG
14	31111 15416	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2FEWX|3ERES|4CGEN|5AART|6aRCR|7ASPD|8TBNT|9VULN
15	31111 15536	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2FEWX|3ERES|4CGEN|5AART|6aRCR|7ASPD|8VULN|9BBNT
16	33111 15416	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2ERES|3BEXP|4CGEN|5AART|6aRCR|7ASPD|8TBNT|9VULN
17	33111 15536	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2ERES|3BEXP|4CGEN|5AART|6aRCR|7ASPD|8VULN|9BBNT
18	33211 15416	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2ERES|3LHND|4CGEN|5AART|6aRCR|7ASPD|8TBNT|9VULN
19	33211 15536	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MLV|2ERES|3LHND|4CGEN|5AART|6aRCR|7ASPD|8VULN|9BBNT
20	46221 11316	   	256.22	DCR|DCR|2DMG|1CDMG|1AART|1RPLT	1CGEN|2LWND|3RCVC|4AART|5RPLT|6aDMG|79RCR|8CDMG
21	36221 11311	   	256.17	DCR|DCR|1DMG|1MLV|1CDMG|1AART|1RPLT	1MLV|2LWND|3RCVC|4AART|5RPLT|6DMG|79RCR|8CDMG|aLHND
22	36221 11312	   	256.17	DCR|DCR|1DMG|1MLV|1CDMG|1AART|1RPLT	1MLV|2LWND|3RCVC|4AART|5RPLT|6DMG|79RCR|8CDMG|aTBNT
23	36221 11314	   	256.17	DCR|DCR|1DMG|1MLV|1CDMG|1AART|1RPLT	1MLV|2LWND|3RCVC|4AART|5RPLT|6DMG|79RCR|8CDMG|aFEWX
24	36221 11313	   	256.07	DCR|DCR|1DMG|1MLV|1CDMG|1AART|1RPLT	1MLV|2LWND|3RCVC|4AART|5RPLT|6DMG|79RCR|8CDMG|aLSRREG
25	36221 11315	   	256.07	DCR|DCR|1DMG|1MLV|1CDMG|1AART|1RPLT|1SELL	1MLV|2LWND|3RCVC|4AART|5RPLT|6DMG|79RCR|8CDMG|aSELL
26	42242 32336	 * 	255.72	DCR|DCR|1VULN|1DMG|1AART	1CGEN|2DUR|3RCVC|4DMG|5VULN|6LHND|7AART|8TBNT|9aRCR
27	32162 12265	 * 	252.75	DCR|3VULN|2MLV|1DMG|1CDMG	16MLV|2DUR|34ERES|568VULN|6BPWR|7RCR|9CDMG|aDMG
28	32162 12264	 * 	251.85	DCR|4VULN|2MLV|1CDMG	16MLV|2DUR|34ERES|568aVULN|6BPWR|7RCR|9CDMG
29	11562 32533	   	249.21	DCR|DCR|1VULN|1ASPD|1AART	1BEXP|2VULN|3DUR|4AART|5MBVNT|6CGEN|78RCR|9FEWX|aASPD
30	11562 32543	   	249.21	DCR|DCR|1VULN|1ASPD|1AART	1BEXP|2VULN|3DUR|4AART|5MBVNT|6CGEN|78RCR|9LHND|aASPD
31	11562 32523	   	249.11	DCR|DCR|1VULN|1ASPD|1AART	1BEXP|2VULN|3DUR|4AART|5MBVNT|6CGEN|78RCR|9ERES|aASPD
32	41242 32336	   	247.42	DCR|DCR|1VULN|1DMG|1AART	1CGEN|2FEWX|3RCVC|4DMG|5VULN|6LHND|7AART|8TBNT|9aRCR
33	33232 12265	   	244.54	DCR|3VULN|2MLV|1DMG|1CDMG	16MLV|2ERES|34LHND|568VULN|6BPWR|7RCR|9CDMG|aDMG
34	31162 12265	   	244.44	DCR|3VULN|2MLV|1DMG|1CDMG	16MLV|2FEWX|34ERES|568VULN|6BPWR|7RCR|9CDMG|aDMG
35	33162 12265	   	244.44	DCR|3VULN|2MLV|1DMG|1CDMG	16MLV|24ERES|3BEXP|568VULN|6BPWR|7RCR|9CDMG|aDMG
36	33262 12265	   	244.44	DCR|3VULN|2MLV|1DMG|1CDMG	16MLV|24ERES|3LHND|568VULN|6BPWR|7RCR|9CDMG|aDMG
37	11253 11136	   	244.15	ACR|DCR|1VULN|1DMG|1MLV|1AART	1BEXP|2VULN|3aRCR|4DMG|5MDPS|6MLV|7DUR|8DUST|9AART
