0	Index      	 *	Score 	Summary	Detail	
1	33363 61314	 * 	284.64	DCR|DCR|1VULN|2ASPD|1MLV|1CDMG|1AART	1BBNT|2aASPD|3VULN|4CDMG|5LIT|6MLV|79RCR|8AART
23	11318 35118	   	265.64	DCR|DCR|3VULN	1ERES|235VULN|4MBVNT|6LEGI|7aRCR|8AIRARM|9CGEN
24	11318 35318	   	265.64	DCR|DCR|3VULN	1ERES|235VULN|4MBVNT|6LEGI|7aRCR|8MSLTOX|9CGEN
25	11355 11313	   	263.70	DCR|4VULN|3DMG|1CDMG	19ERES|2379VULN|4MDPS|569DMG|8RCR|9BPWR|aCDMG
26	53331 66113	 * 	263.49	DCR|DCR|1VULN|1DMG|1MLV	1DUR|2MDPS|3VULN|4MLV|5FLTARM|6DMG|7LHND|8FEWX|9aRCR
27	53131 61113	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1DUR|2MDPS|3LHND|4MLV|5AIRHEA|6DMG|7VULN|8FEWX|9aRCR
28	53631 61213	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1DUR|2MDPS|3BEXP|4MLV|5AIRHEA|6DMG|7VULN|8LHND|9aRCR
29	62824 16443	   	261.76	DCR|DCR|2VULN|1AART	1MBVNT|2DUR|3CGEN|4AART|5TBNT|6TLV|79RCR|8aVULN
30	11352 32311	   	261.66	DCR|DCR|2VULN|1AART	1ERES|23VULN|4MDPS|5FEWX|6AART|7BEXP|89RCR|aDUR
31	11354 62311	   	261.66	DCR|DCR|2VULN|1AART	1ERES|23VULN|4MDPS|5AART|6LWND|7BEXP|89RCR|aDUR
32	62224 16543	   	261.66	DCR|DCR|2VULN|1AART	1MBVNT|2DUR|3ERES|4AART|5TBNT|6TLV|79RCR|8aVULN
33	11352 34312	   	261.66	DCR|DCR|2VULN|1AART	1ERES|23VULN|4MDPS|5FEWX|6AART|7DUR|89RCR|aLHND
34	11352 34314	   	261.66	DCR|DCR|2VULN|1AART	1ERES|23VULN|4MDPS|5FEWX|6AART|7DUR|89RCR|aDMSP
35	11354 42312	   	261.66	DCR|DCR|2VULN|1AART	1ERES|23VULN|4MDPS|5AART|6DUR|7BEXP|89RCR|aLHND
36	11352 34313	   	261.56	DCR|DCR|2VULN|1AART	1ERES|23VULN|4MDPS|5FEWX|6AART|7DUR|89RCR|aAME
37	11352 34315	   	261.56	DCR|DCR|2VULN|1AART	1ERES|23VULN|4MDPS|5FEWX|6AART|7DUR|89RCR|aDLOT
38	11352 34316	   	261.56	DCR|DCR|2VULN|1AART	1ERES|23VULN|4MDPS|5FEWX|6AART|7DUR|89RCR|aSPLARM
39	11354 42313	   	261.56	DCR|DCR|2VULN|1AART	1ERES|23VULN|4MDPS|5AART|6DUR|7BEXP|89RCR|aAME
40	64134 32352	   	261.23	DCR|DCR|2VULN|1MLV	1MBVNT|2TBNT|3LIT|4RMIN|5MDPS|6aVULN|78RCR|9MLV
41	64348 43413	   	261.13	DCR|DCR|2VULN|1MLV	1MBVNT|2TBNT|37VULN|4DLOT|5DUST|6aRCR|8MLV|9CGEN
42	11311 83278	   	261.03	DCR|DCR|2VULN|1MLV	19ERES|23VULN|4MBVNT|5MLV|6LHND|7aRCR|8BLAICY
43	11311 83378	   	261.03	DCR|DCR|2VULN|1MLV	19ERES|23VULN|4MBVNT|5MLV|6LHND|7aRCR|8FRZFST
44	11612 46311	   	260.86	DCR|DCR|1VULN|1MLV|2AART	1ERES|2VULN|34AART|5BBNT|6MLV|7CGEN|89RCR|aDUR
45	32263 31314	   	260.16	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG|1AART	1BBNT|2LHND|3DMG|4CDMG|5MLV|6LIT|79RCR|8AART|aASPD
46	14423 12115	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2LHND|3LWND|4DUR|5ASPD|6DMG|7aRCR|8VULN|9BBNT
47	15423 12115	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2BEXP|3LWND|4DUR|5ASPD|6DMG|7aRCR|8VULN|9BBNT
48	53333 56311	   	259.54	DCR|DCR|1VULN|1MLV|2DUR|1AART	1aDUR|2MDPS|3VULN|4MLV|5ERES|6AART|7CGEN|89RCR
49	53334 53311	   	259.54	DCR|DCR|1VULN|1MLV|2DUR|1AART	1aDUR|2MDPS|3VULN|4MLV|5AME|6AART|7RMIN|89RCR
50	53334 51311	   	259.44	DCR|DCR|1VULN|1MLV|2DUR|1AART	1aDUR|2MDPS|3VULN|4MLV|5AME|6AART|7ERES|89RCR
51	61222 34412	 * 	258.84	DCR|DCR|2MLV|1VULN	1MBVNT|2MDPS|3LSRREG|4CGEN|58MLV|6aRCR|7DUR|9VULN
52	66133 11473	   	258.34	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1MBVNT|2RCVC|3VULN|4BEXP|5ASPD|6AART|7DUST|8aRCR|9MLV
53	53331 23513	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2MDPS|3VULN|4MLV|5FLTARM|6FEWX|7LWND|8ASPD|9aRCR
54	53331 53513	   	257.08	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2MDPS|3VULN|4MLV|5FLTARM|6BEXP|7LWND|8ASPD|9aRCR
55	53131 22513	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2MDPS|3LHND|4MLV|5AIRHEA|6FEWX|7VULN|8ASPD|9aRCR
56	53131 52513	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2MDPS|3LHND|4MLV|5AIRHEA|6BEXP|7VULN|8ASPD|9aRCR
57	53336 23513	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2MDPS|3VULN|4MLV|5BASHEA|6FEWX|7LWND|8ASPD|9aRCR
58	53141 22413	   	256.88	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2MDPS|3LHND|4ASPD|5MULARM|6DUST|7VULN|8MLV|9aRCR
59	53341 23413	   	256.88	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2MDPS|3VULN|4ASPD|5MSLFST|6DUST|7LWND|8MLV|9aRCR
60	53531 22413	   	256.88	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2MDPS|3ASPD|4LHND|5MULARM|6DUST|7VULN|8MLV|9aRCR
61	62637 32443	 * 	256.77	DCR|DCR|2MLV|1DMG|1AART	1MBVNT|2DUR|35BEXP|45MLV|5BPWR|6FEWX|7aRCR|8DMG|9AART
62	62632 72443	   	256.67	DCR|DCR|2MLV|1DMG|1AART	1MBVNT|2DUR|3BEXP|46MLV|5FEWX|7aRCR|8DMG|9AART
63	64134 32354	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1MBVNT|2TBNT|3LIT|4RMIN|5MDPS|6VULN|78RCR|9MLV|aDMG
64	64335 23143	 * 	255.00	ACR|DCR|3VULN|1AART	1MBVNT|2TBNT|37aVULN|4DUR|59RCR|6AART|8BEXP
65	64335 23843	   	255.00	ACR|DCR|3VULN|1AART	1MBVNT|2TBNT|37aVULN|4DUR|59RCR|6AART|8LHND
66	64335 23643	   	254.90	ACR|DCR|3VULN|1AART	1MBVNT|2TBNT|37aVULN|4DUR|59RCR|6AART|8DUST
67	32263 31315	   	254.81	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1BBNT|2LHND|3DMG|4CDMG|5MLV|6LIT|79RCR|8AART|aDUR
68	35262 61313	   	254.81	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1BBNT|2DUR|3DMG|4CDMG|5LIT|6MLV|79RCR|8AART|aBEXP
69	35262 61311	   	254.71	DCR|DCR|1DMG|1MLV|1CDMG|1AART	1BBNT|2DUR|3DMG|4CDMG|5LIT|6MLV|79RCR|8AART|aDUST
70	35262 61312	   	254.71	DCR|DCR|1DMG|1MLV|1CDMG|1AART|1ZMB	1BBNT|2DUR|3DMG|4CDMG|5LIT|6MLV|79RCR|8AART|aZMB
71	31116 21316	   	254.65	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1BBNT|2RPLT|3VULN|4ASPD|5BEXP|6LHND|7aRCR|8TBNT|9CDMG
