0	Index      	 *	Score 	Summary	Detail	
1	15323 53316	 * 	271.84	DCR|DCR|2VULN|1CDMG|1RPLT	1FLTHEA|26VULN|3AME|4LIT|5RMIN|7RPLT|8aRCR|9CDMG
27	15635 22112	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1FLTHEA|2VULN|3DUST|4SNIFST|5DMG|6CGEN|79RCR|8ASPD|aBBNT
28	15231 62214	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1FLTHEA|2VULN|3FRZFST|4LHND|5RMIN|6ASPD|79RCR|8NUKE|aDMG
29	15235 22113	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1FLTHEA|2VULN|3FRZFST|4LHND|5DMG|6CGEN|79RCR|8ASPD|aDUST
30	15235 22116	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1FLTHEA|2VULN|3FRZFST|4LHND|5DMG|6CGEN|79RCR|8ASPD|aMDPS
31	15635 22113	   	253.96	DCR|DCR|1VULN|1DMG|1ASPD|1MSE	1FLTHEA|2VULN|3DUST|4SNIFST|5DMG|6CGEN|79RCR|8ASPD|aMSE
32	41214 21518	   	253.96	DCR|DCR|1VULN|1DMG|1ASPD	1AELOIC|2RCVC|3MBVNT|4ASPD|5ERES|69RCR|7VULN|8BEXP|aDMG
33	51211 25223	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2MLV|3aFEWX|4BBNT|5LWND|6VULN|79RCR|8DMSP
34	51211 25224	   	251.73	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2MLV|3FEWX|4BBNT|5LWND|6VULN|79RCR|8DMSP|aCGEN
35	51211 25222	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2MLV|3FEWX|4BBNT|5LWND|6VULN|79RCR|8DMSP|aBASHEA
36	51211 25225	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG|1ZMB	1CDMG|2MLV|3FEWX|4BBNT|5LWND|6VULN|79RCR|8DMSP|aZMB
37	51211 25226	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG|1MSE	1CDMG|2MLV|3FEWX|4BBNT|5LWND|6VULN|79RCR|8DMSP|aMSE
38	13135 62215	   	251.43	DCR|DCR|1VULN|1MLV|1ASPD	1FLTHEA|2DMSP|3MDPS|4MLV|5SPLARM|6ASPD|79RCR|8NUKE|aVULN
39	12353 43513	   	248.82	DCR|DCR|1VULN|1DMG	1FLTHEA|2BEXP|3AME|4TBNT|5VULN|6AAC|7DUR|8aRCR|9DMG
40	12161 32513	   	248.72	DCR|DCR|1VULN|1DMG	1FLTHEA|2BEXP|3ERES|4VULN|5NUKE|6DUR|7TBNT|8aRCR|9DMG
41	12161 63513	   	248.72	DCR|DCR|1VULN|1DMG	1FLTHEA|2BEXP|3ERES|4VULN|5NUKE|6BBNT|7DUR|8aRCR|9DMG
42	12353 33513	   	248.72	DCR|DCR|1VULN|1DMG	1FLTHEA|2BEXP|3AME|4TBNT|5VULN|6NUKE|7DUR|8aRCR|9DMG
43	36161 32513	   	248.62	DCR|DCR|1VULN|1DMG	1BEXP|2FLTFST|3ERES|4VULN|5NUKE|6DUR|7TBNT|8aRCR|9DMG
44	36353 33513	   	248.62	DCR|DCR|1VULN|1DMG	1BEXP|2FLTFST|3AME|4TBNT|5VULN|6NUKE|7DUR|8aRCR|9DMG
45	16631 35123	 * 	248.00	ACR|DCR|1VULN|2MLV|1ASPD|1RPLT	1FLTHEA|2ASPD|37RCR|4RPLT|56MLV|8FEWX|9ERES|aVULN
46	53211 25221	   	247.75	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|2ERES|3FEWX|4BBNT|5LWND|6VULN|79RCR|8DMSP|aASPD
47	53213 25221	   	247.75	DCR|DCR|1VULN|1ASPD|1CDMG	1CDMG|2ERES|3FEWX|4BBNT|5LHND|6VULN|79RCR|8DMSP|aASPD
48	51223 24226	   	245.15	DCR|DCR|1DMG|1MLV|1CDMG	1CDMG|2MLV|3FEWX|4DMG|5TLV|6DUR|7aRCR|89BEXP
49	51223 34316	   	245.15	DCR|DCR|1DMG|1MLV|1CDMG	1CDMG|2MLV|3FEWX|4DMG|5TLV|68LWND|7aRCR|9DUR
50	51223 24236	   	245.05	DCR|DCR|1DMG|1MLV|1CDMG	1CDMG|2MLV|3FEWX|4DMG|5TLV|6DUR|7aRCR|8BEXP|9AELOIC
51	33142 34116	   	244.95	DCR|DCR|1DMG|1MLV|1CDMG	1BEXP|2MLV|3LWND|4CDMG|58ERES|6DMG|7aRCR|9DUR
52	33342 34116	   	244.95	DCR|DCR|1DMG|1MLV|1CDMG	1BEXP|2MLV|3FEWX|4CDMG|58ERES|6DMG|7aRCR|9DUR
53	23214 22361	 * 	243.35	DCR|3VULN|3ASPD|3ZMB	189ZMB|2TLV|3RCVC|489ASPD|5DLOT|689VULN|7RCR|89BPWR|aDUR
54	31412 33553	   	242.51	DCR|DCR|1VULN|1ASPD	1BEXP|2BBNT|3VULN|4DUR|5ASPD|6TLV|7FRZARM|8aRCR|9AAC
55	15253 62211	   	242.31	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3FRZFST|4RMIN|5DUR|6ASPD|79RCR|8NUKE|aFEWX
56	15253 62212	   	242.31	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3FRZFST|4RMIN|5DUR|6ASPD|79RCR|8NUKE|aBBNT
57	14133 62215	   	242.31	DCR|DCR|1VULN|1ASPD	1FLTHEA|2LWND|3ERES|4FRZARM|5DUR|6ASPD|79RCR|8NUKE|aVULN
58	14333 62215	   	242.31	DCR|DCR|1VULN|1ASPD	1FLTHEA|2LWND|3AME|4FRZARM|5DUR|6ASPD|79RCR|8NUKE|aVULN
59	16233 22215	   	242.31	DCR|DCR|1VULN|1ASPD	1FLTHEA|2ASPD|3LHND|4SNITOX|5DUR|6CGEN|79RCR|8NUKE|aVULN
60	16533 22215	   	242.31	DCR|DCR|1VULN|1ASPD	1FLTHEA|2ASPD|3LWND|4SNITOX|5DUR|6CGEN|79RCR|8NUKE|aVULN
61	14213 62215	   	242.21	DCR|DCR|1VULN|1ASPD	1FLTHEA|2LWND|3SNIFST|4AME|5DUR|6ASPD|79RCR|8NUKE|aVULN
62	14223 62215	   	242.21	DCR|DCR|1VULN|1ASPD	1FLTHEA|2LWND|3SNIFST|4ERES|5DUR|6ASPD|79RCR|8NUKE|aVULN
63	15133 62211	   	242.21	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3ERES|4SPLREG|5DUR|6ASPD|79RCR|8NUKE|aFEWX
64	15133 62212	   	242.21	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3ERES|4SPLREG|5DUR|6ASPD|79RCR|8NUKE|aBBNT
65	15133 62216	   	242.21	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3ERES|4SPLREG|5DUR|6ASPD|79RCR|8NUKE|aLHND
66	15213 62211	   	242.21	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3FRZFST|4AME|5DUR|6ASPD|79RCR|8NUKE|aFEWX
67	15213 62212	   	242.21	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3FRZFST|4AME|5DUR|6ASPD|79RCR|8NUKE|aBBNT
68	15213 62216	   	242.21	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3FRZFST|4AME|5DUR|6ASPD|79RCR|8NUKE|aLHND
69	15223 62211	   	242.21	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3FRZFST|4ERES|5DUR|6ASPD|79RCR|8NUKE|aFEWX
70	15223 62212	   	242.21	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3FRZFST|4ERES|5DUR|6ASPD|79RCR|8NUKE|aBBNT
71	15223 62216	   	242.21	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3FRZFST|4ERES|5DUR|6ASPD|79RCR|8NUKE|aLHND
72	15253 62213	   	242.21	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3FRZFST|4RMIN|5DUR|6ASPD|79RCR|8NUKE|aDUST
73	15333 62211	   	242.21	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3AME|4SPLREG|5DUR|6ASPD|79RCR|8NUKE|aFEWX
74	15333 62212	   	242.21	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3AME|4SPLREG|5DUR|6ASPD|79RCR|8NUKE|aBBNT
75	15333 62216	   	242.21	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3AME|4SPLREG|5DUR|6ASPD|79RCR|8NUKE|aLHND
76	15133 62213	   	242.11	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3ERES|4SPLREG|5DUR|6ASPD|79RCR|8NUKE|aDUST
77	15133 62215	   	242.11	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3ERES|4SPLREG|5DUR|6ASPD|79RCR|8NUKE|aAELOIC
78	15213 62213	   	242.11	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3FRZFST|4AME|5DUR|6ASPD|79RCR|8NUKE|aDUST
79	15213 62215	   	242.11	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3FRZFST|4AME|5DUR|6ASPD|79RCR|8NUKE|aAELOIC
80	15223 62213	   	242.11	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3FRZFST|4ERES|5DUR|6ASPD|79RCR|8NUKE|aDUST
81	15223 62215	   	242.11	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3FRZFST|4ERES|5DUR|6ASPD|79RCR|8NUKE|aAELOIC
82	15333 62213	   	242.11	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3AME|4SPLREG|5DUR|6ASPD|79RCR|8NUKE|aDUST
83	15333 62215	   	242.11	DCR|DCR|1VULN|1ASPD	1FLTHEA|2VULN|3AME|4SPLREG|5DUR|6ASPD|79RCR|8NUKE|aAELOIC
84	25233 22115	   	242.06	DCR|DCR|1VULN|1ASPD|1ZMB	1ZMB|2CANTOX|3LHND|4SNITOX|5DUR|6CGEN|79RCR|8ASPD|aVULN
85	25533 22115	   	242.06	DCR|DCR|1VULN|1ASPD|1ZMB	1ZMB|2CANTOX|3LWND|4SNITOX|5DUR|6CGEN|79RCR|8ASPD|aVULN
