0	Index      	 *	Score 	Summary	Detail	
1	44122 14321	 * 	298.97	DCR|3VULN|3MLV|2TLV	13aBASICY|234VULN|3aBPWR|57aMLV|6aTLV|8RCR|9MBVNT
36	32423 46131	   	278.13	DCR|DCR|1VULN|1AAC|1ASPD|2DUR|1CDMG	1ASPD|29DUR|3AAC|4BBNT|5CDMG|67RCR|8RPLT|aVULN
37	15242 33512	   	277.80	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1FEWX|2MSLFST|3AAC|4MULARM|5AART|6ASPD|78RCR|9DMG|aVULN
38	15252 33512	   	277.80	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1FEWX|2MSLFST|3AAC|4MSLREG|5AART|6ASPD|78RCR|9DMG|aVULN
39	44325 21311	   	276.65	DCR|3VULN|2MLV|2TLV	19BASICY|249VULN|3FEWX|58TLV|69MLV|7RMIN|9BPWR|aRCR
40	44122 12321	   	276.55	DCR|3VULN|2MLV|2TLV	13aBASICY|234VULN|3aBPWR|5aMLV|6aTLV|7RCVC|8RCR|9MBVNT
41	44212 33253	 * 	274.38	DCR|DCR|1VULN|2AAC|1MLV	1BASICY|2VULN|37AAC|4MDPS|5MLV|69RCR|8BEXP|aLWND
42	23146 26132	   	274.36	DCR|DCR|2VULN|1ASPD|1CDMG	1BEXP|2RMIN|3CGEN|4FEWX|5CDMG|6aRCR|78VULN|9ASPD
43	44212 33251	   	274.28	DCR|DCR|1VULN|2AAC|1MLV	1BASICY|2VULN|37AAC|4MDPS|5MLV|69RCR|8BEXP|aLSRHEA
44	44212 33252	   	274.28	DCR|DCR|1VULN|2AAC|1MLV	1BASICY|2VULN|37AAC|4MDPS|5MLV|69RCR|8BEXP|aDUST
45	13361 22622	   	274.26	DCR|DCR|2VULN|1ASPD|1CDMG	1FEWX|2CDMG|35BEXP|4LHND|6aRCR|7ASPD|89VULN
46	13363 22622	   	274.26	DCR|DCR|2VULN|1ASPD|1CDMG	1FEWX|2CDMG|3BEXP|4LHND|5AEFRZ|6aRCR|7ASPD|89VULN
47	44122 12351	 * 	273.29	DCR|4VULN|1TLV|1MLV|2DUR	13aBASICY|234aVULN|3aBPWR|5MLV|6TLV|7RCVC|8RCR|9aDUR
48	32423 46113	   	271.58	DCR|DCR|1VULN|1AAC|1ASPD|1CDMG	1ASPD|2DUR|3AAC|4BBNT|5CDMG|67RCR|8RPLT|9LHND|aVULN
49	32423 46121	   	271.58	DCR|DCR|1VULN|1AAC|1ASPD|1CDMG	1ASPD|2DUR|3AAC|4BBNT|5CDMG|67RCR|89RPLT|aVULN
50	13436 15222	   	270.33	DCR|DCR|1VULN|1TLV|1CDMG	1FEWX|2CDMG|3AART|4TBNT|5TLV|6BEXP|7aRCR|8VULN|9DUST
51	36311 54232	 * 	269.61	ACR|DCR|1VULN|1TLV|1DMG|1ASPD|1CDMG	1ASPD|2TLV|3BEXP|4ERES|5aRCR|6DMG|7CDMG|8VULN|9DUR
52	62133 24771	   	269.36	DCR|3VULN|3MLV|1ASPD	178LIT|278VULN|3ASPD|4LHND|578MLV|6MBVNT|78BPWR|9BELT|aRCR
53	62133 24721	   	269.26	DCR|3VULN|3MLV|1ASPD	178LIT|278VULN|3ASPD|4LHND|578MLV|6MBVNT|78BPWR|9AEWIND|aRCR
