0	Index      	 *	Score 	Summary	Detail	
1	62124 11325	 * 	280.88	DCR|DCR|2VULN|1DMG|1ASPD	1RMIN|24LIT|37VULN|5BELT|6ASPD|8DMG|9aRCR
60	12361 45122	   	257.79	DCR|2VULN|2TLV|1AAC|1ASPD|1CDMG	14TLV|2BEXP|3AAC|5CDMG|6aVULN|7RCR|8ASPD|9DUR
61	31311 53463	   	257.73	DCR|DCR|1VULN|1MLV	1DMSP|2RAT|3BEXP|4MLV|5LWND|6DUR|7aRCR|8VULN|9DUST
62	13441 23234	   	257.56	DCR|3VULN|2TLV|1ASPD|2DUR	18TLV|28DUR|3LWND|467VULN|58LIT|8BPWR|9RCR|aASPD
63	13441 23153	   	257.43	DCR|4VULN|1TLV|1AAC	1TLV|2DUR|3LWND|4678VULN|5LIT|9AAC|aRCR
64	16421 23153	   	257.43	DCR|4VULN|1TLV|1AAC	1TLV|2678VULN|3LHND|4DUR|5LIT|9AAC|aRCR
65	13441 23134	   	256.79	DCR|4VULN|1TLV|1ASPD	1TLV|2DUR|3LWND|4678VULN|5LIT|9RCR|aASPD
66	16421 23134	   	256.79	DCR|4VULN|1TLV|1ASPD	1TLV|2678VULN|3LHND|4DUR|5LIT|9RCR|aASPD
67	13153 43332	 * 	256.13	DCR|2VULN|1TLV|2ASPD|1DMG	1TLV|2DUR|3DMG|4FEWX|5aASPD|67VULN|8AART|9RCR
68	16123 63332	   	256.13	DCR|2VULN|1TLV|2ASPD|1DMG	1TLV|27VULN|3DMG|4DUR|5aASPD|6FEWX|8AART|9RCR
69	12123 43332	   	256.03	DCR|2VULN|1TLV|2ASPD|1DMG	1TLV|2BEXP|3DMG|4DUR|5aASPD|67VULN|8AART|9RCR
70	14123 43332	   	256.03	DCR|2VULN|1TLV|2ASPD|1DMG	1TLV|2DUST|3DMG|4DUR|5aASPD|67VULN|8AART|9RCR
71	32211 31465	 * 	255.59	DCR|2VULN|2MLV|1DMG|2DUR|1CDMG	1DMSP|2CGEN|3aVULN|4DMG|5CDMG|6aMLV|7ERES|8aDUR|9RCR|aBPWR
72	53211 33513	   	255.32	DCR|DCR|1VULN|1TLV	19LWND|2RAT|3TLV|4MDPS|5VULN|6RCVC|7aRCR|8BEXP
73	53224 33253	   	255.32	DCR|DCR|1VULN|1TLV	1LWND|2RAT|3TLV|4RMIN|5BEXP|6CGEN|7aRCR|8DUST|9VULN
74	53211 33523	   	255.22	DCR|DCR|1VULN|1TLV	1LWND|2RAT|3TLV|4MDPS|5VULN|6RCVC|7aRCR|89BEXP
75	16421 23231	   	254.91	DCR|4VULN|2TLV	18TLV|2678VULN|3LHND|4DUR|58aLIT|8BPWR|9RCR
76	16421 23232	   	254.91	DCR|4VULN|2TLV	18TLV|2678VULN|3LHND|4DUR|58LIT|8BPWR|9RCR|aCGEN
77	16421 23233	   	254.91	DCR|4VULN|2TLV	18TLV|2678VULN|3LHND|4DUR|58LIT|8BPWR|9RCR|aZMB
78	11613 22625	   	254.88	DCR|DCR|1TLV|1AAC|1ASPD	1TLV|2LIT|3AEWIND|4ASPD|5AAC|6BELT|7AEBURN|8DUR|9aRCR
79	53231 13223	 * 	254.88	DCR|DCR|1TLV|1MLV	1LWND|2RAT|3TLV|4DUR|5LHND|6DUST|7aRCR|8MLV|9ERES
80	16421 23223	   	254.81	DCR|4VULN|2TLV	18TLV|2678VULN|3LHND|4DUR|58LIT|8BPWR|9ERES|aRCR
81	16421 23235	   	254.81	DCR|4VULN|2TLV|1SELL	18TLV|2678VULN|3LHND|4DUR|58LIT|8BPWR|9RCR|aSELL
82	16421 23236	   	254.81	DCR|4VULN|2TLV|1MSE	18TLV|2678VULN|3LHND|4DUR|58LIT|8BPWR|9RCR|aMSE
83	15141 15241	 * 	254.69	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2TBNT|3RAT|4ASPD|58RCR|6MBVNT|7RPLT|9DMG|aVULN
84	15161 15241	   	254.69	ACR|DCR|1VULN|1TLV|1DMG|1ASPD	1TLV|2TBNT|3RAT|4DMG|58RCR|6MBVNT|7RPLT|9ASPD|aVULN
85	16133 22136	 * 	254.63	DCR|3VULN|2TLV|1DMG	18TLV|258VULN|3DMG|4TBNT|6FEWX|78AEWIND|8BPWR|9DUR|aRCR
86	16133 32116	   	254.63	DCR|3VULN|2TLV|1DMG	18TLV|258VULN|3DMG|4TBNT|6DUR|78AEWIND|8BPWR|9FEWX|aRCR
87	16133 32166	   	254.63	DCR|3VULN|2TLV|1DMG	18TLV|258VULN|3DMG|4TBNT|6DUR|78AEWIND|8BPWR|9LHND|aRCR
88	11163 21633	   	254.54	DCR|3VULN|1TLV|1MLV|1ASPD	1TLV|2LIT|367VULN|4CGEN|5LHND|8MLV|9RCR|aASPD
89	34311 42141	 * 	254.23	DCR|2VULN|1TLV|2AAC|1DMG|1CDMG	1DMSP|29AAC|36VULN|4DMG|5CDMG|7TLV|8LEGI|aRCR
90	16133 32651	   	254.00	DCR|3VULN|1TLV|1DMG|1CDMG	1TLV|258VULN|3DMG|4TBNT|6DUR|7AEWIND|9CDMG|aRCR
91	14513 11332	 * 	254.00	DCR|2VULN|2TLV|2DMG|1CDMG	19TLV|29DUST|3CDMG|4MDPS|5RMIN|6aVULN|7RCR|89DMG|9BPWR
92	31235 24322	   	253.53	DCR|3VULN|1TLV|1MLV	1DMSP|2RAT|3MLV|468VULN|5DUR|7BBNT|9TLV|aRCR
93	42235 24322	   	253.53	DCR|3VULN|1TLV|1MLV	1RAT|2RCVC|3MLV|468VULN|5DUR|7BBNT|9TLV|aRCR
94	61331 32361	   	253.50	DCR|1VULN|1TLV|1MLV|1DMG|1AAC|1ASPD|1CDMG	1RMIN|2VULN|3AAC|4AEBURN|5CDMG|6MLV|7TLV|8RCR|9ASPD|aDMG
95	16331 42222	   	253.30	DCR|2VULN|2TLV|1DMG|1AAC|1CDMG	17TLV|26VULN|3AAC|4AEBURN|5CDMG|8DMG|9TBNT|aRCR
96	16331 42261	   	253.30	DCR|2VULN|2TLV|1DMG|1AAC|1CDMG	17TLV|26VULN|3AAC|4AEBURN|5CDMG|8DMG|9RCR|aCGEN
97	11141 21514	 * 	253.27	ACR|DCR|2VULN|1TLV|1CDMG	1TLV|2LIT|38VULN|4aRCR|5CDMG|6LHND|7SPLARM|9LWND
98	11141 21534	   	253.27	ACR|DCR|2VULN|1TLV|1CDMG	1TLV|2LIT|38VULN|4aRCR|5CDMG|6LHND|7SPLARM|9FEWX
99	16331 42262	   	253.20	DCR|2VULN|2TLV|1DMG|1AAC|1CDMG	17TLV|26VULN|3AAC|4aAEBURN|5CDMG|8DMG|9RCR
100	16331 42263	   	253.20	DCR|2VULN|2TLV|1DMG|1AAC|1CDMG	17TLV|26VULN|3AAC|4AEBURN|5CDMG|8DMG|9RCR|aERES
101	15221 33116	 * 	253.08	DCR|2VULN|2MLV|2TLV	16TLV|2TBNT|39MLV|4CGEN|57VULN|8ERES|aRCR
102	13353 43332	   	252.96	DCR|2VULN|1TLV|2ASPD|1AAC	1TLV|2DUR|3AAC|4FEWX|5aASPD|67VULN|8AART|9RCR
103	13323 43332	   	252.86	DCR|2VULN|1TLV|2ASPD|1AAC	1TLV|2DUR|3AAC|4DUST|5aASPD|67VULN|8AART|9RCR
104	12161 45132	   	252.66	DCR|2VULN|2TLV|1DMG|1ASPD|1CDMG	14TLV|2BEXP|3DMG|5CDMG|6aVULN|7RCR|8ASPD|9LWND
105	52621 33316	   	252.36	DCR|3VULN|2TLV|1MLV	1LWND|2BBNT|357VULN|46TLV|8MDPS|9MLV|aRCR
106	34311 61141	 * 	252.35	DCR|1VULN|2AAC|1TLV|1MLV|1DMG|1CDMG	1DMSP|29AAC|3VULN|4DMG|5CDMG|6TLV|7ERES|8MLV|aRCR
107	16133 12463	 * 	252.23	DCR|2VULN|2DMG|1TLV|1MLV|1SELL	1TLV|25VULN|3aDMG|4TBNT|6MLV|7LWND|8SELL|9RCR
108	14513 11336	 * 	252.12	DCR|2TLV|2DMG|1VULN|1MLV|1CDMG	19TLV|29DUST|3CDMG|4MDPS|5RMIN|6VULN|7RCR|89DMG|9BPWR|aMLV
109	16331 31264	   	252.10	DCR|2VULN|1TLV|1MLV|1AAC|1CDMG	1TLV|2aVULN|3AAC|4AEBURN|5CDMG|6MLV|7ERES|8RAT|9RCR
110	23121 32362	   	251.57	DCR|1VULN|1TLV|1MLV|1DMG|1ASPD|2DUR|1CDMG	1AME|24DUR|3DMG|5CDMG|6MLV|7TLV|8RCR|9ASPD|aVULN
111	11125 13134	 * 	251.52	DCR|3VULN|3TLV|1ASPD	156TLV|24LIT|378VULN|9RCR|aASPD
112	13152 43333	   	251.50	DCR|2VULN|1TLV|1MLV|1DMG	1TLV|2DUR|3DMG|4FEWX|5ZMB|67VULN|8AART|9RCR|aMLV
113	16122 63333	   	251.50	DCR|2VULN|1TLV|1MLV|1DMG	1TLV|27VULN|3DMG|4DUR|5ZMB|6FEWX|8AART|9RCR|aMLV
114	13121 31362	   	251.47	DCR|1VULN|1TLV|1MLV|1DMG|1ASPD|2DUR|1CDMG	1TLV|24DUR|3DMG|5CDMG|6MLV|7ERES|8RCR|9ASPD|aVULN
115	12122 43333	   	251.40	DCR|2VULN|1TLV|1MLV|1DMG	1TLV|2BEXP|3DMG|4DUR|5ZMB|67VULN|8AART|9RCR|aMLV
116	14122 43333	   	251.40	DCR|2VULN|1TLV|1MLV|1DMG	1TLV|2DUST|3DMG|4DUR|5ZMB|67VULN|8AART|9RCR|aMLV
117	16112 63333	   	251.40	DCR|2VULN|1TLV|1MLV|1DMG|1NUKE	1TLV|27VULN|3DMG|4NUKE|5DUR|6FEWX|8AART|9RCR|aMLV
118	16212 63333	   	251.40	DCR|2VULN|1TLV|1MLV|1DMG|1NUKE	1TLV|27VULN|3NUKE|4DMG|5DUR|6FEWX|8AART|9RCR|aMLV
119	15252 23132	   	251.38	DCR|2MLV|1VULN|1TLV|1AAC	1TLV|2TBNT|35MLV|4AAC|6VULN|7RAT|8DUR|9AART|aRCR
120	36211 11618	 * 	251.32	DCR|2VULN|2DMG|2ASPD|1MLV	1DMSP|28ASPD|38VULN|48DMG|5MBVNT|67RCVC|8BPWR|9RCR|aMLV
121	12112 43333	   	251.30	DCR|2VULN|1TLV|1MLV|1DMG|1NUKE	1TLV|2BEXP|3DMG|4NUKE|5DUR|67VULN|8AART|9RCR|aMLV
122	12212 43333	   	251.30	DCR|2VULN|1TLV|1MLV|1DMG|1NUKE	1TLV|2BEXP|3NUKE|4DMG|5DUR|67VULN|8AART|9RCR|aMLV
123	13114 43333	   	251.30	DCR|2VULN|1TLV|1MLV|1DMG|1NUKE	1TLV|2DUR|3DMG|4NUKE|5BEXP|67VULN|8AART|9RCR|aMLV
124	13214 43333	   	251.30	DCR|2VULN|1TLV|1MLV|1DMG|1NUKE	1TLV|2DUR|3NUKE|4DMG|5BEXP|67VULN|8AART|9RCR|aMLV
125	14112 43333	   	251.30	DCR|2VULN|1TLV|1MLV|1DMG|1NUKE	1TLV|2DUST|3DMG|4NUKE|5DUR|67VULN|8AART|9RCR|aMLV
126	14212 43333	   	251.30	DCR|2VULN|1TLV|1MLV|1DMG|1NUKE	1TLV|2DUST|3NUKE|4DMG|5DUR|67VULN|8AART|9RCR|aMLV
127	16511 22241	 * 	251.09	DCR|1VULN|1TLV|2ASPD|1MLV|1DMG|1CDMG	1TLV|2VULN|3CDMG|4MDPS|5DMG|69ASPD|7MLV|8DUST|aRCR
