0	Index      	 *	Score 	Summary	Detail	
1	36623 51213	 * 	248.68	紫3伤害2攻速1易伤2基地爆炸1基础对冰1技能	17基地爆炸27a伤害3易伤4雷电5核67攻速7序列升级8技能9基础对冰
15	33413 12246	 * 	221.05	紫2易伤3基地爆炸2暴击1伤害1攻速	136基地爆炸23暴击3序列升级4核5立即金币79易伤8攻速a伤害
16	33412 52151	   	220.55	紫1基础对甲2攻速2基地爆炸2暴击	13基地爆炸23暴击3序列升级4核5雷电67攻速8最后敌人9金币生成a基础对甲
17	33412 52231	   	220.55	紫1基础对甲2攻速2基地爆炸2暴击	13基地爆炸23暴击3序列升级4核5雷电67攻速8金币生成9低血量敌人a基础对甲
18	33412 52331	   	220.55	紫1基础对甲2攻速2基地爆炸2暴击	13基地爆炸23暴击3序列升级4核5雷电67攻速8矿等9低血量敌人a基础对甲
19	33412 52351	   	220.55	紫1基础对甲2攻速2基地爆炸2暴击	13基地爆炸23暴击3序列升级4核5雷电67攻速8矿等9时间a基础对甲
20	33412 52431	   	220.55	紫1基础对甲2攻速2基地爆炸2暴击	13基地爆炸23暴击3序列升级4核5雷电67攻速8敌人爆炸9金币生成a基础对甲
21	33412 25141	   	220.45	紫1基础对甲2攻速2基地爆炸2暴击	13基地爆炸23暴击3序列升级4核5雷电6掉矿79攻速8敌人爆炸a基础对甲
22	33411 61134	 * 	220.18	紫3基地爆炸2攻速2暴击1伤害1全技能	13a基地爆炸23暴击3a序列升级4核5a敌人爆炸6技能点7伤害8全技能9a攻速
23	36623 51113	   	220.11	紫3伤害2攻速1易伤2基地爆炸	17基地爆炸27a伤害3易伤4雷电5核67攻速7序列升级8等级9狙击对直升
24	33411 31151	   	219.51	紫1基础对甲2基地爆炸1攻速2暴击1全技能	13基地爆炸23暴击3序列升级4核5敌人爆炸6攻速7核弹8全技能9基础对甲a低血量敌人
25	33411 31154	   	219.51	紫1基础对甲2基地爆炸1攻速2暴击1全技能	13基地爆炸23暴击3序列升级4核5敌人爆炸6攻速7核弹8全技能9基础对甲a平台
26	33411 31156	   	219.51	紫1基础对甲2基地爆炸1攻速2暴击1全技能	13基地爆炸23暴击3序列升级4核5敌人爆炸6攻速7核弹8全技能9基础对甲a时间
27	33416 12153	   	219.51	紫1基础对甲2基地爆炸1攻速2暴击1全技能	13基地爆炸23暴击3序列升级4核57最后敌人6挖尘8全技能9基础对甲a攻速
28	33416 31151	   	219.51	紫1基础对甲2基地爆炸1攻速2暴击1全技能	13基地爆炸23暴击3序列升级4核5最后敌人6攻速7核弹8全技能9基础对甲a低血量敌人
29	33411 13153	   	219.41	紫1基础对甲2基地爆炸1攻速2暴击1全技能	13基地爆炸23暴击3序列升级4核5敌人爆炸67挖尘8全技能9基础对甲a攻速
30	33411 31152	   	219.41	紫1基础对甲2基地爆炸1攻速2暴击1全技能	13基地爆炸23暴击3序列升级4核5敌人爆炸6攻速7核弹8全技能9基础对甲a技能点
31	33416 31152	   	219.41	紫1基础对甲2基地爆炸1攻速2暴击1全技能	13基地爆炸23暴击3序列升级4核5最后敌人6攻速7核弹8全技能9基础对甲a技能点
32	12534 12253	 * 	219.36	紫1基础对甲2攻速1伤害1基地爆炸1暴击	13攻速2随机矿4核5基地爆炸6额外掉落7暴击8时间9基础对甲a伤害
33	12534 12353	   	219.36	紫1基础对甲2攻速1伤害1基地爆炸1暴击	13攻速2随机矿4核5基地爆炸6额外掉落7暴击8最后敌人9基础对甲a伤害
