0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11211 32526	10	 * 	274.72	DCR|2VULN|3DUR|2DMG|2CDMG|2LIT	1aLIT|25aDUR|36DMG|48VULN|7RCR|9aCDMG|aBPWR
61	16243 36113	10	   	250.65	DCR|3VULN|2DUR|1DMG|2LIT	18LIT|2DUST|38aVULN|4RMIN|5ERES|6DMG|78DUR|8BPWR|9RCR
62	11313 61416	3	   	250.58	DCR|2VULN|3DUR|1DMG|2CDMG	1LIT|29aDUR|3ZMB|4LWND|59VULN|6DMG|79CDMG|8RCR|9BPWR
63	11333 61415	4	   	250.58	DCR|2VULN|3DUR|2CDMG|1DMG	1LIT|29aDUR|3ZMB|4BEXP|59VULN|6DMG|79CDMG|8RCR|9BPWR
64	11242 33151	7	   	250.53	DCR|2VULN|3DMG|2DUR	1LIT|24DUR|346DMG|4BPWR|5FEWX|7RPLT|8RCR|9aVULN
65	11245 33151	7	   	250.53	DCR|2VULN|3DMG|2DUR	1LIT|24DUR|346DMG|4BPWR|5BEXP|7RPLT|8RCR|9aVULN
66	11152 25363	3	   	250.51	DCR|3VULN|2DUR|2TLV|2LIT|1SELL	17LIT|23DUR|4SELL|57TLV|67aVULN|7BPWR|8LHND|9RCR
67	11252 25363	2	   	250.51	DCR|3VULN|2DUR|2TLV|2LIT|1SELL	17LIT|23DUR|4SELL|57TLV|67aVULN|7BPWR|8LHND|9RCR
68	11113 46332	2	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|4LWND|56VULN|aRCR
69	11131 46332	2	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|46VULN|5BEXP|aRCR
70	11133 16332	2	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|45VULN|6LWND|aRCR
71	11133 62332	2	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|368DMG|45VULN|7BEXP|aRCR
72	11133 63313	2	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|27DUR|36aDMG|45VULN|8RCR|9RMIN
73	11211 32356	10	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|25DUR|369DMG|4aVULN|7RCR|8FEWX
74	11211 32456	10	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|25DUR|369DMG|4aVULN|7RCR|8BEXP
75	11211 32513	8	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|25DUR|36aDMG|48VULN|7RCR|9RMIN
76	11211 32563	9	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|25DUR|36aDMG|48VULN|7RCR|9CGEN
77	11211 32613	7	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|25DUR|36aDMG|48VULN|7RCR|9RMIN
78	11211 46332	4	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|46VULN|5BEXP|aRCR
79	11212 46332	5	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|46VULN|5BEXP|aRCR
80	11213 16332	4	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|45VULN|6LWND|aRCR
81	11213 46332	3	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|4LWND|56VULN|aRCR
82	11213 62332	4	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|368DMG|45VULN|7BEXP|aRCR
83	11213 63313	4	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|27DUR|36aDMG|45VULN|8RCR|9RMIN
84	11214 46332	5	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|46VULN|5LWND|aRCR
85	11231 46332	3	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|46VULN|5BEXP|aRCR
86	11233 16332	3	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|45VULN|6LWND|aRCR
87	11233 46332	4	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|4BEXP|56VULN|aRCR
88	11233 62332	3	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|368DMG|45VULN|7BEXP|aRCR
89	11233 63313	3	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|27DUR|36aDMG|45VULN|8RCR|9RMIN
90	11241 33151	7	   	250.43	DCR|2VULN|3DMG|2DUR	1LIT|24DUR|346DMG|4BPWR|5DUST|7RPLT|8RCR|9aVULN
91	11123 46332	2	   	250.33	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|4LEGI|56VULN|aRCR
92	11133 56332	2	   	250.33	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|45VULN|6DUST|aRCR
93	11133 61332	2	   	250.33	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|368DMG|45VULN|7LEGI|aRCR
94	11134 46332	2	   	250.33	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|46VULN|5DUST|aRCR
95	11213 56332	4	   	250.33	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|45VULN|6DUST|aRCR
96	11213 61332	4	   	250.33	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|368DMG|45VULN|7LEGI|aRCR
97	11214 46332	4	   	250.33	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|46VULN|5DUST|aRCR
98	11215 46332	5	   	250.33	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|46VULN|5LEGI|aRCR
99	11223 46332	4	   	250.33	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|4DUST|56VULN|aRCR
100	11223 46332	3	   	250.33	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|4LEGI|56VULN|aRCR
101	11233 56332	3	   	250.33	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|45VULN|6DUST|aRCR
102	11233 61332	3	   	250.33	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|368DMG|45VULN|7LEGI|aRCR
103	11234 46332	3	   	250.33	DCR|2VULN|3DMG|2DUR	1LIT|29DUR|378DMG|46VULN|5DUST|aRCR
104	16132 46332	2	   	250.33	DCR|2VULN|3DMG|2DUR	1LIT|2DUST|378DMG|46VULN|59DUR|aRCR
105	11133 63355	2	   	250.19	DCR|2VULN|3DMG|2DUR|1SELL	1LIT|27DUR|36aDMG|45VULN|8RCR|9SELL
106	11211 32555	8	   	250.19	DCR|2VULN|3DMG|2DUR|1SELL	1LIT|25DUR|36aDMG|48VULN|7RCR|9SELL
107	11211 32655	7	   	250.19	DCR|2VULN|3DMG|2DUR|1SELL	1LIT|25DUR|36aDMG|48VULN|7RCR|9SELL
108	11213 63355	4	   	250.19	DCR|2VULN|3DMG|2DUR|1SELL	1LIT|27DUR|36aDMG|45VULN|8RCR|9SELL
109	11233 63355	3	   	250.19	DCR|2VULN|3DMG|2DUR|1SELL	1LIT|27DUR|36aDMG|45VULN|8RCR|9SELL
110	11313 64162	2	 * 	249.85	DCR|3VULN|3ASPD|1DUR|1AART	1LIT|2DUR|3AART|457ASPD|689VULN|aRCR
111	33841 26311	1	   	249.31	DCR|3VULN|3DMG|1ASPD	148ZMB|2MBVNT|348DMG|48BPWR|589VULN|6BBNT|7RCR|aASPD
112	12214 31146	10	   	249.22	DCR|3VULN|3DUR|3LIT	189LIT|2FEWX|389VULN|47LHND|5CGEN|689DUR|89BPWR|aRCR
113	12214 32146	10	   	249.22	DCR|3VULN|3DUR|3LIT	189LIT|2FEWX|389VULN|4LHND|57CGEN|689DUR|89BPWR|aRCR
114	12211 26146	10	   	249.22	DCR|3VULN|3DUR|3LIT	189LIT|25FEWX|389VULN|4LHND|6CGEN|789DUR|89BPWR|aRCR
115	12153 61512	6	   	249.20	DCR|3VULN|2DUR|3LIT|1CDMG|1SELL	159LIT|2FEWX|39DUR|459VULN|59BPWR|6MBVNT|7SELL|8RCR|aCDMG
116	13132 26146	10	   	249.12	DCR|3VULN|3DUR|3LIT	189LIT|2RCVC|3ERES|489VULN|5FEWX|6LHND|789DUR|89BPWR|aRCR
117	16213 31146	10	   	249.12	DCR|3VULN|3DUR|3LIT	189LIT|2DUST|389VULN|47LHND|5MLV|689DUR|89BPWR|aRCR
118	13131 26146	10	   	249.02	DCR|3VULN|3DUR|3LIT	189LIT|2RCVC|3ERES|489VULN|5DUST|6LHND|789DUR|89BPWR|aRCR
119	14531 53313	10	   	248.79	DCR|2VULN|3DMG|3LIT|2AART	149LIT|2ZMB|35AART|69VULN|789DMG|9BPWR|aRCR
120	12153 61511	6	   	248.78	DCR|3VULN|3DUR|3LIT|1SELL	159LIT|2FEWX|39aDUR|459VULN|59BPWR|6MBVNT|7SELL|8RCR
121	13223 33465	1	   	248.51	DCR|3VULN|2DMG|2LIT|1ASPD	1aLIT|2TBNT|36aVULN|4RMIN|5LWND|7ASPD|8aDMG|9RCR|aBPWR
122	11133 63324	2	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|27DUR|36DMG|45VULN|8RCR|9RCVC|aCDMG
123	11211 32521	10	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|25DUR|36DMG|48VULN|7RCR|9CDMG|aLHND
124	11211 32521	9	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|25DUR|36DMG|48VULN|7RCR|9CDMG|aRCVC
125	11211 32522	9	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|25DUR|36DMG|48VULN|7RCR|9CDMG|aLWND
126	11211 32523	10	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|25DUR|36DMG|48VULN|7RCR|9CDMG|aZMB
127	11211 32524	10	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|25DUR|36DMG|48VULN|7RCR|9CDMG|aFEWX
128	11211 32524	9	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|25DUR|36DMG|48VULN|7RCR|9CDMG|aLHND
129	11211 32524	8	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|25DUR|36DMG|48VULN|7RCR|9RCVC|aCDMG
130	11211 32525	10	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|25DUR|36DMG|48VULN|7RCR|9CDMG|aCGEN
131	11211 32615	8	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|25DUR|36DMG|4aVULN|7RCR|8CDMG|9CGEN
132	11211 32624	7	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|25DUR|36DMG|48VULN|7RCR|9RCVC|aCDMG
133	11211 32635	9	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|25DUR|36DMG|4aVULN|7RCR|8CDMG|9CGEN
134	11211 32665	8	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|25DUR|36DMG|4aVULN|7RCR|8CDMG|9RMIN
135	11213 63324	4	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|27DUR|36DMG|45VULN|8RCR|9RCVC|aCDMG
136	11233 63324	3	   	248.43	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|27DUR|36DMG|45VULN|8RCR|9RCVC|aCDMG
137	15241 12512	9	   	248.41	DCR|3VULN|2DMG|2LIT|1ASPD	12LIT|34DMG|5LWND|68aVULN|7RCR|9ASPD
138	11211 32523	9	   	248.33	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|25DUR|36DMG|48VULN|7RCR|9CDMG|aDUST
139	11211 32643	8	   	248.33	DCR|2VULN|2DMG|2DUR|1CDMG	1LIT|25DUR|36DMG|4aVULN|7RCR|8CDMG|9DUST
140	11245 26123	9	   	248.11	DCR|2VULN|3DUR|2DMG	1LIT|247DUR|34DMG|4BPWR|5BEXP|6LHND|8RCR|9aVULN
141	11246 26123	9	   	248.11	DCR|2VULN|3DUR|2DMG	1LIT|247DUR|34DMG|4BPWR|5LWND|6LHND|8RCR|9aVULN
142	11133 63315	2	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|27aDUR|36DMG|45VULN|8RCR|9RMIN
143	11133 63334	2	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|27aDUR|36DMG|45VULN|8RCR|9LWND
144	11133 63344	2	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|27aDUR|36DMG|45VULN|8RCR|9LHND
145	11133 63364	2	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|27aDUR|36DMG|45VULN|8RCR|9BEXP
146	11211 32515	8	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|25aDUR|36DMG|48VULN|7RCR|9RMIN
147	11211 32534	8	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|25aDUR|36DMG|48VULN|7RCR|9LWND
148	11211 32544	8	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|25aDUR|36DMG|48VULN|7RCR|9LHND
149	11211 32564	8	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|25aDUR|36DMG|48VULN|7RCR|9BEXP
150	11211 32565	9	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|25aDUR|36DMG|48VULN|7RCR|9CGEN
151	11211 32566	10	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|25aDUR|36DMG|48VULN|7RCR|9CGEN
152	11211 32615	7	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|25aDUR|36DMG|48VULN|7RCR|9RMIN
153	11211 32634	7	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|25aDUR|36DMG|48VULN|7RCR|9LWND
154	11211 32644	7	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|25aDUR|36DMG|48VULN|7RCR|9LHND
155	11211 32664	7	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|25aDUR|36DMG|48VULN|7RCR|9BEXP
156	11213 63315	4	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|27aDUR|36DMG|45VULN|8RCR|9RMIN
157	11213 63334	4	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|27aDUR|36DMG|45VULN|8RCR|9LWND
158	11213 63344	4	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|27aDUR|36DMG|45VULN|8RCR|9LHND
159	11213 63364	4	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|27aDUR|36DMG|45VULN|8RCR|9BEXP
160	11233 63315	3	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|27aDUR|36DMG|45VULN|8RCR|9RMIN
161	11233 63334	3	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|27aDUR|36DMG|45VULN|8RCR|9LWND
162	11233 63344	3	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|27aDUR|36DMG|45VULN|8RCR|9LHND
163	11233 63364	3	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|27aDUR|36DMG|45VULN|8RCR|9BEXP
164	11132 65322	2	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|259DUR|36DMG|48VULN|7RPLT|aRCR
165	11153 65322	4	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|239DUR|46DMG|58VULN|7RPLT|aRCR
166	11211 35322	6	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|259DUR|36DMG|48VULN|7RPLT|aRCR
167	11211 65322	5	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|259DUR|36DMG|48VULN|7RPLT|aRCR
168	11212 65322	4	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|259DUR|36DMG|48VULN|7RPLT|aRCR
169	11232 65322	3	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|259DUR|36DMG|48VULN|7RPLT|aRCR
170	11241 26123	9	   	248.01	DCR|2VULN|3DUR|2DMG	1LIT|247DUR|34DMG|4BPWR|5DUST|6LHND|8RCR|9aVULN
171	11263 34411	6	   	247.61	DCR|2VULN|3DMG|3LIT|1DUR	19aLIT|2DUR|349DMG|5RMIN|6RPLT|79VULN|8RCR|9BPWR
172	14523 13233	3	   	247.58	DCR|3VULN|1DMG|1CDMG|1ASPD|1AART	1LIT|2ZMB|3AART|47aVULN|5ASPD|6DMG|8RCR|9CDMG
173	14623 13233	2	   	247.58	DCR|3VULN|1DMG|1CDMG|1ASPD|1AART	1LIT|2ZMB|3AART|47aVULN|5ASPD|6DMG|8RCR|9CDMG
174	33523 13233	3	   	247.58	DCR|3VULN|1DMG|1CDMG|1ASPD|1AART	1ZMB|2LIT|3AART|47aVULN|5ASPD|6DMG|8RCR|9CDMG
175	33623 13233	2	   	247.58	DCR|3VULN|1DMG|1CDMG|1ASPD|1AART	1ZMB|2LIT|3AART|47aVULN|5ASPD|6DMG|8RCR|9CDMG
176	12253 46113	10	   	247.04	DCR|3VULN|2DUR|1TLV|2LIT	18LIT|2FEWX|38aVULN|4TLV|5RMIN|6ZMB|78DUR|8BPWR|9RCR
177	33817 32414	1	   	246.96	DCR|3VULN|2DMG|1DUR|1SELL	19ZMB|2MBVNT|39DMG|4SELL|5LIT|6RCR|7DUR|89aVULN|9BPWR
178	12212 25176	10	   	246.94	DCR|3VULN|2DUR|1TLV|2LIT	19LIT|2FEWX|389VULN|4LHND|5TLV|6MBVNT|79DUR|9BPWR|aRCR
179	12232 25176	10	   	246.94	DCR|3VULN|2DUR|1TLV|2LIT	19LIT|2FEWX|389VULN|4BEXP|5TLV|6MBVNT|79DUR|9BPWR|aRCR
180	12232 33176	10	   	246.94	DCR|3VULN|2DUR|1TLV|2LIT	19LIT|2FEWX|389VULN|4BEXP|5TLV|69DUR|7MBVNT|9BPWR|aRCR
181	11161 24521	4	   	246.84	DCR|3VULN|2DUR|1TLV|2LIT	17LIT|23DUR|456VULN|8RCR|9TLV|aLHND
182	11161 24522	4	   	246.84	DCR|3VULN|2DUR|1TLV|2LIT	17LIT|23DUR|456VULN|8RCR|9TLV|aCGEN
183	11161 24523	4	   	246.84	DCR|3VULN|2DUR|1TLV|2LIT	17LIT|23DUR|456VULN|8RCR|9TLV|aMLV
184	16222 33176	10	   	246.84	DCR|3VULN|2DUR|1TLV|2LIT	19LIT|2DUST|389VULN|4FEWX|5TLV|69DUR|7MBVNT|9BPWR|aRCR
