0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21631 35233	8	 * 	272.54	DCR|3VULN|3DUR|2TLV|1DMG	17TLV|24RMIN|367VULN|57aDUR|7BPWR|8DMG|9RCR
26	21361 16324	8	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1TLV|2RMIN|345DUR|6CDMG|7DMG|8aVULN|9RCR
27	21361 16324	9	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1TLV|2RMIN|345DUR|6CDMG|7DMG|8aVULN|9RCR
28	21361 16325	10	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1TLV|2RMIN|345DUR|6CDMG|7DMG|8aVULN|9RCR
29	21631 35152	7	   	252.90	DCR|3VULN|2TLV|2DUR|1CDMG	17TLV|24RMIN|367VULN|57DUR|7BPWR|8RCR|9CGEN|aCDMG
30	22415 21351	3	   	252.90	DCR|3VULN|2TLV|2DUR|1CDMG	17TLV|2RCVC|3CGEN|47DUR|579VULN|6RCR|7BPWR|8CDMG|aBEXP
31	24115 21351	2	   	252.90	DCR|3VULN|2TLV|2DUR|1CDMG	17TLV|2CGEN|37DUR|4RCVC|579VULN|6RCR|7BPWR|8CDMG|aBEXP
32	24315 21351	3	   	252.90	DCR|3VULN|2TLV|2DUR|1CDMG	17TLV|2CGEN|37DUR|4RCVC|579VULN|6RCR|7BPWR|8CDMG|aBEXP
33	21631 35132	7	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	17TLV|24RMIN|367VULN|57DUR|7BPWR|8RCR|9ERES|aCDMG
34	22115 21351	1	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	17TLV|2ERES|37DUR|4RCVC|579VULN|6RCR|7BPWR|8CDMG|aBEXP
35	22115 21355	1	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	17TLV|2ERES|37DUR|4RCVC|579VULN|6RCR|7BPWR|8CDMG|aLWND
36	22115 21356	1	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	17TLV|2ERES|37DUR|4RCVC|579VULN|6RCR|7BPWR|8CDMG|aMLV
37	22115 21562	1	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	17TLV|2ERES|37DUR|4RCVC|579VULN|6RCR|7BPWR|8CGEN|aCDMG
38	22415 21353	3	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	17TLV|2RCVC|3CGEN|47DUR|579VULN|6RCR|7BPWR|8CDMG|aTBNT
39	24115 21353	2	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	17TLV|2CGEN|37DUR|4RCVC|579VULN|6RCR|7BPWR|8CDMG|aTBNT
40	24315 21353	3	   	252.80	DCR|3VULN|2TLV|2DUR|1CDMG	17TLV|2CGEN|37DUR|4RCVC|579VULN|6RCR|7BPWR|8CDMG|aTBNT
41	52155 21223	1	 * 	252.80	DCR|4VULN|3DUR|1CDMG	17CGEN|2ERES|347DUR|578aVULN|6RCR|7BPWR|9CDMG
42	22115 21353	1	   	252.70	DCR|3VULN|2TLV|2DUR|1CDMG	17TLV|2ERES|37DUR|4RCVC|579VULN|6RCR|7BPWR|8CDMG|aTBNT
43	21631 35112	7	   	252.66	DCR|3VULN|2TLV|2DUR|1CDMG|1SELL	17TLV|24RMIN|367VULN|57DUR|7BPWR|8RCR|9SELL|aCDMG
44	52155 21112	1	   	252.61	DCR|3VULN|3DUR|1TLV	17CGEN|2ERES|347DUR|579VULN|6RCR|7BPWR|8TLV|aLIT
45	26613 32363	4	   	252.58	DCR|4VULN|2TLV|1CDMG|1AART	17TLV|2FEWX|3AART|4689VULN|5CDMG|aRCR
46	25613 32363	4	   	252.48	DCR|4VULN|2TLV|1CDMG|1AART	17TLV|2DUST|3AART|4689VULN|5CDMG|aRCR
47	24155 21311	2	   	252.48	DCR|3VULN|3DUR|2TLV	17TLV|2CGEN|347DUR|579VULN|6RCR|7BPWR|8RCVC|aBEXP
48	24355 21311	3	   	252.48	DCR|3VULN|3DUR|2TLV	17TLV|2CGEN|347DUR|579VULN|6RCR|7BPWR|8RCVC|aBEXP
49	22155 21311	1	   	252.38	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|579VULN|6RCR|7BPWR|8RCVC|aBEXP
50	22155 21314	1	   	252.38	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|579VULN|6RCR|7BPWR|8RCVC|aRMIN
51	22155 21316	1	   	252.38	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|579VULN|6RCR|7BPWR|8RCVC|aFEWX
52	22155 21411	1	   	252.38	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|579VULN|6RCR|7BPWR|8RMIN|aBEXP
53	22155 21413	1	   	252.38	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|579VULN|6RCR|7BPWR|8RMIN|aBELT
54	22155 21511	1	   	252.38	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|579VULN|6RCR|7BPWR|8MLV|aBEXP
55	22155 21513	1	   	252.38	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|579VULN|6RCR|7BPWR|8MLV|aBELT
56	21631 34134	9	   	252.38	DCR|3VULN|3DUR|2TLV	19TLV|24RMIN|369VULN|579DUR|8LEGI|9BPWR|aRCR
57	22155 21113	1	   	252.28	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|57aVULN|6RCR|7BPWR|8TBNT|9LWND
58	22155 21261	1	   	252.28	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|579VULN|6RCR|7BPWR|8DUST|aLHND
59	22155 21262	1	   	252.28	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|579VULN|6RCR|7BPWR|8DUST|aCGEN
60	22155 21263	1	   	252.28	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|579VULN|6RCR|7BPWR|8DUST|aZMB
61	22155 21315	1	   	252.28	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|579VULN|6RCR|7BPWR|8RCVC|aMBVNT
62	24155 21124	2	   	252.28	DCR|3VULN|3DUR|2TLV	17TLV|2CGEN|347DUR|57aVULN|6RCR|7BPWR|8TBNT|9MBVNT
63	24155 21133	2	   	252.28	DCR|3VULN|3DUR|2TLV|1NUKE	17TLV|2CGEN|347DUR|57aVULN|6RCR|7BPWR|8TBNT|9NUKE
64	24355 21124	3	   	252.28	DCR|3VULN|3DUR|2TLV	17TLV|2CGEN|347DUR|57aVULN|6RCR|7BPWR|8TBNT|9MBVNT
65	24355 21133	3	   	252.28	DCR|3VULN|3DUR|2TLV|1NUKE	17TLV|2CGEN|347DUR|57aVULN|6RCR|7BPWR|8TBNT|9NUKE
66	22153 81273	1	   	252.18	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|5MBVNT|679VULN|7BPWR|8DUST|aRCR
67	22153 81473	1	   	252.18	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|5MBVNT|679VULN|7BPWR|8LEGI|aRCR
68	22155 21123	1	   	252.18	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|57aVULN|6RCR|7BPWR|8TBNT|9MBVNT
69	22155 21133	1	   	252.18	DCR|3VULN|3DUR|2TLV|1NUKE	17TLV|2ERES|347DUR|57aVULN|6RCR|7BPWR|8TBNT|9NUKE
70	22155 21163	1	   	252.18	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|57aVULN|6RCR|7BPWR|8TBNT|9DUST
71	22155 21233	1	   	252.18	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|57aVULN|6RCR|7BPWR|8DUST|9BBNT
72	23361 36143	2	 * 	251.80	ACR|3VULN|3DUR|2TLV|1CDMG|1AART	17TLV|2RCR|3CDMG|47aDUR|5AART|679VULN|7BPWR|8ASPD
73	23361 36322	2	 * 	251.32	ACR|4VULN|2TLV|2DUR|1CDMG|1AART	17TLV|2RCR|3CDMG|47DUR|5AART|678aVULN|7BPWR|9BEXP
74	23361 36332	2	   	251.32	ACR|4VULN|2TLV|2DUR|1CDMG|1AART	17TLV|2RCR|3CDMG|47DUR|5AART|678aVULN|7BPWR|9LWND
75	52315 21352	2	   	251.14	DCR|3VULN|2DUR|1TLV|2CDMG	17CGEN|2RCVC|3TLV|47DUR|579VULN|6RCR|7BPWR|8aCDMG
76	52315 21352	3	   	251.14	DCR|3VULN|2DUR|1TLV|2CDMG	17CGEN|2RCVC|3TLV|47DUR|579VULN|6RCR|7BPWR|8aCDMG
77	21663 31163	10	   	251.08	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	15TLV|2RMIN|36VULN|4DUR|7CDMG|89DMG|aRCR
78	23361 36336	2	   	250.33	ACR|3VULN|2TLV|2DUR|1DMG|1CDMG|1AART	17TLV|2RCR|3CDMG|47DUR|5AART|678VULN|7BPWR|9LWND|aDMG
79	23361 36412	2	   	250.23	ACR|3VULN|2TLV|2DUR|1DMG|1CDMG|1AART	17TLV|2RCR|3CDMG|47DUR|5AART|67aVULN|7BPWR|8DMG|9TBNT
80	23361 36433	2	   	250.23	ACR|3VULN|2TLV|2DUR|1DMG|1CDMG|1AART	17TLV|2RCR|3CDMG|47DUR|5AART|67aVULN|7BPWR|8DMG|9DUST
81	11623 55223	10	   	249.46	DCR|4VULN|1TLV|1DMG	1ASPD|2RMIN|3679VULN|4DUST|5TLV|8DMG|aRCR
82	23363 14113	2	 * 	249.22	ACR|2VULN|3DMG|2TLV|2DUR|1CDMG	17TLV|2RCR|3CDMG|47DUR|567DMG|7BPWR|8aVULN|9LWND
83	23363 14126	2	   	249.12	ACR|2VULN|3DMG|2TLV|2DUR|1CDMG	17TLV|2RCR|3CDMG|47DUR|567DMG|7BPWR|8aVULN|9TBNT
84	21311 32133	10	   	248.81	DCR|3VULN|2TLV|2DUR|1AART	1aTLV|2RMIN|3aDUR|4ERES|5CGEN|68aVULN|7AART|9RCR|aBPWR
85	21611 52133	10	   	248.81	DCR|3VULN|2TLV|2DUR|1AART	1aTLV|2RMIN|38aVULN|4ERES|5CGEN|6aDUR|7AART|9RCR|aBPWR
86	52155 21213	1	   	248.81	DCR|4VULN|3DUR|1AART	17CGEN|2ERES|347DUR|5789VULN|6RCR|7BPWR|aAART
87	22155 22124	1	   	248.20	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|2ERES|34DUR|5aVULN|6RCR|7LIT|8DMG|9CDMG
88	22155 23151	1	   	248.20	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|2ERES|34DUR|59VULN|6RCR|7CDMG|8ASPD|aDMG
89	22115 21333	1	   	248.17	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	17TLV|2ERES|37DUR|4RCVC|57VULN|6RCR|7BPWR|8CDMG|9MLV|aDMG
90	22115 21146	1	   	247.75	DCR|2VULN|3DUR|2TLV|1DMG	17TLV|2ERES|379DUR|4RCVC|57VULN|6RCR|7BPWR|8RPLT|aDMG
91	22155 21334	1	   	247.75	DCR|2VULN|3DUR|2TLV|1DMG	17TLV|2ERES|347DUR|57VULN|6RCR|7BPWR|8RCVC|9BEXP|aDMG
92	21663 34233	8	   	247.65	DCR|2VULN|3DUR|2TLV|1DMG	15TLV|2RMIN|36VULN|47aDUR|8DMG|9RCR
93	31442 72184	9	   	247.55	DCR|3VULN|2DMG|1TLV|1AART	17LWND|2MBVNT|3CGEN|478VULN|5AART|67DMG|7BPWR|9TLV|aRCR
94	31483 62184	9	   	247.55	DCR|3VULN|2DMG|1TLV|1AART	17LWND|2MBVNT|3CGEN|47DMG|5AART|678VULN|7BPWR|9TLV|aRCR
95	31583 33134	5	   	247.55	DCR|3VULN|2DMG|1TLV|1AART	17LWND|2MBVNT|3MLV|47DMG|5AART|679VULN|7BPWR|8TLV|aRCR
96	31583 62134	7	   	247.55	DCR|3VULN|2DMG|1TLV|1AART	17LWND|2MBVNT|3MLV|47DMG|5AART|679VULN|7BPWR|8TLV|aRCR
97	31583 63134	6	   	247.55	DCR|3VULN|2DMG|1TLV|1AART	17LWND|2MBVNT|3MLV|47DMG|5AART|679VULN|7BPWR|8TLV|aRCR
98	22155 21224	1	   	247.55	DCR|2VULN|3DUR|2TLV|1DMG	17TLV|2ERES|347DUR|57VULN|6RCR|7BPWR|89DUST|aDMG
99	22115 21452	1	   	247.46	DCR|3VULN|2TLV|2DUR	17TLV|2ERES|37DUR|4RCVC|57aVULN|6RCR|7BPWR|8RMIN|9ASPD
100	16633 33421	7	   	247.22	DCR|3VULN|2DUR|1TLV|2ASPD	19ASPD|2FEWX|39DUR|4CGEN|5TLV|689VULN|7RCR|9BPWR|aMBVNT
101	16633 33423	7	   	247.22	DCR|3VULN|2DUR|1TLV|2ASPD	19ASPD|2FEWX|39DUR|4CGEN|5TLV|689VULN|7RCR|9BPWR|aTBNT
102	56254 33222	6	   	246.20	DCR|3VULN|2DMG|1TLV	19CGEN|269VULN|3DMSP|4MBVNT|5ASPD|7TLV|89DMG|9BPWR|aRCR
103	31113 21842	6	   	246.11	DCR|3VULN|1TLV|1DMG|2ASPD|1AART	18LWND|2MBVNT|38ASPD|4TLV|5AART|6DMG|789VULN|8BPWR|aRCR
104	22113 61344	7	   	246.07	DCR|3VULN|2DMG|2TLV	19TLV|2RCVC|3DMSP|4MLV|59DMG|6RPLT|789VULN|9BPWR|aRCR
105	23233 36114	1	   	246.07	DCR|3VULN|2DMG|2TLV	19TLV|2RPLT|3RMIN|469VULN|59DMG|78RCVC|9BPWR|aRCR
106	23235 16114	1	   	246.07	DCR|3VULN|2DMG|2TLV	19TLV|2RPLT|3RMIN|459VULN|69DMG|78RCVC|9BPWR|aRCR
107	12233 84416	2	   	246.00	DCR|3VULN|2DMG|1TLV	1ASPD|2RCVC|3TLV|467VULN|5MBVNT|89DMG|aRCR
108	15233 84416	1	   	246.00	DCR|3VULN|2DMG|1TLV	1ASPD|2DMSP|3TLV|467VULN|5MBVNT|89DMG|aRCR
109	22123 36443	10	   	245.93	DCR|2VULN|2DMG|2TLV|1DUR	18TLV|27RCVC|3DMSP|4ASPD|58DMG|68VULN|8BPWR|9DUR|aRCR
110	22342 32356	1	   	245.77	DCR|3VULN|2DMG|2TLV	18TLV|268ERES|3MLV|459VULN|78DMG|8BPWR|aRCR
111	14663 21232	6	   	245.60	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR	17ASPD|2CGEN|37VULN|4DUR|5TLV|67DMG|7BPWR|8DUST|9RCR|aZMB
112	14663 21233	6	   	245.60	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR	17ASPD|2CGEN|37VULN|4DUR|5TLV|67DMG|7BPWR|8DUST|9RCR|aMLV
113	41117 64412	9	   	245.60	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR	1LHND|2MBVNT|39ASPD|4TLV|5BEXP|69DMG|7DUR|89VULN|9BPWR|aRCR
114	14663 21231	6	   	245.50	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR	17ASPD|2CGEN|37VULN|4DUR|5TLV|67DMG|7BPWR|8DUST|9RCR|aBBNT
115	23613 32364	4	 * 	245.04	ACR|5VULN|3TLV|2CDMG|1AART	17aTLV|2RCR|3AART|4689aVULN|5aCDMG|aBPWR
116	21363 16422	5	 * 	245.00	DCR|3DUR|1VULN|2DMG|2TLV|1AART|1SELL	17TLV|2RMIN|347DUR|57DMG|6SELL|7BPWR|8VULN|9RCR|aAART
117	52315 21351	3	   	244.82	DCR|3VULN|2DUR|1TLV|1CDMG	17CGEN|2RCVC|3TLV|47DUR|579VULN|6RCR|7BPWR|8CDMG|aBEXP
118	52315 21351	2	   	244.82	DCR|3VULN|2DUR|1TLV|1CDMG	17CGEN|2RCVC|3TLV|47DUR|579VULN|6RCR|7BPWR|8CDMG|aBEXP
119	52315 21353	2	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	17CGEN|2RCVC|3TLV|47DUR|579VULN|6RCR|7BPWR|8CDMG|aTBNT
120	52315 21353	3	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	17CGEN|2RCVC|3TLV|47DUR|579VULN|6RCR|7BPWR|8CDMG|aTBNT
121	22115 21343	1	   	244.72	DCR|2VULN|2TLV|2DUR|1CDMG	17TLV|2ERES|37DUR|4RCVC|57VULN|6RCR|7BPWR|8CDMG|9LIT|aASPD
122	16163 33153	10	   	244.66	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2FEWX|3ERES|4DUR|5TLV|69aVULN|7RCR|8DMG
123	22162 12156	3	   	244.63	DCR|3VULN|2TLV|1DMG|1DUR	15TLV|2RCVC|3DMSP|459VULN|5BPWR|6LWND|7DMG|8RCR|aDUR
124	22162 31435	2	 * 	244.53	DCR|3VULN|3TLV|1DMG|1DUR	135TLV|2RCVC|35BPWR|458VULN|6LHND|7DUR|9RCR|aDMG
125	22362 31435	3	   	244.53	DCR|3VULN|3TLV|1DMG|1DUR	135TLV|2RCVC|458VULN|5BPWR|6LHND|7DUR|9RCR|aDMG
126	22362 31435	2	   	244.53	DCR|3VULN|3TLV|1DMG|1DUR	135TLV|2RCVC|458VULN|5BPWR|6LHND|7DUR|9RCR|aDMG
127	22124 21114	8	   	244.31	DCR|1VULN|2DMG|2TLV|2DUR|1CDMG	19TLV|2RCVC|3DMSP|4ASPD|59DUR|6VULN|7CDMG|89DMG|9BPWR|aRCR
128	52155 21111	1	   	244.30	DCR|3VULN|3DUR|1TLV	17CGEN|2ERES|347DUR|579VULN|6RCR|7BPWR|8TLV|aBEXP
129	52155 21113	1	   	244.30	DCR|3VULN|3DUR|1TLV	17CGEN|2ERES|347DUR|579VULN|6RCR|7BPWR|8TLV|aBELT
130	23643 72344	7	 * 	244.29	ACR|4VULN|2DMG|2TLV|1AART	17TLV|2RCR|3AART|4MBVNT|579aVULN|67DMG|7BPWR|8DUST
131	24422 11143	1	   	244.21	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1TLV|2TBNT|3DMG|4ASPD|5aDUR|68VULN|7AART|9RCR
132	21361 31614	8	   	244.20	DCR|3VULN|3DUR|1TLV	1TLV|2RMIN|345DUR|6FEWX|789VULN|aRCR
133	12613 31443	1	   	243.89	DCR|3VULN|2DMG|1DUR|2ASPD	18ASPD|2ERES|3BBNT|4TBNT|58DMG|678VULN|8BPWR|9DUR|aRCR
134	24132 32243	1	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	1TLV|2TBNT|36VULN|4LHND|58DMG|7RCR|9aDUR
135	23361 36243	2	   	243.50	ACR|3VULN|3DUR|2TLV|1CDMG|1AART	17TLV|2RCR|3CDMG|47aDUR|5AART|679VULN|7BPWR|8ZMB
136	23361 36362	2	   	243.50	ACR|3VULN|3DUR|2TLV|1CDMG|1AART	17TLV|2RCR|3CDMG|47aDUR|5AART|678VULN|7BPWR|9BELT
137	23361 36613	2	   	243.50	ACR|3VULN|3DUR|2TLV|1CDMG|1AART	17TLV|2RCR|3CDMG|478DUR|5AART|67aVULN|7BPWR|9LHND
138	23361 36313	2	   	243.40	ACR|3VULN|3DUR|2TLV|1CDMG|1AART	17TLV|2RCR|3CDMG|47aDUR|5AART|678VULN|7BPWR|9ERES
139	22126 12114	8	   	243.33	DCR|2VULN|2DMG|2TLV|1CDMG	19TLV|2RCVC|3DMSP|4ASPD|59VULN|6CDMG|7BEXP|89DMG|9BPWR|aRCR
140	22126 13114	8	   	243.33	DCR|2VULN|2DMG|2TLV|1CDMG	19TLV|2RCVC|3DMSP|4ASPD|59VULN|6CDMG|7LHND|89DMG|9BPWR|aRCR
141	22126 41114	8	   	243.33	DCR|2VULN|2DMG|2TLV|1CDMG	19TLV|2RCVC|3DMSP|4ASPD|59VULN|6BEXP|7CDMG|89DMG|9BPWR|aRCR
142	22126 31114	8	   	243.23	DCR|2VULN|2DMG|2TLV|1CDMG	19TLV|2RCVC|3DMSP|4ASPD|59VULN|6DUST|7CDMG|89DMG|9BPWR|aRCR
143	23363 36143	2	   	243.13	ACR|2VULN|2DMG|2TLV|2DUR|1CDMG|1AART	17TLV|2RCR|3CDMG|47DUR|57DMG|6AART|7BPWR|8DUST|9aVULN
144	21631 31163	10	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|24RMIN|36VULN|5DUR|7CDMG|89DMG|aRCR
145	23533 13346	2	 * 	242.98	ACR|3VULN|3DMG|2TLV|1CDMG	19TLV|2RCR|369DMG|4LWND|5CDMG|7TBNT|89aVULN|9BPWR
146	22124 25233	10	   	242.93	DCR|2VULN|2TLV|2DUR|1DMG	17TLV|2RCVC|3DMSP|4ASPD|57DUR|67VULN|7BPWR|8DMG|9MLV|aRCR
147	22124 25235	8	   	242.93	DCR|2VULN|2TLV|2DUR|1DMG	17TLV|2RCVC|3DMSP|4ASPD|57DUR|67VULN|7BPWR|8DMG|9RCR|aZMB
148	22124 25231	8	   	242.83	DCR|2VULN|2TLV|2DUR|1DMG	17TLV|2RCVC|3DMSP|4ASPD|57DUR|67VULN|7BPWR|8DMG|9RCR|aDUST
149	22124 25232	8	   	242.83	DCR|2VULN|2TLV|2DUR|1DMG	17TLV|2RCVC|3DMSP|4ASPD|57DUR|67VULN|7BPWR|8DMG|9RCR|aMBVNT
150	26353 42162	3	   	242.83	DCR|2VULN|2TLV|2DUR|1DMG	19TLV|2FEWX|3RMIN|49DUR|5MBVNT|6DMG|7ASPD|89VULN|9BPWR|aRCR
151	26363 42162	4	   	242.83	DCR|2VULN|2TLV|2DUR|1DMG	19TLV|2FEWX|3RMIN|49DUR|5MBVNT|6DMG|7ASPD|89VULN|9BPWR|aRCR
152	26362 23343	2	   	242.73	DCR|2VULN|2TLV|2DUR|2CDMG	19TLV|2FEWX|39CDMG|46DUR|5TBNT|7ASPD|89VULN|9BPWR|aRCR
153	11362 14533	8	   	242.66	DCR|3VULN|1TLV|1DUR|1AART	1ASPD|2RMIN|3AART|469VULN|5LIT|7TLV|8RCR|aDUR
154	11362 14633	7	   	242.66	DCR|3VULN|1TLV|1DUR|1AART	1ASPD|2RMIN|3AART|469VULN|5LIT|7TLV|8RCR|aDUR
155	31113 62648	7	   	242.64	DCR|3VULN|3TLV|1DUR|1AART	178LWND|2MBVNT|3ASPD|478TLV|5AART|678VULN|78BPWR|9DUR|aRCR
