0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41513 63332	8	 * 	276.33	DCR|3VULN|2DMG|2TLV|1CDMG	1ASPD|289VULN|3LIT|4LHND|58DMG|6CDMG|78TLV|8BPWR|aRCR
18	14262 11362	2	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|2aDMG|378VULN|4DUR|5TLV|6RCR|9LIT
19	16262 11362	1	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|2aDMG|378VULN|4DUR|5TLV|6RCR|9LIT
20	22235 31133	5	 * 	262.24	DCR|3VULN|2DMG|2DUR|3LIT|1SELL	134LIT|259VULN|6SELL|79DUR|89DMG|9BPWR|aRCR
21	41112 13254	4	 * 	261.62	DCR|4VULN|2TLV|2ASPD|1DUR|1SELL	19ASPD|289aVULN|3FEWX|4DUR|59TLV|6RCR|7SELL|9BPWR
22	41112 13256	4	   	260.64	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR|1SELL	19ASPD|289VULN|3FEWX|4DUR|59TLV|6RCR|7SELL|9BPWR|aDMG
23	43322 11354	1	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1ASPD|2TLV|3DUR|4789VULN|5BEXP|6RCR|aCDMG
24	43322 12351	1	 * 	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1ASPD|2TLV|37DUR|489VULN|5BEXP|6RCR|aDMG
25	14262 12351	2	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|2DMG|389VULN|47DUR|5TLV|6RCR|aASPD
26	16262 12351	1	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|2DMG|389VULN|47DUR|5TLV|6RCR|aASPD
27	41162 12351	2	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1ASPD|289VULN|3BEXP|47DUR|5TLV|6RCR|aDMG
28	41453 11312	7	 * 	259.16	DCR|4VULN|2DUR|3ASPD|1AART	146ASPD|2456VULN|3AART|46BPWR|7ERES|8aDUR|9RCR
29	41361 11415	9	 * 	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	18ASPD|259VULN|3MBVNT|4RMIN|68DMG|78DUR|8BPWR|aRCR
30	22332 62241	5	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LIT|257VULN|3BEXP|4CDMG|6RCR|8DUR|9DMG|aTLV
31	22551 12612	8	 * 	258.01	DCR|3VULN|2TLV|3LIT|1DMG|1AART	19aLIT|24aVULN|3DMG|5BEXP|6aTLV|7AART|8RCR|aBPWR
32	41513 63312	9	 * 	257.95	DCR|2VULN|2DMG|2TLV|2CDMG	1ASPD|28VULN|3LIT|4LHND|58DMG|69CDMG|78TLV|8BPWR|aRCR
33	14262 11315	2	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|378aVULN|4DUR|5TLV|6RCR|9FEWX
34	14262 11353	2	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|3789VULN|4DUR|5TLV|6RCR|aFEWX
35	16262 11315	1	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|378aVULN|4DUR|5TLV|6RCR|9FEWX
36	16262 11353	1	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|3789VULN|4DUR|5TLV|6RCR|aFEWX
37	14261 43331	2	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|358aVULN|4DUR|6TLV|7RCR|9BBNT
38	14262 11331	2	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|378aVULN|4DUR|5TLV|6RCR|9BBNT
39	14262 11352	2	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|3789VULN|4DUR|5TLV|6RCR|aERES
40	16261 43331	1	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|358aVULN|4DUR|6TLV|7RCR|9BBNT
41	16262 11331	1	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|378aVULN|4DUR|5TLV|6RCR|9BBNT
42	16262 11352	1	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|3789VULN|4DUR|5TLV|6RCR|aERES
43	41373 43145	7	 * 	256.32	DCR|4VULN|2DMG|3ASPD	179ASPD|2569VULN|3MBVNT|4BELT|89DMG|9BPWR|aRCR
44	24111 47742	3	   	256.01	DCR|4VULN|1TLV|1DMG|2LIT	12LIT|3MBVNT|4578VULN|6DMG|9TLV|aRCR
45	41414 22311	9	   	255.78	DCR|3VULN|1TLV|2AART|1DUR|1CDMG	1ASPD|257VULN|3aAART|4CDMG|6TLV|8DUR|9RCR
46	22531 12663	9	   	255.76	DCR|3VULN|2DMG|1TLV|1AART	1LIT|29aVULN|34DMG|5BEXP|6TLV|7AART|8RCR
47	54112 34383	4	 * 	255.75	DCR|3VULN|3DUR|2DMG	1RCVC|2RPLT|35aVULN|458DUR|5aBPWR|6MBVNT|7aDMG|9RCR
48	54222 34383	2	   	255.75	DCR|3VULN|3DUR|2DMG	1RCVC|2RPLT|358DUR|45aVULN|5aBPWR|6MBVNT|7aDMG|9RCR
49	53523 13223	9	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|25aVULN|3FEWX|4aDMG|6RPLT|7aTLV|8AART|9RCR|aBPWR
50	53563 13223	9	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	1RCVC|24aVULN|3FEWX|5aDMG|6RPLT|7aTLV|8AART|9RCR|aBPWR
51	41143 13151	3	 * 	255.68	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD|1SELL	19ASPD|29VULN|3FEWX|4TLV|589DUR|6RCR|7SELL|9BPWR|aDMG
52	41513 13151	2	 * 	255.68	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD|1SELL	19ASPD|29VULN|3TLV|4FEWX|589DUR|6RCR|7SELL|9BPWR|aDMG
53	22513 42251	9	 * 	255.27	DCR|3VULN|3ASPD|3LIT|1DMG|2AART	189LIT|289VULN|3DMG|4LHND|589ASPD|67AART|89BPWR|aRCR
54	41112 13154	4	 * 	255.16	DCR|3VULN|2TLV|2DUR|2ASPD|1SELL	19ASPD|29aVULN|3FEWX|48DUR|59TLV|6RCR|7SELL|9BPWR
55	41453 12111	8	 * 	255.07	DCR|5VULN|3ASPD|1AART	146ASPD|24567VULN|3AART|46BPWR|8LIT|9RMIN|aRCR
56	41453 12121	9	   	255.07	DCR|5VULN|3ASPD|1AART	146ASPD|24567VULN|3AART|46BPWR|8LIT|9CGEN|aRCR
57	41453 12211	7	   	255.07	DCR|5VULN|3ASPD|1AART	146ASPD|24567VULN|3AART|46BPWR|8RMIN|9LIT|aRCR
58	41453 12311	7	   	255.07	DCR|5VULN|3ASPD|1AART	146ASPD|24567VULN|3AART|46BPWR|8LIT|9RMIN|aRCR
59	41312 63254	4	 * 	255.06	DCR|3VULN|2TLV|2DUR|2ASPD|1SELL	1aASPD|289VULN|3MBVNT|4aDUR|5aTLV|6RCR|7SELL|aBPWR
60	41453 12121	8	   	254.97	DCR|5VULN|3ASPD|1AART	146ASPD|24567VULN|3AART|46BPWR|8LIT|9ERES|aRCR
61	41453 12321	7	   	254.97	DCR|5VULN|3ASPD|1AART	146ASPD|24567VULN|3AART|46BPWR|8LIT|9ERES|aRCR
62	11622 11354	1	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|2789VULN|3LWND|4DMG|5TLV|6RCR|aCDMG
63	12121 43354	1	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|2LWND|3589VULN|4DMG|6TLV|7RCR|aCDMG
64	12122 11354	1	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|2LWND|3789VULN|4DMG|5TLV|6RCR|aCDMG
65	14212 11354	2	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|2DMG|3789VULN|4LHND|5TLV|6RCR|aCDMG
66	14232 11354	2	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|2DMG|3789VULN|4LWND|5TLV|6RCR|aCDMG
67	15122 11354	2	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|2LHND|3789VULN|4DMG|5TLV|6RCR|aCDMG
68	15322 11354	3	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|2LHND|3789VULN|4DMG|5TLV|6RCR|aCDMG
69	16122 11354	2	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|2LWND|3789VULN|4DMG|5TLV|6RCR|aCDMG
70	16212 11354	1	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|2DMG|3789VULN|4LHND|5TLV|6RCR|aCDMG
71	16232 11354	1	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|2DMG|3789VULN|4LWND|5TLV|6RCR|aCDMG
72	16322 11354	3	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|2LWND|3789VULN|4DMG|5TLV|6RCR|aCDMG
73	34122 11354	1	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1FEWX|2BEXP|3789VULN|4DMG|5TLV|6RCR|aCDMG
74	13122 11354	1	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1BEXP|2DUST|3789VULN|4DMG|5TLV|6RCR|aCDMG
75	41453 13333	9	   	254.53	DCR|4VULN|1TLV|3ASPD|1AART	146ASPD|2456VULN|3AART|46BPWR|7LWND|8TLV|9LEGI|aRCR
76	41312 42737	8	   	254.28	DCR|3DMG|3DUR|1VULN|3ASPD|1CDMG	179ASPD|2VULN|3MBVNT|479DUR|5RPLT|679DMG|79BPWR|8RCR|aCDMG
77	14261 43313	2	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|2aDMG|358VULN|4DUR|6TLV|7RCR|9FEWX
78	14262 11313	2	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|2aDMG|378VULN|4DUR|5TLV|6RCR|9FEWX
79	16261 43313	1	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|2aDMG|358VULN|4DUR|6TLV|7RCR|9FEWX
80	16262 11313	1	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|2aDMG|378VULN|4DUR|5TLV|6RCR|9FEWX
81	14262 11631	2	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|28DMG|37aVULN|4DUR|5TLV|6RCR|9BBNT
82	16262 11631	1	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|28DMG|37aVULN|4DUR|5TLV|6RCR|9BBNT
83	22423 62531	3	   	253.81	DCR|4VULN|1TLV|1DUR|1SELL	1LIT|2479VULN|3SELL|5DUR|6RCR|8ASPD|aTLV
84	22444 62342	3	 * 	253.76	DCR|3VULN|2TLV|2DUR|2LIT|1SELL	19LIT|28aVULN|3SELL|4MBVNT|59DUR|6RCR|79TLV|9BPWR
85	43321 43315	1	   	253.69	DCR|4VULN|1TLV|2ASPD|1DUR	15ASPD|2TLV|3DUR|458aVULN|5BPWR|6FEWX|7RCR|9BEXP
86	43321 43331	1	   	253.59	DCR|4VULN|1TLV|2ASPD|1DUR	15ASPD|2TLV|3DUR|458aVULN|5BPWR|6FEWX|7RCR|9BBNT
87	14223 52433	9	 * 	253.44	DCR|3VULN|3DMG|1TLV	1BEXP|245DMG|3CGEN|689VULN|7RCR|aTLV
88	43322 11362	1	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DUR|478VULN|5BEXP|6RCR|9LIT|aDMG
89	14262 11363	2	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|378VULN|4DUR|5TLV|6RCR|9LIT|aASPD
90	16262 11363	1	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|378VULN|4DUR|5TLV|6RCR|9LIT|aASPD
91	41162 11362	2	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1ASPD|278VULN|3BEXP|4DUR|5TLV|6RCR|9LIT|aDMG
92	43322 12354	1	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1ASPD|2TLV|37DUR|489VULN|5BEXP|6RCR|aCDMG
93	22551 12632	9	 * 	252.90	DCR|3VULN|3TLV|1DMG|2LIT|1AART	1aLIT|24aVULN|3DMG|5BEXP|69aTLV|7AART|8RCR|aBPWR
94	41453 11311	7	   	252.88	DCR|4VULN|3ASPD|1DUR|1AART	146ASPD|2456VULN|3AART|46BPWR|7ERES|8DUR|9RCR|aLIT
95	11534 23184	1	   	252.81	DCR|3VULN|3DUR|1TLV	19aBEXP|29aVULN|3LIT|4RMIN|5MBVNT|6TLV|79aDUR|8RCR|9aBPWR
96	43321 43313	1	   	252.70	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	15ASPD|2TLV|3DUR|458VULN|5BPWR|6FEWX|7RCR|9BEXP|aDMG
97	43321 43321	1	   	252.70	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	15ASPD|2TLV|3DUR|458VULN|5BPWR|69FEWX|7RCR|aDMG
98	43321 43353	1	   	252.70	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	15ASPD|2TLV|3DUR|458VULN|5BPWR|6FEWX|7RCR|9LWND|aDMG
99	43321 43363	1	   	252.70	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	15ASPD|2TLV|3DUR|458VULN|5BPWR|6FEWX|7RCR|9LHND|aDMG
100	43321 43333	1	   	252.60	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	15ASPD|2TLV|3DUR|458VULN|5BPWR|6FEWX|7RCR|9BBNT|aDMG
101	14262 12362	2	 * 	252.24	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2aDMG|38VULN|47DUR|5TLV|6RCR|9LIT
102	16262 12362	1	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	1BEXP|2aDMG|38VULN|47DUR|5TLV|6RCR|9LIT
103	53245 81334	2	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	1RCVC|28aVULN|3MBVNT|4AART|5LHND|6aDMG|7aDUR|9RCR|aBPWR
104	53244 81334	2	   	252.08	DCR|3VULN|2DMG|2DUR|1AART	1RCVC|28aVULN|3MBVNT|4AART|5LEGI|6aDMG|7aDUR|9RCR|aBPWR
105	53248 41334	2	   	252.08	DCR|3VULN|2DMG|2DUR|1AART	1RCVC|28aVULN|3MBVNT|4AART|5aDMG|6LEGI|7aDUR|9RCR|aBPWR
106	53244 77334	2	   	252.08	DCR|3VULN|2DMG|2DUR|1AART	1RCVC|28aVULN|3MBVNT|4AART|5LEGI|6aDUR|7aDMG|9RCR|aBPWR
107	41412 63312	8	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1ASPD|29aVULN|3AART|4CDMG|5TLV|6RCR|7LWND|8DMG
108	41411 12322	5	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1ASPD|28aVULN|3AART|4CDMG|5LWND|6TLV|7DMG|9RCR
109	41412 52322	5	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1ASPD|28aVULN|3AART|4CDMG|5TLV|6LWND|7DMG|9RCR
110	41416 12322	4	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1ASPD|28aVULN|3AART|4CDMG|5LWND|6TLV|7DMG|9RCR
111	41416 12322	3	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1ASPD|28aVULN|3AART|4CDMG|5LWND|6TLV|7DMG|9RCR
112	41416 12322	5	   	251.82	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1ASPD|28aVULN|3AART|4CDMG|5LHND|6TLV|7DMG|9RCR
113	41335 23281	6	   	251.80	DCR|3VULN|3DMG|2ASPD	1aASPD|25aVULN|3MBVNT|4FEWX|6LIT|79aDMG|8RCR|aBPWR
114	41451 22312	8	   	251.73	DCR|4VULN|2DUR|2ASPD|1AART	14ASPD|249aVULN|3AART|4BPWR|57DUR|6RPLT|8RCR
115	11332 13634	1	   	251.54	DCR|3VULN|2DMG|1TLV|1CDMG	15BEXP|245VULN|3RPLT|5BPWR|6CDMG|78DMG|9TLV|aRCR
116	22332 62531	5	   	251.45	DCR|4VULN|1TLV|1CDMG	1LIT|2579VULN|3BEXP|4CDMG|6RCR|8ASPD|aTLV
117	12122 11654	1	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	1BEXP|2LWND|379VULN|48DMG|5TLV|6RCR|aCDMG
118	13122 11654	1	   	251.34	DCR|3VULN|2DMG|1TLV|1CDMG	1BEXP|2DUST|379VULN|48DMG|5TLV|6RCR|aCDMG
119	22535 51231	8	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LIT|29VULN|34DMG|5RCVC|6CDMG|7RCR|8DUR|aTLV
120	22535 51233	10	   	251.30	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LIT|2aVULN|34DMG|5RCVC|6CDMG|7RCR|8DUR|9TLV
121	41312 63264	4	 * 	251.12	DCR|2VULN|3DUR|3TLV|3ASPD|1SELL	19aASPD|28VULN|3MBVNT|49aDUR|59aTLV|6RCR|7SELL|9aBPWR
122	14262 12315	2	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|2DMG|38aVULN|47DUR|5TLV|6RCR|9FEWX
123	14262 12353	2	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|2DMG|389VULN|47DUR|5TLV|6RCR|aFEWX
124	16262 12315	1	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|2DMG|38aVULN|47DUR|5TLV|6RCR|9FEWX
125	16262 12353	1	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|2DMG|389VULN|47DUR|5TLV|6RCR|aFEWX
126	22221 11131	9	   	251.04	DCR|3VULN|2DUR|1TLV|3LIT	139LIT|29aVULN|4RCVC|5LWND|6TLV|79DUR|8RCR|9BPWR
127	22221 15531	9	   	251.04	DCR|3VULN|2DUR|1TLV|3LIT	139LIT|29aVULN|4RCVC|5LWND|6TLV|7RCR|89DUR|9BPWR
128	22225 15531	9	   	251.04	DCR|3VULN|2DUR|1TLV|3LIT	139LIT|29aVULN|4RCVC|5FEWX|6TLV|7RCR|89DUR|9BPWR
129	22326 15531	9	   	251.04	DCR|3VULN|2DUR|1TLV|3LIT	159LIT|29aVULN|3BEXP|4RCVC|6TLV|7RCR|89DUR|9BPWR
130	53131 11131	9	   	251.04	DCR|3VULN|2DUR|1TLV|3LIT	1RCVC|29aVULN|349LIT|5LWND|6TLV|79DUR|8RCR|9BPWR
131	53131 15531	9	   	251.04	DCR|3VULN|2DUR|1TLV|3LIT	1RCVC|29aVULN|349LIT|5LWND|6TLV|7RCR|89DUR|9BPWR
132	53166 11131	9	   	251.04	DCR|3VULN|2DUR|1TLV|3LIT	1RCVC|29aVULN|359LIT|4LHND|6TLV|79DUR|8RCR|9BPWR
133	11232 11554	2	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1BEXP|2ERES|3789VULN|4DUR|5TLV|6RCR|aCDMG
134	11232 11554	1	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1BEXP|2789VULN|3ERES|4DUR|5TLV|6RCR|aCDMG
135	14262 12331	2	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|2DMG|38aVULN|47DUR|5TLV|6RCR|9BBNT
136	14262 12352	2	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|2DMG|389VULN|47DUR|5TLV|6RCR|aERES
137	16262 12331	1	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|2DMG|38aVULN|47DUR|5TLV|6RCR|9BBNT
138	16262 12352	1	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1BEXP|2DMG|389VULN|47DUR|5TLV|6RCR|aERES
139	22531 12612	8	 * 	250.90	DCR|2VULN|2DMG|2TLV|3LIT|1AART	19aLIT|2aVULN|34DMG|5BEXP|6aTLV|7AART|8RCR|aBPWR
140	22534 12612	8	   	250.90	DCR|2VULN|2DMG|2TLV|3LIT|1AART	19aLIT|2aVULN|34DMG|5FEWX|6aTLV|7AART|8RCR|aBPWR
141	22235 13235	5	   	250.84	DCR|3VULN|2DUR|1TLV|3LIT	134LIT|257VULN|6RCR|8aDUR|9TLV
142	22232 15415	8	   	250.84	DCR|3VULN|2DUR|1TLV|3LIT	134LIT|267VULN|5TLV|8aDUR|9RCR
143	22232 15441	10	   	250.84	DCR|3VULN|2DUR|1TLV|3LIT	134LIT|267VULN|5TLV|8aDUR|9RCR
144	14262 13224	2	   	250.79	DCR|3VULN|2DUR|1TLV|1DMG|1SELL	1BEXP|2DMG|38aVULN|49DUR|5TLV|6RCR|7SELL
145	16262 13224	1	   	250.79	DCR|3VULN|2DUR|1TLV|1DMG|1SELL	1BEXP|2DMG|38aVULN|49DUR|5TLV|6RCR|7SELL
146	41112 13156	4	 * 	250.53	DCR|2VULN|2TLV|2DUR|1DMG|2ASPD|1SELL	19ASPD|29VULN|3FEWX|48DUR|59TLV|6RCR|7SELL|9BPWR|aDMG
147	22335 32532	6	   	250.47	DCR|3VULN|1TLV|1DMG|1CDMG	1LIT|279VULN|3BEXP|4CDMG|5TLV|6ASPD|8DMG|aRCR
148	22551 11232	8	   	250.47	DCR|3VULN|1TLV|1DMG|1CDMG	1LIT|249VULN|3DMG|5BEXP|6TLV|7ASPD|8CDMG|aRCR
149	22551 11242	9	   	250.47	DCR|3VULN|1TLV|1DMG|1CDMG	1LIT|249VULN|3DMG|5BEXP|6TLV|7ASPD|8CDMG|aRCR
150	22553 11242	9	   	250.47	DCR|3VULN|1TLV|1DMG|1CDMG	1LIT|249VULN|3DMG|5LWND|6TLV|7ASPD|8CDMG|aRCR
151	22554 11232	8	   	250.47	DCR|3VULN|1TLV|1DMG|1CDMG	1LIT|249VULN|3DMG|5FEWX|6TLV|7ASPD|8CDMG|aRCR
152	22335 22532	6	   	250.47	DCR|3VULN|1TLV|1DMG|1CDMG	1LIT|279VULN|3BEXP|4CDMG|5TLV|6DMG|8ASPD|aRCR
153	22634 63332	8	   	250.44	DCR|3VULN|2TLV|1DMG|1CDMG	1LIT|289VULN|3ZMB|4DMG|58FEWX|6CDMG|78TLV|8BPWR|aRCR
154	41312 42737	10	   	250.29	DCR|3DMG|3DUR|1VULN|3ASPD|1AART	17aASPD|2VULN|3MBVNT|47aDUR|5RPLT|67aDMG|7aBPWR|8RCR|9AART
155	14262 11324	2	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	19BEXP|2DMG|378VULN|4DUR|5TLV|6RCR|aCDMG
156	16262 11324	1	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	19BEXP|2DMG|378VULN|4DUR|5TLV|6RCR|aCDMG
157	22524 63332	8	   	249.88	DCR|2VULN|2DMG|2TLV|2LIT|1CDMG	18LIT|29VULN|38DMG|4RMIN|5FEWX|6CDMG|78TLV|8BPWR|aRCR
158	22533 16612	9	   	249.88	DCR|2VULN|2DMG|2TLV|2LIT|1CDMG	17LIT|27VULN|34DMG|5LWND|67TLV|7BPWR|8CDMG|9BELT|aRCR
159	22533 16632	9	   	249.88	DCR|2VULN|2DMG|2TLV|2LIT|1CDMG	17LIT|27VULN|34DMG|5LWND|67TLV|7BPWR|8CDMG|9CGEN|aRCR
160	22533 16622	8	   	249.78	DCR|2VULN|2DMG|2TLV|2LIT|1CDMG	17LIT|27VULN|34DMG|5LWND|67TLV|7BPWR|8CDMG|9ERES|aRCR
161	21552 52131	6	   	249.70	DCR|4VULN|1TLV|2LIT|1CDMG	15LIT|2ERES|3BEXP|4579VULN|5BPWR|6CDMG|8RCR|aTLV
162	24111 25434	3	   	249.60	DCR|4VULN|1TLV|2LIT|1CDMG	12LIT|3MBVNT|459aVULN|6TLV|7CDMG|8RCR
163	41111 43351	2	   	249.56	DCR|4VULN|1TLV|1DMG	1ASPD|2589VULN|3BEXP|4LHND|6TLV|7RCR|aDMG
164	41131 43351	2	   	249.56	DCR|4VULN|1TLV|1DMG	1ASPD|2589VULN|3BEXP|4LWND|6TLV|7RCR|aDMG
165	11621 43351	1	   	249.56	DCR|4VULN|1TLV|1DMG	1BEXP|2589VULN|3LWND|4DMG|6TLV|7RCR|aASPD
166	11622 11351	1	   	249.56	DCR|4VULN|1TLV|1DMG	1BEXP|2789VULN|3LWND|4DMG|5TLV|6RCR|aASPD
167	12121 43351	1	   	249.56	DCR|4VULN|1TLV|1DMG	1BEXP|2LWND|3589VULN|4DMG|6TLV|7RCR|aASPD
