0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36122 52224	5	 * 	302.21	DCR|4VULN|3DMG|3DUR	128DUR|348aVULN|5AART|678DMG|8BPWR|9RCR
18	14612 15221	5	   	281.83	DCR|4VULN|3DMG|3ASPD	138ASPD|268DMG|4689VULN|5AART|68BPWR|7RCR|aDMSP
19	14612 15223	5	   	281.83	DCR|4VULN|3DMG|3ASPD	138ASPD|268DMG|4689VULN|5AART|68BPWR|7RCR|aFEWX
20	12112 15222	5	   	281.73	DCR|4VULN|3DMG|3ASPD	128ASPD|368DMG|4689VULN|5AART|68BPWR|7RCR|aTBNT
21	12112 15226	5	   	281.73	DCR|4VULN|3DMG|3ASPD	128ASPD|368DMG|4689VULN|5AART|68BPWR|7RCR|aERES
22	14612 15222	5	   	281.73	DCR|4VULN|3DMG|3ASPD	138ASPD|268DMG|4689VULN|5AART|68BPWR|7RCR|aTBNT
23	15331 56123	4	   	281.40	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1ASPD|245VULN|34DUR|4BPWR|6CDMG|7RCR|8DMG|9LIT|aTLV
24	36122 52221	5	   	281.16	DCR|3VULN|3DMG|3DUR	128DUR|348VULN|5AART|678DMG|8BPWR|9RCR|aLHND
25	36122 52225	5	   	281.16	DCR|3VULN|3DMG|3DUR	128DUR|348VULN|5AART|678DMG|8BPWR|9RCR|aBEXP
26	36533 32224	5	   	281.16	DCR|3VULN|3DMG|3DUR	128DUR|348DMG|5AART|6RCVC|78aVULN|8BPWR|9RCR
27	36122 52222	5	   	281.06	DCR|3VULN|3DMG|3DUR	128DUR|348VULN|5AART|678DMG|8BPWR|9RCR|aTBNT
28	36521 71241	3	   	280.51	DCR|3VULN|3DUR|1TLV|1DMG|2ASPD	129DUR|3DMG|4MBVNT|589VULN|69ASPD|7RCR|9BPWR|aTLV
29	42121 22642	7	   	279.82	DCR|4VULN|2DMG|2DUR|2ASPD	19DMG|26ASPD|3459VULN|7BELT|89DUR|9BPWR|aRCR
30	42126 51123	9	   	279.81	DCR|3VULN|3DMG|3DUR	189DMG|2ASPD|349VULN|59aDUR|6RCR|7RPLT|9BPWR
31	46814 21241	1	   	279.72	DCR|4VULN|2DMG|2DUR|2ASPD	19DMG|2MBVNT|36DUR|49ASPD|589aVULN|7RCR|9BPWR
32	16851 41241	1	   	279.72	DCR|4VULN|2DMG|2DUR|2ASPD	19ASPD|2MBVNT|34DUR|589aVULN|69DMG|7RCR|9BPWR
33	32321 41147	3	   	279.71	DCR|3VULN|3DMG|3DUR	139DUR|2ASPD|4MBVNT|59aVULN|689DMG|7RCR|9BPWR
34	15323 16161	4	   	278.37	DCR|3VULN|2DMG|2TLV|2ASPD|1DUR	19ASPD|29aVULN|3DUR|46TLV|5LEGI|7RCR|89DMG|9BPWR
35	43122 23553	9	 * 	276.80	DCR|3VULN|2DMG|2TLV|2DUR	19DMG|2MLV|349VULN|56DUR|7ERES|89TLV|9BPWR|aRCR
36	42163 12225	6	   	276.24	DCR|3VULN|3DMG|2DUR	168DMG|2ASPD|378VULN|48DUR|5AART|8BPWR|9RCR|aLWND
37	42163 12222	6	   	276.14	DCR|3VULN|3DMG|2DUR	168DMG|2ASPD|378VULN|48DUR|5AART|8BPWR|9RCR|aLEGI
38	42163 12223	6	   	276.14	DCR|3VULN|3DMG|2DUR	168DMG|2ASPD|378VULN|48DUR|5AART|8BPWR|9RCR|aMBVNT
39	42163 12226	6	   	276.14	DCR|3VULN|3DMG|2DUR	168DMG|2ASPD|378VULN|48DUR|5AART|8BPWR|9RCR|aERES
40	42163 12242	6	   	276.14	DCR|3VULN|3DMG|2DUR	168DMG|2ASPD|378VULN|48DUR|5AART|8BPWR|9BBNT|aRCR
41	15231 24613	10	   	275.88	DCR|4VULN|2DUR|1DMG|2ASPD|1CDMG	19ASPD|2489VULN|3LHND|5CDMG|6RCR|79DUR|9BPWR|aDMG
42	15335 63112	10	   	275.46	DCR|5VULN|3DUR	1ASPD|2479aVULN|345DUR|4BPWR|6AART|8RCR
43	15335 63113	9	   	275.46	DCR|5VULN|3DUR	1ASPD|2479aVULN|345DUR|4BPWR|6AART|8RCR
44	36122 24223	7	   	274.91	DCR|4VULN|3DUR|1TLV	127DUR|349aVULN|5AART|6RCR|8TLV
45	36122 24512	10	   	274.91	DCR|4VULN|3DUR|1TLV	127DUR|349aVULN|5AART|6RCR|8TLV
46	36122 24513	9	   	274.91	DCR|4VULN|3DUR|1TLV	127DUR|349aVULN|5AART|6RCR|8TLV
47	36122 24523	8	   	274.91	DCR|4VULN|3DUR|1TLV	127DUR|349aVULN|5AART|6RCR|8TLV
48	12112 15244	5	   	274.43	DCR|3VULN|3DMG|3ASPD|1CDMG	128ASPD|368DMG|468VULN|5AART|68BPWR|7RCR|9LHND|aCDMG
49	12112 15264	5	   	274.43	DCR|3VULN|3DMG|3ASPD|1CDMG	128ASPD|368DMG|468VULN|5AART|68BPWR|7RCR|9LWND|aCDMG
50	14122 15215	5	   	274.40	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9FEWX|aLWND
51	14122 15221	5	   	274.40	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9RMIN|aRPLT
52	14122 15222	5	   	274.40	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9RMIN|aCGEN
53	14122 15235	5	   	274.40	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9BEXP|aLWND
54	14122 15252	5	   	274.40	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9LHND|aDMSP
55	14122 15253	5	   	274.40	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9LHND|aRPLT
56	46814 21141	1	   	274.32	DCR|3VULN|3DMG|2DUR|2ASPD	189DMG|2MBVNT|36DUR|49ASPD|59aVULN|7RCR|9BPWR
57	16851 41141	1	   	274.32	DCR|3VULN|3DMG|2DUR|2ASPD	19ASPD|2MBVNT|34DUR|59aVULN|689DMG|7RCR|9BPWR
58	14122 15212	5	   	274.30	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9FEWX|aLEGI
59	14122 15213	5	   	274.30	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9FEWX|aMBVNT
60	14122 15216	5	   	274.30	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9FEWX|aERES
61	14122 15223	5	   	274.30	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9RMIN|aERES
62	14122 15226	5	   	274.30	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9RMIN|aBBNT
63	14122 15232	5	   	274.30	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9BEXP|aLEGI
64	14122 15233	5	   	274.30	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9BEXP|aMBVNT
65	14122 15236	5	   	274.30	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9BEXP|aERES
66	14122 15242	5	   	274.30	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9BBNT|aRMIN
67	14122 15243	5	   	274.30	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9BBNT|aBEXP
68	14122 15241	5	   	274.20	DCR|4VULN|3DMG|2ASPD	18ASPD|268DMG|3468VULN|5AART|68BPWR|7RCR|9BBNT|aERES
69	14122 15212	6	   	274.05	DCR|4VULN|2DMG|3ASPD|2AART	18aASPD|28DMG|348aVULN|56AART|7RCR|8aBPWR|9aLHND
70	14122 15262	6	   	274.05	DCR|4VULN|2DMG|3ASPD|2AART	18aASPD|28DMG|348aVULN|56AART|7RCR|8aBPWR|9aFEWX
71	32331 53451	9	   	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	138DUR|27ASPD|48DMG|58VULN|6RCR|8BPWR|9LWND|aTLV
72	32321 41741	3	   	273.41	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	139DUR|28ASPD|4MBVNT|59VULN|69DMG|7RCR|9BPWR|aTLV
73	32331 53411	8	   	273.41	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	138DUR|27ASPD|48DMG|58VULN|6RCR|8BPWR|9DUST|aTLV
74	32331 53441	8	   	273.41	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	138DUR|27ASPD|48DMG|58VULN|6RCR|8BPWR|9LEGI|aTLV
75	36521 71141	3	   	273.41	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	129DUR|38DMG|4MBVNT|59VULN|69ASPD|7RCR|9BPWR|aTLV
76	15332 15121	7	   	272.67	DCR|3VULN|3DUR|1TLV|1DMG	1ASPD|246VULN|349DUR|4BPWR|5LWND|7DMG|8RCR|aTLV
77	15332 15131	7	   	272.63	DCR|5VULN|2DUR|1DMG	1ASPD|2469aVULN|34DUR|4BPWR|5LWND|7DMG|8RCR
78	12421 41241	2	   	272.57	DCR|4VULN|2DMG|3ASPD|1DUR	129ASPD|3DUR|4MBVNT|589aVULN|69DMG|7RCR|9BPWR
79	16811 41241	1	   	272.57	DCR|4VULN|2DMG|3ASPD|1DUR	149ASPD|2MBVNT|3DUR|589aVULN|69DMG|7RCR|9BPWR
80	46814 41241	1	   	272.57	DCR|4VULN|2DMG|3ASPD|1DUR	19DMG|2MBVNT|3DUR|469ASPD|589aVULN|7RCR|9BPWR
81	36533 22223	7	   	272.55	DCR|2VULN|3DMG|3DUR|2AART	128DUR|348DMG|57AART|68VULN|8BPWR|9RCR|aLIT
82	36122 36224	6	 * 	272.49	DCR|4VULN|3DUR|3ASPD	128DUR|348aVULN|5AART|678ASPD|8BPWR|9RCR
