0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11333 43124	1	 * 	276.04	DCR|4VULN|2DUR|2ASPD|1TLV	1aCGEN|2aDUR|3469VULN|5TLV|7RCR|8aASPD|aBPWR
21	52113 22333	8	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR|1NUKE	18aVULN|2BEXP|3NUKE|48TLV|5DUR|6FEWX|78DMG|8BPWR|9RCR
22	53113 22333	8	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR|1NUKE	18aVULN|2LWND|3NUKE|48TLV|5DUR|6FEWX|78DMG|8BPWR|9RCR
23	11335 13424	1	 * 	258.44	DCR|4VULN|2DUR|1DMG	1aCGEN|2aDUR|3459VULN|6DMG|7RCR|8aERES|aBPWR
24	51325 24112	2	 * 	258.44	DCR|4VULN|3ASPD|1DMG	168aVULN|2LHND|3DMG|4RPLT|569ASPD|6BPWR|7RCR
25	22334 23424	1	   	258.34	DCR|4VULN|2DUR|2TLV	1RMIN|2aDUR|3469VULN|5aTLV|7RCR|8aERES|aBPWR
26	54331 62221	1	 * 	258.24	DCR|4VULN|2DUR|3LIT	1369VULN|29DUR|4BBNT|578LIT|9BPWR|aRCR
27	53311 12221	1	   	258.24	DCR|4VULN|2DUR|3LIT	1349VULN|2BBNT|49BPWR|59DUR|678LIT|aRCR
28	53314 52221	1	   	258.24	DCR|4VULN|2DUR|3LIT	1349VULN|2BBNT|49BPWR|578LIT|69DUR|aRCR
29	26323 23241	8	 * 	257.45	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	1RMIN|2LEGI|3aASPD|45DUR|6AART|7aVULN|8RCR|9aDMG|aBPWR
30	11335 12462	1	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1CGEN|2DUR|345aVULN|6DMG|7CDMG|8TBNT|9RCR
31	55333 23622	2	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	136aVULN|2FEWX|4ERES|5TLV|7RCR|8DMG|9CDMG
32	54313 52122	1	 * 	257.33	DCR|3VULN|3DUR|2CDMG	135VULN|259DUR|4RPLT|5BPWR|6LIT|7aCDMG|8RCR
33	11335 13112	1	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	1CGEN|2aDUR|345VULN|6DMG|7RCR|8ASPD|9AART
34	16221 42631	3	   	255.97	DCR|4VULN|2CDMG|1DMG	13CGEN|25CDMG|4579VULN|5BPWR|6RCR|8LIT|aDMG
35	32334 32133	1	 * 	255.87	DCR|4VULN|1DMG|2TLV	1FEWX|25TLV|3468VULN|7DMG|9LIT|aRCR
36	52434 32133	3	   	255.87	DCR|4VULN|1DMG|2TLV	1468VULN|2BEXP|35TLV|7DMG|9LIT|aRCR
37	11335 13113	1	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1CGEN|2DUR|345VULN|6DMG|7RCR|8ASPD|9AART|aCDMG
38	11333 43345	1	   	255.29	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1CGEN|29DUR|346VULN|5TLV|7RCR|8AART|aCDMG
39	53316 82334	1	 * 	255.25	DCR|5VULN|1DMG	1347aVULN|2BBNT|4BPWR|5MBVNT|6RCR|8LIT|9DMG
40	51332 14532	1	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	13aVULN|2LWND|4BBNT|59DMG|6TLV|7DUR|8RCR
41	53322 14532	1	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	13aVULN|2BBNT|4BEXP|59DMG|6TLV|7DUR|8RCR
42	53332 14532	2	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	13aVULN|2LWND|4BBNT|59DMG|6TLV|7DUR|8RCR
43	54332 12532	1	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	13aVULN|2DUR|4BBNT|59DMG|6TLV|7LWND|8RCR
44	54332 13532	1	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	13aVULN|2DUR|4BBNT|59DMG|6TLV|7LHND|8RCR
45	15112 33154	6	   	254.92	DCR|4VULN|3ASPD|1TLV	19aCGEN|269aVULN|35LHND|4TLV|7RCR|89aASPD|9aBPWR
46	42312 33154	6	   	254.92	DCR|4VULN|3ASPD|1TLV	159aLHND|269aVULN|3CGEN|4TLV|7RCR|89aASPD|9aBPWR
47	51312 33154	6	   	254.92	DCR|4VULN|3ASPD|1TLV	169aVULN|259aLHND|3CGEN|4TLV|7RCR|89aASPD|9aBPWR
48	11333 43336	1	   	254.89	DCR|3VULN|1DMG|2AART|1TLV|1DUR	1CGEN|2DUR|346VULN|5TLV|7RCR|89AART|aDMG
49	11335 13125	1	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	19CGEN|2DUR|345aVULN|6DMG|7RCR|8ASPD
50	11335 13165	1	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1CGEN|2DUR|345aVULN|6DMG|7RCR|8ASPD|9DMSP
51	12333 43416	1	   	254.62	DCR|4VULN|2DUR|1TLV	1aCGEN|2DUST|346aVULN|5TLV|7RCR|8ERES|9aDUR|aBPWR
52	13333 43416	2	   	254.62	DCR|4VULN|2DUR|1TLV	1aCGEN|2DUST|346aVULN|5TLV|7RCR|8ERES|9aDUR|aBPWR
53	15214 13116	3	   	253.93	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	13CGEN|2aVULN|4MLV|5TLV|6aDMG|7RCR|8ASPD|9aDUR|aBPWR
54	15314 13116	2	   	253.93	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	1CGEN|2aVULN|3RCVC|4MLV|5TLV|6aDMG|7RCR|8ASPD|9aDUR|aBPWR
55	54223 13336	7	   	253.85	DCR|3VULN|2DMG|1DUR|2LIT	19aVULN|2RCVC|39DMG|4DMSP|5DUR|6FEWX|7RCR|89LIT|9BPWR
56	54233 13336	7	   	253.85	DCR|3VULN|2DMG|1DUR|2LIT	19aVULN|24RCVC|39DMG|5DUR|6FEWX|7RCR|89LIT|9BPWR
57	11254 13116	4	   	253.73	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	1CGEN|24aERES|34VULN|4aBPWR|5TLV|6aDMG|7RCR|8ASPD|9aDUR
58	52162 52132	6	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG|1NUKE	1467VULN|24BEXP|3NUKE|4BPWR|5CDMG|8RCR|9TLV|aDUR
59	11333 43314	1	   	253.61	DCR|4VULN|2TLV|1DUR|1AART	1aCGEN|2DUR|346aVULN|5aTLV|7RCR|8AART|9RCVC|aBPWR
60	11333 42462	1	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1CGEN|2DUR|346aVULN|5TLV|7CDMG|8TBNT|9RCR
61	22334 22462	1	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1RMIN|2DUR|346aVULN|5TLV|7CDMG|8TBNT|9RCR
62	11333 13124	1	   	253.39	DCR|3VULN|2DUR|2ASPD|1TLV	16aCGEN|2aDUR|349VULN|5TLV|7RCR|8aASPD|aBPWR
63	11333 43164	1	   	253.39	DCR|3VULN|2DUR|2ASPD|1TLV	1aCGEN|2aDUR|346VULN|5TLV|7RCR|8aASPD|9DMSP|aBPWR
64	11333 53124	1	   	253.39	DCR|3VULN|2DUR|2ASPD|1TLV	1aCGEN|2aDUR|349VULN|5TLV|6RCVC|7RCR|8aASPD|aBPWR
65	11363 43124	1	   	253.39	DCR|3VULN|2DUR|2ASPD|1TLV	14aCGEN|2aDUR|369VULN|5TLV|7RCR|8aASPD|aBPWR
66	21225 32156	6	   	253.29	DCR|3VULN|2DUR|2ASPD|1TLV	1RMIN|26aVULN|3CGEN|4aDUR|5ERES|7TLV|8aASPD|9RCR|aBPWR
67	11335 13332	1	   	253.23	DCR|3VULN|2DUR|1DMG|2AART	1CGEN|2aDUR|345VULN|6DMG|7RCR|89AART
68	53162 13262	1	 * 	253.16	DCR|3VULN|3DMG|2LIT	179VULN|2BBNT|357DMG|4RMIN|67LIT|7BPWR|8ZMB|aRCR
69	53162 13362	1	   	253.16	DCR|3VULN|3DMG|2LIT	179VULN|2BBNT|357DMG|4RMIN|67LIT|7BPWR|8MLV|aRCR
70	22334 23112	1	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1RMIN|2aDUR|346VULN|5TLV|7RCR|8ASPD|9AART
71	15165 13122	4	   	252.36	DCR|4VULN|1DMG|1CDMG|1ASPD	1CGEN|245aVULN|34LHND|4BPWR|6DMG|7RCR|8ASPD|9CDMG
72	42365 13122	4	   	252.36	DCR|4VULN|1DMG|1CDMG|1ASPD	1LHND|245aVULN|34CGEN|4BPWR|6DMG|7RCR|8ASPD|9CDMG
73	11254 13612	4	   	252.35	DCR|3VULN|2DMG|1TLV|1CDMG	1CGEN|24ERES|349VULN|4BPWR|5TLV|68DMG|7RCR|aCDMG
74	32314 54322	1	   	252.35	DCR|3VULN|2DMG|1TLV|1CDMG	1FEWX|2TLV|37aVULN|4ERES|56DMG|8RCR|9CDMG
75	11335 13333	1	   	252.29	DCR|3VULN|1DMG|2AART|1DUR|1CDMG	1CGEN|2DUR|345VULN|6DMG|7RCR|89AART|aCDMG
76	21314 13364	2	 * 	252.27	DCR|3VULN|2DMG|3TLV|1AART	1RMIN|23aVULN|4MLV|59aTLV|6aDMG|7RCR|8AART|aBPWR
77	42463 23122	4	   	252.26	DCR|4VULN|2TLV|1CDMG|1ASPD	1LHND|246aVULN|34TLV|4BPWR|5ZMB|7RCR|8ASPD|9CDMG
78	15135 13122	3	   	252.26	DCR|4VULN|1DMG|1CDMG|1ASPD	1CGEN|245aVULN|3LHND|6DMG|7RCR|8ASPD|9CDMG
79	42335 13122	3	   	252.26	DCR|4VULN|1DMG|1CDMG|1ASPD	1LHND|245aVULN|3CGEN|6DMG|7RCR|8ASPD|9CDMG
80	51335 13122	3	   	252.26	DCR|4VULN|1DMG|1CDMG|1ASPD	145aVULN|2LHND|3CGEN|6DMG|7RCR|8ASPD|9CDMG
81	53335 13122	3	   	252.26	DCR|4VULN|1DMG|1CDMG|1ASPD	145aVULN|2LWND|3CGEN|6DMG|7RCR|8ASPD|9CDMG
82	52435 32133	3	   	252.16	DCR|4VULN|1DMG|1TLV	1468VULN|25BEXP|3TLV|7DMG|9LIT|aRCR
83	55324 32133	2	   	252.16	DCR|4VULN|1DMG|1TLV	1368VULN|24FEWX|5TLV|7DMG|9LIT|aRCR
84	15135 13122	2	   	252.16	DCR|4VULN|1DMG|1CDMG|1ASPD	1CGEN|245aVULN|3LEGI|6DMG|7RCR|8ASPD|9CDMG
85	42315 23122	2	   	252.16	DCR|4VULN|1DMG|1CDMG|1ASPD	1LHND|256aVULN|3DMG|4ERES|7RCR|8ASPD|9CDMG
86	51315 23122	2	   	252.16	DCR|4VULN|1DMG|1CDMG|1ASPD	156aVULN|2LHND|3DMG|4ERES|7RCR|8ASPD|9CDMG
87	56315 23122	1	   	252.16	DCR|4VULN|1DMG|1CDMG|1ASPD	156aVULN|2LHND|3DMG|4ERES|7RCR|8ASPD|9CDMG
88	54313 31233	1	   	252.02	DCR|4VULN|2DUR|1CDMG	135aVULN|25DUR|4RPLT|5BPWR|6CDMG|7LEGI|8FEWX|9RCR
89	53316 82331	1	   	251.96	DCR|4VULN|1DMG|1DUR	1347VULN|2BBNT|4BPWR|5MBVNT|6RCR|8LIT|9DMG|aDUR
90	51314 22263	2	   	251.95	DCR|3VULN|3DMG|1CDMG	169VULN|2LHND|359DMG|4ERES|7CDMG|89FEWX|9BPWR|aRCR
91	21524 32133	1	   	251.95	DCR|3VULN|3ASPD|1DMG|1TLV	1RMIN|239ASPD|3BPWR|468VULN|5TLV|7DMG|aRCR
92	54313 33232	1	   	251.92	DCR|4VULN|2DUR|1CDMG	135aVULN|25DUR|4RPLT|5BPWR|6CDMG|7BBNT|8ERES|9RCR
93	53311 16143	1	   	251.81	DCR|4VULN|1DMG|1DUR|1SELL	1349VULN|2BBNT|4BPWR|5DUR|6LIT|7RCR|8SELL|aDMG
94	22334 23113	1	   	251.71	DCR|3VULN|1TLV|1DUR|1CDMG|1ASPD|1AART	1RMIN|2DUR|346VULN|5TLV|7RCR|8ASPD|9AART|aCDMG
95	21223 43424	5	 * 	251.60	DCR|4VULN|3DUR	1RMIN|269aVULN|3CGEN|45aDUR|7RCR|8aERES|aBPWR
96	55113 31251	7	   	251.29	DCR|3VULN|2DUR|1TLV|1ASPD|1NUKE	168VULN|2FEWX|3NUKE|4TLV|56DUR|6BPWR|7ASPD|9RCR|aLIT
97	36313 13351	2	   	251.21	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	157FEWX|2CDMG|3DUR|456VULN|5BPWR|8TLV|9RCR|aDMG
98	11333 43121	1	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1CGEN|2DUR|3469VULN|5TLV|7RCR|8ASPD|aLHND
99	11333 43122	1	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1CGEN|2DUR|3469VULN|5TLV|7RCR|8ASPD|aZMB
100	11333 43123	1	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1CGEN|2DUR|3469VULN|5TLV|7RCR|8ASPD|aFEWX
101	11333 43126	1	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	1CGEN|2DUR|3469VULN|5TLV|7RCR|8ASPD|aDMSP
102	22334 23155	1	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	19RMIN|2DUR|346aVULN|5TLV|7RCR|8ASPD
103	54313 52123	1	   	251.02	DCR|3VULN|3DUR|1CDMG	135VULN|259DUR|4RPLT|5BPWR|6LIT|7CDMG|8RCR|aLHND
104	55333 23621	2	   	251.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	136VULN|2FEWX|4ERES|5TLV|7RCR|8DMG|9CDMG|aDUR
105	54312 52131	1	   	250.75	DCR|3VULN|2DUR|2CDMG|2LIT	139VULN|25DUR|4RPLT|69LIT|79CDMG|8RCR|9BPWR|aZMB
106	54312 52132	1	   	250.75	DCR|3VULN|2DUR|2CDMG|2LIT	139VULN|25DUR|4RPLT|69LIT|79CDMG|8RCR|9BPWR|aCGEN
107	54312 52133	1	   	250.65	DCR|3VULN|2DUR|2CDMG|2LIT	139VULN|25DUR|4RPLT|69LIT|79CDMG|8RCR|9BPWR|aDUST
108	21425 33163	8	   	250.59	DCR|3VULN|2DUR|2ASPD|1CDMG	1RMIN|259VULN|3ERES|49DUR|69ASPD|7RCR|8DLOT|9BPWR|aCDMG
109	21425 33162	8	   	250.17	DCR|3VULN|3DUR|2ASPD	1RMIN|259VULN|3ERES|49aDUR|69ASPD|7RCR|8DLOT|9BPWR
110	13352 42136	1	   	249.90	DCR|3VULN|2DMG|1TLV|1ASPD	18CGEN|2TBNT|3ASPD|4RPLT|58DMG|6RCR|789VULN|8BPWR|aTLV
111	36423 13223	3	 * 	249.89	DCR|4VULN|3CDMG|1DUR	1FEWX|245CDMG|3458VULN|45BPWR|6TBNT|7DUR|9BEXP|aRCR
112	42462 13122	4	   	249.68	DCR|3VULN|2TLV|1DMG|1CDMG|1ASPD	15LHND|24aVULN|34TLV|4BPWR|6DMG|7RCR|8ASPD|9CDMG
113	11335 13114	1	   	249.65	DCR|3VULN|1DMG|2AART|1DUR|1ASPD	1CGEN|2DUR|345VULN|6DMG|7RCR|8ASPD|9aAART
114	42263 23122	1	   	249.58	DCR|3VULN|2TLV|1DMG|1CDMG|1ASPD	1LHND|24TLV|3ASPD|56aVULN|7RCR|8DMG|9CDMG
115	42434 13122	3	   	249.58	DCR|3VULN|2TLV|1DMG|1CDMG|1ASPD	1LHND|24aVULN|35TLV|6DMG|7RCR|8ASPD|9CDMG
116	51434 13122	3	   	249.58	DCR|3VULN|2TLV|1DMG|1CDMG|1ASPD	14aVULN|2LHND|35TLV|6DMG|7RCR|8ASPD|9CDMG
117	53434 13122	3	   	249.58	DCR|3VULN|2TLV|1DMG|1CDMG|1ASPD	14aVULN|2LWND|35TLV|6DMG|7RCR|8ASPD|9CDMG
118	54223 43313	8	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	167VULN|2RCVC|3DMG|4DMSP|5aDUR|8RCR|9CDMG
119	54233 43313	8	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	167VULN|24RCVC|3DMG|5aDUR|8RCR|9CDMG
120	22334 23332	1	   	249.41	DCR|3VULN|2DUR|2AART|1TLV	1RMIN|2aDUR|346VULN|5TLV|7RCR|89AART
121	55213 33316	8	 * 	249.22	DCR|3VULN|3DUR|2TLV	168VULN|2FEWX|3RMIN|48TLV|568DUR|68BPWR|7DMSP|9CGEN|aRCR
122	55213 33316	9	   	249.22	DCR|3VULN|3DUR|2TLV	168VULN|2FEWX|3RMIN|48TLV|568DUR|68BPWR|7DMSP|9MLV|aRCR
123	11335 13414	1	 * 	249.02	DCR|3VULN|3DUR|1DMG	1aCGEN|29aDUR|345VULN|6DMG|7RCR|8aERES|aBPWR
124	22334 23414	1	   	248.92	DCR|3VULN|3DUR|2TLV	1RMIN|29aDUR|346VULN|5aTLV|7RCR|8aERES|aBPWR
125	15163 33122	6	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	1CGEN|246aVULN|34LHND|4BPWR|5TLV|7RCR|8ASPD|9CDMG
126	15163 43122	5	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	1CGEN|246aVULN|34LHND|4BPWR|5TLV|7RCR|8ASPD|9CDMG
127	21163 23122	5	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	1RMIN|246aVULN|34LHND|4BPWR|5TLV|7RCR|8ASPD|9CDMG
128	21163 33122	6	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	1RMIN|246aVULN|34LHND|4BPWR|5TLV|7RCR|8ASPD|9CDMG
129	21164 23122	4	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	1RMIN|246aVULN|34LHND|4BPWR|5TLV|7RCR|8ASPD|9CDMG
130	42263 23122	5	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	14LHND|246aVULN|3RMIN|4BPWR|5TLV|7RCR|8ASPD|9CDMG
131	42263 33122	6	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	14LHND|246aVULN|3RMIN|4BPWR|5TLV|7RCR|8ASPD|9CDMG
132	42264 23122	4	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	14LHND|246aVULN|3RMIN|4BPWR|5TLV|7RCR|8ASPD|9CDMG
133	42363 33122	6	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	1LHND|246aVULN|34CGEN|4BPWR|5TLV|7RCR|8ASPD|9CDMG
134	42363 43122	5	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	1LHND|246aVULN|34CGEN|4BPWR|5TLV|7RCR|8ASPD|9CDMG
135	51263 23122	5	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|24LHND|3RMIN|4BPWR|5TLV|7RCR|8ASPD|9CDMG
136	51263 33122	6	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|24LHND|3RMIN|4BPWR|5TLV|7RCR|8ASPD|9CDMG
137	51264 23122	4	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|24LHND|3RMIN|4BPWR|5TLV|7RCR|8ASPD|9CDMG
138	53263 23122	5	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|24LWND|3RMIN|4BPWR|5TLV|7RCR|8ASPD|9CDMG
139	53263 33122	6	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|24LWND|3RMIN|4BPWR|5TLV|7RCR|8ASPD|9CDMG
140	53264 23122	4	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|24LWND|3RMIN|4BPWR|5TLV|7RCR|8ASPD|9CDMG
141	56163 23122	5	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2RMIN|34LHND|4BPWR|5TLV|7RCR|8ASPD|9CDMG
142	56163 33122	6	   	248.54	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2RMIN|34LHND|4BPWR|5TLV|7RCR|8ASPD|9CDMG
143	11333 43335	1	   	248.48	DCR|3VULN|2AART|1TLV|1DUR|1CDMG	1CGEN|2DUR|346VULN|5TLV|7RCR|89AART|aCDMG
144	22334 23333	1	   	248.48	DCR|3VULN|2AART|1TLV|1DUR|1CDMG	1RMIN|2DUR|346VULN|5TLV|7RCR|89AART|aCDMG
145	11335 13145	1	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1CGEN|2DUR|345VULN|6DMG|7RCR|8ASPD|9LHND|aTLV
146	15135 13115	3	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1CGEN|245VULN|3LHND|6DMG|7RCR|8ASPD|9DUR|aTLV
147	42335 13115	3	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1LHND|245VULN|3CGEN|6DMG|7RCR|8ASPD|9DUR|aTLV
148	51335 13115	3	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	145VULN|2LHND|3CGEN|6DMG|7RCR|8ASPD|9DUR|aTLV
149	53335 13115	3	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	145VULN|2LWND|3CGEN|6DMG|7RCR|8ASPD|9DUR|aTLV
150	16333 43122	1	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1CGEN|2FEWX|346aVULN|5TLV|7RCR|8ASPD|9CDMG
151	21115 23122	5	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1RMIN|256aVULN|3LHND|4TLV|7RCR|8ASPD|9CDMG
152	21115 33122	6	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1RMIN|256aVULN|3LHND|4TLV|7RCR|8ASPD|9CDMG
153	21352 23122	2	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1RMIN|236aVULN|4TLV|5LHND|7RCR|8ASPD|9CDMG
154	21364 23122	2	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1RMIN|236aVULN|4LWND|5TLV|7RCR|8ASPD|9CDMG
155	23334 23122	2	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1RMIN|2LWND|346aVULN|5TLV|7RCR|8ASPD|9CDMG
156	42163 23122	5	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD|1NUKE	14LHND|246aVULN|3NUKE|4BPWR|5TLV|7RCR|8ASPD|9CDMG
157	42163 33122	6	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD|1NUKE	14LHND|246aVULN|3NUKE|4BPWR|5TLV|7RCR|8ASPD|9CDMG
158	42164 23122	4	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD|1NUKE	14LHND|246aVULN|3NUKE|4BPWR|5TLV|7RCR|8ASPD|9CDMG
159	42215 23122	5	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1LHND|256aVULN|3RMIN|4TLV|7RCR|8ASPD|9CDMG
160	42215 33122	6	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1LHND|256aVULN|3RMIN|4TLV|7RCR|8ASPD|9CDMG
161	42433 23122	3	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1LHND|246aVULN|3TLV|5ZMB|7RCR|8ASPD|9CDMG
162	46334 23122	2	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1LHND|2RMIN|346aVULN|5TLV|7RCR|8ASPD|9CDMG
163	51215 23122	5	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	156aVULN|2LHND|3RMIN|4TLV|7RCR|8ASPD|9CDMG
164	51215 33122	6	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	156aVULN|2LHND|3RMIN|4TLV|7RCR|8ASPD|9CDMG
165	51433 23122	3	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	146aVULN|2LHND|3TLV|5ZMB|7RCR|8ASPD|9CDMG
166	53215 23122	5	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	156aVULN|2LWND|3RMIN|4TLV|7RCR|8ASPD|9CDMG
167	53215 33122	6	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	156aVULN|2LWND|3RMIN|4TLV|7RCR|8ASPD|9CDMG
