0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61125 11142	7	 * 	276.80	DCR|3VULN|2DMG|2TLV|2DUR	1LEGI|2aTLV|37DUR|49aVULN|5aDMG|6RCR|8DMSP|aBPWR
29	13526 32613	1	   	257.39	DCR|2VULN|2DMG|2DUR|2ASPD|1CDMG|1AART	18DMG|2AART|38DUR|4aVULN|5ZMB|68ASPD|7RCR|8BPWR|9CDMG
30	16421 14121	6	   	256.13	ACR|4VULN|3DMG|3ASPD|1DUR|1NUKE	189DMG|2RPLT|3NUKE|4689VULN|5RCR|789ASPD|89BPWR|aDUR
31	16233 31142	2	   	255.76	DCR|3VULN|2DMG|1TLV|1AART	15DMG|2RPLT|356VULN|4BBNT|5BPWR|7LIT|8TLV|9RCR|aAART
32	16263 31142	2	   	255.76	DCR|3VULN|2DMG|1TLV|1AART	15DMG|2RPLT|356VULN|4TBNT|5BPWR|7LIT|8TLV|9RCR|aAART
33	61533 31242	3	   	255.30	DCR|3VULN|2TLV|2DUR|2ASPD	1LEGI|2aTLV|34ASPD|59aVULN|6RCR|7RCVC|8aDUR|aBPWR
34	16416 31121	6	 * 	255.12	DCR|2VULN|3DMG|3DUR|1NUKE	15aDMG|2RPLT|3NUKE|45aDUR|5aBPWR|6LIT|7CGEN|8aVULN|9RCR
35	61125 14312	10	 * 	254.39	DCR|2VULN|2TLV|2DUR|3LIT|1DMG	1LEGI|29TLV|39DUR|48VULN|5DMG|6RCR|79aLIT|9BPWR
36	16323 12663	10	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	19DMG|2RPLT|3ERES|489VULN|5DUR|6TLV|79ZMB|9BPWR|aRCR
37	66313 34322	2	   	254.14	DCR|3VULN|2DMG|1TLV|1DUR	1LEGI|249VULN|349MLV|49BPWR|5TLV|6RCR|7ERES|89DMG|aDUR
38	16323 14431	8	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1aDMG|2RPLT|3ERES|478VULN|5DUR|6TLV|9RCR
39	13334 33142	3	 * 	253.64	DCR|3VULN|3DMG|1TLV	13aDMG|2aBEXP|4TLV|5LHND|6RCR|79aVULN|8DMSP|aBPWR
40	43112 41142	10	   	253.54	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	1DMSP|2RCVC|3aDUR|46aVULN|5CDMG|7DMG|8RCR|9aLIT|aBPWR
41	43613 63212	10	   	253.54	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	1DMSP|2RCVC|3aLIT|45aVULN|6RCR|7CDMG|8DMG|9aDUR|aBPWR
42	15334 33142	3	   	253.44	DCR|3VULN|3DMG|1TLV	13aDMG|2aDUST|4TLV|5LHND|6RCR|79aVULN|8DMSP|aBPWR
43	13312 42136	4	   	253.41	DCR|2VULN|3DMG|1TLV|1DUR	136DMG|2BEXP|4LIT|56VULN|6BPWR|7DUR|8DMSP|9TLV|aRCR
44	15334 33342	3	   	253.34	DCR|3VULN|3DMG|1TLV	13aDMG|28aDUST|4TLV|5LHND|6RCR|79aVULN|aBPWR
45	61125 16323	9	 * 	253.18	DCR|2VULN|3DMG|2TLV|1DUR	1LEGI|27TLV|3DUR|47VULN|57aDMG|6RCR|7BPWR|8CGEN|9BELT
46	13426 23411	1	   	253.15	DCR|3VULN|3DMG|2ASPD|1AART	156DMG|2AART|3TBNT|456VULN|56BPWR|7aASPD|8LWND|9RCR
47	61125 16123	9	   	253.08	DCR|2VULN|3DMG|2TLV|1DUR	1LEGI|27TLV|3DUR|47VULN|57aDMG|6RCR|7BPWR|8ERES|9BELT
48	13522 36114	1	   	252.45	DCR|3VULN|2DMG|1DUR|2LIT|1AART	17DMG|2AART|3DUR|478VULN|5LEGI|67LIT|7BPWR|9RMIN|aRCR
49	61125 16333	10	 * 	252.21	DCR|2VULN|2DMG|3TLV|2DUR	1LEGI|27aTLV|3aDUR|47VULN|57DMG|6RCR|7aBPWR|89aCGEN
50	12423 54113	6	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	18DMG|2RMIN|3LWND|48TLV|5LHND|6aDUR|78VULN|8BPWR|9RCR
51	12423 64113	5	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	18DMG|2RMIN|3LWND|48TLV|5LHND|6aDUR|78VULN|8BPWR|9RCR
52	12622 34114	4	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	18DMG|2RMIN|3FEWX|48TLV|5BEXP|6aDUR|78VULN|8BPWR|9RCR
53	13621 64113	5	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	18DMG|2BEXP|3RMIN|48TLV|5aDUR|6LWND|78VULN|8BPWR|9RCR
54	13623 54113	6	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	18DMG|2BEXP|3RMIN|48TLV|5LWND|6aDUR|78VULN|8BPWR|9RCR
55	16253 16333	2	   	252.18	DCR|3VULN|2DMG|2DUR|1AART	14DMG|2RPLT|349VULN|4BPWR|5BEXP|6AART|7RCR|8aDUR
56	61125 16212	7	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1LEGI|27TLV|3aDUR|47VULN|57DMG|6RCR|7BPWR|8FEWX|9LHND
57	61125 16212	8	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1LEGI|27TLV|3aDUR|47VULN|57DMG|6RCR|7BPWR|8LWND|9LHND
58	61125 16222	7	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1LEGI|27TLV|3aDUR|47VULN|57DMG|6RCR|7BPWR|8FEWX|9LWND
59	61125 16233	9	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1LEGI|27TLV|3aDUR|47VULN|57DMG|6RCR|7BPWR|8LWND|9CGEN
60	61125 16233	8	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1LEGI|27TLV|3aDUR|47VULN|57DMG|6RCR|7BPWR|8LWND|9RMIN
61	12522 34114	4	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	18DMG|2RMIN|3DUST|48TLV|5BEXP|6aDUR|78VULN|8BPWR|9RCR
62	12622 34114	5	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	18DMG|2RMIN|3FEWX|48TLV|5DUST|6aDUR|78VULN|8BPWR|9RCR
63	12663 11362	1	   	252.11	DCR|2VULN|2DMG|3TLV|2DUR	1aDMG|26aTLV|3RCVC|45VULN|7LWND|8aDUR|9RCR|aBPWR
64	13622 34114	5	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	18DMG|2BEXP|3RMIN|48TLV|5DUST|6aDUR|78VULN|8BPWR|9RCR
65	61125 11262	5	   	252.11	DCR|2VULN|2DMG|2TLV|2DUR	1LEGI|2aTLV|38DUR|4aVULN|5aDMG|6DMSP|7RCVC|9RCR|aBPWR
66	61125 16131	10	   	252.01	DCR|2VULN|2DMG|2TLV|2DUR	1LEGI|27TLV|3aDUR|47VULN|57DMG|6RCR|7BPWR|8ERES|9CGEN
67	61125 16213	9	   	252.01	DCR|2VULN|2DMG|2TLV|2DUR	1LEGI|27TLV|3aDUR|47VULN|57DMG|6RCR|7BPWR|8LWND|9ERES
68	61125 16312	7	   	252.01	DCR|2VULN|2DMG|2TLV|2DUR	1LEGI|27TLV|3aDUR|47VULN|57DMG|6RCR|7BPWR|8DUST|9LHND
69	61125 16313	9	   	252.01	DCR|2VULN|2DMG|2TLV|2DUR	1LEGI|27TLV|3aDUR|47VULN|57DMG|6RCR|7BPWR|8CGEN|9MBVNT
70	61125 16322	7	   	252.01	DCR|2VULN|2DMG|2TLV|2DUR	1LEGI|27TLV|3aDUR|47VULN|57DMG|6RCR|7BPWR|8DUST|9LWND
71	61125 16333	7	   	252.01	DCR|2VULN|2DMG|2TLV|2DUR	1LEGI|27TLV|3aDUR|47VULN|57DMG|6RCR|7BPWR|8DUST|9ZMB
72	61121 13345	9	   	251.92	DCR|4VULN|2DUR|1TLV	1LEGI|2TLV|35DUR|467aVULN|8CGEN|9RCR
73	61121 42212	4	   	251.92	DCR|4VULN|2DUR|1TLV	1LEGI|2TLV|36DUR|4569VULN|6BPWR|7BBNT|8RCR|aFEWX
74	61121 42213	4	   	251.92	DCR|4VULN|2DUR|1TLV	1LEGI|2TLV|36DUR|4569VULN|6BPWR|7BBNT|8RCR|aMLV
75	61121 42216	4	   	251.92	DCR|4VULN|2DUR|1TLV	1LEGI|2TLV|36DUR|4569VULN|6BPWR|7BBNT|8RCR|aLWND
76	61121 42221	4	   	251.92	DCR|4VULN|2DUR|1TLV	1LEGI|2TLV|36DUR|456aVULN|6BPWR|7BBNT|8RCR|9RCVC
77	61121 42233	4	   	251.92	DCR|4VULN|2DUR|1TLV	1LEGI|2TLV|36DUR|456aVULN|6BPWR|7BBNT|8RCR|9BEXP
78	61126 42211	5	   	251.92	DCR|4VULN|2DUR|1TLV	1LEGI|2TLV|36DUR|469aVULN|5DMSP|6BPWR|7BBNT|8RCR
79	61161 42212	3	   	251.92	DCR|4VULN|2DUR|1TLV	1LEGI|2TLV|36DUR|4569VULN|6BPWR|7BBNT|8RCR|aFEWX
80	61161 42213	3	   	251.92	DCR|4VULN|2DUR|1TLV	1LEGI|2TLV|36DUR|4569VULN|6BPWR|7BBNT|8RCR|aMLV
81	61161 42221	3	   	251.92	DCR|4VULN|2DUR|1TLV	1LEGI|2TLV|36DUR|456aVULN|6BPWR|7BBNT|8RCR|9RCVC
82	61161 42233	3	   	251.92	DCR|4VULN|2DUR|1TLV	1LEGI|2TLV|36DUR|456aVULN|6BPWR|7BBNT|8RCR|9BEXP
83	61125 16113	9	   	251.91	DCR|2VULN|2DMG|2TLV|2DUR	1LEGI|27TLV|3aDUR|47VULN|57DMG|6RCR|7BPWR|8ERES|9MBVNT
84	16251 36213	2	   	251.90	DCR|3VULN|3DMG|1DUR	14aDMG|2RPLT|345VULN|4BPWR|6BEXP|7LIT|8RCR|9DUR
85	61121 12211	6	   	251.82	DCR|4VULN|2DUR|1TLV	1LEGI|2TLV|35DUR|469aVULN|7BBNT|8RCR
86	66611 12211	6	   	251.82	DCR|4VULN|2DUR|1TLV	1LEGI|269aVULN|35DUR|4TLV|7BBNT|8RCR
87	13312 42526	4	   	251.80	DCR|3VULN|3DMG|1DUR	136DMG|2BEXP|4LIT|56aVULN|6BPWR|7DUR|8RCR|9DUST
88	61125 13621	8	   	251.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LEGI|2TLV|3DUR|48VULN|5aDMG|6RCR|7CDMG|9ASPD
89	13421 42211	4	 * 	250.98	DCR|5VULN|2DMG	16DMG|2BEXP|3LWND|4569aVULN|6BPWR|7BBNT|8RCR
90	13461 42211	2	   	250.98	DCR|5VULN|2DMG	16DMG|2BEXP|3LWND|4569aVULN|6BPWR|7BBNT|8RCR
91	13461 42211	3	   	250.98	DCR|5VULN|2DMG	16DMG|2BEXP|3LWND|4569aVULN|6BPWR|7BBNT|8RCR
92	61125 13226	10	   	250.98	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1LEGI|2aTLV|3DUR|4aVULN|59DMG|6RCR|7CDMG|8aDUST|aBPWR
93	61125 11143	7	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1LEGI|2TLV|37DUR|49aVULN|5DMG|6RCR|8DMSP
94	12653 32521	2	   	250.93	DCR|3VULN|2DMG|2DUR	1aDMG|2RMIN|3aDUR|4LIT|5CGEN|67aVULN|8RPLT|9RCR|aBPWR
95	15421 42211	4	   	250.88	DCR|5VULN|2DMG	16DMG|2DUST|3LWND|4569aVULN|6BPWR|7BBNT|8RCR
96	16321 66211	6	   	250.83	DCR|3VULN|2DMG|2DUR	1aDMG|2RPLT|3ERES|46aVULN|5ZMB|7LIT|8RCR|9aDUR|aBPWR
97	16321 66321	6	   	250.83	DCR|3VULN|2DMG|2DUR	1aDMG|2RPLT|3ERES|46aVULN|5ZMB|7LIT|8aDUR|9RCR|aBPWR
98	13312 44143	4	   	250.70	DCR|3VULN|3DMG|2LIT	136DMG|279BEXP|47LIT|567VULN|67BPWR|8ASPD|aRCR
99	13311 25431	9	 * 	250.16	DCR|3DMG|1VULN|1TLV|2CDMG|1DUR|2LIT	138DMG|2BEXP|48LIT|5DUR|6TLV|78CDMG|8BPWR|9VULN|aRCR
100	15311 25421	8	   	250.06	DCR|3DMG|1VULN|1TLV|2CDMG|1DUR|2LIT	138DMG|2DUST|48LIT|5DUR|6TLV|78CDMG|8BPWR|9VULN|aRCR
101	15311 25431	9	   	250.06	DCR|3DMG|1VULN|1TLV|2CDMG|1DUR|2LIT	138DMG|2DUST|48LIT|5DUR|6TLV|78CDMG|8BPWR|9VULN|aRCR
102	61125 13611	8	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LEGI|2TLV|3DUR|48aVULN|5DMG|6RCR|7CDMG|9LHND
103	61125 13611	9	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LEGI|2TLV|3DUR|48aVULN|5DMG|6RCR|7CDMG|9BEXP
104	61125 13631	10	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LEGI|2TLV|3DUR|489VULN|5DMG|6RCR|7CDMG|aCGEN
105	61125 13631	9	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LEGI|2TLV|3DUR|489VULN|5DMG|6RCR|7CDMG|aRCVC
106	61125 13632	10	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LEGI|2TLV|3DUR|489VULN|5DMG|6RCR|7CDMG|aLWND
107	61125 13633	10	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LEGI|2TLV|3DUR|489VULN|5DMG|6RCR|7CDMG|aZMB
108	61125 13633	9	   	249.90	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LEGI|2TLV|3DUR|489VULN|5DMG|6RCR|7CDMG|aDUST
109	11326 26633	7	   	249.69	DCR|3VULN|2DMG|2ASPD|1CDMG	17DMG|23ERES|47ASPD|57aVULN|6RCR|7BPWR|8LIT|9CDMG
110	42113 62234	9	   	249.56	DCR|4VULN|1TLV|1DMG	1DMSP|2CGEN|357aVULN|4LIT|6DMG|8RCR|9TLV
111	61231 12513	4	   	249.56	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG|1AART	1LEGI|2TLV|3CDMG|46DUR|5aVULN|7DMG|8AART|9RCR
112	61231 15513	4	   	249.56	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG|1AART	1LEGI|2TLV|3CDMG|46DUR|5aVULN|7AART|8DMG|9RCR
113	33363 13363	1	   	249.53	DCR|4VULN|2TLV|1DMG	137MLV|2CGEN|457aVULN|67TLV|7BPWR|8DMG|9RCR
114	11326 26632	9	   	249.53	DCR|2VULN|3DMG|2DUR|2ASPD|1NUKE	17aDMG|23aERES|47ASPD|57VULN|6RCR|7aBPWR|8aDUR|9NUKE
115	31213 13363	4	   	249.43	DCR|4VULN|2TLV|1DMG	137MLV|2ERES|457aVULN|67TLV|7BPWR|8DMG|9RCR
116	31216 13363	5	   	249.43	DCR|4VULN|2TLV|1DMG	137MLV|2ERES|457aVULN|67TLV|7BPWR|8DMG|9RCR
117	31263 13363	3	   	249.43	DCR|4VULN|2TLV|1DMG	137MLV|2ERES|457aVULN|67TLV|7BPWR|8DMG|9RCR
118	31313 13363	4	   	249.43	DCR|4VULN|2TLV|1DMG	137MLV|23ERES|37BPWR|457aVULN|67TLV|8DMG|9RCR
119	31316 13363	5	   	249.43	DCR|4VULN|2TLV|1DMG	137MLV|23ERES|37BPWR|457aVULN|67TLV|8DMG|9RCR
120	31363 13363	2	   	249.43	DCR|4VULN|2TLV|1DMG	137MLV|2ERES|457aVULN|67TLV|7BPWR|8DMG|9RCR
121	31363 13363	3	   	249.43	DCR|4VULN|2TLV|1DMG	137MLV|23ERES|37BPWR|457aVULN|67TLV|8DMG|9RCR
122	61125 14312	9	   	249.38	DCR|2VULN|2TLV|2DUR|1DMG|2LIT	1LEGI|29TLV|39DUR|48VULN|5DMG|6RCR|79LIT|9BPWR|aMLV
123	61125 14313	10	   	249.38	DCR|2VULN|2TLV|2DUR|1DMG|2LIT	1LEGI|29TLV|39DUR|48VULN|5DMG|6RCR|79LIT|9BPWR|aBEXP
124	62142 21111	7	 * 	249.33	DCR|4VULN|2TLV|3LIT	1LEGI|247LIT|349aVULN|47BPWR|57CGEN|67TLV|8RCR
125	62145 21111	7	   	249.33	DCR|4VULN|2TLV|3LIT	1LEGI|247LIT|349aVULN|47BPWR|57MLV|67TLV|8RCR
126	62142 21531	7	   	249.33	DCR|4VULN|2TLV|3LIT	1LEGI|247LIT|348aVULN|47BPWR|57CGEN|67TLV|9RCR
127	61125 14311	9	   	249.28	DCR|2VULN|2TLV|2DUR|1DMG|2LIT	1LEGI|29TLV|39DUR|48VULN|5DMG|6RCR|79LIT|9BPWR|aBBNT
128	61125 14311	10	   	249.28	DCR|2VULN|2TLV|2DUR|1DMG|2LIT	1LEGI|29TLV|39DUR|48VULN|5DMG|6RCR|79LIT|9BPWR|aDUST
129	61125 14313	9	   	249.28	DCR|2VULN|2TLV|2DUR|1DMG|2LIT	1LEGI|29TLV|39DUR|48VULN|5DMG|6RCR|79LIT|9BPWR|aDUST
130	13421 42215	4	   	248.89	DCR|4VULN|2DMG|1DUR	16DMG|2BEXP|3LWND|4569VULN|6BPWR|7BBNT|8RCR|aDUR
131	13421 42223	4	   	248.89	DCR|4VULN|2DMG|1DUR	16DMG|2BEXP|3LWND|456aVULN|6BPWR|7BBNT|8RCR|9DUR
132	13461 42223	2	   	248.89	DCR|4VULN|2DMG|1DUR	16DMG|2BEXP|3LWND|456aVULN|6BPWR|7BBNT|8RCR|9DUR
133	13461 42223	3	   	248.89	DCR|4VULN|2DMG|1DUR	16DMG|2BEXP|3LWND|456aVULN|6BPWR|7BBNT|8RCR|9DUR
134	16233 11134	2	   	248.89	DCR|4VULN|2DMG|1DUR	15DMG|2RPLT|359aVULN|4BBNT|5BPWR|6DUR|7BELT|8RCR
135	16263 11134	2	   	248.89	DCR|4VULN|2DMG|1DUR	15DMG|2RPLT|359aVULN|4TBNT|5BPWR|6DUR|7BELT|8RCR
136	15421 42223	4	   	248.79	DCR|4VULN|2DMG|1DUR	16DMG|2DUST|3LWND|456aVULN|6BPWR|7BBNT|8RCR|9DUR
137	62143 25332	10	   	248.61	DCR|3VULN|1TLV|1DMG|2LIT|1CDMG	1LEGI|24LIT|349VULN|4BPWR|5DMG|6TLV|7CDMG|8MBVNT|aRCR
138	16251 63322	2	   	248.25	DCR|4VULN|3DMG|1NUKE|1SELL	14aDMG|2RPLT|345aVULN|4aBPWR|6SELL|7aCGEN|8NUKE|9RCR
139	61125 13125	8	   	248.20	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1LEGI|2TLV|3aDUR|49VULN|5DMG|6RCR|7CDMG|8LIT
140	11152 33363	1	 * 	247.92	DCR|2VULN|2DMG|1TLV|2CDMG|2LIT	17DMG|2LEGI|3TBNT|48LIT|57CDMG|67VULN|7BPWR|9RCR|aTLV
141	42113 62252	8	   	247.69	DCR|4VULN|2DMG|2LIT	1DMSP|2aCGEN|3579VULN|4aLIT|6aDMG|8RCR|aBPWR
142	61321 13414	3	   	247.68	DCR|3VULN|2TLV|1DUR|1CDMG|1AART	1LEGI|27TLV|3AART|47aVULN|5TBNT|6RCR|7BPWR|8CDMG|9DUR
143	41612 41123	8	 * 	247.55	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	13DMSP|29DUR|46VULN|59CDMG|79DMG|8RCR|9BPWR|aAART
144	43112 41123	8	   	247.55	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	1DMSP|2RCVC|39DUR|46VULN|59CDMG|79DMG|8RCR|9BPWR|aAART
145	43116 41123	8	   	247.55	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	1DMSP|2RCVC|39DUR|45VULN|69CDMG|79DMG|8RCR|9BPWR|aAART
146	61121 22244	8	 * 	247.55	DCR|2VULN|3DUR|2TLV|1DMG	1LEGI|29TLV|356DUR|47VULN|8DMG|aRCR
147	65171 44211	2	 * 	247.41	DCR|5VULN|2TLV	1LEGI|2MBVNT|37TLV|4579aVULN|6RCR|7BPWR|8TBNT
148	11316 31322	10	   	247.39	DCR|4VULN|2DMG|2LIT	19DMG|236ERES|4589VULN|79LIT|9BPWR|aRCR
149	61523 31242	4	 * 	247.36	DCR|3VULN|3TLV|2DUR	1LEGI|24aTLV|3ASPD|59aVULN|6RCR|7RCVC|8aDUR|aBPWR
150	11152 24251	1	   	247.30	DCR|2VULN|3DMG|1DUR|2LIT|1CDMG	19aDMG|2LEGI|3TBNT|49LIT|5CDMG|6DUR|79VULN|8RCR|9BPWR
151	43441 13123	8	   	247.23	DCR|2VULN|3DMG|2DUR|1CDMG	1DMSP|2RCVC|349DMG|49BPWR|5CDMG|69DUR|79VULN|8RCR|aFEWX
152	16215 12131	7	   	247.23	DCR|2VULN|3DMG|2DUR|1CDMG	158DMG|2RPLT|36DUR|48LHND|78VULN|8BPWR|9RCR|aCDMG
153	13635 35333	1	   	247.21	DCR|2VULN|2DMG|1TLV|1DUR|1AART	15DMG|2AART|3DUST|4TLV|6DUR|78VULN|9RCR|aLIT
154	15135 35333	3	   	247.21	DCR|2VULN|2DMG|1TLV|1DUR|1AART	15DMG|2DUST|3AART|4TLV|6DUR|78VULN|9RCR|aLIT
155	12521 54113	5	   	247.19	DCR|2VULN|2DMG|2TLV|1DUR|1AART	18DMG|2RMIN|3DUST|48TLV|5DUR|6BEXP|78VULN|8BPWR|9RCR|aAART
156	12522 34113	4	   	247.19	DCR|2VULN|2DMG|2TLV|1DUR|1AART	18DMG|2RMIN|3DUST|48TLV|5BEXP|6DUR|78VULN|8BPWR|9RCR|aAART
157	13622 34113	5	   	247.19	DCR|2VULN|2DMG|2TLV|1DUR|1AART	18DMG|2BEXP|3RMIN|48TLV|5DUST|6DUR|78VULN|8BPWR|9RCR|aAART
158	15622 34113	4	   	247.19	DCR|2VULN|2DMG|2TLV|1DUR|1AART	18DMG|2DUST|3RMIN|48TLV|5BEXP|6DUR|78VULN|8BPWR|9RCR|aAART
159	13262 24251	2	 * 	247.17	DCR|2VULN|3DMG|2CDMG|1DUR	19aDMG|2BEXP|39CDMG|4LIT|5DUR|6TBNT|79VULN|8RCR|9BPWR
160	43441 13122	8	   	247.13	DCR|2VULN|3DMG|2DUR|1CDMG	1DMSP|2RCVC|349DMG|49BPWR|5CDMG|69DUR|79VULN|8RCR|aDUST
161	66331 34133	5	 * 	247.12	DCR|3VULN|2DUR|3CDMG|2ASPD	1LEGI|248VULN|348CDMG|48BPWR|5aDUR|6FEWX|78ASPD|9RCR
162	11262 24251	1	   	247.07	DCR|2VULN|3DMG|2CDMG|1DUR	19aDMG|2LEGI|39CDMG|4LIT|5DUR|6TBNT|79VULN|8RCR|9BPWR
163	43441 13121	8	   	246.99	DCR|2VULN|3DMG|2DUR|1CDMG|1SELL	1DMSP|2RCVC|349DMG|49BPWR|5CDMG|69DUR|79VULN|8RCR|aSELL
