0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41231 25411	10	 * 	281.75	DCR|4VULN|2DUR|2TLV|1CDMG|1AART	1aTLV|259aVULN|3DUST|4AART|6RCR|7CDMG|8aDUR|aBPWR
23	31622 14214	10	   	269.02	DCR|5VULN|2DUR|1ASPD	1LWND|24579VULN|34DUR|4BPWR|6ASPD|8MLV|aRCR
24	41135 25222	1	 * 	268.99	DCR|3VULN|3DUR|3TLV|1DMG	147TLV|246DUR|3BBNT|47BPWR|579VULN|8RCR|aDMG
25	22121 55136	10	 * 	268.82	DCR|3VULN|2DMG|3CDMG|3LIT	138LIT|2RCVC|38aBPWR|4aDMG|58aVULN|6RMIN|78aCDMG|9RCR
26	31435 22421	5	   	268.37	DCR|4VULN|3ASPD|1DUR|1CDMG	1LWND|2468VULN|346ASPD|46BPWR|5RPLT|7RCR|9DUR|aCDMG
27	31622 62351	5	   	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	1LWND|2458VULN|34DUR|4BPWR|6TLV|7CDMG|9RCR|aZMB
28	31622 62352	5	   	268.37	DCR|4VULN|2DUR|1TLV|1CDMG	1LWND|2458VULN|34DUR|4BPWR|6TLV|7CDMG|9RCR|aMLV
29	11414 72713	3	 * 	267.78	ACR|3VULN|3DMG|3ASPD|2DUR	1RCVC|2MBVNT|37aASPD|4RCR|57DUR|67aVULN|7aBPWR|89aDMG
30	11444 72713	4	   	267.78	ACR|3VULN|3DMG|3ASPD|2DUR	1RCVC|2MBVNT|37aASPD|4RCR|57DUR|67aVULN|7aBPWR|89aDMG
31	11514 72713	2	   	267.78	ACR|3VULN|3DMG|3ASPD|2DUR	1RCVC|2MBVNT|37aASPD|4RCR|57DUR|67aVULN|7aBPWR|89aDMG
32	11428 72713	4	   	267.78	ACR|3VULN|3DMG|3ASPD|2DUR	1RCVC|2MBVNT|37aASPD|47DUR|5RCR|67aVULN|7aBPWR|89aDMG
33	11448 72713	3	   	267.78	ACR|3VULN|3DMG|3ASPD|2DUR	1RCVC|2MBVNT|37aASPD|47DUR|5RCR|67aVULN|7aBPWR|89aDMG
34	31622 33553	5	   	267.71	DCR|4VULN|3DUR|1TLV|1SELL	1LWND|2457VULN|34aDUR|4BPWR|6SELL|8TLV|9RCR
35	15611 23433	6	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1RCVC|2aDUR|3aDMG|4FEWX|5CDMG|67aVULN|8RPLT|9RCR|aBPWR
36	41261 43213	8	   	267.17	DCR|3VULN|2DMG|2TLV|1CDMG|1ASPD	19TLV|249VULN|37DUST|5CDMG|6RCR|89DMG|9BPWR|aASPD
37	41261 43221	10	   	267.17	DCR|3VULN|2DMG|2TLV|1CDMG|1ASPD	19TLV|249VULN|37DUST|5CDMG|6RCR|89DMG|9BPWR|aASPD
38	41261 43223	9	   	267.17	DCR|3VULN|2DMG|2TLV|1CDMG|1ASPD	19TLV|249VULN|37DUST|5CDMG|6RCR|89DMG|9BPWR|aASPD
39	31624 13153	4	 * 	267.01	DCR|3VULN|3DUR|2DMG	1aLWND|245VULN|345DUR|45aBPWR|6aLHND|7DMSP|8RCR|9aDMG
40	31624 32153	4	   	267.01	DCR|3VULN|3DUR|2DMG	16aLWND|245VULN|345DUR|45aBPWR|7aLHND|8RCR|9aDMG
41	34331 21153	6	   	267.01	DCR|3VULN|3DUR|2DMG	17aLWND|26LHND|37aVULN|457DUR|7aBPWR|8RCR|9aDMG
42	34632 21153	6	   	267.01	DCR|3VULN|3DUR|2DMG	17aLWND|26LHND|347DUR|57aVULN|7aBPWR|8RCR|9aDMG
43	31622 52153	6	   	266.91	DCR|3VULN|3DUR|2DMG	1aLWND|245VULN|346DUR|4aBPWR|7aLHND|8RCR|9aDMG
44	31622 52153	7	   	266.91	DCR|3VULN|3DUR|2DMG	1aLWND|245VULN|346DUR|4aBPWR|7aLHND|8RCR|9aDMG
45	31622 53623	10	   	266.91	DCR|3VULN|3DUR|2DMG	1aLWND|245VULN|346DUR|4aBPWR|7aDMG|8aZMB|9RCR
46	31621 12142	7	   	266.91	DCR|3VULN|3DUR|2DMG	19aLWND|249VULN|346DUR|49BPWR|5RPLT|7RCR|89DMG
47	31621 12143	7	   	266.91	DCR|3VULN|3DUR|2DMG	19LWND|249VULN|346DUR|49BPWR|5RPLT|7RCR|89DMG|aLHND
48	31621 12144	7	   	266.91	DCR|3VULN|3DUR|2DMG	19LWND|249VULN|346DUR|49BPWR|5aRPLT|7RCR|89DMG
49	31621 12145	7	   	266.91	DCR|3VULN|3DUR|2DMG	19LWND|249VULN|346DUR|49BPWR|5RPLT|7RCR|89DMG|aBEXP
50	15633 33521	4	 * 	266.87	DCR|3VULN|2DUR|2ASPD|1DMG|1AART	1RCVC|28DUR|3DMG|4AART|58ASPD|678VULN|8BPWR|9RPLT|aRCR
51	31621 12141	7	   	266.81	DCR|3VULN|3DUR|2DMG	19LWND|249VULN|346DUR|49BPWR|5RPLT|7RCR|89DMG|aMBVNT
52	31622 53622	10	   	266.71	DCR|3VULN|3DUR|2DMG	1LWND|245VULN|346DUR|4BPWR|7aDMG|8ZMB|9RCR
53	32212 53543	6	   	266.05	DCR|4VULN|2DMG|1ASPD|1AART	158LWND|2AART|3ASPD|48DMG|6789VULN|8BPWR|aRCR
54	32251 41521	7	   	266.05	DCR|4VULN|2DMG|1ASPD|1AART	18LWND|2AART|3ASPD|4568VULN|78DMG|8BPWR|9RPLT|aRCR
55	31622 13252	6	   	265.97	DCR|3VULN|3DUR|1TLV|1ASPD|1AART	1LWND|245VULN|348DUR|4BPWR|6ASPD|7TLV|9RCR|aAART
56	31622 43252	5	   	265.97	DCR|3VULN|3DUR|1TLV|1ASPD|1AART	1LWND|245VULN|348DUR|4BPWR|6ASPD|7TLV|9RCR|aAART
57	31622 61132	6	   	265.57	DCR|3VULN|3DUR|1DMG|1TLV	17LWND|245VULN|347DUR|47BPWR|67BEXP|8RCR|9TLV|aDMG
58	34325 51132	6	   	265.57	DCR|3VULN|3DUR|1DMG|1TLV	17LWND|24LHND|347VULN|47BPWR|567DUR|8RCR|9TLV|aDMG
59	33322 51452	6	   	265.55	DCR|4VULN|3DUR|1CDMG	17LWND|24FEWX|3457VULN|47BPWR|678DUR|9RCR|aCDMG
60	31624 13132	4	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	1LWND|245VULN|345DUR|45BPWR|6LHND|7DMSP|8RCR|9TLV|aDMG
61	31624 16132	4	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	17LWND|245VULN|345DUR|45BPWR|6LHND|8RCR|9TLV|aDMG
62	31624 32132	4	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	16LWND|245VULN|345DUR|45BPWR|7LHND|8RCR|9TLV|aDMG
63	31624 33132	4	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	16LWND|245VULN|345DUR|45BPWR|7BEXP|8RCR|9TLV|aDMG
64	31621 12613	9	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1LWND|248VULN|346DUR|4BPWR|5RPLT|7RCR|9TLV|aDMG
65	31622 51132	7	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1LWND|245VULN|346DUR|4BPWR|7BEXP|8RCR|9TLV|aDMG
66	31622 52132	6	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1LWND|245VULN|346DUR|4BPWR|7LHND|8RCR|9TLV|aDMG
67	31622 52132	7	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1LWND|245VULN|346DUR|4BPWR|7LHND|8RCR|9TLV|aDMG
68	31622 53132	6	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1LWND|245VULN|346DUR|4BPWR|7BEXP|8RCR|9TLV|aDMG
69	31622 53251	7	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1LWND|245VULN|346DUR|4BPWR|7DMG|8TLV|9RCR|aFEWX
70	31623 56132	7	   	265.37	DCR|3VULN|3DUR|1DMG|1TLV	1LWND|247VULN|346DUR|4BPWR|5LHND|8RCR|9TLV|aDMG
71	31622 22354	6	   	265.35	DCR|4VULN|3DUR|1CDMG	1LWND|2458VULN|34aDUR|4BPWR|6MLV|7CDMG|9RCR
72	31622 53253	7	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	1LWND|245VULN|346DUR|4BPWR|7DMG|8TLV|9RCR|aERES
73	31622 62153	5	 * 	265.27	DCR|3VULN|3DUR|2CDMG|1TLV	1LWND|245VULN|34aDUR|4BPWR|6TLV|78CDMG|9RCR
74	31344 22211	5	 * 	265.16	DCR|4VULN|2ASPD|1DMG|1TLV	1LWND|2369VULN|4RPLT|56ASPD|6BPWR|7TLV|8DMG|aRCR
75	31346 22211	4	   	265.16	DCR|4VULN|2ASPD|1DMG|1TLV	1LWND|2369VULN|4RPLT|56ASPD|6BPWR|7TLV|8DMG|aRCR
76	32251 24124	8	   	264.62	DCR|4VULN|2CDMG|1DUR|1ASPD|1AART	18LWND|2AART|3ASPD|458aVULN|6RCR|78CDMG|8BPWR|9DUR
77	44443 33423	2	   	264.01	DCR|3VULN|3DMG|1TLV|1AART	1TLV|2AART|3MBVNT|458DMG|679VULN|aRCR
78	22516 16313	6	   	263.52	DCR|3VULN|2DMG|1TLV|2LIT|1AART	18LIT|2RCVC|389VULN|4CGEN|5TLV|68DMG|7RCR|8BPWR|aAART
79	31362 53212	7	 * 	263.49	DCR|5VULN|2TLV|1DUR	149LWND|23579VULN|69TLV|8RCR|9BPWR|aDUR
80	31624 26113	4	   	263.38	DCR|3VULN|3DUR|1TLV|1AART	1LWND|245VULN|345DUR|45BPWR|6AART|7LIT|8TLV|9RPLT|aRCR
81	41161 21353	6	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|2468VULN|3FEWX|5CDMG|7DUR|9RCR|aAART
82	41161 22353	7	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|2468VULN|3FEWX|5CDMG|7DUR|9RCR|aAART
83	41361 21353	6	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|2468VULN|3BEXP|5CDMG|7DUR|9RCR|aAART
84	41361 22353	7	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|2468VULN|3BEXP|5CDMG|7DUR|9RCR|aAART
85	41261 21353	6	   	263.25	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1TLV|2468VULN|3DUST|5CDMG|7DUR|9RCR|aAART
86	41261 22353	7	   	263.25	DCR|4VULN|1DUR|1TLV|1CDMG|1AART	1TLV|2468VULN|3DUST|5CDMG|7DUR|9RCR|aAART
87	11842 32581	5	 * 	262.89	ACR|3VULN|3DUR|2DMG|2TLV	1RCVC|2MBVNT|3RCR|47aDUR|57aVULN|67DMG|7aBPWR|8LIT|9aTLV
88	31623 42353	4	   	262.67	DCR|3VULN|3DUR|2TLV|1CDMG	1LWND|248VULN|34aDUR|4BPWR|57TLV|6CDMG|9RCR
89	31311 43513	6	   	262.67	DCR|4VULN|2ASPD|1DMG|1CDMG	19LWND|2389VULN|4CGEN|5CDMG|6RCR|79ASPD|9BPWR|aDMG
90	22232 36316	5	 * 	262.62	DCR|4VULN|2TLV|1DMG|2LIT	18LIT|2RCVC|38TLV|4CGEN|5DMG|689aVULN|7RCR|8BPWR
91	32251 24121	8	   	262.04	DCR|3VULN|1DMG|2CDMG|1DUR|1ASPD|1AART	18LWND|2AART|3ASPD|458VULN|6RCR|78CDMG|8BPWR|9DUR|aDMG
92	31623 32214	5	   	261.89	DCR|3VULN|2DMG|2DUR	17LWND|247VULN|34DUR|47BPWR|5LHND|67DMG|8TBNT|9LIT|aRCR
93	31623 32414	5	   	261.89	DCR|3VULN|2DMG|2DUR	17LWND|247VULN|34DUR|47BPWR|5LHND|67DMG|8LIT|9BBNT|aRCR
94	31625 32214	4	   	261.89	DCR|3VULN|2DMG|2DUR	17LWND|247VULN|34DUR|47BPWR|5FEWX|67DMG|8TBNT|9LIT|aRCR
95	31626 32214	5	   	261.89	DCR|3VULN|2DMG|2DUR	17LWND|247VULN|34DUR|47BPWR|5FEWX|67DMG|8TBNT|9LIT|aRCR
96	42451 41144	6	 * 	261.80	DCR|3VULN|2DUR|3CDMG|3TLV	139TLV|2MBVNT|369BPWR|469VULN|568CDMG|79DUR|aRCR
97	42451 42144	7	   	261.80	DCR|3VULN|2DUR|3CDMG|3TLV	139TLV|2MBVNT|369BPWR|469VULN|568CDMG|79DUR|aRCR
98	42464 41144	6	   	261.80	DCR|3VULN|2DUR|3CDMG|3TLV	139TLV|2MBVNT|369BPWR|468CDMG|569VULN|79DUR|aRCR
99	42464 42144	7	   	261.80	DCR|3VULN|2DUR|3CDMG|3TLV	139TLV|2MBVNT|369BPWR|468CDMG|569VULN|79DUR|aRCR
100	31622 32214	4	   	261.79	DCR|3VULN|2DMG|2DUR	17LWND|247VULN|34DUR|47BPWR|5DUST|67DMG|8TBNT|9LIT|aRCR
101	31622 32414	4	   	261.79	DCR|3VULN|2DMG|2DUR	17LWND|247VULN|34DUR|47BPWR|5DUST|67DMG|8LIT|9BBNT|aRCR
102	31622 32134	8	   	261.68	DCR|4VULN|2DUR|1CDMG|1AART	1LWND|245aVULN|34DUR|4BPWR|6AART|7ERES|8RCR|9CDMG
103	31624 22423	4	   	261.66	DCR|4VULN|3DUR|1AART	19aLWND|245aVULN|345DUR|45aBPWR|6AART|7aCGEN|8RCR
104	41231 21224	6	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1TLV|259VULN|3DUST|4AART|6RCR|7aDUR|8DMG
105	44121 21224	6	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1TLV|2AART|359VULN|4DUST|6RCR|7aDUR|8DMG
106	31622 32113	9	   	261.36	DCR|4VULN|3DUR|1AART	1aLWND|245aVULN|349DUR|4aBPWR|6AART|7aERES|8RCR
107	31622 51352	8	   	261.36	DCR|4VULN|3DUR|1AART	1LWND|2458VULN|346DUR|4BPWR|7BEXP|9RCR|aAART
108	41231 25411	9	   	260.67	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1AART	1TLV|259VULN|3DUST|4AART|6RCR|7CDMG|8DUR|aDMG
109	41231 25411	8	   	260.67	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1AART	1TLV|259VULN|3DUST|4AART|6RCR|7CDMG|8DUR|aDMG
110	22121 36254	8	 * 	259.76	DCR|2VULN|3DUR|2DMG|3LIT	137LIT|2RCVC|37BPWR|4aDMG|57VULN|678DUR|9RCR
111	22121 36264	9	   	259.76	DCR|2VULN|3DUR|2DMG|3LIT	137LIT|2RCVC|37BPWR|4aDMG|57VULN|678DUR|9RCR
112	31622 14242	7	 * 	259.59	DCR|4VULN|2DUR|2ASPD	1LWND|2457VULN|34DUR|4BPWR|69ASPD|8BBNT|aRCR
113	31621 26432	8	   	259.21	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1LWND|24aVULN|34DUR|4BPWR|5RPLT|6CDMG|7RCR|8DMG|9AART
114	31622 32131	8	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1LWND|245VULN|34DUR|4BPWR|6AART|7ERES|8RCR|9CDMG|aDMG
115	31621 12611	9	   	258.96	DCR|3VULN|3DUR|1TLV|1CDMG	1LWND|248VULN|346DUR|4BPWR|5RPLT|7RCR|9TLV|aCDMG
116	31632 62353	5	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1LWND|258VULN|34aDUR|6TLV|7CDMG|9RCR
117	22121 36433	8	   	258.85	DCR|2VULN|2DUR|3LIT|1DMG|1TLV|1CDMG	137LIT|2RCVC|37BPWR|4DMG|57VULN|67DUR|8CDMG|9TLV|aRCR
118	22121 36663	8	   	258.85	DCR|2VULN|2DUR|3LIT|1DMG|1TLV|1CDMG	137LIT|2RCVC|37BPWR|4DMG|57VULN|67DUR|8TLV|9CDMG|aRCR
119	31622 53622	9	   	258.78	DCR|3VULN|3DUR|1DMG|1AART	1LWND|245VULN|346DUR|4BPWR|7DMG|8ZMB|9RCR|aAART
120	31432 26136	4	   	258.54	DCR|4VULN|3ASPD|2CDMG	17aLWND|246aVULN|345ASPD|4aBPWR|8aCDMG|9RCR
121	31442 22136	3	   	258.54	DCR|4VULN|3ASPD|2CDMG	17aLWND|267aVULN|345ASPD|7aBPWR|8aCDMG|9RCR
122	31622 65111	6	   	258.54	DCR|4VULN|2DUR|1DMG	1LWND|2458VULN|34DUR|4BPWR|6BEXP|7RCR|9DMG|aCGEN
123	31622 65123	6	   	258.54	DCR|4VULN|2DUR|1DMG	1LWND|2458VULN|34DUR|4BPWR|6BEXP|7RCR|9RPLT|aDMG
124	33322 55112	6	   	258.54	DCR|4VULN|2DUR|1DMG	1LWND|24FEWX|3458VULN|4BPWR|6aDUR|7RCR|9DMG
125	31622 65113	6	   	258.44	DCR|4VULN|2DUR|1DMG	1LWND|2458VULN|34DUR|4BPWR|6BEXP|7RCR|9DMG|aBBNT
126	34233 23377	1	 * 	258.44	DCR|4VULN|2DUR|2CDMG|1NUKE	1aLWND|2NUKE|36CDMG|467aVULN|5MBVNT|6aBPWR|8RCR|9aDUR
127	22121 36251	8	   	258.43	DCR|2VULN|3DUR|3LIT|1DMG|1TLV	137LIT|2RCVC|37BPWR|4DMG|57VULN|678DUR|9RCR|aTLV
128	22121 36261	9	   	258.43	DCR|2VULN|3DUR|3LIT|1DMG|1TLV	137LIT|2RCVC|37BPWR|4DMG|57VULN|678DUR|9RCR|aTLV
129	31311 42613	6	   	258.37	DCR|3VULN|3DMG|2CDMG	19LWND|239VULN|4CGEN|57CDMG|6RCR|89aDMG|9BPWR
130	31332 55112	6	   	258.34	DCR|4VULN|2DUR|1DMG	1LWND|2358VULN|4DUST|6aDUR|7RCR|9DMG
131	16451 33313	6	   	258.27	DCR|3VULN|3DMG|2CDMG	1RCVC|29aDMG|3MBVNT|47aVULN|5aCDMG|6RCR|8RPLT|aBPWR
132	16464 33313	6	   	258.27	DCR|3VULN|3DMG|2CDMG	1RCVC|29aDMG|3MBVNT|4aCDMG|57aVULN|6RCR|8RPLT|aBPWR
133	32251 41143	10	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1LWND|2AART|3ASPD|456VULN|7DMG|8DUR|9RCR|aTLV
134	32132 21545	4	   	258.01	DCR|4VULN|1TLV|1DUR|1AART	1LWND|2AART|3LIT|489aVULN|5DUR|6RCR|7TLV
135	31622 24314	10	   	257.91	DCR|5VULN|2DUR	1LWND|24579VULN|34DUR|4BPWR|6MLV|8ERES|aRCR
136	11423 72733	4	   	257.51	DCR|2VULN|2DMG|3ASPD|2DUR	1RCVC|2MBVNT|37aASPD|4aDUR|57FEWX|67VULN|7aBPWR|8aDMG|9RCR
137	11423 72733	5	   	257.51	DCR|2VULN|2DMG|3ASPD|2DUR	1RCVC|2MBVNT|37aASPD|4aDUR|57FEWX|67VULN|7aBPWR|8aDMG|9RCR
138	11427 42733	4	   	257.51	DCR|2VULN|2DMG|3ASPD|2DUR	1RCVC|2MBVNT|37aASPD|4aDUR|57VULN|67FEWX|7aBPWR|8aDMG|9RCR
139	11443 72733	3	   	257.51	DCR|2VULN|2DMG|3ASPD|2DUR	1RCVC|2MBVNT|37aASPD|4aDUR|57FEWX|67VULN|7aBPWR|8aDMG|9RCR
140	11447 42733	3	   	257.51	DCR|2VULN|2DMG|3ASPD|2DUR	1RCVC|2MBVNT|37aASPD|4aDUR|57VULN|67FEWX|7aBPWR|8aDMG|9RCR
141	11454 42733	4	   	257.51	DCR|2VULN|2DMG|3ASPD|2DUR	1RCVC|2MBVNT|37aASPD|4aVULN|57DUR|67FEWX|7aBPWR|8aDMG|9RCR
142	11543 72733	2	   	257.51	DCR|2VULN|2DMG|3ASPD|2DUR	1RCVC|2MBVNT|37aASPD|4aDUR|57FEWX|67VULN|7aBPWR|8aDMG|9RCR
143	11547 42733	2	   	257.51	DCR|2VULN|2DMG|3ASPD|2DUR	1RCVC|2MBVNT|37aASPD|4aDUR|57VULN|67FEWX|7aBPWR|8aDMG|9RCR
144	31621 12162	7	   	257.43	DCR|3VULN|3DUR|1DMG	1LWND|24aVULN|346DUR|4BPWR|5RPLT|7RCR|8DMG|9LIT
145	41261 23226	8	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1TLV|2469VULN|3DUST|5CDMG|7FEWX|8DMG|aRCR
146	26683 33413	1	   	257.33	DCR|3VULN|3DUR|1DMG	1LIT|2MBVNT|358VULN|45aDUR|5BPWR|6FEWX|7RCR|9DMG
147	31632 53114	7	   	257.33	DCR|3VULN|3DUR|1DMG	1LWND|258VULN|346DUR|7DMG|9LIT|aRCR
148	42648 21431	7	 * 	257.28	DCR|3VULN|2ASPD|2TLV|1DUR|2LIT	1aTLV|2MBVNT|3aASPD|49LIT|5DUR|68aVULN|7RCR|aBPWR
149	44131 53332	3	   	257.23	DCR|4VULN|2TLV|1DMG|1AART	14TLV|2AART|347aVULN|4BPWR|5TBNT|6BEXP|8DMG|9RCR
150	15326 36322	2	   	257.13	DCR|2VULN|3DUR|2TLV|1DMG|2LIT	1RCVC|258DUR|39VULN|48TLV|68LIT|7RCR|8BPWR|aDMG
151	16326 36322	1	   	257.13	DCR|2VULN|3DUR|2TLV|1DMG|2LIT	1RCVC|258DUR|39VULN|48TLV|68LIT|7RCR|8BPWR|aDMG
152	21523 31123	1	   	257.13	DCR|4VULN|3LIT|1DMG|1AART	127LIT|3568VULN|4DMG|9RCR|aAART
153	44131 23332	3	   	257.13	DCR|4VULN|2TLV|1DMG|1AART	14TLV|2AART|347aVULN|4BPWR|5TBNT|6LEGI|8DMG|9RCR
154	44631 23332	2	   	257.13	DCR|4VULN|2TLV|1DMG|1AART	14TLV|2AART|347aVULN|4BPWR|5TBNT|6LEGI|8DMG|9RCR
155	26647 31431	1	 * 	256.91	DCR|3VULN|2DUR|2ASPD|3LIT	158LIT|2MBVNT|35aVULN|4TBNT|5aBPWR|6RCR|7aASPD|9aDUR
156	41231 16316	6	   	256.60	DCR|5VULN|2TLV|1AART	18TLV|2589aVULN|38DUST|4AART|6DLOT|7RCR|8BPWR
157	32134 15333	9	   	256.57	DCR|4VULN|1DMG|1ASPD|1AART	1LWND|2AART|3LIT|459aVULN|6DMG|7ASPD|8RCR
158	31622 36522	9	   	256.44	DCR|4VULN|2DUR|1AART	19LWND|2458VULN|34DUR|4BPWR|6AART|7LIT|aRCR
159	31622 42522	9	   	256.44	DCR|4VULN|2DUR|1AART	19LWND|2458VULN|34DUR|4BPWR|6LIT|7AART|aRCR
160	31622 36332	9	   	256.34	DCR|4VULN|2DUR|1AART	1LWND|2459VULN|34DUR|4BPWR|6AART|7LIT|8DUST|aRCR
161	31622 36522	8	   	256.34	DCR|4VULN|2DUR|1AART	1LWND|2458VULN|34DUR|4BPWR|6AART|7LIT|9DUST|aRCR
162	31622 42332	9	   	256.34	DCR|4VULN|2DUR|1AART	1LWND|2459VULN|34DUR|4BPWR|6LIT|7AART|8DUST|aRCR
163	31622 42522	8	   	256.34	DCR|4VULN|2DUR|1AART	1LWND|2458VULN|34DUR|4BPWR|6LIT|7AART|9DUST|aRCR
164	31622 13251	6	   	256.31	DCR|3VULN|3DUR|1TLV|1ASPD	1LWND|245VULN|348DUR|4BPWR|6ASPD|7TLV|9RCR|aFEWX
165	31622 13254	6	   	256.31	DCR|3VULN|3DUR|1TLV|1ASPD	1LWND|245VULN|348DUR|4BPWR|6ASPD|7TLV|9RCR|aBEXP
166	31622 43251	5	   	256.31	DCR|3VULN|3DUR|1TLV|1ASPD	1LWND|245VULN|348DUR|4BPWR|6ASPD|7TLV|9RCR|aFEWX
167	31622 13253	6	   	256.21	DCR|3VULN|3DUR|1TLV|1ASPD	1LWND|245VULN|348DUR|4BPWR|6ASPD|7TLV|9RCR|aERES
168	31622 13256	6	   	256.21	DCR|3VULN|3DUR|1TLV|1ASPD	1LWND|245VULN|348DUR|4BPWR|6ASPD|7TLV|9RCR|aDUST
