0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53313 35131	1	 * 	292.88	DCR|5VULN|2DUR|2ASPD|1CDMG	1CDMG|2359aVULN|45ASPD|5BPWR|68DUR|7RCR
79	33132 14563	7	   	269.10	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|247aVULN|3aASPD|5MBVNT|6AART|8RCR|9aDUR|aBPWR
80	33132 14763	8	   	269.10	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|247aVULN|3aASPD|5MBVNT|6AART|8RCR|9aDUR|aBPWR
81	33132 14783	9	   	269.10	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|247aVULN|3aASPD|5MBVNT|6AART|8RCR|9aDUR|aBPWR
82	33132 14873	7	   	269.10	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|247aVULN|3aASPD|5MBVNT|6AART|8aDUR|9RCR|aBPWR
83	33132 17273	7	   	269.10	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|249aVULN|3aASPD|5MBVNT|6AART|7aDUR|8RCR|aBPWR
84	33132 17673	7	   	269.10	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|248aVULN|3aASPD|5MBVNT|6AART|7aDUR|9RCR|aBPWR
85	33132 17773	8	   	269.10	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|248aVULN|3aASPD|5MBVNT|6AART|7aDUR|9RCR|aBPWR
86	33132 61273	6	   	269.10	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|246aVULN|3aASPD|5MBVNT|7aDUR|8AART|9RCR|aBPWR
87	32136 23673	6	   	269.10	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|2aDUR|3aASPD|489aVULN|5AART|6MBVNT|7RCR|aBPWR
88	32136 25273	6	   	269.10	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|2aDUR|3aASPD|479aVULN|5AART|6MBVNT|8RCR|aBPWR
89	32512 52533	8	   	269.10	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|2aDUR|345aVULN|6AART|7RCR|8aASPD|9LEGI|aBPWR
90	32512 65233	5	   	269.10	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|2aDUR|345aVULN|6aASPD|7RCR|8AART|9LEGI|aBPWR
91	32535 23632	7	 * 	268.89	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|26DUR|35aVULN|459DMG|5BPWR|7BEXP|8RCR
92	32535 25332	6	 * 	268.89	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|26DUR|35aVULN|459DMG|5BPWR|7RCR|8FEWX
93	53252 36441	6	 * 	268.72	DCR|3VULN|2DMG|3CDMG|3TLV	18aCDMG|238TLV|4FEWX|5MBVNT|6aDMG|78aVULN|8aBPWR|9RCR
94	53263 36441	6	   	268.72	DCR|3VULN|2DMG|3CDMG|3TLV	18aCDMG|238TLV|4MBVNT|5FEWX|6aDMG|78aVULN|8aBPWR|9RCR
95	32512 16131	7	   	268.67	DCR|5VULN|2DUR|1ASPD|1SELL	1SELL|26DUR|3459aVULN|7RCR|8ASPD
96	32512 65131	5	   	268.67	DCR|5VULN|2DUR|1ASPD|1SELL	1SELL|28DUR|3459aVULN|6ASPD|7RCR
97	53313 35322	1	   	268.27	DCR|4VULN|3ASPD|1DUR|1CDMG	1CDMG|235aVULN|459ASPD|5BPWR|6DUR|7RCR|8FEWX
98	53313 45122	1	   	268.27	DCR|4VULN|3ASPD|1DUR|1CDMG	1CDMG|235aVULN|459ASPD|5BPWR|6BEXP|7RCR|8DUR
99	64333 35213	4	   	268.20	DCR|4VULN|2DUR|2CDMG|1NUKE|1AART	1NUKE|245aVULN|35CDMG|5aBPWR|6aDUR|7RCR|8AART|9aLWND
100	53313 35622	1	   	268.17	DCR|4VULN|3ASPD|1DUR|1CDMG	1CDMG|235aVULN|459ASPD|5BPWR|6DUR|7RCR|8DUST
101	64332 11283	6	   	268.00	DCR|4VULN|2DUR|2CDMG|1NUKE|1AART	1NUKE|249aVULN|3aCDMG|5MBVNT|6AART|7aDUR|8RCR|aBPWR
102	53321 21131	1	   	267.98	DCR|5VULN|1DUR|1CDMG|1ASPD	1CDMG|2359aVULN|4RCVC|6RCR|7DUR|8ASPD
103	32512 52423	10	   	267.95	DCR|4VULN|2DUR|1DMG|1AART|1SELL	1SELL|28DUR|3458VULN|6AART|7RCR|8BPWR|9DMG|aRCVC
104	32512 52423	9	   	267.95	DCR|4VULN|2DUR|1DMG|1AART|1SELL	1SELL|28DUR|3458VULN|6AART|7RCR|8BPWR|9DMG|aBELT
105	33225 56123	5	 * 	267.95	DCR|3VULN|2DMG|2DUR|2LIT|2SELL	17SELL|259VULN|34LIT|69DMG|89DUR|9BPWR|aRCR
106	32512 52226	10	   	267.85	DCR|4VULN|2DUR|1DMG|1AART|1SELL	1SELL|28DUR|345aVULN|6AART|7RCR|9DMG
107	32512 52421	9	   	267.85	DCR|4VULN|2DUR|1DMG|1AART|1SELL	1SELL|28DUR|3458VULN|6AART|7RCR|8BPWR|9DMG|aERES
108	23331 25251	4	 * 	267.31	DCR|5VULN|2TLV|2CDMG	169LHND|25TLV|39CDMG|4689aVULN|69BPWR|7RCR
109	51253 25232	4	   	267.17	DCR|3VULN|2DMG|2CDMG|1TLV	15CDMG|2CGEN|3TLV|45DMG|5BPWR|689VULN|7RCR|aLIT
110	23133 25251	5	 * 	267.06	DCR|5VULN|3TLV|1DMG|1SELL	19LHND|269TLV|3SELL|45689VULN|69BPWR|7RCR|aDMG
111	64332 35442	6	 * 	267.03	DCR|3VULN|2DMG|2DUR|1CDMG|1NUKE	1NUKE|248VULN|3CDMG|5MBVNT|68DMG|78DUR|8BPWR|9RCR|aZMB
112	64332 35444	6	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG|1NUKE	1NUKE|248VULN|3CDMG|5MBVNT|68DMG|78DUR|8BPWR|9RCR|aLHND
113	64332 35441	6	   	266.93	DCR|3VULN|2DMG|2DUR|1CDMG|1NUKE	1NUKE|248VULN|3CDMG|5MBVNT|68DMG|78DUR|8BPWR|9RCR|aDUST
114	32136 23472	6	 * 	266.52	DCR|3VULN|2DUR|2ASPD|1DMG|1AART|1SELL	1SELL|28DUR|38ASPD|489VULN|5AART|6MBVNT|7RCR|8BPWR|aDMG
115	32511 25141	5	 * 	266.47	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|258DUR|349VULN|69DMG|7RCR|9BPWR|aRCVC
116	32511 25142	5	 * 	266.47	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|258DUR|349VULN|69DMG|7RCR|9BPWR|aRPLT
117	32511 25143	5	 * 	266.47	DCR|3VULN|3DUR|2DMG|1SELL	1SELL|258DUR|349VULN|69DMG|7RCR|9BPWR|aRMIN
118	33132 84264	8	 * 	266.36	DCR|4VULN|2DMG|2ASPD|1SELL	1SELL|2469VULN|36ASPD|5MBVNT|69BPWR|79DMG|89CGEN|aRCR
119	33132 84664	8	 * 	266.16	DCR|4VULN|2DMG|2ASPD|1SELL	1SELL|2469VULN|36ASPD|5MBVNT|69BPWR|79DMG|89ERES|aRCR
120	33132 84664	7	 * 	266.16	DCR|4VULN|2DMG|2ASPD|1SELL	1SELL|2469VULN|36ASPD|5MBVNT|69BPWR|79DMG|89ERES|aRCR
121	33132 88164	7	 * 	266.16	DCR|4VULN|2DMG|2ASPD|1SELL	1SELL|2469VULN|36ASPD|5MBVNT|69BPWR|79ERES|89DMG|aRCR
122	53313 35212	1	   	265.84	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG|1AART	1CDMG|235VULN|45ASPD|5BPWR|6DUR|7RCR|8AART|9LWND|aDMG
123	53313 35241	1	   	265.84	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG|1AART	1CDMG|235VULN|45ASPD|5BPWR|6DUR|7RCR|8AART|9DMG|aRPLT
124	53313 35243	1	   	265.84	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG|1AART	1CDMG|235VULN|45ASPD|5BPWR|6DUR|7RCR|8AART|9DMG|aZMB
125	53313 35232	1	   	265.74	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG|1AART	1CDMG|235VULN|45ASPD|5BPWR|6DUR|7RCR|8AART|9LEGI|aDMG
126	53313 35431	1	   	265.70	DCR|3VULN|3ASPD|1DMG|1DUR|1CDMG	1CDMG|235VULN|45aASPD|5BPWR|6DUR|7RCR|8DMG|9RPLT
127	13441 33126	10	 * 	265.66	DCR|3VULN|3DMG|1TLV|1ASPD	1ERES|289DMG|3ASPD|4DUST|589VULN|6TLV|789MLV|89BPWR|aRCR
128	23334 25236	5	   	265.49	DCR|5VULN|1TLV|1CDMG	156LHND|2TLV|3CDMG|45689VULN|56BPWR|7RCR|aLIT
129	32512 16343	10	   	265.45	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG|1SELL	1SELL|26DUR|345VULN|7RCR|8TLV|9DMG|aCDMG
130	23333 25236	5	   	265.39	DCR|5VULN|1TLV|1CDMG	16LHND|2TLV|3CDMG|45689VULN|6BPWR|7RCR|aLIT
131	23333 55236	6	   	265.29	DCR|5VULN|1TLV|1CDMG	1LHND|2TLV|3CDMG|45689VULN|7RCR|aLIT
132	53332 33255	1	   	265.15	DCR|4VULN|2DMG|2CDMG	19CDMG|2389VULN|4ERES|5DUST|69DMG|7RMIN|9BPWR|aRCR
133	33335 32533	8	 * 	264.67	ACR|4VULN|3DMG|2ASPD|2LIT|1SELL	1SELL|259aVULN|3RCR|456DMG|59BPWR|79LIT|89ASPD
134	32512 25242	5	   	264.47	DCR|3VULN|2DMG|1TLV|1DUR|1AART|1SELL	1SELL|2DUR|345VULN|69DMG|7RCR|8AART|aTLV
135	33132 35442	6	   	264.24	DCR|3VULN|2DMG|2DUR|1ASPD|1SELL	1SELL|248VULN|3ASPD|5MBVNT|68DMG|78DUR|8BPWR|9RCR|aZMB
136	33132 35444	6	   	264.24	DCR|3VULN|2DMG|2DUR|1ASPD|1SELL	1SELL|248VULN|3ASPD|5MBVNT|68DMG|78DUR|8BPWR|9RCR|aLHND
137	33132 35445	6	   	264.24	DCR|3VULN|2DMG|2DUR|1ASPD|1SELL	1SELL|248VULN|3ASPD|5MBVNT|68DMG|78DUR|8BPWR|9RCR|aMLV
138	33132 35446	6	   	264.24	DCR|3VULN|2DMG|2DUR|1ASPD|1SELL	1SELL|248VULN|3ASPD|5MBVNT|68DMG|78DUR|8BPWR|9RCR|aRMIN
139	33132 35447	6	   	264.24	DCR|3VULN|2DMG|2DUR|1ASPD|1SELL	1SELL|248VULN|3ASPD|5MBVNT|68DMG|78DUR|8BPWR|9RCR|aCGEN
140	33132 35441	6	   	264.14	DCR|3VULN|2DMG|2DUR|1ASPD|1SELL	1SELL|248VULN|3ASPD|5MBVNT|68DMG|78DUR|8BPWR|9RCR|aDUST
141	33132 67123	7	   	264.09	DCR|4VULN|2DUR|2LIT|1ASPD|1SELL	1SELL|2469VULN|3ASPD|5MBVNT|79LIT|89DUR|9BPWR|aRCR
142	32512 16336	10	   	264.04	DCR|4VULN|2DUR|1TLV|1AART|1SELL	1SELL|26DUR|345aVULN|7RCR|8TLV|9AART
143	11411 31163	8	 * 	263.94	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	18ERES|2TLV|38ASPD|45VULN|6aDUR|78DMG|8BPWR|9RCR
144	51253 25132	4	 * 	263.86	DCR|2VULN|3DMG|2CDMG|1TLV|1DUR	15CDMG|2CGEN|3TLV|459DMG|5BPWR|6aVULN|7RCR|8DUR
145	52255 11231	7	   	263.82	DCR|4VULN|1DMG|2CDMG|1TLV	15CDMG|2ZMB|3TLV|4DMG|6RCR|789aVULN
146	64335 11321	8	   	263.72	DCR|4VULN|1DMG|2CDMG|1TLV|1NUKE	1NUKE|247aVULN|35CDMG|6RCR|8DMG|9TLV
147	23334 25252	5	   	263.69	DCR|5VULN|2CDMG|1TLV	1569LHND|2TLV|39CDMG|45689VULN|569BPWR|7RCR|aRMIN
148	23334 25253	5	   	263.69	DCR|5VULN|2CDMG|1TLV	1569LHND|2TLV|39CDMG|45689VULN|569BPWR|7RCR|aBEXP
149	23333 25251	5	   	263.59	DCR|5VULN|2CDMG|1TLV	169LHND|2TLV|39CDMG|45689VULN|69BPWR|7RCR|aRCVC
150	23333 25252	5	   	263.59	DCR|5VULN|2CDMG|1TLV	169LHND|2TLV|39CDMG|45689VULN|69BPWR|7RCR|aRPLT
151	23333 25253	5	   	263.59	DCR|5VULN|2CDMG|1TLV	169LHND|2TLV|39CDMG|45689VULN|69BPWR|7RCR|aRMIN
152	23333 25255	5	   	263.59	DCR|5VULN|2CDMG|1TLV	169LHND|2TLV|39CDMG|45689VULN|69BPWR|7RCR|aBEXP
153	23334 15251	5	   	263.59	DCR|5VULN|2CDMG|1TLV	159LHND|2TLV|39CDMG|4589aVULN|59BPWR|6DMSP|7RCR
154	23333 15251	5	   	263.49	DCR|5VULN|2CDMG|1TLV	19LHND|2TLV|39CDMG|4589aVULN|6DMSP|7RCR|9BPWR
155	23333 45251	5	   	263.49	DCR|5VULN|2CDMG|1TLV	169LHND|2TLV|39CDMG|4589aVULN|7RCR|9BPWR
156	23333 55251	6	   	263.49	DCR|5VULN|2CDMG|1TLV	19LHND|2TLV|39CDMG|45689VULN|7RCR|9BPWR|aRCVC
157	23333 55252	6	   	263.49	DCR|5VULN|2CDMG|1TLV	19LHND|2TLV|39CDMG|45689VULN|7RCR|9BPWR|aRPLT
158	23333 55253	6	   	263.49	DCR|5VULN|2CDMG|1TLV	19LHND|2TLV|39CDMG|45689VULN|7RCR|9BPWR|aRMIN
159	23333 65251	6	   	263.49	DCR|5VULN|2CDMG|1TLV	169LHND|2TLV|39CDMG|4589aVULN|7RCR|9BPWR
160	33133 34251	7	 * 	263.36	ACR|5VULN|2DMG|2TLV|1ASPD|1SELL	1SELL|2489aVULN|3ASPD|5RCR|69DMG|79TLV|9BPWR
161	33133 52151	6	 * 	263.36	ACR|5VULN|2DMG|2TLV|1ASPD|1SELL	1SELL|2469aVULN|3ASPD|5RCR|79TLV|89DMG|9BPWR
162	33313 62151	5	 * 	263.36	ACR|5VULN|2DMG|2TLV|1ASPD|1SELL	1SELL|2459aVULN|3RCR|6ASPD|79TLV|89DMG|9BPWR
