0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32314 16633	6	 * 	292.65	DCR|4VULN|3DMG|3DUR	138aVULN|2LHND|48aDUR|5BELT|68aDMG|7RCR|8aBPWR|9BBNT
51	34524 23122	4	   	268.27	DCR|4VULN|2DUR|1TLV|2ASPD	1349VULN|2CGEN|5TBNT|69DUR|79ASPD|8RCR|9BPWR|aTLV
52	31332 21443	7	   	267.91	DCR|3VULN|2DMG|1TLV|1CDMG|1SELL	14aVULN|24DMG|3SELL|4BPWR|5LIT|6CDMG|7ASPD|8RCR|9TLV
53	31332 23443	6	   	267.91	DCR|3VULN|2DMG|1TLV|1CDMG|1SELL	14aVULN|24DMG|3SELL|4BPWR|5LIT|6CDMG|7ASPD|8RCR|9TLV
54	31552 11113	2	 * 	267.76	DCR|2VULN|3DMG|2TLV|2DUR	1aVULN|29aDMG|3CGEN|45DUR|6BBNT|7aTLV|8RCR|aBPWR
55	31612 11113	4	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	1aVULN|29aDMG|3MLV|45DUR|6BBNT|7aTLV|8RCR|aBPWR
56	31652 11113	3	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	1aVULN|29aDMG|3MLV|45DUR|6BBNT|7aTLV|8RCR|aBPWR
57	31112 11113	4	   	267.66	DCR|2VULN|3DMG|2TLV|2DUR	1aVULN|29aDMG|3ERES|45DUR|6BBNT|7aTLV|8RCR|aBPWR
58	31152 11113	3	   	267.66	DCR|2VULN|3DMG|2TLV|2DUR	1aVULN|29aDMG|3ERES|45DUR|6BBNT|7aTLV|8RCR|aBPWR
59	31553 21241	7	   	267.30	DCR|4VULN|2TLV|1DMG|1AART	1356VULN|2DMG|4AART|7ASPD|8RCR|9aTLV
60	31543 52123	4	   	267.29	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	136VULN|2DMG|49DUR|56ASPD|6BPWR|7RCR|8FEWX|aTLV
61	31513 52423	3	   	267.19	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	136VULN|2DMG|4DUST|56ASPD|6BPWR|7RCR|89DUR|aTLV
62	31523 52423	4	   	267.19	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	136VULN|2DMG|4DUST|56ASPD|6BPWR|7RCR|89DUR|aTLV
63	31543 52333	4	   	267.19	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	136VULN|2DMG|49DUR|56ASPD|6BPWR|7RCR|8LEGI|aTLV
64	31231 42344	2	   	267.09	DCR|3VULN|3DMG|1TLV|1CDMG	169VULN|234DMG|5LHND|7CDMG|8TLV|aRCR
65	31335 22333	4	   	267.00	DCR|4VULN|2DMG|1TLV|1SELL	1456VULN|24DMG|3SELL|4BPWR|7ASPD|8RCR|9LWND|aTLV
66	31335 22353	4	   	267.00	DCR|4VULN|2DMG|1TLV|1SELL	1456VULN|24DMG|3SELL|4BPWR|7ASPD|8RCR|9LHND|aTLV
67	31233 42344	2	   	266.99	DCR|3VULN|3DMG|1TLV|1CDMG	169VULN|234DMG|5DUST|7CDMG|8TLV|aRCR
68	31522 21312	10	 * 	266.92	DCR|4VULN|2DMG|2TLV	1389VULN|2aDMG|48DUST|58TLV|6BELT|7RCR|8BPWR
69	33221 64263	3	   	266.33	DCR|3VULN|3DUR|2TLV|1CDMG	179VULN|247LWND|3CDMG|59TLV|679DUR|79BPWR|8RPLT|aRCR
70	31335 22326	4	   	266.11	DCR|4VULN|3DMG|1AART|1SELL	1456VULN|249DMG|3SELL|4BPWR|7ASPD|8RCR|aAART
71	31542 11315	10	   	266.09	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	13aVULN|2DMG|4aDUR|5TLV|6BEXP|7RCR|8BELT|9aLIT|aBPWR
72	31542 21312	9	   	266.09	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	13aVULN|2DMG|4aDUR|5TLV|6FEWX|7RCR|8BELT|9aLIT|aBPWR
73	31542 21315	10	   	266.09	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	13aVULN|2DMG|4aDUR|5TLV|6FEWX|7RCR|8BELT|9aLIT|aBPWR
74	35261 41132	3	   	265.87	DCR|4VULN|2DUR|1TLV|1CDMG	159aVULN|29BEXP|3CDMG|4BELT|6RCR|7TLV|89DUR|9BPWR
75	11512 12313	6	   	265.86	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1LWND|2aDMG|35VULN|4LHND|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
76	11512 42313	5	   	265.86	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1LWND|2aDMG|35VULN|4LHND|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
77	11562 12313	6	   	265.86	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1LWND|2aDMG|35VULN|4BEXP|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
78	11562 42313	5	   	265.86	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1LWND|2aDMG|35VULN|4BEXP|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
79	31531 42313	4	   	265.86	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	13VULN|2aDMG|4LHND|5LWND|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
80	31535 12313	6	   	265.86	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	13VULN|2aDMG|4LHND|5LWND|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
81	31535 42313	5	   	265.86	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	13VULN|2aDMG|4LHND|5LWND|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
82	31535 42313	4	   	265.86	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	13VULN|2aDMG|4LHND|5BEXP|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
83	31551 42313	3	   	265.86	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	13VULN|2aDMG|4FEWX|5LWND|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
84	34521 12622	4	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	134aVULN|2CGEN|5ASPD|6DUR|7RCR|8DMG|9TLV
85	11532 12313	6	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1LWND|2aDMG|35VULN|4DUST|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
86	11532 32313	5	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1LWND|2aDMG|35VULN|4DUST|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
87	24521 42313	4	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1LEGI|2aDMG|36VULN|4aDUR|5LHND|7CDMG|8aTLV|9RCR|aBPWR
88	24521 42313	5	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1LEGI|2aDMG|36VULN|4aDUR|5LWND|7CDMG|8aTLV|9RCR|aBPWR
89	31511 32313	3	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	13VULN|2aDMG|4DUST|5LWND|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
90	31521 32313	4	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	13VULN|2aDMG|4DUST|5LWND|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
91	31525 12313	6	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	13VULN|2aDMG|4DUST|5LWND|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
92	31525 32313	5	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	13VULN|2aDMG|4DUST|5LWND|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
93	31532 32313	4	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	13VULN|2aDMG|4LHND|5DUST|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
94	31536 12313	6	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	13VULN|2aDMG|4LHND|5DUST|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
95	31536 32313	5	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	13VULN|2aDMG|4LHND|5DUST|6aDUR|7CDMG|8aTLV|9RCR|aBPWR
96	31543 13162	4	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1379VULN|2DMG|4DUR|5ASPD|6BBNT|8RCR|aTLV
97	24522 42313	5	   	265.66	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	1LEGI|2aDMG|36VULN|4aDUR|5DUST|7CDMG|8aTLV|9RCR|aBPWR
98	31522 21314	9	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1389VULN|2DMG|48DUST|58TLV|6BELT|7RCR|8BPWR|aDUR
99	31522 21334	8	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1389VULN|2DMG|48DUST|58TLV|6BELT|7RCR|8BPWR|aDUR
100	31531 12434	3	   	265.46	DCR|2VULN|3DUR|2DMG|1TLV	13VULN|24DMG|5ASPD|68aDUR|7RCR|9TLV
101	62632 63121	7	   	265.43	DCR|2VULN|3DMG|1TLV|2CDMG	16aDMG|24CDMG|34VULN|4BPWR|5LIT|7ASPD|8RCR|9TLV
102	32438 32734	1	 * 	265.15	DCR|4VULN|3DUR|1TLV	1458VULN|26aDUR|3MBVNT|7RCR|9TLV
103	33622 52243	9	   	265.14	DCR|4VULN|2DMG|2ASPD|1DUR	159aVULN|2LWND|39ASPD|4DUR|6DUST|7RCR|89DMG|9BPWR
104	33632 12243	9	   	265.14	DCR|4VULN|2DMG|2ASPD|1DUR	159aVULN|2LWND|39ASPD|4DUST|6DUR|7RCR|89DMG|9BPWR
105	23354 26323	10	   	264.48	DCR|3VULN|2DMG|2DUR|1CDMG	1LEGI|27DUR|378VULN|4CDMG|5LIT|67DMG|7BPWR|9RPLT|aRCR
106	32314 34332	6	 * 	264.43	DCR|5VULN|2DUR|1DMG	13789VULN|27LHND|47DUR|5BELT|6RCR|7BPWR|aDMG
107	31331 13344	6	   	264.30	DCR|4VULN|3DMG|1DUR|1SELL	1479VULN|248DMG|3SELL|4BPWR|5ERES|6DUR|aRCR
108	31513 12334	4	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	135VULN|2DMG|4CGEN|68aDUR|7RCR|9TLV
109	31542 32132	5	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	13aVULN|2DMG|469DUR|5TLV|7RCR|8BEXP
110	31542 32332	5	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	13aVULN|2DMG|468DUR|5TLV|7RCR|9FEWX
111	31542 32352	5	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	13aVULN|2DMG|468DUR|5TLV|7RCR|9BEXP
112	34533 12334	3	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	135VULN|2CGEN|4DMG|68aDUR|7RCR|9TLV
113	23354 26312	9	   	264.23	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	1LEGI|27DUR|378VULN|4CDMG|5LIT|67DMG|7BPWR|9SELL|aRCR
114	24343 26312	9	   	264.23	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	1LEGI|27DMG|3SELL|4LIT|57DUR|678VULN|7BPWR|9CDMG|aRCR
115	32438 62212	1	   	264.23	DCR|5VULN|2DUR|1DMG	1456aVULN|26DUR|3MBVNT|6BPWR|7RCR|8DMG|9CGEN
116	31561 32623	5	   	264.16	DCR|3VULN|3DUR|1TLV|1DMG	139VULN|2DMG|49ERES|569DUR|7RCR|8BBNT|9BPWR|aTLV
117	34521 36133	4	   	264.09	DCR|5VULN|1TLV|1DUR	13467VULN|2CGEN|5ASPD|8RCR|9DUR|aTLV
118	61153 52332	1	   	263.95	DCR|3VULN|3DUR|2DMG	16DMG|2ASPD|349DUR|56aVULN|6BPWR|7RCR|8LEGI
119	31253 26511	8	   	263.70	DCR|3VULN|2DMG|1TLV|1DUR|1AART	156VULN|27DMG|3RCVC|4AART|8RCR|9DUR|aTLV
120	31533 52362	3	   	263.70	DCR|3VULN|2DMG|1TLV|1DUR|1AART	13aVULN|24DMG|5LWND|6TLV|7RCR|8DUR|9AART
121	31123 13125	4	   	263.60	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	179VULN|29DMG|3ERES|4TLV|59ASPD|6BBNT|8RCR|9BPWR|aAART
122	32434 41255	1	   	263.57	DCR|4VULN|2DMG|2DUR	1489VULN|28DUR|3MBVNT|5RPLT|68DMG|7RMIN|8BPWR|aRCR
123	32314 16631	6	   	263.57	DCR|4VULN|2DMG|2DUR	138aVULN|2LHND|48DUR|5BELT|68DMG|7RCR|8BPWR|9BBNT
124	33314 16623	6	   	263.57	DCR|4VULN|2DMG|2DUR	138aVULN|2LWND|48DUR|5BELT|68DMG|7RCR|8BPWR|9DUST
125	33314 16631	6	   	263.57	DCR|4VULN|2DMG|2DUR	138aVULN|2LWND|48DUR|5BELT|68DMG|7RCR|8BPWR|9BBNT
126	33326 33624	6	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1378VULN|2LWND|4TLV|5CDMG|6ASPD|9DMG|aRCR
127	31522 21312	9	   	262.98	DCR|4VULN|2TLV|1DMG|1CDMG	1389VULN|2DMG|48DUST|58TLV|6BELT|7RCR|8BPWR|aCDMG
128	31522 21332	8	   	262.98	DCR|4VULN|2TLV|1DMG|1CDMG	1389VULN|2DMG|48DUST|58TLV|6BELT|7RCR|8BPWR|aCDMG
