0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65141 11333	3	 * 	286.12	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1ASPD|2aDMG|3DUST|4TLV|56aVULN|7DUR|8aCDMG|9RCR|aBPWR
56	21331 24511	3	 * 	263.29	DCR|5VULN|2CDMG|1DUR	1MLV|23CDMG|45678VULN|9DUR|aRCR
57	61422 81231	4	   	263.10	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1CDMG	19ASPD|2CDMG|39VULN|4MBVNT|5DUR|6RCR|7ZMB|89DMG|9BPWR|aTLV
58	61115 32312	6	   	263.03	DCR|4VULN|2DUR|1CDMG|1ASPD	1ASPD|2CDMG|38DUR|4MLV|579aVULN|6RCR
59	61453 32312	6	   	263.03	DCR|4VULN|2DUR|1CDMG|1ASPD	1ASPD|2CDMG|379aVULN|48DUR|5MLV|6RCR
60	61452 32311	7	   	263.02	DCR|2VULN|3DUR|1DMG|1TLV|1CDMG|1ASPD	1ASPD|2CDMG|39VULN|478DUR|5TLV|6RCR|aDMG
61	61452 32311	8	   	263.02	DCR|2VULN|3DUR|1DMG|1TLV|1CDMG|1ASPD	1ASPD|2CDMG|39VULN|478DUR|5TLV|6RCR|aDMG
62	62633 41332	3	   	263.00	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1CDMG	15ASPD|2DUST|3aDMG|45VULN|5BPWR|6TLV|7DUR|8CDMG|9RCR
63	65133 41332	3	   	263.00	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1CDMG	15ASPD|2aDMG|3DUST|45VULN|5BPWR|6TLV|7DUR|8CDMG|9RCR
64	61142 32412	8	 * 	262.88	DCR|2VULN|3DUR|3ASPD|1TLV|1CDMG	18aASPD|2CDMG|37aDUR|4FEWX|5TLV|6RCR|9aVULN|aBPWR
65	61132 32412	8	   	262.78	DCR|2VULN|3DUR|3ASPD|1TLV|1CDMG	18aASPD|2CDMG|37aDUR|4DUST|5TLV|6RCR|9aVULN|aBPWR
66	13465 22633	5	   	262.70	DCR|4VULN|3DUR|1ASPD	1LWND|2MBVNT|356DUR|4567VULN|56BPWR|8RCR|9MLV|aASPD
67	61423 14111	4	 * 	262.69	DCR|2VULN|2DMG|3ASPD|2CDMG|1TLV	18aASPD|2aCDMG|35VULN|4MBVNT|6TLV|7aDMG|9RCR|aBPWR
68	13465 21483	5	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	1LWND|2MBVNT|356DUR|456VULN|56BPWR|7TBNT|8CDMG|9DMG|aRCR
69	65333 11423	3	 * 	262.29	DCR|2VULN|3DMG|3ASPD|2TLV	15aASPD|26aDMG|3FEWX|45VULN|5aBPWR|7RCR|8RPLT|9aTLV
70	65133 11423	3	   	262.19	DCR|2VULN|3DMG|3ASPD|2TLV	15aASPD|26aDMG|3DUST|45VULN|5aBPWR|7RCR|8RPLT|9aTLV
71	56122 24132	7	   	261.64	DCR|4VULN|2DMG|1DUR	1RPLT|29FEWX|3579VULN|4BEXP|6DUR|89DMG|9BPWR|aRCR
72	13221 27355	4	   	261.64	DCR|4VULN|2DMG|1DUR	1aLWND|2MBVNT|356aVULN|46FEWX|6aBPWR|7DUR|8aDMG|9RCR
73	13231 27355	3	   	261.64	DCR|4VULN|2DMG|1DUR	1aLWND|2MBVNT|356aVULN|46FEWX|6aBPWR|7DUR|8aDMG|9RCR
74	43523 41232	5	   	261.64	DCR|4VULN|2DMG|1DUR	1RCVC|24DMG|346ZMB|46BPWR|567aVULN|8RCR|9DUR
75	13221 37355	4	   	261.54	DCR|4VULN|2DMG|1DUR	1aLWND|2MBVNT|356aVULN|4FEWX|7DUR|8aDMG|9RCR|aBPWR
76	13231 37355	3	   	261.54	DCR|4VULN|2DMG|1DUR	1aLWND|2MBVNT|356aVULN|4FEWX|7DUR|8aDMG|9RCR|aBPWR
77	13263 61474	4	   	261.44	DCR|4VULN|2DMG|1DUR	15LWND|2MBVNT|3456VULN|5BPWR|7RCR|89DMG|aDUR
78	13465 22614	5	   	261.26	DCR|4VULN|3DUR|1AART	1LWND|2MBVNT|356DUR|4567VULN|56BPWR|8RCR|9BBNT|aAART
79	45223 41212	5	   	261.04	DCR|4VULN|3DMG	1RCVC|24ZMB|346DMG|46BPWR|567aVULN|8RCR|9BEXP
80	45223 41222	5	   	261.04	DCR|4VULN|3DMG	1RCVC|24ZMB|346DMG|46BPWR|567aVULN|8RCR|9LHND
81	43223 41212	5	   	260.84	DCR|4VULN|3DMG|1NUKE	1RCVC|246DMG|3NUKE|46BPWR|567aVULN|8RCR|9BEXP
82	43223 41222	5	   	260.84	DCR|4VULN|3DMG|1NUKE	1RCVC|246DMG|3NUKE|46BPWR|567aVULN|8RCR|9LHND
83	33521 23316	1	   	260.72	DCR|3VULN|1DMG|1DUR|2LIT|1CDMG|1ASPD	16LIT|2DUR|3DMG|467VULN|5TBNT|6BPWR|8CDMG|9ASPD|aRCR
84	61115 32316	6	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|38DUR|4MLV|579VULN|6RCR|aDMG
85	61161 32312	3	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|38DUR|4DMG|579VULN|6FEWX|aRCR
86	61451 32312	4	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|379VULN|48DUR|5DMG|6FEWX|aRCR
87	61631 32312	3	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|3DMG|48DUR|579VULN|6FEWX|aRCR
88	61661 32312	4	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|3DMG|48DUR|579VULN|6FEWX|aRCR
89	65431 32312	3	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3CDMG|48DUR|579VULN|6FEWX|aRCR
90	61613 11312	8	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|3DMG|4RCVC|59aVULN|68DUR|7RCR
91	61613 11312	7	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|2CDMG|3DMG|4RCVC|59aVULN|68DUR|7RCR
92	65413 11312	8	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3CDMG|4RCVC|59aVULN|68DUR|7RCR
93	65413 11312	7	   	260.45	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1ASPD|2DMG|3CDMG|4RCVC|59aVULN|68DUR|7RCR
94	61532 24112	2	   	260.36	DCR|3VULN|2DUR|2ASPD|1CDMG|1AART	16ASPD|2CDMG|3AART|478VULN|56DUR|6BPWR|9CGEN|aRCR
95	36462 12132	2	   	260.26	DCR|3VULN|3DUR|1TLV|2LIT	17LIT|28RCVC|3TLV|479VULN|567DUR|7BPWR|aRCR
96	42433 22232	6	   	260.26	DCR|3VULN|3DUR|1TLV|2LIT	1RCVC|2DMSP|378DUR|4TLV|579VULN|67LIT|7BPWR|aRCR
97	65333 11412	3	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	15ASPD|26DMG|3FEWX|45aVULN|5BPWR|7RCR|8RPLT|9DUR
98	62242 41231	1	   	260.11	DCR|3VULN|2DMG|2ASPD|1TLV	19ASPD|2RPLT|39DMG|489VULN|5RMIN|6MBVNT|7RCR|9BPWR|aTLV
99	13263 53832	4	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	15LWND|2MBVNT|345aVULN|5BPWR|6TLV|7RCR|8DMG|9DUR
100	62633 11412	3	   	260.01	DCR|3VULN|2DMG|2ASPD|1DUR	15ASPD|2DUST|36DMG|45aVULN|5BPWR|7RCR|8RPLT|9DUR
101	65133 11412	3	   	260.01	DCR|3VULN|2DMG|2ASPD|1DUR	15ASPD|26DMG|3DUST|45aVULN|5BPWR|7RCR|8RPLT|9DUR
102	13465 22163	5	   	260.01	DCR|4VULN|3DUR	1LWND|2MBVNT|356DUR|4567VULN|56BPWR|8CGEN|9LIT|aRCR
103	13465 22634	5	   	260.01	DCR|4VULN|3DUR	1LWND|2MBVNT|356DUR|4567VULN|56BPWR|8RCR|9MLV|aLIT
104	13465 23363	5	   	260.01	DCR|4VULN|3DUR	1LWND|2MBVNT|356DUR|4568VULN|56BPWR|7CGEN|9LIT|aRCR
105	21132 32412	6	   	260.00	DCR|4VULN|2CDMG|1TLV|1DUR	1MLV|28CDMG|3DUR|479aVULN|5TLV|6RCR
106	21132 62412	5	   	260.00	DCR|4VULN|2CDMG|1TLV|1DUR	1MLV|28CDMG|3DUR|479aVULN|5TLV|6RCR
107	21151 62412	3	   	260.00	DCR|4VULN|2CDMG|1TLV|1DUR	1MLV|28CDMG|3DUR|4TLV|579aVULN|6RCR
108	21452 32412	6	   	260.00	DCR|4VULN|2CDMG|1TLV|1DUR	1MLV|28CDMG|379aVULN|4DUR|5TLV|6RCR
109	61142 32412	7	 * 	259.68	DCR|2VULN|3DUR|2ASPD|2CDMG|1TLV	1aASPD|28CDMG|37aDUR|4FEWX|5TLV|6RCR|9aVULN|aBPWR
110	61132 32412	7	   	259.58	DCR|2VULN|3DUR|2ASPD|2CDMG|1TLV	1aASPD|28CDMG|37aDUR|4DUST|5TLV|6RCR|9aVULN|aBPWR
111	65236 11131	10	   	259.21	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1ASPD|2aDMG|3ERES|4TLV|5aCDMG|6DUR|7RCR|8RPLT|9aVULN|aBPWR
112	13465 24642	5	   	258.96	DCR|3VULN|3DUR|1TLV|1CDMG	1LWND|2MBVNT|356DUR|456VULN|56BPWR|7RCVC|8RCR|9TLV|aCDMG
113	13262 27642	4	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1LWND|2MBVNT|346VULN|567DUR|6BPWR|8RCR|9TLV|aCDMG
114	13461 27642	4	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1LWND|2MBVNT|367DUR|456VULN|6BPWR|8RCR|9TLV|aCDMG
115	13462 22642	4	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1LWND|2MBVNT|356DUR|467VULN|6BPWR|8RCR|9TLV|aCDMG
116	13263 53372	4	 * 	258.85	DCR|4VULN|2ASPD|1TLV|1CDMG	15aLWND|2MBVNT|345aVULN|5aBPWR|6TLV|7RCR|8CDMG|9aASPD
117	32421 23132	1	   	258.71	DCR|4VULN|1DMG|1DUR|2LIT	16LIT|2DMG|3FEWX|4679VULN|5TBNT|6BPWR|8DUR|aRCR
118	33521 23532	1	   	258.71	DCR|4VULN|1DMG|1DUR|2LIT	16LIT|2DUR|3DMG|4679VULN|5TBNT|6BPWR|8FEWX|aRCR
119	32521 23132	1	   	258.61	DCR|4VULN|1DMG|1DUR|2LIT	16LIT|2DMG|3DUST|4679VULN|5TBNT|6BPWR|8DUR|aRCR
120	43253 13211	8	 * 	258.27	DCR|3VULN|3DMG|2TLV|1NUKE	1RCVC|26aDMG|3NUKE|4aTLV|58aVULN|7RPLT|9RCR|aBPWR
121	13262 21382	4	 * 	257.81	DCR|5VULN|2DUR	1LWND|2MBVNT|34679VULN|56DUR|6BPWR|8DUST|aRCR
122	13461 21382	4	   	257.81	DCR|5VULN|2DUR	1LWND|2MBVNT|36DUR|45679VULN|6BPWR|8DUST|aRCR
123	13465 31382	5	   	257.81	DCR|5VULN|2DUR	1LWND|2MBVNT|35DUR|45679VULN|5BPWR|8DUST|aRCR
124	61411 31351	10	 * 	257.64	DCR|2VULN|2DMG|2DUR|2CDMG|1ASPD	1ASPD|29CDMG|3aVULN|4MLV|59DMG|6CGEN|7RCR|89DUR|9BPWR
125	21133 54333	5	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	15MLV|2CDMG|3DUR|4578VULN|5BPWR|6TBNT|9DMG|aRCR
126	21132 32416	6	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	1MLV|28CDMG|3DUR|479VULN|5TLV|6RCR|aDMG
127	21132 62416	5	   	257.42	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	1MLV|28CDMG|3DUR|479VULN|5TLV|6RCR|aDMG
128	21116 34333	3	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1MLV|2CDMG|3DUR|4BBNT|5678VULN|9DMG|aRCR
129	21136 34333	4	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1MLV|2CDMG|3DUR|4678VULN|5TBNT|9DMG|aRCR
130	21516 34333	2	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1MLV|2CDMG|3DUR|4BBNT|5678VULN|9DMG|aRCR
131	13465 33123	10	   	257.33	DCR|3VULN|3DUR|1DMG	1LWND|2MBVNT|358DUR|45aVULN|5BPWR|6LIT|7DMG|9RCR
132	63532 11134	6	   	257.21	DCR|3VULN|2DUR|2ASPD|1DMG	1aASPD|2CGEN|35aVULN|4RMIN|6DMG|7RCR|8FEWX|9aDUR|aBPWR
133	63532 11334	6	   	257.11	DCR|3VULN|2DUR|2ASPD|1DMG	1aASPD|2CGEN|35aVULN|4RMIN|6DMG|7RCR|8DUST|9aDUR|aBPWR
134	61142 36312	6	 * 	257.08	DCR|2VULN|3DUR|2ASPD|2TLV|1CDMG	1aASPD|2CDMG|38aDUR|4FEWX|57TLV|6RCR|9aVULN|aBPWR
135	65133 43333	3	   	256.98	DCR|2VULN|2DMG|2ASPD|2TLV|2CDMG	15ASPD|2aDMG|3DUST|45VULN|5aBPWR|6aTLV|7FEWX|8aCDMG|9RCR
136	21411 24511	4	   	256.98	DCR|5VULN|1DUR|1CDMG	14MLV|2CDMG|35678VULN|9DUR|aRCR
137	21431 21511	4	   	256.98	DCR|5VULN|1DUR|1CDMG	1MLV|2CDMG|34568VULN|7DMSP|9DUR|aRCR
138	21431 25611	4	   	256.98	DCR|5VULN|1TLV|1CDMG	1MLV|2CDMG|34569VULN|7CGEN|8TLV|aRCR
139	21432 22642	5	   	256.73	DCR|5VULN|1TLV|1CDMG|1SELL	1MLV|2CDMG|3469aVULN|5SELL|7TLV|8RCR
140	61452 32311	6	   	256.64	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1ASPD|2CDMG|379VULN|48DUR|5TLV|6RCR|aFEWX
141	61452 32313	6	   	256.64	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1ASPD|2CDMG|379VULN|48DUR|5TLV|6RCR|aRMIN
142	61151 42313	3	   	256.64	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1ASPD|2CDMG|38DUR|4TLV|579VULN|6LHND|aRCR
143	41335 61131	3	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RCVC|29DUR|3FEWX|49VULN|5CDMG|6RCR|7BEXP|89DMG|9BPWR|aTLV
144	61151 11313	4	   	256.54	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1ASPD|2CDMG|34DUR|589VULN|6TLV|7DUST|aRCR
145	61452 11313	4	   	256.54	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1ASPD|2CDMG|389VULN|45DUR|6TLV|7DUST|aRCR
146	61452 32321	6	   	256.54	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1ASPD|2CDMG|37aVULN|48DUR|5TLV|6RCR|9TBNT
147	41135 61131	3	   	256.47	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RCVC|29DUR|3DUST|49VULN|5CDMG|6RCR|7BEXP|89DMG|9BPWR|aTLV
148	41335 63131	3	   	256.47	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RCVC|29DUR|3FEWX|49VULN|5CDMG|6RCR|7DUST|89DMG|9BPWR|aTLV
149	13465 24643	5	   	256.31	DCR|3VULN|3DUR|1TLV|1ASPD	1LWND|2MBVNT|356DUR|456VULN|56BPWR|7RCVC|8RCR|9TLV|aASPD
150	13262 27643	4	   	256.21	DCR|3VULN|3DUR|1TLV|1ASPD	1LWND|2MBVNT|346VULN|567DUR|6BPWR|8RCR|9TLV|aASPD
151	13461 27643	4	   	256.21	DCR|3VULN|3DUR|1TLV|1ASPD	1LWND|2MBVNT|367DUR|456VULN|6BPWR|8RCR|9TLV|aASPD
152	13462 22643	4	   	256.21	DCR|3VULN|3DUR|1TLV|1ASPD	1LWND|2MBVNT|356DUR|467VULN|6BPWR|8RCR|9TLV|aASPD
153	13263 61471	4	   	256.19	DCR|4VULN|2DMG|1ASPD	15LWND|2MBVNT|3456VULN|5BPWR|7RCR|89DMG|aASPD
154	42433 11412	6	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	1RCVC|2DMSP|39aDUR|4TLV|5aVULN|6aDMG|7RCR|8RPLT|aBPWR
