0	Index      	Bounty	 *	Score 	Summary	Detail	
1	55121 13315	3	 * 	281.58	DCR|3VULN|3DUR|2ASPD|1TLV|2LIT	15aDUR|2aLIT|3TLV|458VULN|5aBPWR|6RMIN|7RCR|9aASPD
22	31424 51221	8	   	268.05	DCR|4VULN|3DUR|1TLV	17aCGEN|2TLV|3457VULN|679DUR|7BPWR|8RCR
23	31424 51223	8	   	268.05	DCR|4VULN|3DUR|1TLV	17CGEN|2TLV|3457VULN|679DUR|7BPWR|8RCR|aZMB
24	31424 51231	8	   	268.05	DCR|4VULN|3DUR|1TLV	17CGEN|2TLV|3457VULN|67aDUR|7BPWR|8RCR|9BEXP
25	31424 51222	8	   	267.95	DCR|4VULN|3DUR|1TLV	17CGEN|2TLV|3457VULN|679DUR|7BPWR|8RCR|aDUST
26	55121 43111	3	   	267.00	DCR|3VULN|2DUR|1DMG|1TLV|2LIT	15DUR|29LIT|3TLV|458VULN|5BPWR|6BEXP|7RCR|aDMG
27	53326 33251	8	 * 	266.81	DCR|3VULN|3DUR|2DMG	129DUR|3BEXP|459VULN|6LHND|7FEWX|89DMG|9BPWR|aRCR
28	53326 31251	8	   	266.71	DCR|3VULN|3DUR|2DMG	129DUR|3BEXP|459VULN|6LHND|7DUST|89DMG|9BPWR|aRCR
29	53421 23623	10	   	266.64	DCR|4VULN|2DUR|1DMG	12DUR|3478VULN|5ERES|6LIT|9DMG|aRCR
30	53233 51151	2	   	266.61	DCR|3VULN|3DUR|2DMG	123DUR|4BEXP|56DMG|79aVULN|8RCR
31	53433 23121	3	   	266.61	DCR|3VULN|3DUR|2DMG	126DUR|37aVULN|49DMG|5BEXP|8RCR
32	34332 21526	9	 * 	265.94	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG|1AART	17CGEN|2AART|3DUR|47aVULN|57ASPD|6RCR|7BPWR|8CDMG|9DMG
33	31424 51211	8	   	265.73	DCR|4VULN|2DUR|1TLV|1ASPD	17CGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9ASPD|aLEGI
34	31425 21225	8	   	265.47	DCR|3VULN|3DUR|1DMG|1TLV	167CGEN|2TLV|347VULN|579DUR|7BPWR|8RCR|aDMG
35	53222 43221	2	   	265.23	DCR|3VULN|3DUR|2ASPD|2LIT	123DUR|4RPLT|5aLIT|68aVULN|7RCR|9aASPD|aBPWR
36	55121 13313	3	   	264.62	DCR|3VULN|3DUR|1TLV|1ASPD	15aDUR|2LIT|3TLV|458VULN|5BPWR|6RMIN|7RCR|9ASPD
37	55141 13313	4	   	264.62	DCR|3VULN|3DUR|1TLV|1ASPD	15aDUR|2LIT|3TLV|458VULN|5BPWR|6RMIN|7RCR|9ASPD
38	15142 12613	8	   	264.51	DCR|3VULN|2DMG|1TLV|2LIT|1ASPD|1SELL	1LEGI|28LIT|3TLV|478VULN|5SELL|68DMG|8BPWR|9RCR|aASPD
39	31424 51221	10	   	264.48	DCR|4VULN|2DUR|1TLV|1AART	17CGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9AART|aFEWX
40	31424 51222	9	   	264.48	DCR|4VULN|2DUR|1TLV|1AART	17aCGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9AART
41	31424 51222	10	   	264.48	DCR|4VULN|2DUR|1TLV|1AART	17CGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9AART|aLWND
42	31424 51223	10	   	264.48	DCR|4VULN|2DUR|1TLV|1AART	17aCGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9AART
43	31424 51223	9	   	264.48	DCR|4VULN|2DUR|1TLV|1AART	17CGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9AART|aRCVC
44	15121 13315	3	 * 	263.77	DCR|4VULN|2ASPD|2TLV|2LIT	1LEGI|2aLIT|35TLV|458aVULN|5aBPWR|6RMIN|7RCR|9aASPD
45	15141 13315	4	   	263.77	DCR|4VULN|2ASPD|2TLV|2LIT	1LEGI|2aLIT|35TLV|458aVULN|5aBPWR|6RMIN|7RCR|9aASPD
46	31226 41213	5	 * 	263.39	DCR|5VULN|1DMG|1TLV	1CGEN|2TLV|3LHND|45689VULN|7DMG|aRCR
47	31326 41213	5	   	263.39	DCR|5VULN|1DMG|1TLV	1CGEN|2TLV|3BEXP|45689VULN|7DMG|aRCR
48	31423 41213	5	   	263.39	DCR|5VULN|1DMG|1TLV	1CGEN|2TLV|34689VULN|5FEWX|7DMG|aRCR
49	31424 32413	5	   	263.39	DCR|5VULN|1DMG|1TLV	1CGEN|2TLV|34569VULN|7FEWX|8DMG|aRCR
50	31424 41213	4	   	263.39	DCR|5VULN|1DMG|1TLV	1CGEN|2TLV|34689VULN|5LHND|7DMG|aRCR
51	63324 41121	6	   	263.29	DCR|5VULN|1DMG|1DUR	1DUST|2DUR|3RPLT|4689aVULN|5DMG|7RCR
52	55511 13213	9	   	263.26	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2LIT|3DUST|49aVULN|58DMG|6TLV|7RCR
53	65411 13213	9	   	263.26	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|2LIT|3DUR|49aVULN|58DMG|6TLV|7RCR
54	31424 51233	9	   	263.03	DCR|4VULN|2DUR|1TLV	17CGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9ERES|aLIT
55	55121 13143	3	   	262.93	DCR|4VULN|2DUR|1TLV	15DUR|2LIT|3TLV|459aVULN|5BPWR|6RMIN|7RCR|8DUST
56	53211 16151	2	   	262.60	DCR|4VULN|3DUR|1ASPD	123DUR|4ASPD|579aVULN|6BEXP|8RCR
57	53211 36151	2	   	262.60	DCR|4VULN|3DUR|1ASPD	123DUR|4ASPD|579aVULN|6LHND|8RCR
58	53322 26151	4	   	262.60	DCR|4VULN|3DUR|1ASPD	126DUR|3BEXP|479aVULN|5ASPD|8RCR
59	31424 53211	8	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	1CGEN|2TLV|345aVULN|6DUR|7CDMG|8LIT|9RCR
60	55321 13412	2	   	261.60	DCR|3VULN|2DUR|2ASPD|1TLV	15DUR|2LIT|39ASPD|458VULN|5BPWR|6RMIN|7RCR|aTLV
61	53324 41311	10	   	261.46	DCR|4VULN|3DUR|1AART	127DUR|3BEXP|478aVULN|57FEWX|6AART|7BPWR|9RCR
62	31424 31115	10	 * 	261.44	DCR|4VULN|2DMG|1TLV	1CGEN|2TLV|3458VULN|6RMIN|79DMG|aRCR
63	53574 41314	2	 * 	260.91	DCR|2VULN|3DUR|2DMG|2ASPD	127DUR|3MBVNT|4LEGI|5aVULN|6RCR|8aDMG|9aASPD|aBPWR
64	55121 13341	3	   	260.45	DCR|3VULN|2DUR|1DMG|1TLV	15DUR|2LIT|3TLV|458VULN|5BPWR|6RMIN|7RCR|9MLV|aDMG
65	55121 43131	3	   	260.45	DCR|3VULN|2DUR|1DMG|1TLV	15DUR|2LIT|3TLV|458VULN|5BPWR|69BEXP|7RCR|aDMG
66	55121 13321	3	   	260.35	DCR|3VULN|2DUR|1DMG|1TLV	15DUR|2LIT|3TLV|458VULN|5BPWR|6RMIN|7RCR|9ERES|aDMG
67	55141 13321	4	   	260.35	DCR|3VULN|2DUR|1DMG|1TLV	15DUR|2LIT|3TLV|458VULN|5BPWR|6RMIN|7RCR|9ERES|aDMG
68	56341 13211	5	   	260.33	DCR|4VULN|2DUR|1CDMG	18DUR|2CDMG|3FEWX|4LIT|567aVULN|9RCR
69	56341 32211	7	   	260.33	DCR|4VULN|2DUR|1CDMG	18DUR|2CDMG|3FEWX|4LIT|567aVULN|9RCR
70	56341 33211	6	   	260.33	DCR|4VULN|2DUR|1CDMG	18DUR|2CDMG|3FEWX|4LIT|567aVULN|9RCR
71	56353 13211	3	   	260.33	DCR|4VULN|2DUR|1CDMG	18DUR|2CDMG|3FEWX|467aVULN|5LIT|9RCR
72	53421 51311	10	   	260.13	DCR|3VULN|3DUR|1DMG|1ASPD	128DUR|348VULN|5ERES|6ASPD|78MLV|8BPWR|9DMG|aRCR
73	31424 15111	10	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1CGEN|2TLV|3458VULN|6RCVC|7DUR|9DMG|aRCR
74	31424 25111	10	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	16CGEN|2TLV|3458VULN|7DUR|9DMG|aRCR
75	31424 31231	8	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1CGEN|2TLV|3459VULN|6RMIN|7DMG|8RCR|aDUR
76	53621 31241	6	   	259.93	DCR|3VULN|3DUR|1DMG|1ASPD	126DUR|3DMG|4ASPD|56ERES|6BPWR|78aVULN|9RCR
77	11341 11165	1	   	259.59	DCR|4VULN|2DUR|2ASPD	1LEGI|257aVULN|3TBNT|4aASPD|6RCR|8aDUR|9DMSP|aBPWR
78	55162 12211	7	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1DUR|2LIT|3TLV|4CDMG|57aVULN|6DMG|8RCVC|9RCR
79	53421 11531	8	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	128DUR|348VULN|58ERES|6RPLT|7RCR|8BPWR|9TLV|aCDMG
80	31425 31226	9	   	258.78	DCR|3VULN|3DUR|2TLV|1AART	17CGEN|26TLV|347VULN|57aDUR|7BPWR|8RCR|9AART
81	51631 11251	4	 * 	258.58	DCR|2VULN|3DMG|2DUR|1TLV	19DUR|24RCVC|379DMG|5RMIN|6RCR|89VULN|9BPWR|aTLV
82	55321 13413	2	   	258.58	DCR|3VULN|3DUR|2ASPD	15aDUR|2LIT|39ASPD|458VULN|5BPWR|6RMIN|7RCR
83	31424 51212	10	   	258.54	DCR|4VULN|2DUR|2TLV	17CGEN|2aTLV|3457VULN|67DUR|7BPWR|8RCR|9FEWX
84	31425 31141	10	   	258.54	DCR|4VULN|2DUR|2TLV	17CGEN|26TLV|3478VULN|57DUR|7BPWR|9RMIN|aRCR
85	32242 51111	10	   	258.54	DCR|4VULN|2DUR|1DMG	17CGEN|2RCVC|35ERES|4578VULN|57BPWR|67DUR|9DMG|aRCR
86	32244 51111	10	   	258.54	DCR|4VULN|2DUR|1DMG	17CGEN|2RCVC|3ERES|4578VULN|67DUR|7BPWR|9DMG|aRCR
87	31425 31121	10	   	258.44	DCR|4VULN|2DUR|2TLV	17CGEN|26TLV|3478VULN|57DUR|7BPWR|9ERES|aRCR
88	31426 51121	10	   	258.44	DCR|4VULN|2DUR|2TLV	17CGEN|25TLV|3478VULN|67DUR|7BPWR|9ERES|aRCR
89	51424 33211	10	   	258.44	DCR|4VULN|2DUR|1DMG	16DUR|2RCVC|3457VULN|8BEXP|9DMG|aRCR
90	53424 13211	10	   	258.44	DCR|4VULN|2DUR|1DMG	12DUR|3457VULN|6RCVC|8BEXP|9DMG|aRCR
91	51424 32111	10	   	258.34	DCR|4VULN|2DUR|1DMG	16DUR|2RCVC|3458VULN|7DUST|9DMG|aRCR
92	51424 33321	10	   	258.34	DCR|4VULN|2DUR|1DMG	16DUR|2RCVC|3457VULN|8DMG|9LEGI|aRCR
93	53424 12111	10	   	258.34	DCR|4VULN|2DUR|1DMG	12DUR|3458VULN|6RCVC|7DUST|9DMG|aRCR
94	53424 13321	10	   	258.34	DCR|4VULN|2DUR|1DMG	12DUR|3457VULN|6RCVC|8DMG|9LEGI|aRCR
95	53431 21121	3	   	258.34	DCR|4VULN|2DUR|1DMG	12DUR|389aVULN|4DMG|5DUST|6RPLT|7RCR
96	31425 31111	8	   	258.29	DCR|4VULN|2DUR|2TLV|1SELL	17CGEN|26TLV|3478VULN|57DUR|7BPWR|9SELL|aRCR
97	31426 51111	8	   	258.29	DCR|4VULN|2DUR|2TLV|1SELL	17CGEN|25TLV|3478VULN|67DUR|7BPWR|9SELL|aRCR
98	53424 21111	8	   	258.19	DCR|4VULN|2DUR|1DMG|1SELL	12DUR|3458VULN|6CGEN|7DMG|9SELL|aRCR
99	55321 13422	2	   	257.94	DCR|3VULN|2DUR|1TLV|2LIT|1ASPD	15DUR|29LIT|3ASPD|458VULN|5BPWR|6RMIN|7RCR|aTLV
100	55321 43112	2	   	257.94	DCR|3VULN|2DUR|1TLV|2LIT|1ASPD	15DUR|29LIT|3ASPD|458VULN|5BPWR|6BEXP|7RCR|aTLV
101	56224 11843	7	   	257.85	DCR|3VULN|2DUR|1DMG|1CDMG	18DUR|2CDMG|38CGEN|4MBVNT|568VULN|7RCR|8BPWR|9LIT|aDMG
102	56224 13843	6	   	257.85	DCR|3VULN|2DUR|1DMG|1CDMG	18DUR|2CDMG|38CGEN|4MBVNT|568VULN|7RCR|8BPWR|9LIT|aDMG
103	55321 13343	2	   	257.78	DCR|4VULN|2DUR|1ASPD	15DUR|2LIT|3ASPD|459aVULN|5BPWR|6RMIN|7RCR|8LWND
104	52362 12311	7	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	18DUR|2CGEN|3LIT|4CDMG|57aVULN|6DMG|9RCR
105	52362 13311	6	   	257.75	DCR|3VULN|2DUR|1DMG|1CDMG	18DUR|2CGEN|3LIT|4CDMG|57aVULN|6DMG|9RCR
106	55321 13143	2	   	257.68	DCR|4VULN|2DUR|1ASPD	15DUR|2LIT|3ASPD|459aVULN|5BPWR|6RMIN|7RCR|8DUST
107	55321 13431	2	   	257.54	DCR|4VULN|2DUR|1ASPD|1SELL	15DUR|2LIT|3ASPD|458aVULN|5BPWR|6RMIN|7RCR|9SELL
108	36336 33216	10	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	1CGEN|2CDMG|3RPLT|4579VULN|6TLV|8RCR|aDMG
109	15411 23242	6	   	257.08	DCR|2VULN|3DMG|2DUR|2LIT	1LEGI|29LIT|37DUR|49VULN|589DMG|6BELT|9BPWR|aRCR
110	53211 56132	2	   	256.98	DCR|2VULN|3DUR|2ASPD|1DMG|1CDMG	123DUR|4aASPD|58VULN|6DMG|7CDMG|9RCR
111	31242 42243	2	   	256.77	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1CGEN|2TLV|3DUR|4DMG|5ASPD|69aVULN|7RCR|8LIT
112	54212 31216	7	   	256.66	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	17DUR|27BEXP|3ZMB|4AART|5ASPD|67aVULN|7BPWR|8DMG|9RCR
113	31425 31225	9	   	256.56	DCR|3VULN|2DUR|2TLV|1ASPD|1AART	17CGEN|26TLV|347VULN|57DUR|7BPWR|8RCR|9AART|aASPD
114	63212 31216	7	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	17DUST|27DUR|3ZMB|4AART|5ASPD|67aVULN|7BPWR|8DMG|9RCR
115	63212 31326	7	   	256.46	DCR|3VULN|2DUR|1DMG|1ASPD|1AART	17DUST|27DUR|3ZMB|4AART|5ASPD|67aVULN|7BPWR|8RCR|9DMG
116	34332 21226	7	   	256.21	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1AART	17CGEN|2AART|3aDUR|47VULN|57ASPD|6RCR|7BPWR|8DMG|9TLV
117	52341 23243	4	   	256.19	DCR|2VULN|2DMG|2DUR|2ASPD	15DUR|29CGEN|3LIT|45VULN|59BPWR|69ASPD|7ERES|89DMG|aRCR
118	52361 23243	3	   	256.19	DCR|2VULN|2DMG|2DUR|2ASPD	15DUR|29CGEN|3LIT|45VULN|59BPWR|69ASPD|7ERES|89DMG|aRCR
119	31425 31216	10	   	255.96	DCR|3VULN|2DUR|2TLV|1DMG	17CGEN|26TLV|347VULN|57DUR|7BPWR|8RCR|9FEWX|aDMG
120	31425 31311	10	   	255.96	DCR|3VULN|2DUR|2TLV|1DMG	178CGEN|26TLV|347VULN|57DUR|7BPWR|9DMG|aRCR
121	31426 51311	10	   	255.96	DCR|3VULN|2DUR|2TLV|1DMG	178CGEN|25TLV|347VULN|67DUR|7BPWR|9DMG|aRCR
122	31435 31111	10	   	255.96	DCR|3VULN|2DUR|2TLV|1DMG	17CGEN|26TLV|378VULN|4RCVC|57DUR|7BPWR|9DMG|aRCR
123	31436 51111	10	   	255.96	DCR|3VULN|2DUR|2TLV|1DMG	17CGEN|25TLV|378VULN|4RCVC|67DUR|7BPWR|9DMG|aRCR
124	53433 23124	3	   	255.95	DCR|2VULN|3DUR|2DMG|1TLV	126DUR|37VULN|49DMG|5BEXP|8RCR|aTLV
125	15121 43343	3	   	255.87	DCR|4VULN|2TLV|1DMG	1LEGI|2LIT|35TLV|459aVULN|5BPWR|6BEXP|7RCR|8DMG
126	31425 31236	10	   	255.86	DCR|3VULN|2DUR|2TLV|1DMG	17CGEN|26TLV|347VULN|57DUR|7BPWR|8RCR|9ERES|aDMG
127	53631 11251	4	 * 	255.55	DCR|2VULN|3DMG|3DUR	129DUR|379DMG|4RCVC|5RMIN|6RCR|89VULN|9BPWR|aCGEN
128	53631 11253	4	   	255.55	DCR|2VULN|3DMG|3DUR	129DUR|379DMG|4RCVC|5RMIN|6RCR|89VULN|9BPWR|aZMB
129	53631 11252	4	   	255.45	DCR|2VULN|3DMG|3DUR	129DUR|379DMG|4RCVC|5RMIN|6RCR|89VULN|9BPWR|aBBNT
130	53233 51123	2	   	255.35	DCR|2VULN|3DMG|3DUR	123DUR|4BEXP|569DMG|7aVULN|8RCR
131	31636 61231	8	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	17CGEN|2TLV|37DMG|4RCVC|579VULN|6RMIN|7BPWR|8RCR|aDUR
132	15162 12613	8	   	255.21	DCR|2VULN|2DMG|2TLV|2LIT|1CDMG|1ASPD	1LEGI|28LIT|38TLV|4CDMG|57VULN|68DMG|8BPWR|9RCR|aASPD
133	55321 43323	2	   	255.20	DCR|3VULN|2DUR|1DMG|1ASPD	15DUR|2LIT|3ASPD|45aVULN|5BPWR|69BEXP|7RCR|8DMG
134	31425 31213	8	   	255.20	DCR|3VULN|2DUR|2TLV|1ASPD	17CGEN|26TLV|347VULN|57DUR|7BPWR|8RCR|9ASPD|aLIT
135	31426 51213	8	   	255.20	DCR|3VULN|2DUR|2TLV|1ASPD	17CGEN|25TLV|347VULN|67DUR|7BPWR|8RCR|9ASPD|aLIT
136	52362 16111	7	   	255.18	DCR|2VULN|2DMG|2DUR|2LIT|1CDMG	17DUR|28CGEN|37LIT|4CDMG|5aVULN|67DMG|7BPWR|9RCR
137	31425 21226	9	   	255.07	DCR|3VULN|3DUR|1TLV|1AART	167CGEN|2TLV|347VULN|57aDUR|7BPWR|8RCR|9AART
138	31424 31226	10	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1CGEN|2TLV|345VULN|6RMIN|7aDMG|8RCR|9DUR
139	55321 26123	2	   	255.01	DCR|3VULN|2DUR|2ASPD|1AART	15DUR|2LIT|36ASPD|457VULN|5BPWR|8CGEN|9AART|aRCR
140	55321 13433	2	   	254.96	DCR|3VULN|2DUR|1DMG|1ASPD|1SELL	15DUR|2LIT|3ASPD|458VULN|5BPWR|6RMIN|7RCR|9SELL|aDMG
141	63324 41212	9	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|2DUR|3RPLT|469VULN|57DMG|8TLV|aRCR
142	55321 13423	2	   	254.92	DCR|3VULN|3DUR|2LIT|1ASPD	15aDUR|29LIT|3ASPD|458VULN|5BPWR|6RMIN|7RCR
143	55321 43113	2	   	254.92	DCR|3VULN|3DUR|2LIT|1ASPD	15aDUR|29LIT|3ASPD|458VULN|5BPWR|6BEXP|7RCR
144	34332 21361	9	   	254.86	DCR|4VULN|2ASPD|1DUR|1AART	17CGEN|2AART|3DUR|479aVULN|57ASPD|6RCR|7BPWR|8RPLT
145	34332 21362	10	   	254.86	DCR|4VULN|2ASPD|1DUR|1AART	17CGEN|2AART|3DUR|479aVULN|57ASPD|6RCR|7BPWR|8RPLT
146	31424 51211	10	   	254.82	DCR|4VULN|2DUR|1TLV	17CGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9FEWX|aRPLT
147	31424 51212	9	   	254.82	DCR|4VULN|2DUR|1TLV	17aCGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9FEWX
148	31424 51213	9	   	254.82	DCR|4VULN|2DUR|1TLV	17CGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9aFEWX
149	31424 51232	8	   	254.82	DCR|4VULN|2DUR|1TLV	17aCGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9BEXP
150	31424 51233	8	   	254.82	DCR|4VULN|2DUR|1TLV	17CGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9BEXP|aFEWX
151	31425 21141	10	   	254.82	DCR|4VULN|2DUR|1TLV	167CGEN|2TLV|3478VULN|57DUR|7BPWR|9RMIN|aRCR
152	31424 51213	10	   	254.72	DCR|4VULN|2DUR|1TLV	17CGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9FEWX|aDUST
153	31424 51231	10	   	254.72	DCR|4VULN|2DUR|1TLV	17CGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9ERES|aMLV
154	31424 51232	10	   	254.72	DCR|4VULN|2DUR|1TLV	17CGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9ERES|aRMIN
155	31424 51321	10	   	254.72	DCR|4VULN|2DUR|1TLV	178CGEN|2TLV|3457VULN|67DUR|7BPWR|9ERES|aRCR
156	31425 21121	10	   	254.72	DCR|4VULN|2DUR|1TLV	167CGEN|2TLV|3478VULN|57DUR|7BPWR|9ERES|aRCR
157	31425 41121	10	   	254.72	DCR|4VULN|2DUR|1TLV	17CGEN|2TLV|3478VULN|57DUR|6DMSP|7BPWR|9ERES|aRCR
158	31434 51121	10	   	254.72	DCR|4VULN|2DUR|1TLV	17CGEN|2TLV|3578VULN|4RCVC|67DUR|7BPWR|9ERES|aRCR
159	32242 51151	10	   	254.72	DCR|4VULN|2DUR|1TLV	17CGEN|2RCVC|35ERES|4578VULN|57BPWR|67DUR|9TLV|aRCR
160	31424 15222	8	   	254.62	DCR|4VULN|2DUR|1TLV	1CGEN|2TLV|345aVULN|6RCVC|79DUR|8RCR
161	31424 25222	8	   	254.62	DCR|4VULN|2DUR|1TLV	16CGEN|2TLV|345aVULN|79DUR|8RCR
162	31424 41221	8	   	254.62	DCR|4VULN|2DUR|1TLV	17CGEN|2TLV|3457VULN|67DUST|7BPWR|8RCR|9aDUR
163	31424 41221	9	   	254.62	DCR|4VULN|2DUR|1TLV	17CGEN|2TLV|3457VULN|67DUST|7BPWR|8RCR|9aDUR
164	31424 51231	9	   	254.62	DCR|4VULN|2DUR|1TLV	17CGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9ERES|aLEGI
165	31424 51233	10	   	254.62	DCR|4VULN|2DUR|1TLV	17CGEN|2TLV|3457VULN|67DUR|7BPWR|8RCR|9ERES|aDUST
166	53426 11231	7	   	254.62	DCR|4VULN|2DUR|1TLV	12DUR|349aVULN|5TLV|6RPLT|7RCR|8LWND
167	31424 51311	8	   	254.58	DCR|4VULN|2DUR|1TLV|1SELL	178CGEN|2TLV|3457VULN|67DUR|7BPWR|9SELL|aRCR
168	31425 21111	8	   	254.58	DCR|4VULN|2DUR|1TLV|1SELL	167CGEN|2TLV|3478VULN|57DUR|7BPWR|9SELL|aRCR
169	31425 41111	8	   	254.58	DCR|4VULN|2DUR|1TLV|1SELL	17CGEN|2TLV|3478VULN|57DUR|6DMSP|7BPWR|9SELL|aRCR
170	31434 51111	8	   	254.58	DCR|4VULN|2DUR|1TLV|1SELL	17CGEN|2TLV|3578VULN|4RCVC|67DUR|7BPWR|9SELL|aRCR
171	53421 21121	3	   	254.52	DCR|4VULN|2DUR|1TLV	12DUR|389aVULN|4TLV|5DUST|6RPLT|7RCR
172	53426 11121	8	   	254.52	DCR|4VULN|2DUR|1TLV	12DUR|349aVULN|5TLV|6RPLT|7RCR|8DUST
173	53426 11321	7	   	254.52	DCR|4VULN|2DUR|1TLV	12DUR|349aVULN|5TLV|6RPLT|7RCR|8DUST
174	31424 42213	5	   	254.33	DCR|5VULN|1TLV|1ASPD	1CGEN|2TLV|34589VULN|6ASPD|7LWND|aRCR
175	31424 43233	5	   	254.33	DCR|5VULN|1TLV|1ASPD	1CGEN|2TLV|34578VULN|6ASPD|9FEWX|aRCR
176	31424 43313	5	   	254.33	DCR|5VULN|1TLV|1ASPD	1CGEN|2TLV|34579VULN|6ASPD|8LHND|aRCR
